	SRR1795409_accepted_hits	SRR1795410_accepted_hits	SRR1795425_accepted_hits	SRR1795426_accepted_hits
ENSG00000118705	2210	2572	3905	2363
ENSG00000118707	74	73	102	55
ENSG00000118729	0	0	0	0
ENSG00000118733	0	0	0	0
ENSG00000118762	387	431	56	41
ENSG00000118777	30	37	90	51
ENSG00000118785	0	2	5	2
ENSG00000118804	28	38	46	26
ENSG00000118816	1365	1574	688	468
ENSG00000118849	22	31	0	0
ENSG00000118855	330	446	143	77
ENSG00000118873	1193	1371	693	418
ENSG00000118894	110	107	37	14
ENSG00000118898	17	23	8	4
ENSG00000118900	648	702	173	108
ENSG00000118922	64	93	69	44
ENSG00000118939	501	617	392	272
ENSG00000118946	73	69	3	1
ENSG00000118960	123	130	144	99
ENSG00000118961	69	66	145	74
ENSG00000118965	720	861	606	335
ENSG00000118971	42	55	253	145
ENSG00000118972	1	0	2	0
ENSG00000118985	109	138	119	79
ENSG00000118997	53	59	20	13
ENSG00000119004	200	271	152	98
ENSG00000119013	328	395	399	250
ENSG00000119041	1044	1280	1147	617
ENSG00000119042	336	382	362	212
ENSG00000119048	82	79	601	352
ENSG00000119121	23	18	14	6
ENSG00000119125	0	0	0	0
ENSG00000119138	46	47	82	66
ENSG00000119139	0	0	0	0
ENSG00000119147	0	0	0	0
ENSG00000119185	293	397	120	59
ENSG00000119203	1252	1667	1410	827
ENSG00000119227	9	9	2	2
ENSG00000119231	508	562	301	207
ENSG00000119242	57	87	60	48
ENSG00000119280	177	195	242	155
ENSG00000119283	0	1	30	26
ENSG00000119285	7543	9149	2293	1466
ENSG00000119314	431	494	695	381
ENSG00000119318	1393	1619	2101	1262
ENSG00000119321	515	587	273	149
ENSG00000119326	1292	1501	1060	557
ENSG00000119328	74	68	91	50
ENSG00000119333	707	775	464	282
ENSG00000119335	3868	4069	3354	2012
ENSG00000119383	471	519	908	536
ENSG00000119392	596	696	558	300
ENSG00000119396	217	254	633	378
ENSG00000119397	522	596	146	102
ENSG00000119401	160	179	166	109
ENSG00000119402	411	553	127	65
ENSG00000119403	159	164	216	123
ENSG00000119408	134	155	314	188
ENSG00000119411	5	7	15	7
ENSG00000119414	563	640	987	644
ENSG00000119421	388	439	974	617
ENSG00000119431	84	90	45	25
ENSG00000119446	109	133	158	80
ENSG00000119457	3	4	0	0
ENSG00000119471	430	539	574	365
ENSG00000119487	893	990	263	148
ENSG00000119508	4	1	14	4
ENSG00000119509	364	498	83	46
ENSG00000119514	44	48	35	22
ENSG00000119522	205	216	155	92
ENSG00000119523	173	192	176	103
ENSG00000119535	1	1	0	0
ENSG00000119537	146	181	207	129
ENSG00000119541	300	330	431	265
ENSG00000119547	29	29	26	7
ENSG00000119559	42	50	55	23
ENSG00000119574	38	33	92	44
ENSG00000119596	1536	1826	1039	626
ENSG00000119599	205	232	151	93
ENSG00000119608	14	21	0	0
ENSG00000119614	0	1	1	0
ENSG00000119616	234	295	279	171
ENSG00000119630	13	10	21	14
ENSG00000119632	30	39	189	104
ENSG00000119636	28	50	4	5
ENSG00000119638	902	1014	501	302
ENSG00000119640	58	77	119	77
ENSG00000119650	116	126	108	70
ENSG00000119655	235	241	530	308
ENSG00000119661	94	98	68	31
ENSG00000119669	80	83	302	144
ENSG00000119673	74	67	87	65
ENSG00000119681	18	10	9	7
ENSG00000119682	351	381	96	86
ENSG00000119684	112	124	244	160
ENSG00000119685	505	576	103	57
ENSG00000119686	11	23	9	3
ENSG00000119688	265	285	118	62
ENSG00000119689	512	608	1038	645
ENSG00000119698	70	85	63	51
ENSG00000119699	17	16	13	7
ENSG00000119703	2	9	2	4
ENSG00000119705	929	1014	1738	1060
ENSG00000119707	1594	1742	1325	804
ENSG00000119711	219	242	363	192
ENSG00000119714	1	0	1	1
ENSG00000119715	9	13	9	5
ENSG00000119718	381	400	484	281
ENSG00000119720	615	726	395	218
ENSG00000119723	189	195	297	180
ENSG00000119725	429	510	217	131
ENSG00000119729	83	91	21	8
ENSG00000119737	58	72	0	0
ENSG00000119760	286	336	290	155
ENSG00000119771	64	78	32	8
ENSG00000119772	125	147	144	84
ENSG00000119777	254	299	464	271
ENSG00000119778	572	746	187	107
ENSG00000119782	13	20	33	25
ENSG00000119787	802	1022	697	399
ENSG00000119801	44	48	126	76
ENSG00000119812	616	684	792	449
ENSG00000119820	229	309	452	266
ENSG00000119844	361	423	203	118
ENSG00000119862	78	83	106	56
ENSG00000119865	30	36	34	15
ENSG00000119866	75	89	173	97
ENSG00000119878	111	91	191	127
ENSG00000119888	9	7	716	431
ENSG00000119899	100	139	231	148
ENSG00000119900	222	245	173	99
ENSG00000119906	990	1187	400	245
ENSG00000119912	1268	1478	1268	760
ENSG00000119913	0	0	0	0
ENSG00000119915	0	0	3	0
ENSG00000119917	5	10	43	40
ENSG00000119919	1	2	747	247
ENSG00000119922	5	1	15	2
ENSG00000119927	514	576	283	132
ENSG00000119929	261	271	287	179
ENSG00000119938	0	1	0	0
ENSG00000119943	8	6	0	0
ENSG00000119946	51	50	165	90
ENSG00000119950	130	137	263	156
ENSG00000119953	271	359	741	437
ENSG00000119965	113	143	158	123
ENSG00000119969	3095	3746	2894	1716
ENSG00000119973	0	0	0	0
ENSG00000119977	444	558	419	221
ENSG00000119979	98	118	87	57
ENSG00000119986	24	16	95	64
ENSG00000120008	1036	1248	1073	601
ENSG00000120029	261	327	462	283
ENSG00000120049	12	15	3	0
ENSG00000120051	3	2	2	0
ENSG00000120053	431	556	1003	622
ENSG00000120054	0	1	0	0
ENSG00000120055	7	7	2	2
ENSG00000120057	1	2	13	8
ENSG00000120063	301	329	263	142
ENSG00000120068	56	68	41	24
ENSG00000120071	723	902	317	168
ENSG00000120075	31	39	76	45
ENSG00000120088	1	0	1	0
ENSG00000120093	66	89	31	12
ENSG00000120094	1	0	0	0
ENSG00000120129	58	79	328	189
ENSG00000120137	801	1011	373	216
ENSG00000120149	53	50	391	200
ENSG00000120156	2	2	0	0
ENSG00000120158	252	285	371	213
ENSG00000120159	252	299	259	128
ENSG00000120160	2	1	0	0
ENSG00000120162	29	35	49	35
ENSG00000120210	0	0	0	0
ENSG00000120211	1	0	0	0
ENSG00000120215	0	1	1	0
ENSG00000120217	1	1	4	4
ENSG00000120235	0	0	0	0
ENSG00000120242	0	0	0	0
ENSG00000120251	0	0	0	1
ENSG00000120253	870	1051	1536	863
ENSG00000120254	1434	1549	906	554
ENSG00000120256	301	284	361	199
ENSG00000120262	8	9	0	1
ENSG00000120265	862	1087	1852	1108
ENSG00000120278	34	46	131	87
ENSG00000120279	0	0	0	0
ENSG00000120280	0	0	0	0
ENSG00000120289	0	0	0	0
ENSG00000120306	61	76	408	254
ENSG00000120314	267	247	202	84
ENSG00000120318	23	25	70	38
ENSG00000120322	2	1	11	1
ENSG00000120324	0	0	0	1
ENSG00000120327	3	3	0	4
ENSG00000120328	0	0	0	1
ENSG00000120329	10	4	1	0
ENSG00000120332	1	0	0	0
ENSG00000120333	263	282	378	245
ENSG00000120334	142	207	97	55
ENSG00000120337	0	0	0	0
ENSG00000120341	1	0	4	2
ENSG00000120370	69	109	55	36
ENSG00000120436	0	0	0	0
ENSG00000120437	1281	1501	1745	1091
ENSG00000120438	7444	8636	5174	3150
ENSG00000120440	2	2	1	0
ENSG00000120451	2	2	321	158
ENSG00000120457	0	0	1	0
ENSG00000120458	129	142	19	27
ENSG00000120471	1	0	0	0
ENSG00000120498	4	7	0	1
ENSG00000120500	10	11	0	0
ENSG00000120509	113	125	446	254
ENSG00000120519	67	68	32	20
ENSG00000120526	480	598	553	392
ENSG00000120533	473	552	496	330
ENSG00000120539	490	565	576	343
ENSG00000120549	43	26	168	103
ENSG00000120563	0	0	0	0
ENSG00000120594	94	96	35	21
ENSG00000120616	303	304	120	87
ENSG00000120645	0	0	0	0
ENSG00000120647	260	267	214	155
ENSG00000120656	153	184	114	68
ENSG00000120658	108	107	50	23
ENSG00000120659	0	0	0	0
ENSG00000120662	134	131	134	76
ENSG00000120669	0	0	0	0
ENSG00000120675	5	3	2	3
ENSG00000120685	318	398	515	292
ENSG00000120686	99	105	259	173
ENSG00000120688	171	178	255	148
ENSG00000120690	185	198	470	260
ENSG00000120693	71	87	336	221
ENSG00000120694	3181	3935	3479	2127
ENSG00000120696	116	115	170	78
ENSG00000120697	411	454	530	309
ENSG00000120699	651	782	1100	695
ENSG00000120705	1695	2070	2185	1275
ENSG00000120708	0	0	0	1
ENSG00000120709	148	185	270	179
ENSG00000120725	202	235	327	163
ENSG00000120727	288	326	1088	678
ENSG00000120729	26	25	1	2
ENSG00000120733	1686	1893	1289	825
ENSG00000120738	3	6	149	85
ENSG00000120742	158	160	242	115
ENSG00000120756	353	387	650	378
ENSG00000120784	165	178	316	175
ENSG00000120798	409	469	483	272
ENSG00000120800	3014	3439	1328	798
ENSG00000120802	1495	1707	2776	1784
ENSG00000120805	284	360	802	499
ENSG00000120820	22	31	59	45
ENSG00000120832	190	216	145	122
ENSG00000120833	30	47	17	11
ENSG00000120837	163	199	274	166
ENSG00000120860	102	112	146	89
ENSG00000120868	378	481	508	323
ENSG00000120875	4	4	89	64
ENSG00000120885	76	71	1327	824
ENSG00000120889	309	346	450	288
ENSG00000120896	53	41	279	182
ENSG00000120899	23	14	18	10
ENSG00000120903	0	0	0	0
ENSG00000120907	2	7	0	0
ENSG00000120910	132	128	129	81
ENSG00000120913	19	29	64	21
ENSG00000120915	63	73	135	66
ENSG00000120925	57	77	69	43
ENSG00000120937	0	0	0	0
ENSG00000120942	138	163	198	110
ENSG00000120948	141	159	313	195
ENSG00000120949	0	0	0	0
ENSG00000120952	0	0	0	0
ENSG00000120963	34	46	136	76
ENSG00000120992	334	475	284	216
ENSG00000121005	158	192	186	122
ENSG00000121022	833	984	853	579
ENSG00000121039	410	438	155	68
ENSG00000121053	2	5	0	0
ENSG00000121057	1061	1135	368	187
ENSG00000121058	527	671	475	246
ENSG00000121060	222	237	903	510
ENSG00000121064	375	451	438	236
ENSG00000121067	468	542	368	215
ENSG00000121068	73	81	119	72
ENSG00000121073	461	548	419	249
ENSG00000121075	1	0	0	0
ENSG00000121101	16	31	5	2
ENSG00000121104	117	120	84	53
ENSG00000121152	991	1178	1039	658
ENSG00000121207	0	0	0	1
ENSG00000121210	413	510	427	228
ENSG00000121211	185	224	236	148
ENSG00000121236	8	12	17	15
ENSG00000121270	8	9	1	2
ENSG00000121274	281	272	215	139
ENSG00000121281	49	55	52	22
ENSG00000121289	89	122	436	256
ENSG00000121297	64	67	117	65
ENSG00000121310	32	39	0	0
ENSG00000121314	0	0	0	0
ENSG00000121316	2	5	0	1
ENSG00000121318	7	8	0	0
ENSG00000121335	1	1	0	0
ENSG00000121350	65	83	195	111
ENSG00000121351	0	0	0	0
ENSG00000121361	113	150	154	94
ENSG00000121377	0	2	0	0
ENSG00000121380	3	9	0	0
ENSG00000121381	0	2	0	0
ENSG00000121390	698	776	643	433
ENSG00000121406	72	69	57	45
ENSG00000121410	23	40	28	7
ENSG00000121413	9	13	402	252
ENSG00000121417	125	139	51	41
ENSG00000121440	68	84	73	43
ENSG00000121446	0	0	0	1
ENSG00000121454	50	48	27	16
ENSG00000121481	380	437	346	175
ENSG00000121486	499	614	569	332
ENSG00000121542	127	147	151	100
ENSG00000121552	0	0	4	1
ENSG00000121570	0	0	0	0
ENSG00000121577	2	2	0	0
ENSG00000121578	141	139	108	69
ENSG00000121579	958	1126	1116	704
ENSG00000121594	1	2	0	0
ENSG00000121621	565	662	345	228
ENSG00000121634	1	0	0	0
ENSG00000121644	244	317	217	134
ENSG00000121653	106	138	34	17
ENSG00000121671	106	107	35	17
ENSG00000121680	123	142	79	63
ENSG00000121690	175	195	191	134
ENSG00000121691	275	318	461	266
ENSG00000121716	157	160	3	3
ENSG00000121741	970	1130	898	535
ENSG00000121742	0	0	1	0
ENSG00000121743	6	6	46	31
ENSG00000121749	463	614	1114	706
ENSG00000121753	131	149	44	11
ENSG00000121764	13	12	1	0
ENSG00000121766	310	409	154	71
ENSG00000121769	13	22	6	3
ENSG00000121774	1663	1825	4252	2515
ENSG00000121775	168	224	126	90
ENSG00000121797	0	1	0	0
ENSG00000121807	0	0	0	0
ENSG00000121851	120	104	48	35
ENSG00000121853	0	2	0	0
ENSG00000121858	1	0	5	3
ENSG00000121864	450	561	260	169
ENSG00000121871	34	43	31	18
ENSG00000121879	217	284	123	84
ENSG00000121892	1890	2160	1863	1070
ENSG00000121895	0	0	1	0
ENSG00000121897	83	107	131	73
ENSG00000121898	1	0	0	0
ENSG00000121900	33	27	72	36
ENSG00000121903	134	151	54	33
ENSG00000121904	0	0	2	2
ENSG00000121905	1	0	1	0
ENSG00000121931	165	204	300	177
ENSG00000121933	0	0	0	0
ENSG00000121940	717	711	519	318
ENSG00000121957	457	493	202	154
ENSG00000121964	59	73	25	13
ENSG00000121966	19	13	57	48
ENSG00000121988	394	440	174	104
ENSG00000121989	142	159	139	91
ENSG00000122008	348	453	287	186
ENSG00000122012	1	0	1	0
ENSG00000122025	4	1	6	6
ENSG00000122026	3102	3658	1329	803
ENSG00000122033	389	477	178	132
ENSG00000122034	954	1144	252	158
ENSG00000122035	34	50	186	94
ENSG00000122042	63	78	115	89
ENSG00000122068	251	306	446	281
ENSG00000122085	182	222	307	213
ENSG00000122121	0	0	0	0
ENSG00000122122	3	1	0	0
ENSG00000122126	751	895	866	496
ENSG00000122133	1	0	0	0
ENSG00000122136	0	0	0	0
ENSG00000122140	404	431	1347	813
ENSG00000122145	0	0	0	0
ENSG00000122176	0	0	0	0
ENSG00000122180	0	0	0	0
ENSG00000122188	0	0	0	0
ENSG00000122194	0	0	0	0
ENSG00000122203	429	456	135	64
ENSG00000122218	2637	3049	3576	2109
ENSG00000122223	0	0	0	0
ENSG00000122224	0	0	0	0
ENSG00000122254	0	0	0	0
ENSG00000122257	1678	1891	675	397
ENSG00000122299	959	1125	367	203
ENSG00000122304	0	0	0	0
ENSG00000122335	201	268	233	129
ENSG00000122359	439	470	1297	870
ENSG00000122367	1	0	4	1
ENSG00000122375	0	0	0	0
ENSG00000122376	266	361	92	58
ENSG00000122378	233	239	171	120
ENSG00000122386	149	137	61	24
ENSG00000122390	35	48	115	49
ENSG00000122406	13897	16224	6827	4067
ENSG00000122417	398	452	228	128
ENSG00000122420	66	66	7	2
ENSG00000122432	11	15	1	0
ENSG00000122435	281	335	313	190
ENSG00000122477	47	54	1	0
ENSG00000122481	141	168	129	67
ENSG00000122482	2158	2481	747	430
ENSG00000122483	805	1083	198	112
ENSG00000122484	646	810	478	294
ENSG00000122490	44	64	52	29
ENSG00000122507	183	247	66	58
ENSG00000122512	204	243	151	85
ENSG00000122515	138	132	213	147
ENSG00000122543	0	0	0	0
ENSG00000122545	703	829	696	409
ENSG00000122547	63	72	60	30
ENSG00000122550	286	363	242	167
ENSG00000122557	105	130	165	82
ENSG00000122565	1662	1931	1158	733
ENSG00000122566	5650	6830	19057	11739
ENSG00000122574	5	8	43	35
ENSG00000122584	0	1	0	0
ENSG00000122585	1	0	0	1
ENSG00000122591	380	476	287	153
ENSG00000122592	16	14	39	20
ENSG00000122641	0	0	1	0
ENSG00000122642	103	130	119	65
ENSG00000122643	199	253	208	143
ENSG00000122644	45	69	26	9
ENSG00000122674	32	52	27	13
ENSG00000122678	77	86	84	56
ENSG00000122679	0	0	0	0
ENSG00000122687	166	164	151	77
ENSG00000122691	11	22	79	59
ENSG00000122692	1115	1431	1529	897
ENSG00000122694	17	25	48	30
ENSG00000122696	95	109	15	6
ENSG00000122705	910	984	1284	817
ENSG00000122707	96	106	41	29
ENSG00000122711	2	0	0	0
ENSG00000122728	0	0	1	2
ENSG00000122729	562	637	664	421
ENSG00000122733	1	0	0	3
ENSG00000122735	0	2	0	0
ENSG00000122741	206	211	182	126
ENSG00000122756	13	12	23	15
ENSG00000122778	224	289	143	91
ENSG00000122779	545	658	839	528
ENSG00000122783	161	214	181	103
ENSG00000122786	314	356	936	529
ENSG00000122787	0	0	0	0
ENSG00000122824	9	18	6	1
ENSG00000122852	0	0	0	0
ENSG00000122859	0	0	0	0
ENSG00000122861	1	2	29	15
ENSG00000122862	1	0	3	3
ENSG00000122863	14	34	57	36
ENSG00000122870	113	116	187	109
ENSG00000122873	179	241	258	146
ENSG00000122877	0	1	1	2
ENSG00000122882	522	595	1242	826
ENSG00000122884	387	483	441	220
ENSG00000122912	179	187	117	74
ENSG00000122952	858	942	1006	540
ENSG00000122958	460	499	1132	688
ENSG00000122965	730	911	451	279
ENSG00000122966	782	903	749	422
ENSG00000122970	298	380	421	246
ENSG00000122971	73	93	188	117
ENSG00000122986	3	3	4	7
ENSG00000123064	1003	1070	1215	670
ENSG00000123066	1022	1170	385	236
ENSG00000123080	196	225	176	93
ENSG00000123091	117	141	79	46
ENSG00000123094	94	142	129	77
ENSG00000123095	5	7	89	69
ENSG00000123096	4	4	14	4
ENSG00000123104	697	763	583	348
ENSG00000123106	259	255	289	199
ENSG00000123119	5	3	1	0
ENSG00000123124	475	559	113	74
ENSG00000123130	273	330	552	304
ENSG00000123131	1847	2070	2298	1393
ENSG00000123136	1109	1240	1906	1104
ENSG00000123143	763	810	871	537
ENSG00000123144	432	400	767	474
ENSG00000123146	46	48	727	379
ENSG00000123154	92	125	107	64
ENSG00000123159	282	323	715	422
ENSG00000123165	0	0	0	0
ENSG00000123171	0	1	0	0
ENSG00000123178	95	111	392	211
ENSG00000123179	175	216	473	301
ENSG00000123191	373	415	262	177
ENSG00000123200	1244	1455	1165	763
ENSG00000123213	712	827	542	352
ENSG00000123219	274	309	338	178
ENSG00000123240	83	88	388	226
ENSG00000123243	4	2	11	4
ENSG00000123268	186	193	246	183
ENSG00000123297	386	426	761	417
ENSG00000123307	0	0	1	0
ENSG00000123329	8	9	0	3
ENSG00000123338	4	1	20	11
ENSG00000123342	0	0	0	0
ENSG00000123349	1011	1147	2181	1222
ENSG00000123352	235	226	313	148
ENSG00000123353	143	138	297	163
ENSG00000123358	18	17	46	31
ENSG00000123360	0	5	35	21
ENSG00000123364	14	19	131	97
ENSG00000123374	426	535	925	541
ENSG00000123384	244	303	282	186
ENSG00000123388	26	20	199	143
ENSG00000123395	133	171	182	123
ENSG00000123405	0	2	2	3
ENSG00000123407	1	0	1	0
ENSG00000123411	17	25	12	7
ENSG00000123415	93	104	85	71
ENSG00000123416	4983	5629	6893	4090
ENSG00000123427	10	8	15	1
ENSG00000123444	220	247	169	104
ENSG00000123453	0	0	13	12
ENSG00000123454	0	0	0	0
ENSG00000123472	540	644	1017	612
ENSG00000123473	743	901	569	355
ENSG00000123485	470	500	761	453
ENSG00000123496	2	0	1	0
ENSG00000123500	90	86	0	1
ENSG00000123505	1527	1832	435	261
ENSG00000123545	499	509	586	389
ENSG00000123552	325	415	127	75
ENSG00000123560	1	0	0	0
ENSG00000123561	0	0	0	0
ENSG00000123562	3588	4101	2268	1400
ENSG00000123569	0	0	0	0
ENSG00000123570	19	23	29	12
ENSG00000123572	9	11	0	0
ENSG00000123575	627	715	647	359
ENSG00000123576	7	1	11	7
ENSG00000123584	0	0	0	0
ENSG00000123594	0	0	0	0
ENSG00000123595	157	219	277	200
ENSG00000123600	282	315	269	147
ENSG00000123607	610	658	482	275
ENSG00000123609	15	16	83	59
ENSG00000123610	0	0	0	0
ENSG00000123612	13	20	10	10
ENSG00000123636	434	498	148	95
ENSG00000123643	91	81	82	41
ENSG00000123684	477	554	189	102
ENSG00000123685	19	22	20	22
ENSG00000123689	7	6	5	3
ENSG00000123700	1	1	6	4
ENSG00000123728	245	275	273	150
ENSG00000123737	975	1108	657	385
ENSG00000123739	26	17	26	10
ENSG00000123810	11	14	21	8
ENSG00000123815	110	136	190	114
ENSG00000123836	159	166	38	20
ENSG00000123838	1	0	0	0
ENSG00000123843	0	0	0	0
ENSG00000123892	6	9	164	77
ENSG00000123901	1	0	1	1
ENSG00000123908	516	592	437	320
ENSG00000123933	162	181	229	128
ENSG00000123975	587	579	1154	652
ENSG00000123977	1	0	0	0
ENSG00000123983	1185	1518	2037	1180
ENSG00000123989	159	142	289	176
ENSG00000123992	236	254	395	246
ENSG00000123999	0	1	0	1
ENSG00000124003	0	0	0	0
ENSG00000124006	594	588	922	521
ENSG00000124019	0	0	0	0
ENSG00000124067	120	107	153	89
ENSG00000124074	67	65	36	26
ENSG00000124089	0	0	0	0
ENSG00000124091	28	34	0	0
ENSG00000124092	1	1	1	0
ENSG00000124098	63	81	161	80
ENSG00000124102	0	0	0	0
ENSG00000124103	2	3	0	0
ENSG00000124104	36	41	44	19
ENSG00000124107	0	0	2	1
ENSG00000124116	1	1	1	0
ENSG00000124120	103	137	124	79
ENSG00000124126	71	53	79	40
ENSG00000124134	1	3	0	0
ENSG00000124140	2	5	9	2
ENSG00000124143	3	2	1	3
ENSG00000124145	32	32	229	145
ENSG00000124151	446	562	402	225
ENSG00000124155	351	346	611	378
ENSG00000124157	0	0	0	0
ENSG00000124159	1	1	0	2
ENSG00000124160	401	487	404	252
ENSG00000124164	184	217	731	393
ENSG00000124171	123	140	201	109
ENSG00000124172	577	635	1499	899
ENSG00000124177	1217	1406	365	202
ENSG00000124181	1118	1125	1005	609
ENSG00000124191	13	9	68	51
ENSG00000124193	1317	1484	1132	652
ENSG00000124194	0	2	7	4
ENSG00000124196	0	0	0	0
ENSG00000124198	1113	1364	490	297
ENSG00000124201	260	343	168	104
ENSG00000124203	0	0	1	0
ENSG00000124205	0	0	0	0
ENSG00000124207	6286	7544	10819	6287
ENSG00000124208	0	0	0	0
ENSG00000124209	98	110	108	63
ENSG00000124212	2	0	19	13
ENSG00000124214	765	783	2233	1312
ENSG00000124215	23	13	0	1
ENSG00000124216	4	4	23	10
ENSG00000124217	151	134	237	142
ENSG00000124222	40	48	21	24
ENSG00000124225	8	12	39	20
ENSG00000124226	241	273	596	295
ENSG00000124227	0	1	0	0
ENSG00000124228	1036	1173	1264	730
ENSG00000124232	0	1	0	0
ENSG00000124233	0	0	0	0
ENSG00000124237	0	0	0	0
ENSG00000124243	21	29	91	62
ENSG00000124249	1	0	0	0
ENSG00000124251	12	23	0	0
ENSG00000124253	1	0	12	2
ENSG00000124256	0	0	0	0
ENSG00000124257	6	16	2	3
ENSG00000124260	1	0	0	0
ENSG00000124275	393	465	346	246
ENSG00000124279	198	242	253	153
ENSG00000124299	410	497	1431	858
ENSG00000124302	4	8	14	11
ENSG00000124313	17	22	54	46
ENSG00000124333	466	511	417	235
ENSG00000124334	1	6	0	0
ENSG00000124343	0	0	0	0
ENSG00000124356	399	471	349	238
ENSG00000124357	88	124	217	101
ENSG00000124370	49	67	39	23
ENSG00000124374	47	46	67	38
ENSG00000124380	269	290	270	188
ENSG00000124383	722	791	544	302
ENSG00000124391	0	0	1	0
ENSG00000124406	282	279	162	96
ENSG00000124422	2352	2670	1704	956
ENSG00000124429	2	3	1	0
ENSG00000124440	0	1	0	1
ENSG00000124444	61	53	100	83
ENSG00000124449	0	0	0	0
ENSG00000124459	222	237	115	76
ENSG00000124466	1	0	6	3
ENSG00000124467	0	0	0	0
ENSG00000124469	3	0	0	0
ENSG00000124479	0	0	0	0
ENSG00000124486	8266	9680	4093	2357
ENSG00000124490	0	0	0	0
ENSG00000124491	0	0	0	0
ENSG00000124493	1	1	2	2
ENSG00000124496	13	22	100	51
ENSG00000124507	3	3	48	13
ENSG00000124508	112	120	85	45
ENSG00000124523	83	90	116	71
ENSG00000124532	622	784	263	153
ENSG00000124535	808	843	668	394
ENSG00000124541	494	603	919	563
ENSG00000124557	4	1	1	0
ENSG00000124562	628	642	1758	1000
ENSG00000124564	0	0	0	0
ENSG00000124568	0	0	0	0
ENSG00000124570	317	334	875	473
ENSG00000124571	2514	2923	2322	1456
ENSG00000124574	275	295	167	111
ENSG00000124575	2130	2430	2604	1568
ENSG00000124587	73	104	169	108
ENSG00000124588	192	222	248	177
ENSG00000124593	0	0	0	0
ENSG00000124596	56	53	149	78
ENSG00000124602	6	5	0	0
ENSG00000124608	605	682	263	159
ENSG00000124610	4	6	12	6
ENSG00000124613	50	91	25	11
ENSG00000124614	0	0	0	0
ENSG00000124615	117	157	138	73
ENSG00000124635	4302	4843	4788	2726
ENSG00000124641	101	130	141	63
ENSG00000124657	7	11	0	0
ENSG00000124659	136	146	230	132
ENSG00000124664	1	0	1	0
ENSG00000124678	1	1	0	1
ENSG00000124688	196	177	386	195
ENSG00000124701	1	8	0	0
ENSG00000124702	690	745	476	304
ENSG00000124713	8	9	2	0
ENSG00000124721	6	6	0	1
ENSG00000124731	0	0	0	0
ENSG00000124733	405	494	751	429
ENSG00000124743	5	9	7	2
ENSG00000124749	3	3	64	37
ENSG00000124762	34	32	324	199
ENSG00000124766	150	145	712	442
ENSG00000124767	2341	2848	5892	3637
ENSG00000124772	1	1	1	3
ENSG00000124780	0	0	0	0
ENSG00000124782	292	354	352	224
ENSG00000124783	715	873	1479	856
ENSG00000124784	992	1118	885	481
ENSG00000124785	69	65	123	90
ENSG00000124786	161	189	96	63
ENSG00000124787	240	326	302	203
ENSG00000124788	89	92	57	44
ENSG00000124789	3480	4181	2550	1571
ENSG00000124795	3099	3711	3499	2223
ENSG00000124802	135	200	290	151
ENSG00000124812	0	0	0	0
ENSG00000124813	3	3	58	41
ENSG00000124818	0	1	0	0
ENSG00000124827	3	1	0	0
ENSG00000124831	559	618	613	388
ENSG00000124839	0	0	1	0
ENSG00000124875	0	0	2	1
ENSG00000124882	0	0	1	0
ENSG00000124900	0	0	0	0
ENSG00000124920	28	44	6	5
ENSG00000124935	0	0	0	0
ENSG00000124939	0	0	0	0
ENSG00000124942	958	1036	527	313
ENSG00000125037	519	576	790	464
ENSG00000125046	4	3	3	0
ENSG00000125084	0	0	0	0
ENSG00000125089	0	0	0	0
ENSG00000125107	6634	7856	3076	1743
ENSG00000125122	6	11	1	1
ENSG00000125124	388	480	374	247
ENSG00000125144	0	0	0	0
ENSG00000125148	5	17	65	38
ENSG00000125149	162	165	166	106
ENSG00000125166	1169	1333	2577	1590
ENSG00000125170	18	18	33	17
ENSG00000125207	0	0	0	0
ENSG00000125245	41	45	0	0
ENSG00000125246	46	43	21	21
ENSG00000125247	177	201	74	45
ENSG00000125249	133	172	49	22
ENSG00000125255	0	0	0	0
ENSG00000125257	777	912	510	342
ENSG00000125266	78	62	361	251
ENSG00000125285	4	7	35	26
ENSG00000125304	1641	1995	1939	1168
ENSG00000125319	137	126	183	87
ENSG00000125337	0	3	2	0
ENSG00000125347	30	37	70	26
ENSG00000125351	440	520	636	407
ENSG00000125352	217	238	125	86
ENSG00000125354	205	241	547	328
ENSG00000125355	8	9	18	14
ENSG00000125356	1086	1209	1065	638
ENSG00000125363	0	0	0	0
ENSG00000125375	88	108	169	112
ENSG00000125378	32	24	40	33
ENSG00000125384	1	4	8	7
ENSG00000125386	305	310	189	109
ENSG00000125388	30	32	9	2
ENSG00000125398	7	21	106	58
ENSG00000125409	2	3	3	3
ENSG00000125414	0	0	1	2
ENSG00000125430	27	16	17	9
ENSG00000125434	7	6	25	7
ENSG00000125445	770	824	1093	673
ENSG00000125447	215	217	241	148
ENSG00000125449	21	25	114	65
ENSG00000125450	891	1005	1125	610
ENSG00000125454	192	200	236	117
ENSG00000125457	55	62	121	95
ENSG00000125458	166	153	162	110
ENSG00000125459	130	133	22	16
ENSG00000125462	2	1	1	0
ENSG00000125482	448	487	329	226
ENSG00000125484	921	1063	886	527
ENSG00000125485	393	399	448	249
ENSG00000125492	2	5	0	0
ENSG00000125498	0	0	0	0
ENSG00000125503	213	254	74	50
ENSG00000125505	117	107	280	140
ENSG00000125508	0	0	0	0
ENSG00000125510	2	0	0	2
ENSG00000125520	73	91	162	96
ENSG00000125522	0	0	0	0
ENSG00000125531	0	0	0	0
