	SRR1795409_1	SRR1795425_1
ENSG00000007168	731	1107
ENSG00000007171	23	57
ENSG00000007174	3	0
ENSG00000007202	2699	501
ENSG00000007216	0	0
ENSG00000007237	9	13
ENSG00000007255	24	42
ENSG00000007264	111	32
ENSG00000007306	0	0
ENSG00000007312	0	0
ENSG00000007314	6	0
ENSG00000007341	163	205
ENSG00000007350	1	2
ENSG00000007372	120	136
ENSG00000007376	224	180
ENSG00000007384	25	55
ENSG00000007392	594	676
ENSG00000007402	74	75
ENSG00000007516	16	8
ENSG00000007520	295	245
ENSG00000007541	225	228
ENSG00000007545	226	134
ENSG00000007866	20	97
ENSG00000007908	0	0
ENSG00000007923	891	754
ENSG00000007933	16	0
ENSG00000007944	125	106
ENSG00000007952	0	0
ENSG00000007968	113	304
ENSG00000008018	1861	5035
ENSG00000008056	6	10
ENSG00000008083	434	332
ENSG00000008086	58	33
ENSG00000008118	0	7
ENSG00000008128	93	49
ENSG00000008130	454	276
ENSG00000008196	0	0
ENSG00000008197	0	0
ENSG00000008226	18	0
ENSG00000008256	89	76
ENSG00000008277	172	57
ENSG00000008282	218	1268
ENSG00000008283	16	45
ENSG00000008294	1976	1597
ENSG00000008300	446	24
ENSG00000008311	609	259
ENSG00000008323	2	0
ENSG00000008324	59	94
ENSG00000008382	69	51
ENSG00000008394	135	1106
ENSG00000008405	398	251
ENSG00000008438	8	0
ENSG00000008441	47	151
ENSG00000008513	29	11
ENSG00000008516	19	8
ENSG00000008517	1	9
ENSG00000008710	443	103
ENSG00000008735	109	314
ENSG00000008838	758	909
ENSG00000008853	43	35
ENSG00000008869	989	525
ENSG00000008952	573	523
ENSG00000008988	2436	1652
ENSG00000009307	11539	5405
ENSG00000009335	1757	931
ENSG00000009413	1870	267
ENSG00000009694	138	2
ENSG00000009709	0	1
ENSG00000009724	37	1
ENSG00000009765	0	0
ENSG00000009780	172	106
ENSG00000009790	9	0
ENSG00000009830	285	63
ENSG00000009844	384	1011
ENSG00000009950	30	32
ENSG00000009954	2906	1687
ENSG00000010017	570	1155
ENSG00000010030	0	0
ENSG00000010072	722	405
ENSG00000010165	637	542
ENSG00000010219	113	172
ENSG00000010244	1499	2544
ENSG00000010256	2063	1994
ENSG00000010270	288	128
ENSG00000010278	100	1218
ENSG00000010282	0	0
ENSG00000010292	2566	3511
ENSG00000010295	148	168
ENSG00000010310	3	0
ENSG00000010318	33	2
ENSG00000010319	34	14
ENSG00000010322	867	522
ENSG00000010327	10	0
ENSG00000010361	196	174
ENSG00000010379	1	0
ENSG00000010404	110	23
ENSG00000010438	0	0
ENSG00000010539	100	181
ENSG00000010610	4	0
ENSG00000010626	23	8
ENSG00000010671	6	14
ENSG00000010704	3	12
ENSG00000010803	246	67
ENSG00000010810	520	329
ENSG00000010818	220	157
ENSG00000010932	0	1
ENSG00000011007	1102	916
ENSG00000011009	161	309
ENSG00000011021	142	53
ENSG00000011028	65	125
ENSG00000011052	128	1170
ENSG00000011083	0	0
ENSG00000011105	27	174
ENSG00000011114	452	156
ENSG00000011132	69	53
ENSG00000011143	202	323
ENSG00000011198	226	117
ENSG00000011201	0	3
ENSG00000011243	605	626
ENSG00000011258	343	185
ENSG00000011260	1265	1436
ENSG00000011275	695	314
ENSG00000011295	371	254
ENSG00000011304	2144	5184
ENSG00000011332	61	139
ENSG00000011347	8	7
ENSG00000011376	1262	306
ENSG00000011405	1750	826
ENSG00000011422	28	87
ENSG00000011426	1762	1590
ENSG00000011451	258	380
ENSG00000011454	723	568
ENSG00000011465	0	3
ENSG00000011478	85	105
ENSG00000011485	949	1405
ENSG00000011523	211	148
ENSG00000011566	389	218
ENSG00000011590	5	0
ENSG00000011600	0	0
ENSG00000011638	10	29
ENSG00000011677	8	0
ENSG00000012048	1722	729
ENSG00000012061	219	262
ENSG00000012124	1	0
ENSG00000012171	7	0
ENSG00000012174	177	594
ENSG00000012211	50	81
ENSG00000012223	0	0
ENSG00000012232	222	187
ENSG00000012504	0	1
ENSG00000012660	446	1565
ENSG00000012779	1	18
ENSG00000012817	3	2
ENSG00000012822	172	233
ENSG00000012963	381	807
ENSG00000012983	547	327
ENSG00000013016	74	59
ENSG00000013275	892	3719
ENSG00000013288	138	99
ENSG00000013293	0	0
ENSG00000013297	0	0
ENSG00000013306	799	488
ENSG00000013364	9	43
ENSG00000013374	584	1386
ENSG00000013375	557	1356
ENSG00000013392	51	130
ENSG00000013441	683	232
ENSG00000013503	692	607
ENSG00000013523	323	175
ENSG00000013561	442	350
ENSG00000013563	130	40
ENSG00000013573	515	149
ENSG00000013583	60	285
ENSG00000013588	7	321
ENSG00000013619	14	29
ENSG00000013725	1	0
ENSG00000013810	1178	1744
ENSG00000014123	489	446
ENSG00000014138	45	44
ENSG00000014164	129	206
ENSG00000014216	217	892
ENSG00000014257	1	24
ENSG00000014641	1872	2607
ENSG00000014824	1011	439
ENSG00000014914	11	4
ENSG00000014919	308	586
ENSG00000015133	163	206
ENSG00000015153	83	226
ENSG00000015171	332	331
ENSG00000015285	2	2
ENSG00000015413	4	3
ENSG00000015475	173	551
ENSG00000015479	0	0
ENSG00000015520	3	5
ENSG00000015532	174	158
ENSG00000015568	3	0
ENSG00000015592	0	0
ENSG00000015676	271	438
ENSG00000016082	45	22
ENSG00000016391	141	112
ENSG00000016402	0	23
ENSG00000016490	0	0
ENSG00000016602	1	0
ENSG00000016864	367	137
ENSG00000017260	897	693
ENSG00000017427	0	0
ENSG00000017483	1	0
ENSG00000017797	470	198
ENSG00000018189	290	196
ENSG00000018236	127	200
ENSG00000018280	0	1
ENSG00000018408	39	371
ENSG00000018510	996	1281
ENSG00000018610	340	239
ENSG00000018625	0	1
ENSG00000018699	678	476
ENSG00000018869	30	26
ENSG00000019102	5	0
ENSG00000019144	98	164
ENSG00000019169	0	0
ENSG00000019186	0	22
ENSG00000019485	49	12
ENSG00000019505	0	1
ENSG00000019549	81	4
ENSG00000019582	4	2
ENSG00000019991	0	13
ENSG00000019995	638	258
ENSG00000020129	326	607
ENSG00000020181	40	12
ENSG00000020256	157	171
ENSG00000020426	525	525
ENSG00000020577	50	41
ENSG00000020633	13	67
ENSG00000020922	881	760
ENSG00000021300	13	12
ENSG00000021355	104	374
ENSG00000021461	4	0
ENSG00000021488	1	0
ENSG00000021574	320	236
ENSG00000021645	78	59
ENSG00000021762	59	60
ENSG00000021776	957	994
ENSG00000021826	698	89
ENSG00000021852	0	1
ENSG00000022267	379	1547
ENSG00000022277	632	1139
ENSG00000022355	0	0
ENSG00000022556	1	0
ENSG00000022567	56	22
ENSG00000022840	1007	374
ENSG00000022976	209	101
ENSG00000023041	424	105
ENSG00000023171	37	49
ENSG00000023191	529	1100
ENSG00000023228	1711	3270
ENSG00000023287	1717	436
ENSG00000023318	423	898
ENSG00000023330	531	496
ENSG00000023445	4	1
ENSG00000023516	1578	872
ENSG00000023572	166	144
ENSG00000023608	144	268
ENSG00000023697	180	427
ENSG00000023734	1457	2846
ENSG00000023839	36	5
ENSG00000023892	24	4
ENSG00000023902	150	80
ENSG00000023909	310	561
ENSG00000024048	1063	950
ENSG00000024422	12	6
ENSG00000024526	1198	535
ENSG00000024862	143	240
ENSG00000025039	217	152
ENSG00000025156	587	694
ENSG00000025293	447	182
ENSG00000025423	33	34
ENSG00000025434	38	40
ENSG00000025708	32	14
ENSG00000025770	872	560
ENSG00000025772	466	882
ENSG00000025796	646	1441
ENSG00000025800	1094	1561
ENSG00000026025	4681	12205
ENSG00000026036	1	0
ENSG00000026103	40	147
ENSG00000026297	121	109
ENSG00000026508	2	189
ENSG00000026559	62	46
ENSG00000026652	154	130
ENSG00000026751	0	0
ENSG00000026950	29	11
ENSG00000027001	322	346
ENSG00000027075	45	125
ENSG00000027644	5	1
ENSG00000027697	509	395
ENSG00000027847	105	77
ENSG00000027869	24	1
ENSG00000028116	517	222
ENSG00000028137	0	0
ENSG00000028203	683	499
ENSG00000028277	1	1
ENSG00000028310	457	252
ENSG00000028528	426	720
ENSG00000028839	138	185
ENSG00000029153	398	64
ENSG00000029363	2468	1051
ENSG00000029364	231	194
ENSG00000029534	121	46
ENSG00000029559	0	0
ENSG00000029639	297	143
ENSG00000029725	1195	709
ENSG00000029993	959	407
ENSG00000030066	2465	1638
ENSG00000030110	106	149
ENSG00000030304	2	0
ENSG00000030419	17	14
ENSG00000030582	506	1235
ENSG00000031003	622	61
ENSG00000031081	58	47
ENSG00000031691	160	304
ENSG00000031698	1933	1959
ENSG00000031823	473	903
ENSG00000032219	272	149
ENSG00000032389	256	191
ENSG00000032444	202	172
ENSG00000032742	105	198
ENSG00000033011	191	157
ENSG00000033030	250	156
ENSG00000033050	6	14
ENSG00000033100	222	147
ENSG00000033122	1	3
ENSG00000033170	294	104
ENSG00000033178	1229	1280
ENSG00000033327	32	57
ENSG00000033627	690	650
ENSG00000033800	305	449
ENSG00000033867	779	485
ENSG00000034053	253	173
ENSG00000034152	183	173
ENSG00000034239	0	3
ENSG00000034510	612	1208
ENSG00000034533	203	119
ENSG00000034677	309	114
ENSG00000034693	459	551
ENSG00000034713	302	738
ENSG00000034971	0	0
ENSG00000035115	22	14
ENSG00000035141	207	398
ENSG00000035403	1393	2039
ENSG00000035499	439	334
ENSG00000035664	4	18
ENSG00000035681	408	108
ENSG00000035687	1275	824
ENSG00000035720	3	1
ENSG00000035862	35	160
ENSG00000035928	1349	922
ENSG00000036054	526	473
ENSG00000036257	1414	1914
ENSG00000036448	44	77
ENSG00000036473	0	0
ENSG00000036530	2	7
ENSG00000036549	1815	248
ENSG00000036565	0	0
ENSG00000036672	43	58
ENSG00000036828	0	0
ENSG00000037042	16	31
ENSG00000037241	273	442
ENSG00000037280	247	225
ENSG00000037474	1622	2110
ENSG00000037637	320	266
ENSG00000037749	281	291
ENSG00000037757	411	408
ENSG00000037897	95	168
ENSG00000037965	20	52
ENSG00000038002	120	192
ENSG00000038210	21	22
ENSG00000038219	1648	779
ENSG00000038274	437	935
ENSG00000038295	34	2
ENSG00000038358	1039	1201
ENSG00000038382	1465	504
ENSG00000038427	1272	1170
ENSG00000038532	260	87
ENSG00000038945	0	0
ENSG00000039068	13	65
ENSG00000039123	2204	1938
ENSG00000039139	5	2
ENSG00000039319	1058	747
ENSG00000039523	134	349
ENSG00000039537	0	0
ENSG00000039560	612	1191
ENSG00000039600	2	0
ENSG00000039650	200	144
ENSG00000039987	0	0
ENSG00000040199	389	140
ENSG00000040275	1173	1058
ENSG00000040341	286	329
ENSG00000040487	43	140
ENSG00000040531	99	106
ENSG00000040608	13	55
ENSG00000040633	299	348
ENSG00000040731	7	0
ENSG00000040933	412	177
ENSG00000041353	2	21
ENSG00000041357	2623	3739
ENSG00000041515	0	0
ENSG00000041802	563	512
ENSG00000041880	56	7
ENSG00000041982	6	154
ENSG00000041988	89	150
ENSG00000042062	6	0
ENSG00000042088	468	330
ENSG00000042286	38	360
ENSG00000042304	0	0
ENSG00000042317	107	61
ENSG00000042429	3	23
ENSG00000042445	216	218
ENSG00000042493	26	18
ENSG00000042753	635	1178
ENSG00000042781	1	0
ENSG00000042813	0	0
ENSG00000042832	0	1
ENSG00000042980	0	0
ENSG00000043039	7	122
ENSG00000043093	169	327
ENSG00000043143	53	84
ENSG00000043355	207	730
ENSG00000043462	0	0
ENSG00000043514	260	232
ENSG00000043591	0	2
ENSG00000044012	0	0
ENSG00000044090	339	401
ENSG00000044115	1581	4152
ENSG00000044446	440	354
ENSG00000044459	265	219
ENSG00000044524	185	154
ENSG00000044574	2542	4202
ENSG00000046604	888	1325
ENSG00000046647	54	201
ENSG00000046651	480	137
ENSG00000046653	83	262
ENSG00000046774	0	0
ENSG00000046889	63	78
ENSG00000047056	146	157
ENSG00000047188	1449	1485
ENSG00000047230	407	359
ENSG00000047249	528	788
ENSG00000047315	3565	3086
ENSG00000047346	138	138
ENSG00000047365	182	106
ENSG00000047410	9204	3103
ENSG00000047457	7	0
ENSG00000047578	226	245
ENSG00000047579	158	456
ENSG00000047597	22	52
ENSG00000047617	0	0
ENSG00000047621	341	546
ENSG00000047634	404	1170
ENSG00000047644	0	1
ENSG00000047648	0	1
ENSG00000047662	50	43
ENSG00000047849	1428	2021
ENSG00000047932	349	319
ENSG00000047936	1	0
ENSG00000048028	723	325
ENSG00000048052	10	13
ENSG00000048140	113	39
ENSG00000048162	601	581
ENSG00000048342	192	98
ENSG00000048392	173	295
ENSG00000048405	373	320
ENSG00000048462	1	0
ENSG00000048471	122	22
ENSG00000048540	0	1
ENSG00000048544	293	764
ENSG00000048545	1	0
ENSG00000048649	921	579
ENSG00000048707	1790	516
ENSG00000048740	60	451
ENSG00000048828	1387	711
ENSG00000048991	458	150
ENSG00000049089	11	73
ENSG00000049130	68	92
ENSG00000049167	230	89
ENSG00000049192	35	4
ENSG00000049239	83	103
ENSG00000049245	126	395
ENSG00000049246	29	13
ENSG00000049247	1	0
ENSG00000049249	1	1
ENSG00000049283	6	2
ENSG00000049323	393	422
ENSG00000049449	45	54
ENSG00000049540	2	0
ENSG00000049541	694	993
ENSG00000049618	738	444
ENSG00000049656	1032	734
ENSG00000049759	120	291
ENSG00000049768	3	0
ENSG00000049769	25	30
ENSG00000049860	643	627
ENSG00000049883	74	105
ENSG00000050030	18	0
ENSG00000050130	215	283
ENSG00000050165	5	12
ENSG00000050327	0	15
ENSG00000050344	264	143
ENSG00000050393	328	310
ENSG00000050405	311	974
ENSG00000050426	199	288
ENSG00000050438	27	17
ENSG00000050555	23	95
ENSG00000050628	0	0
ENSG00000050730	0	0
ENSG00000050748	411	423
ENSG00000050767	2	8
ENSG00000050820	196	259
ENSG00000051009	199	81
ENSG00000051108	218	272
ENSG00000051128	23	42
ENSG00000051180	142	267
ENSG00000051341	1964	326
ENSG00000051382	371	176
ENSG00000051523	349	932
ENSG00000051596	120	122
ENSG00000051620	522	604
ENSG00000051825	1516	316
ENSG00000052126	285	291
ENSG00000052344	4	4
ENSG00000052723	336	351
ENSG00000052749	868	996
ENSG00000052795	398	155
ENSG00000052802	319	649
ENSG00000052841	639	246
ENSG00000052850	27	41
ENSG00000053108	8	66
ENSG00000053254	128	49
ENSG00000053328	5	17
ENSG00000053371	284	584
ENSG00000053372	648	883
ENSG00000053438	3	2
ENSG00000053501	70	132
ENSG00000053524	10	4
ENSG00000053702	20	0
ENSG00000053747	482	132
ENSG00000053770	317	170
ENSG00000053900	494	478
ENSG00000053918	12	8
ENSG00000054116	306	674
ENSG00000054118	2458	1879
ENSG00000054148	203	763
ENSG00000054179	1	3
ENSG00000054219	0	0
ENSG00000054267	1217	499
ENSG00000054277	39	42
ENSG00000054282	323	114
ENSG00000054356	0	0
ENSG00000054392	27	32
ENSG00000054523	942	906
ENSG00000054598	320	1040
ENSG00000054611	131	182
ENSG00000054654	2730	574
ENSG00000054690	195	69
ENSG00000054793	308	330
ENSG00000054796	0	0
ENSG00000054803	0	0
ENSG00000054938	1	2
ENSG00000054965	37	254
ENSG00000054967	98	52
ENSG00000054983	29	50
ENSG00000055044	2756	1555
ENSG00000055070	171	237
ENSG00000055118	4	42
ENSG00000055130	1336	1302
ENSG00000055147	250	285
ENSG00000055163	678	1374
ENSG00000055208	258	392
ENSG00000055211	307	343
ENSG00000055332	543	977
ENSG00000055483	528	332
ENSG00000055609	1983	525
ENSG00000055732	156	246
ENSG00000055813	1	2
ENSG00000055917	1070	661
ENSG00000055950	117	863
ENSG00000055955	48	1
ENSG00000055957	1	0
ENSG00000056050	324	265
ENSG00000056097	1850	2338
ENSG00000056277	368	249
ENSG00000056291	5	1
ENSG00000056487	18	11
ENSG00000056558	7	3
ENSG00000056586	1114	212
ENSG00000056736	177	59
ENSG00000056972	74	100
ENSG00000056998	74	0
ENSG00000057019	427	184
ENSG00000057149	0	0
ENSG00000057252	485	601
ENSG00000057294	158	482
ENSG00000057468	28	0
ENSG00000057593	0	0
ENSG00000057608	2017	4110
ENSG00000057657	1	6
ENSG00000057663	323	372
ENSG00000057704	23	74
ENSG00000057757	222	587
ENSG00000057935	247	643
ENSG00000058056	319	458
ENSG00000058063	506	382
ENSG00000058085	8	3
ENSG00000058091	140	99
ENSG00000058262	1038	2269
ENSG00000058272	955	1320
ENSG00000058335	2	0
ENSG00000058404	17	54
ENSG00000058453	128	83
ENSG00000058600	820	290
ENSG00000058668	497	97
ENSG00000058673	1070	229
ENSG00000058729	501	659
ENSG00000058799	123	207
ENSG00000058804	994	1092
ENSG00000058866	0	5
ENSG00000059122	239	141
ENSG00000059145	17	22
ENSG00000059377	3	8
ENSG00000059378	0	170
ENSG00000059573	2416	1278
ENSG00000059588	1957	490
ENSG00000059691	293	255
ENSG00000059728	27	77
ENSG00000059758	212	380
ENSG00000059769	85	19
ENSG00000059804	6	141
ENSG00000059915	7	3
ENSG00000060069	192	228
ENSG00000060138	1357	2046
ENSG00000060140	6	24
ENSG00000060237	2299	1961
ENSG00000060339	2157	1558
ENSG00000060491	315	339
ENSG00000060558	1	0
ENSG00000060566	0	0
ENSG00000060642	38	26
ENSG00000060656	541	177
ENSG00000060688	1313	1363
ENSG00000060709	0	0
ENSG00000060718	0	0
ENSG00000060749	2002	610
ENSG00000060762	235	328
ENSG00000060971	236	321
ENSG00000060982	420	1125
ENSG00000061273	71	151
ENSG00000061337	3	5
ENSG00000061455	41	93
ENSG00000061492	0	2
ENSG00000061656	25	4
ENSG00000061676	2505	2276
ENSG00000061794	616	1483
ENSG00000061918	91	358
ENSG00000061936	674	639
ENSG00000061938	132	59
ENSG00000061987	1135	1186
ENSG00000062038	4	95
ENSG00000062096	0	0
ENSG00000062194	885	253
ENSG00000062282	11	9
ENSG00000062370	64	31
ENSG00000062485	1337	2759
ENSG00000062524	14	15
ENSG00000062582	552	713
ENSG00000062598	275	292
ENSG00000062650	1833	1150
ENSG00000062716	427	805
ENSG00000062725	487	572
ENSG00000062822	922	559
ENSG00000063015	7	3
ENSG00000063046	3563	841
ENSG00000063127	16	0
ENSG00000063169	48	61
ENSG00000063176	81	60
ENSG00000063177	7279	5563
ENSG00000063180	29	17
ENSG00000063241	217	307
ENSG00000063244	1924	3371
ENSG00000063245	348	527
ENSG00000063322	69	791
ENSG00000063438	0	0
ENSG00000063515	0	1
ENSG00000063587	141	120
ENSG00000063601	672	472
ENSG00000063660	66	114
ENSG00000063761	93	67
ENSG00000063854	229	374
ENSG00000064012	90	447
ENSG00000064042	75	83
ENSG00000064102	949	695
ENSG00000064115	391	360
ENSG00000064195	0	6
ENSG00000064199	65	117
ENSG00000064201	1	0
ENSG00000064205	2	1
ENSG00000064218	0	73
ENSG00000064225	58	37
ENSG00000064270	10	0
ENSG00000064300	1	4
ENSG00000064309	337	134
ENSG00000064313	1284	587
ENSG00000064393	217	176
ENSG00000064419	1273	1218
ENSG00000064489	0	0
ENSG00000064490	237	162
ENSG00000064545	338	450
ENSG00000064547	8	12
ENSG00000064601	321	609
ENSG00000064607	1219	607
ENSG00000064651	784	1170
ENSG00000064652	41	80
ENSG00000064655	25	136
ENSG00000064666	103	575
ENSG00000064687	148	65
ENSG00000064692	4	38
ENSG00000064703	961	934
ENSG00000064726	782	557
ENSG00000064763	217	397
ENSG00000064787	1	0
ENSG00000064835	1	0
ENSG00000064886	0	0
ENSG00000064932	205	137
ENSG00000064933	529	364
ENSG00000064961	365	130
ENSG00000064989	9	2
ENSG00000064995	335	359
ENSG00000064999	296	344
ENSG00000065000	1303	1670
ENSG00000065029	203	123
ENSG00000065054	57	112
ENSG00000065057	346	272
ENSG00000065060	461	301
ENSG00000065135	772	1731
ENSG00000065150	6375	4973
ENSG00000065154	1879	3729
ENSG00000065183	2246	1868
ENSG00000065243	1391	1257
ENSG00000065268	341	1101
ENSG00000065308	72	137
ENSG00000065320	48	210
ENSG00000065325	0	0
ENSG00000065328	1350	1020
ENSG00000065357	37	45
ENSG00000065361	16	21
ENSG00000065371	1	0
ENSG00000065413	54	53
ENSG00000065427	2177	1840
ENSG00000065457	248	88
ENSG00000065485	210	90
ENSG00000065491	125	108
ENSG00000065518	479	876
ENSG00000065526	10882	2178
ENSG00000065534	79	29
ENSG00000065548	1630	1057
ENSG00000065559	245	144
ENSG00000065600	235	117
ENSG00000065609	15	76
ENSG00000065613	1902	1637
ENSG00000065615	332	316
ENSG00000065618	7	3
ENSG00000065621	11	29
ENSG00000065665	195	265
ENSG00000065675	52	119
ENSG00000065717	12	17
ENSG00000065802	83	89
ENSG00000065809	59	198
ENSG00000065833	338	1579
ENSG00000065882	221	279
ENSG00000065883	1040	359
ENSG00000065911	1362	933
ENSG00000065923	143	205
ENSG00000065970	54	60
ENSG00000065978	4899	1417
ENSG00000065989	33	37
ENSG00000066027	400	141
ENSG00000066032	0	0
ENSG00000066044	722	2590
ENSG00000066056	1	0
ENSG00000066084	873	710
ENSG00000066117	728	886
ENSG00000066135	861	648
ENSG00000066136	271	707
ENSG00000066185	1	0
ENSG00000066230	37	12
ENSG00000066248	29	115
ENSG00000066279	5991	1617
ENSG00000066294	0	0
ENSG00000066322	157	585
ENSG00000066336	0	3
ENSG00000066379	182	269
ENSG00000066382	10	15
ENSG00000066405	12	0
ENSG00000066422	1014	463
ENSG00000066427	135	314
ENSG00000066455	417	435
ENSG00000066468	249	123
ENSG00000066557	833	1047
ENSG00000066583	236	603
ENSG00000066629	257	387
ENSG00000066651	681	363
ENSG00000066654	332	201
ENSG00000066697	148	68
ENSG00000066735	246	160
ENSG00000066739	893	737
ENSG00000066777	894	527
ENSG00000066813	0	0
ENSG00000066827	212	92
ENSG00000066855	340	191
ENSG00000066923	33	3
ENSG00000066926	306	541
ENSG00000066933	1371	281
ENSG00000067048	0	12
ENSG00000067057	574	3787
ENSG00000067064	554	949
ENSG00000067066	0	1
ENSG00000067082	63	121
ENSG00000067113	65	90
ENSG00000067141	553	741
ENSG00000067167	922	894
ENSG00000067177	704	600
ENSG00000067182	101	254
ENSG00000067191	11	11
ENSG00000067208	524	255
ENSG00000067221	51	53
ENSG00000067225	7806	13816
ENSG00000067248	1086	639
ENSG00000067334	1972	873
ENSG00000067365	107	20
ENSG00000067369	1404	1180
ENSG00000067445	281	239
ENSG00000067533	788	465
ENSG00000067560	2669	2711
ENSG00000067596	1299	1128
ENSG00000067606	171	154
ENSG00000067646	1	0
ENSG00000067704	3314	843
ENSG00000067715	43	84
ENSG00000067798	0	21
ENSG00000067829	431	792
ENSG00000067836	43	43
ENSG00000067840	35	25
ENSG00000067842	8	34
ENSG00000067900	1017	546
ENSG00000067955	243	485
ENSG00000067992	233	570
ENSG00000068001	321	82
ENSG00000068024	83	109
ENSG00000068028	79	85
ENSG00000068078	320	126
ENSG00000068079	11	16
ENSG00000068097	500	464
ENSG00000068120	363	385
ENSG00000068137	72	52
ENSG00000068305	215	199
ENSG00000068308	354	658
ENSG00000068323	85	191
ENSG00000068354	81	84
ENSG00000068366	605	1212
ENSG00000068383	171	65
ENSG00000068394	345	364
ENSG00000068400	399	337
ENSG00000068438	227	243
ENSG00000068489	140	387
ENSG00000068615	24	72
ENSG00000068650	233	170
ENSG00000068654	1501	861
ENSG00000068697	320	1371
ENSG00000068724	84	39
ENSG00000068745	568	401
ENSG00000068781	0	0
ENSG00000068784	783	394
ENSG00000068796	775	824
ENSG00000068831	1	13
ENSG00000068878	2162	1093
ENSG00000068885	93	31
ENSG00000068903	230	473
ENSG00000068912	304	247
ENSG00000068971	64	24
