	ribo_untr_a	ribo_untr_b	ribo_tm_a	ribo_tm_b	untr_a_hek	untr_b_hek	tm_a_hek	tm_b_hek
ACSBG2	1	2	0	0	12	15	16	16
ACSF2	191	187	88	46	147	121	136	151
ACSF3	325	406	174	100	419	384	310	393
ACSL1	963	1002	485	314	483	470	370	451
ACSL3	3216	3675	1678	1066	2675	2485	1940	2420
ACSL4	1993	2172	918	597	1299	1240	906	1168
ACSM3	62	51	25	23	176	151	110	144
ACSS1	316	404	185	112	223	228	132	191
ACSS2	159	223	80	47	284	244	224	246
ACSS3	189	211	80	72	59	62	39	51
ACTA2	452	774	287	150	77	63	49	78
ACTB	30143	37370	19553	10313	17010	15507	13117	16690
ACTG1	21942	28818	12386	7413	18956	16596	17680	23533
ACTL6A	2020	2416	1074	709	1069	1031	936	1222
ACTN1	2048	2771	1194	706	1426	1215	882	1211
ACTN2	7	22	8	2	185	173	81	113
ACTN4	8942	11983	5169	3257	2358	2062	1502	2038
ACTR10	1331	1446	633	400	801	786	659	840
ACTR1A	2668	3481	1599	931	1795	1597	1345	1710
ACTR1B	230	304	111	69	523	460	333	469
ACTR2	1820	2290	1007	681	2391	2283	1353	1981
ACTR3	2662	3031	1486	980	2590	2446	2036	2611
ACTR3B	59	80	45	20	247	178	126	136
ACTR5	196	266	111	65	413	354	265	351
ACTR6	1402	1422	619	476	1024	1074	794	957
ACTR8	729	813	418	296	1758	1621	1248	1474
ACTRT3	44	32	37	19	59	75	45	53
ACVR1	162	165	84	50	130	75	61	79
ACVR1B	346	519	219	103	308	323	219	247
ACVR1C	23	29	14	14	32	36	32	31
ACVR2A	224	291	137	85	304	285	220	287
ACVR2B	93	129	62	20	496	437	301	412
ACY1	5	12	6	1	19	15	20	12
ACYP1	199	192	76	57	137	138	87	162
ACYP2	49	60	18	14	30	28	20	32
AD000864.1	31	26	13	4	43	28	20	18
ADA	296	294	112	64	200	179	125	166
ADAL	123	108	43	27	184	168	159	166
ADAM10	845	915	434	241	915	852	586	806
ADAM11	102	130	38	34	131	121	95	122
ADAM15	521	675	264	135	1002	826	813	950
ADAM17	263	363	146	91	896	861	604	765
ADAM19	42	50	10	5	50	67	44	51
ADAM22	103	101	41	19	384	334	249	351
ADAM23	177	218	81	32	286	270	182	278
ADAM32	0	0	0	1	21	31	13	20
ADAM8	3	2	1	1	35	31	21	28
ADAM9	804	884	406	186	1986	1936	1493	1941
ADAMTS1	4873	6376	2589	1451	840	753	640	839
ADAMTS10	15	10	6	2	11	12	11	16
ADAMTS13	21	8	4	8	161	110	80	71
ADAMTS15	61	76	27	17	47	22	17	22
ADAMTS17	33	59	29	11	253	233	125	188
ADAMTS19	138	183	66	44	210	196	116	159
ADAMTS2	75	86	44	18	46	27	27	35
ADAMTS20	52	49	32	21	303	247	177	247
ADAMTS3	135	164	73	36	259	275	216	253
ADAMTS6	9	5	7	4	68	68	60	48
ADAMTS7	12	19	7	5	50	43	23	45
ADAMTS9	32	35	12	9	298	280	145	235
ADAMTSL3	13	11	1	8	42	37	29	26
ADAMTSL4	9	6	5	1	40	40	28	25
ADAP1	14	24	3	2	61	61	46	62
ADAP2	49	48	17	20	83	77	59	64
ADAR	4166	4835	2453	1511	5990	5224	4035	5357
ADARB1	97	171	40	23	322	254	213	283
ADAT1	140	128	74	40	540	444	344	386
ADAT2	113	110	50	30	340	331	193	216
ADAT3	53	100	47	17	58	59	26	31
ADCK1	114	150	69	35	179	182	139	155
ADCK2	524	626	244	134	588	550	425	572
ADCK5	17	28	12	5	65	61	41	52
ADCY1	37	22	19	6	387	337	235	319
ADCY3	517	629	224	134	1172	1018	827	1075
ADCY6	419	573	219	112	385	323	226	262
ADCY7	73	63	32	18	102	82	67	69
ADCY9	298	364	136	70	613	558	316	442
ADCYAP1R1	12	20	4	3	25	25	33	27
ADD1	1650	2055	872	530	1359	1388	989	1280
ADD2	335	443	142	93	466	445	273	373
ADD3	1747	1975	771	559	1347	1188	1166	1478
ADGRA2	28	38	18	4	92	65	60	70
ADGRA3	172	199	122	47	1071	942	689	998
ADGRB2	54	48	29	13	278	238	170	223
ADGRB3	14	11	9	7	363	327	206	299
ADGRE5	1085	1296	567	263	92	57	34	49
ADGRG2	48	47	22	16	53	34	19	35
ADGRG6	392	394	191	137	103	107	87	99
ADGRL1	275	286	106	52	831	640	401	535
ADGRL2	852	978	446	275	2634	2274	1945	2562
ADGRL3	78	97	48	26	514	430	316	440
ADGRV1	546	607	397	216	3350	3094	2057	2834
ADH5	777	1104	520	267	1513	1451	1352	1555
ADI1	781	1157	534	326	1232	1224	787	1108
ADIPOR1	539	711	306	175	1565	1435	1198	1561
ADIPOR2	760	973	426	261	643	627	578	641
ADK	1289	1354	591	406	862	838	601	792
ADM	89	154	82	47	38	42	47	55
ADNP	2244	2565	1207	774	3213	2716	1574	2059
ADNP2	674	760	414	259	1418	1239	917	1150
ADO	228	323	126	75	161	182	164	183
ADORA2A	19	7	4	4	39	25	27	43
ADORA2B	101	91	53	26	157	127	143	157
ADPGK	548	699	336	219	964	814	701	805
ADPRHL1	23	24	19	10	51	45	35	35
ADPRHL2	524	671	279	174	524	496	389	467
ADPRM	50	62	32	27	102	88	97	108
ADRA2C	9	9	7	0	37	48	36	56
ADRM1	2823	4391	1645	1002	1490	1396	1232	1332
ADSL	2911	3178	1155	711	4044	3727	3416	4026
ADSS	1179	1589	624	374	2699	2808	1832	2513
ADSSL1	12	9	7	2	13	10	15	10
AEBP2	617	799	376	213	525	423	277	370
AEN	653	1044	474	294	655	598	546	643
AES	1235	1552	599	366	221	190	190	247
AFAP1	146	193	89	59	258	281	141	208
AFAP1L1	114	105	46	27	100	87	86	104
AFDN	1734	2128	953	599	4779	4358	2811	3638
AFF1	629	692	308	240	533	433	309	393
AFF3	204	236	100	78	139	112	80	106
AFF4	2218	2324	984	663	2175	1790	1309	1714
AFG1L	165	204	98	62	183	184	138	198
AFG3L2	1204	1445	614	400	2560	2396	1788	2111
AFMID	200	289	149	76	190	175	107	147
AFTPH	320	405	122	84	783	653	529	680
AGA	306	361	149	73	261	246	179	243
AGAP1	177	255	73	55	548	540	353	464
AGAP2	54	58	35	24	83	84	64	95
AGAP3	541	727	202	155	1002	795	715	826
AGAP5	1	1	1	0	35	24	17	19
AGAP6	1	3	2	1	121	84	89	107
AGAP9	2	3	3	0	152	140	71	107
AGBL3	21	20	18	4	72	77	51	56
AGBL5	268	317	97	72	1352	1067	1068	1309
AGER	5	3	3	0	62	55	35	39
AGFG1	1637	1837	889	570	1233	971	936	1231
AGFG2	121	172	85	48	99	74	62	86
AGGF1	59	71	27	25	181	175	141	163
AGK	799	1128	489	328	1124	965	774	979
AGL	1825	1892	909	570	2876	2459	1937	2505
AGMAT	2	2	2	1	58	47	33	46
AGO1	592	736	274	166	1137	982	641	851
AGO2	752	904	285	223	1084	864	647	857
AGO3	298	298	141	77	802	726	474	652
AGO4	116	113	50	40	306	272	216	246
AGPAT1	611	760	238	122	280	251	192	252
AGPAT2	536	694	356	181	141	128	116	150
AGPAT3	423	537	174	109	502	432	325	360
AGPAT4	210	256	126	74	322	304	210	290
AGPAT5	437	508	194	115	519	568	389	441
AGPS	1989	2308	1011	717	2016	2149	1524	1866
AGRN	1040	1668	571	280	701	570	320	409
AGTPBP1	882	1014	399	260	2798	2691	2024	2554
AGTRAP	356	534	198	134	125	109	139	145
AHCTF1	251	333	112	94	1773	1627	1234	1545
AHCY	3334	4735	1648	964	3649	3158	3399	4086
AHCYL1	1690	1831	796	523	1341	1192	960	1184
AHCYL2	304	383	190	101	287	286	192	224
AHDC1	179	241	85	67	107	55	29	42
AHI1	327	343	147	102	1206	1101	836	1048
AHNAK	832	903	509	354	1967	2065	1030	1436
AHNAK2	69	108	62	36	282	223	152	209
AHR	84	69	49	21	28	13	33	41
AHRR	5	8	2	0	24	19	16	13
AHSA1	2560	3163	1250	830	3617	3397	2873	3650
AIF1L	611	684	270	216	147	129	80	111
AIFM1	2245	2685	1288	729	2402	2322	1833	2289
AIFM2	558	730	338	212	84	95	52	65
AIG1	586	738	312	178	498	413	340	404
AIMP1	1055	1301	490	421	1217	1202	887	1138
AIMP2	1571	2052	783	520	1482	1373	1196	1343
AIP	887	1151	470	301	589	560	508	631
AJUBA	62	96	39	19	137	137	73	83
AK1	447	686	254	180	375	358	266	314
AK2	928	1049	482	304	1868	1957	1455	1702
AK3	478	461	193	144	293	266	209	255
AK4	117	146	52	23	73	87	35	52
AK5	38	34	11	9	21	22	14	21
AK6	519	571	293	205	767	718	534	698
AK7	20	16	9	8	38	37	26	35
AK8	29	37	17	12	26	29	15	37
AK9	80	87	41	26	88	96	63	64
AKAP1	556	768	380	217	2145	1964	1535	1894
AKAP10	264	262	116	78	961	796	576	833
AKAP11	1432	1811	741	525	3358	3155	1999	2490
AKAP12	2308	2397	1099	723	3951	3786	2691	3418
AKAP13	695	868	436	277	2868	2485	1694	2113
AKAP17A	246	374	162	112	464	446	298	405
AKAP5	58	67	21	13	133	119	83	113
AKAP6	24	38	16	16	165	134	84	132
AKAP7	80	86	30	32	131	152	77	95
AKAP8	613	803	417	264	941	920	614	810
AKAP8L	972	1311	672	454	1240	1159	958	1236
AKAP9	1294	1402	620	487	5027	4864	2611	4699
AKIP1	233	252	134	96	238	163	167	153
AKIRIN1	942	1154	522	310	400	348	277	333
AKIRIN2	886	1120	578	410	196	166	100	144
AKNA	52	43	28	14	46	43	25	39
AKR1A1	740	1199	443	265	776	648	610	654
AKR1B1	2544	2933	1518	886	1302	1194	1171	1319
AKR7A2	870	1218	475	301	603	545	513	525
AKR7A3	0	0	1	0	36	21	15	12
AKT1	604	822	269	137	1290	1120	974	1235
AKT1S1	268	391	160	89	153	140	102	152
AKT2	1110	1466	501	258	951	846	786	944
AKT3	238	258	103	69	1203	1065	785	1013
AKTIP	64	68	31	23	141	153	101	123
AL022238.4	0	0	0	0	17	24	14	12
AL022312.1	191	213	88	72	178	161	106	120
AL031777.3	3833	3568	3485	1587	50	69	53	74
AL034430.1	75	64	51	45	136	135	108	136
AL034430.2	260	323	179	128	213	196	118	213
AL035461.3	8	7	7	4	88	111	55	56
AL109811.3	2	2	0	1	65	58	53	82
AL109827.1	126	174	181	84	149	118	106	137
AL121753.1	31	103	12	8	111	104	121	107
AL121768.1	131	123	57	38	1124	1106	720	909
AL121900.2	180	238	103	78	120	117	95	139
AL133500.1	14	17	14	5	45	47	39	57
AL135905.2	576	794	593	416	30	38	29	46
AL136295.1	30	32	30	15	31	37	19	26
AL139011.2	74	87	70	30	75	65	56	89
AL139300.1	75	113	68	35	58	50	41	41
AL157935.2	0	0	0	1	11	11	16	14
AL162171.1	44	56	18	9	200	175	102	142
AL162231.1	5	10	1	0	28	23	20	17
AL358472.7	42	74	13	6	156	147	126	128
AL603832.3	140	158	99	50	34	28	15	29
ALAD	123	147	76	44	164	132	85	108
ALAS1	773	886	442	250	1120	1061	942	1176
ALCAM	724	818	379	180	1183	1035	925	1113
ALDH16A1	339	538	209	111	633	576	438	498
ALDH18A1	1995	2713	1495	975	4826	4327	3611	4339
ALDH1A2	1896	2392	934	583	1111	1072	843	1040
ALDH1A3	9	10	2	1	30	37	23	28
ALDH1B1	926	1103	471	285	1148	1080	829	1023
ALDH1L2	371	343	174	107	680	645	395	535
ALDH2	913	994	359	262	227	226	215	263
ALDH3A1	11	12	10	4	21	14	19	23
ALDH3A2	1084	1292	574	328	1828	1636	1231	1541
ALDH4A1	327	421	155	91	150	119	110	142
ALDH5A1	686	874	386	225	399	469	243	382
ALDH6A1	556	641	271	174	456	395	321	425
ALDH7A1	1179	1457	687	422	965	848	524	718
ALDH8A1	1	1	1	0	32	27	16	33
ALDH9A1	2496	2914	1365	852	1886	1736	1441	1872
ALDOA	2008	2341	1991	1043	838	724	685	999
ALDOC	52	66	29	25	53	43	58	57
ALG1	259	368	149	91	412	313	316	398
ALG10	217	264	124	49	205	163	180	231
ALG10B	111	166	70	51	99	73	90	132
ALG11	445	477	246	154	437	422	312	454
ALG12	283	415	189	116	372	302	232	307
ALG13	906	966	522	365	1787	1574	909	1224
ALG14	156	192	120	73	300	296	213	246
ALG1L	17	22	14	12	49	40	35	35
ALG2	280	372	181	110	365	356	277	393
ALG3	814	1031	449	236	269	225	180	269
ALG5	817	1074	523	305	802	747	635	797
ALG6	623	736	238	149	1249	1223	1105	1326
ALG8	1445	1706	834	425	1457	1258	1210	1570
ALKAL1	7	7	5	1	26	15	21	18
ALKBH1	310	330	164	133	302	219	244	299
ALKBH2	246	266	120	91	460	447	375	505
ALKBH3	247	229	110	50	457	385	368	414
ALKBH4	208	382	163	95	215	221	111	170
ALKBH5	510	735	283	160	2628	2428	1986	2546
ALKBH6	492	569	369	203	115	103	89	128
ALKBH7	247	323	100	71	167	145	118	137
ALKBH8	161	174	90	57	812	722	548	662
ALMS1	862	848	471	320	5479	4522	3418	4471
ALOX12	6	10	11	4	85	48	29	45
ALPK1	70	72	38	31	173	133	124	139
ALPL	16	13	7	7	21	19	17	38
ALS2	374	407	239	124	1127	930	757	975
ALX1	216	220	162	93	158	136	125	153
ALX3	2	0	0	0	74	62	47	50
ALX4	68	80	44	23	57	58	34	47
ALYREF	4989	5975	2564	1580	3068	3053	2045	2635
AMACR	218	239	117	83	150	145	133	142
AMBRA1	539	701	331	210	1024	889	685	895
AMD1	600	703	358	246	3164	2935	2353	2802
AMDHD2	122	143	72	42	113	103	95	131
AMER1	90	151	56	30	513	446	334	378
AMFR	1049	1201	476	273	1502	1293	1006	1331
AMH	39	58	25	10	163	156	80	80
AMIGO1	27	26	13	11	57	44	58	43
AMIGO3	2	1	2	0	133	108	90	131
AMMECR1	200	321	123	93	318	279	223	328
AMMECR1L	158	198	82	56	249	225	199	213
AMN1	153	112	64	46	102	86	77	102
AMOT	183	173	101	77	6733	5395	4381	6152
AMOTL1	884	1164	466	296	855	828	625	837
AMOTL2	212	369	140	95	124	109	90	115
AMPD2	561	676	298	192	729	641	514	675
AMPH	128	172	72	35	94	85	69	89
AMT	3	2	0	1	34	35	31	30
AMZ2	403	393	137	91	1060	927	827	1022
ANAPC1	343	345	188	140	1836	1638	1506	1768
ANAPC10	136	115	61	40	153	133	121	178
ANAPC11	727	926	366	231	490	483	335	433
ANAPC13	263	366	165	118	303	301	197	231
ANAPC15	140	190	91	42	260	272	235	309
ANAPC16	461	637	318	195	448	420	305	355
ANAPC2	525	839	374	210	595	555	397	477
ANAPC4	746	779	302	238	1075	994	773	970
ANAPC5	3174	3216	1695	1048	5384	4796	4295	5318
ANAPC7	2398	3195	1453	972	2171	1867	1600	1944
ANGEL1	286	379	201	124	713	573	449	505
ANGEL2	361	431	256	158	988	930	784	999
ANGPT2	3	2	1	3	50	42	24	36
ANGPTL1	4	0	2	0	38	18	12	32
ANGPTL3	0	0	0	0	75	62	23	36
ANGPTL4	0	0	0	0	26	21	20	10
ANGPTL7	0	1	0	0	61	38	21	25
ANK1	84	139	37	34	251	219	138	223
ANK2	552	557	243	179	794	704	571	694
ANK3	355	353	255	139	678	649	428	495
ANKAR	6	0	1	0	233	244	135	225
ANKEF1	128	117	67	42	270	241	170	216
ANKFY1	1483	1715	794	550	1650	1418	852	1064
ANKH	206	237	100	62	284	224	173	225
ANKHD1	16	24	16	5	41	38	19	30
ANKIB1	243	243	91	88	986	925	689	873
ANKLE1	4	0	1	2	37	18	12	19
ANKLE2	1316	1529	611	355	2472	2260	1651	2070
ANKMY1	22	21	18	9	199	157	138	146
ANKMY2	439	402	209	145	343	359	265	318
ANKRA2	88	87	48	34	134	118	105	147
ANKRD10	192	214	86	61	593	542	445	563
ANKRD11	576	714	309	210	2808	2417	1269	1707
ANKRD12	184	199	106	68	759	771	456	660
ANKRD13A	503	550	213	139	710	669	532	667
ANKRD13B	236	285	90	54	155	124	82	96
ANKRD13C	291	344	178	132	1426	1307	1019	1281
ANKRD13D	52	58	22	10	217	184	128	176
ANKRD16	85	125	52	33	123	122	107	113
ANKRD17	2889	3323	1877	1213	6696	5795	4141	5201
ANKRD18A	38	47	26	28	642	555	202	274
ANKRD18B	22	28	17	17	829	778	318	433
ANKRD20A4	0	1	0	1	18	17	19	11
ANKRD23	2	7	9	2	68	60	32	42
ANKRD24	4	2	4	5	24	21	10	13
ANKRD26	606	646	275	191	1573	1416	906	1316
ANKRD27	671	750	294	166	987	992	719	910
ANKRD28	961	1034	483	322	1687	1447	1038	1395
ANKRD31	24	19	16	11	63	57	31	61
ANKRD34B	22	18	8	12	20	18	11	20
ANKRD36	16	9	12	12	1646	1584	838	1209
ANKRD36B	16	14	8	3	511	531	290	415
ANKRD36C	15	20	16	12	1342	1271	731	937
ANKRD37	10	14	9	9	30	16	18	16
ANKRD39	152	217	106	42	110	112	92	109
ANKRD40	347	446	185	123	815	742	580	714
ANKRD42	86	99	43	17	71	68	57	77
ANKRD44	88	95	38	25	126	115	105	126
ANKRD46	394	492	192	159	352	310	301	361
ANKRD49	44	73	38	24	215	201	169	190
ANKRD50	421	483	242	158	1255	1118	706	1012
ANKRD52	1594	1998	896	523	1871	1478	702	858
ANKRD54	256	355	180	86	216	199	149	167
ANKRD6	88	71	50	30	208	167	144	206
ANKRD61	1	0	0	0	167	133	66	74
ANKRD7	13	13	13	5	29	31	26	35
ANKRD9	22	29	13	6	45	49	19	17
ANKS1A	551	720	350	233	609	473	329	456
ANKS1B	45	32	13	6	44	33	24	30
ANKS3	102	156	63	36	278	270	186	206
ANKS6	165	222	102	55	623	560	387	475
ANKZF1	322	401	187	148	534	451	327	425
ANLN	2526	2953	1573	1087	3838	3389	3054	3803
ANO10	327	379	151	92	733	652	440	605
ANO4	22	17	3	1	30	29	19	31
ANO5	429	464	248	168	599	559	474	554
ANO6	659	719	287	210	709	637	515	716
ANO8	79	89	39	30	118	109	72	107
ANP32A	1522	1942	729	473	2616	2661	2035	2721
ANP32B	1471	1985	729	485	1659	1675	750	857
ANP32E	2665	3374	1425	1048	1741	2022	1328	1691
ANTXR1	349	469	180	104	435	362	237	307
ANTXR2	199	231	79	60	103	105	72	78
ANXA1	861	1138	514	385	63	68	66	84
ANXA11	2121	2397	938	595	866	768	654	824
ANXA2	1309	1658	647	417	554	542	468	581
ANXA3	277	275	98	60	19	17	15	17
ANXA4	310	397	162	84	171	147	116	161
ANXA5	3669	4474	2013	1244	3223	3094	2648	3142
ANXA6	2985	3232	1389	836	2091	1828	1693	1967
ANXA7	2764	3073	1550	1011	1787	1467	1408	1659
ANXA9	17	12	7	5	26	29	11	19
AOC2	3	4	2	1	120	90	69	89
AP000812.5	1	8	5	0	54	41	40	57
AP001781.2	6	8	10	3	26	27	18	15
AP002495.2	29	39	21	12	50	58	50	53
AP002748.4	10	15	8	5	58	48	44	56
AP002956.1	152	216	87	47	174	142	128	138
AP1AR	158	149	94	50	584	603	467	530
AP1B1	3646	4300	1682	1126	2371	2103	1574	2118
AP1G1	1780	2097	1111	734	2310	2009	1317	1667
