	ribo_untr_a	ribo_untr_b	ribo_tm_a	ribo_tm_b
DYNC2H1	2398	2671	1182	867
DYNC2LI1	405	416	147	103
DYNLL1	1387	1766	713	486
DYNLL2	639	627	302	206
DYNLRB1	998	1142	470	302
DYNLT1	1182	1289	510	319
DYNLT3	197	196	79	48
DYRK1A	587	654	305	156
DYRK1B	365	475	212	117
DYRK2	273	358	172	99
DYRK3	251	278	123	71
DYRK4	286	312	189	124
DZANK1	55	62	30	23
DZIP1	209	167	106	73
DZIP1L	41	54	29	13
DZIP3	662	678	301	220
E2F1	235	232	85	59
E2F2	485	510	212	105
E2F3	517	628	270	200
E2F4	446	517	176	101
E2F5	280	346	128	88
E2F6	89	100	38	32
E2F7	599	795	290	193
E2F8	252	242	163	104
E4F1	336	433	205	131
EAF1	578	683	277	225
EAF2	80	73	31	22
EAPP	529	633	332	200
EARS2	632	770	386	216
EBAG9	150	169	87	56
EBF2	295	316	135	79
EBF3	361	461	191	143
EBF4	9	8	5	1
EBLN2	0	0	0	0
EBNA1BP2	2711	3625	1687	1046
EBP	565	796	339	184
EBPL	615	793	337	184
ECD	2055	2465	1084	764
ECE1	925	1187	503	278
ECEL1	46	80	23	12
ECH1	1808	1940	703	467
ECHDC1	1492	1751	917	673
ECHDC2	1	0	0	0
ECHS1	3127	3844	1528	984
ECI1	758	932	456	226
ECI2	1895	2026	894	598
ECM1	20	26	11	13
ECM2	0	1	0	0
ECPAS	2489	2804	1242	925
ECSIT	409	561	250	150
ECT2	2121	2208	1191	809
ECT2L	0	0	1	0
EDA	35	55	14	14
EDA2R	71	124	65	54
EDARADD	48	76	38	20
EDC3	1128	1341	664	476
EDC4	1881	2805	1297	745
EDDM13	0	0	1	0
EDEM1	134	135	78	44
EDEM2	98	127	56	30
EDEM3	336	396	185	113
EDF1	1879	3153	1255	846
EDIL3	766	768	332	168
EDNRA	114	156	56	42
EDRF1	1148	1436	513	382
EEA1	1465	1725	784	561
EED	520	690	313	168
EEF1A1	1462	3276	876	442
EEF1A2	2377	2639	903	583
EEF1AKMT1	222	279	130	76
EEF1AKMT2	58	86	48	29
EEF1AKMT4	44	52	22	11
EEF1AKNMT	852	1116	534	363
EEF1B2	402	605	193	105
EEF1D	953	1596	554	341
EEF1E1	448	487	186	112
EEF1G	2061	2496	821	479
EEF2	37217	53089	14291	9217
EEF2K	221	271	179	83
EEF2KMT	53	91	33	20
EEFSEC	384	530	248	139
EEPD1	93	101	47	30
EFCAB10	22	31	15	12
EFCAB11	144	157	53	48
EFCAB13	4	6	1	0
EFCAB14	263	248	130	66
EFCAB2	20	36	12	7
EFCAB6	25	20	9	4
EFCAB7	307	305	153	113
EFEMP2	0	0	1	0
EFHC1	200	227	98	79
EFHD1	305	404	137	125
EFHD2	406	546	172	116
EFL1	350	447	177	135
EFNA4	15	25	15	3
EFNA5	429	590	274	145
EFNB1	224	378	141	58
EFNB2	609	711	243	159
EFNB3	29	30	16	7
EFR3A	213	213	67	54
EFR3B	244	271	102	51
EFTUD2	5312	7284	3076	1798
EGFL7	314	426	180	101
EGFL8	9	13	11	3
EGFLAM	86	102	36	25
EGFR	261	266	109	65
EGLN1	432	567	229	130
EGLN2	220	289	126	75
EGLN3	161	186	91	38
EHBP1	388	372	183	139
EHBP1L1	64	75	16	11
EHD1	372	402	182	103
EHD3	80	99	39	21
EHD4	515	668	291	182
EHHADH	321	290	176	126
EHMT1	813	1020	445	301
EHMT2	992	1346	498	368
EI24	494	581	188	107
EID1	2017	2686	1266	710
EID2	970	1134	509	307
EID2B	119	114	62	46
EID3	1	5	3	0
EIF1	1407	1671	497	331
EIF1AD	248	253	132	74
EIF1AX	362	441	210	129
EIF1B	490	602	212	149
EIF2A	1414	1563	637	444
EIF2AK1	1312	1352	641	415
EIF2AK2	1551	1722	647	444
EIF2AK3	117	126	47	31
EIF2AK4	789	844	348	207
EIF2B1	1511	1864	888	532
EIF2B2	750	878	410	247
EIF2B3	1540	1708	830	509
EIF2B4	657	829	400	236
EIF2B5	656	977	449	276
EIF2D	486	550	227	165
EIF2S1	3012	3591	1534	1056
EIF2S2	608	670	375	233
EIF2S3	5030	5091	1748	1148
EIF3A	8339	11289	4433	3064
EIF3B	6790	8209	3402	2159
EIF3C	14	41	6	3
EIF3D	8166	9674	4415	2895
EIF3E	5601	6343	2841	1868
EIF3F	753	931	326	210
EIF3G	4398	5939	2236	1440
EIF3H	3050	3767	1349	935
EIF3I	8663	9487	3941	2691
EIF3J	955	1256	487	305
EIF3K	7571	8323	3240	2089
EIF3L	3054	4060	1350	800
EIF3M	5325	6369	2470	1609
EIF4A1	5512	6784	3161	1698
EIF4A2	1228	1444	508	325
EIF4A3	3043	3806	1792	1253
EIF4B	453	687	261	150
EIF4E	91	169	69	45
EIF4E2	692	1081	507	342
EIF4E3	86	115	37	27
EIF4EBP1	863	996	467	308
EIF4EBP2	237	354	66	63
EIF4ENIF1	518	672	312	174
EIF4G1	13153	16617	8707	5589
EIF4G2	5748	6581	4365	2607
EIF4G3	3379	4069	1656	1118
EIF4H	772	961	449	213
EIF5	2174	2293	1386	911
EIF5A	5711	7860	4464	2859
EIF5A2	121	147	60	37
EIF5B	3256	3984	2015	1345
EIF6	1651	2184	1197	689
EIPR1	289	350	177	116
ELAC1	48	80	35	28
ELAC2	1671	2026	1135	688
ELAVL1	4043	4569	1983	1273
ELAVL2	281	328	132	92
ELF1	703	811	466	329
ELF2	329	415	191	108
ELF4	425	461	180	112
ELK1	184	229	94	55
ELK3	121	86	36	31
ELK4	105	118	61	37
ELL	244	325	147	91
ELL2	171	168	69	66
ELL3	282	237	105	61
ELMO1	54	79	32	21
ELMO2	438	559	300	166
ELMO3	6	2	1	2
ELMOD1	19	20	5	7
ELMOD2	577	710	297	204
ELMOD3	18	25	17	8
ELMSAN1	259	312	165	78
ELOA	1514	1755	931	602
ELOB	2792	3476	1760	1166
ELOC	647	994	452	220
ELOF1	604	956	454	258
ELOVL1	951	1218	523	297
ELOVL2	296	357	128	86
ELOVL4	864	1003	448	317
ELOVL5	2383	2908	1093	737
ELOVL6	414	571	227	141
ELOVL7	256	271	112	85
ELP1	2117	2437	1204	805
ELP2	1432	1661	642	466
ELP3	1192	1453	720	517
ELP4	376	389	210	140
ELP5	759	929	439	279
ELP6	472	602	327	223
EMB	239	239	143	81
EMC1	2277	2848	1174	694
EMC10	627	1097	457	229
EMC2	764	708	352	237
EMC3	1217	1451	689	440
EMC4	987	1280	622	396
EMC6	254	339	146	74
EMC7	762	979	432	216
EMC8	583	810	383	200
EMC9	118	136	81	46
EMD	1340	1711	693	442
EME1	262	326	171	81
EME2	26	30	22	15
EMG1	892	1178	506	280
EMID1	27	41	12	14
EMILIN1	10	5	3	2
EMILIN2	163	143	79	48
EMILIN3	354	444	171	95
EML1	622	675	318	203
EML2	254	278	98	67
EML3	141	143	49	30
EML4	1335	1627	629	438
EML6	22	15	15	5
EMP2	184	228	90	57
EMP3	287	303	131	89
EMSY	271	307	201	105
EMX1	26	45	21	10
EN2	177	218	78	40
ENAH	1929	2184	856	565
ENC1	405	538	260	149
ENDOD1	184	227	103	68
ENDOG	479	691	299	160
ENDOV	48	59	35	16
ENGASE	97	154	66	43
ENHO	6	12	3	2
ENKD1	63	80	33	20
ENO1	49757	62474	26700	16960
ENO2	737	947	348	194
ENO3	12	13	11	3
ENO4	35	28	27	17
ENOPH1	604	813	282	195
ENOSF1	247	304	112	79
ENOX1	71	74	33	9
ENOX2	150	158	92	61
ENPEP	365	353	191	104
ENPP1	450	531	218	118
ENPP4	482	504	204	155
ENPP5	119	136	24	22
ENSA	639	1002	596	345
ENTPD1	25	19	13	8
ENTPD4	127	195	56	29
ENTPD5	31	32	18	4
ENTPD6	308	389	176	112
ENTPD7	286	312	135	78
ENTR1	255	341	146	91
ENY2	747	1017	447	295
EOGT	181	201	82	46
EOMES	46	62	24	15
EP300	2126	2527	1301	823
EP400	1233	1527	790	487
EPAS1	108	103	30	26
EPB41	1722	1945	806	530
EPB41L1	130	145	50	34
EPB41L2	2586	2986	1509	971
EPB41L3	1546	2041	854	532
EPB41L4A	57	49	22	12
EPB41L4B	104	101	21	20
EPB41L5	490	497	214	145
EPC1	209	258	184	142
EPC2	244	256	103	84
EPDR1	272	349	144	83
EPG5	440	494	274	147
EPHA10	18	24	12	6
EPHA2	799	1003	349	207
EPHA3	244	280	168	92
EPHA4	446	621	254	151
EPHA5	178	255	137	72
EPHA6	146	183	100	50
EPHA7	1464	2016	885	539
EPHA8	52	48	27	8
EPHB1	49	56	37	20
EPHB2	253	301	124	63
EPHB3	55	73	28	14
EPHB4	393	580	159	102
EPHX1	663	767	311	169
EPHX2	192	226	97	53
EPHX4	158	183	96	49
EPM2A	41	55	26	16
EPN1	820	1010	332	206
EPN2	176	232	89	68
EPOP	46	61	21	24
EPOR	66	74	41	25
EPPK1	652	850	320	215
EPRS	5503	6018	2842	1887
EPS15	1084	1250	495	321
EPS15L1	1037	1259	521	381
EPS8	904	1016	480	297
EPS8L1	4	6	3	3
ERAL1	1081	1358	555	361
ERAP1	264	295	120	69
ERBB2	244	241	111	71
ERBB3	31	36	17	5
ERBB4	342	334	178	86
ERBIN	1038	1156	457	325
ERC1	807	922	486	293
ERC2	30	38	12	11
ERCC1	417	644	251	157
ERCC2	756	840	403	231
ERCC3	920	1102	491	328
ERCC4	418	501	250	137
ERCC6	462	595	262	209
ERCC6L	622	777	443	335
ERCC6L2	133	137	109	56
ERCC8	147	142	84	63
ERF	349	434	173	115
ERFE	118	174	74	35
ERG28	339	482	254	112
ERGIC1	554	698	336	143
ERGIC2	597	582	345	236
ERGIC3	1868	2437	862	492
ERH	2992	3208	1842	1171
ERI1	536	506	227	159
ERI2	280	271	142	101
ERI3	1413	1627	902	593
ERICH1	330	344	147	115
ERICH5	101	153	52	53
ERLEC1	390	400	161	104
ERLIN1	396	443	178	91
ERLIN2	952	1177	511	269
ERMAP	25	23	19	11
ERMARD	234	223	115	55
ERMP1	712	765	321	197
ERN1	58	96	42	21
ERO1A	1106	1079	463	300
ERO1B	163	212	109	62
ERP29	974	1307	453	250
ERP44	1375	1679	613	403
ERRFI1	287	348	168	79
ERV3-1	2	8	0	1
ERVFRD-1	0	0	0	0
ERVK3-1	294	432	195	131
ESCO1	147	142	65	49
ESCO2	1157	1337	613	406
ESD	4194	4702	2122	1588
ESF1	808	937	580	408
ESPL1	1773	2374	1259	722
ESPNL	0	0	1	1
ESR2	0	3	0	0
ESRP2	401	461	239	130
ESRRA	107	171	62	34
ESRRG	0	0	0	0
ESS2	446	612	299	173
ESYT1	2358	2857	1272	763
ESYT2	854	1092	407	252
ETAA1	155	150	83	60
ETF1	2935	3276	1551	977
ETFA	3691	3974	1660	1100
ETFB	1119	1298	448	291
ETFBKMT	18	23	10	8
ETFDH	411	574	200	127
ETFRF1	174	154	82	63
ETHE1	166	182	58	49
ETNK1	994	1354	588	413
ETNK2	62	79	27	23
ETNPPL	35	34	10	14
ETS2	464	582	309	175
ETV1	405	416	192	157
ETV3	359	511	244	161
ETV6	81	111	36	36
EVC	57	72	37	16
EVI2B	0	0	1	0
EVI5	391	445	207	151
EVI5L	131	148	54	42
EVL	129	168	70	56
EWSR1	3819	5181	2730	1687
EXD2	258	336	183	96
EXD3	25	14	12	5
EXO1	802	849	382	273
EXO5	136	181	108	72
EXOC1	719	727	301	205
EXOC2	1290	1493	648	473
EXOC3	654	765	290	198
EXOC4	1503	1611	682	429
EXOC5	431	466	180	115
EXOC6	1240	1251	655	452
EXOC6B	531	609	333	211
EXOC7	1135	1448	640	419
EXOC8	721	950	456	342
EXOG	165	247	110	79
EXOSC1	730	985	422	280
EXOSC10	2674	3545	1645	1068
EXOSC2	1434	1773	691	470
EXOSC3	657	875	395	233
EXOSC4	613	838	333	181
EXOSC5	1005	1326	558	339
EXOSC6	471	653	322	202
EXOSC7	564	700	291	160
EXOSC8	1762	1932	841	610
EXOSC9	1061	1352	626	399
EXPH5	186	218	133	72
EXT1	277	304	147	93
EXT2	901	1088	471	286
EXTL2	271	234	145	102
EXTL3	299	363	158	90
EYA1	71	70	28	30
EYA2	204	251	127	70
EYA3	656	737	353	199
EYA4	506	583	278	189
EYS	0	3	0	0
EZH1	173	142	64	45
EZH2	1077	1446	673	411
EZR	3428	4709	2156	1338
F11R	442	583	210	150
F12	74	94	31	30
F2R	370	440	184	107
F2RL1	412	467	213	130
F3	61	65	22	23
F8	60	55	27	17
FAAH	104	128	71	37
FAAH2	83	72	62	36
FAAP100	148	207	93	41
FAAP20	171	255	104	63
FAAP24	160	217	111	92
FABP3	9	10	5	1
FADD	382	470	217	116
FADS1	345	403	190	111
FADS2	1532	1839	670	393
FADS3	114	147	63	41
FAF1	1454	1653	617	403
FAF2	1192	1433	742	439
FAH	336	410	139	100
FAHD1	422	529	234	145
FAHD2A	90	92	55	24
FAHD2B	39	31	16	12
FAIM	659	935	401	223
FAM102A	17	23	14	8
FAM102B	200	200	80	51
FAM104A	231	334	154	111
FAM104B	174	196	93	95
FAM107B	317	280	171	131
FAM110B	51	56	32	20
FAM114A1	90	87	34	19
FAM114A2	428	580	262	181
FAM117A	137	198	70	49
FAM117B	383	432	227	148
FAM118A	205	244	111	85
FAM118B	249	278	118	71
FAM120A	1112	1457	506	320
FAM120AOS	80	78	43	18
FAM120B	815	991	549	412
FAM120C	276	398	192	108
FAM122A	178	218	99	67
FAM122B	336	389	194	102
FAM124A	50	55	18	9
FAM126A	434	485	170	133
FAM126B	149	176	83	45
FAM129A	328	317	132	94
FAM129B	838	963	341	178
FAM131A	64	81	25	11
FAM133B	14	13	8	10
FAM135A	352	327	138	87
FAM136A	576	810	403	212
FAM13A	254	292	179	128
FAM13B	83	103	100	77
FAM13C	54	69	29	33
FAM149A	29	42	16	9
FAM149B1	61	57	22	10
FAM151B	33	45	20	14
FAM155B	25	30	12	12
FAM160A1	64	87	49	34
FAM160A2	133	192	91	66
FAM160B1	364	458	200	152
FAM160B2	208	252	113	66
FAM161A	234	226	105	73
FAM161B	73	73	37	16
FAM162A	928	1010	431	284
FAM166A	0	0	0	0
FAM168A	376	423	223	134
FAM168B	770	862	467	297
FAM169A	405	541	226	120
FAM171A1	323	410	129	75
FAM171A2	152	191	83	36
FAM171B	129	128	62	54
FAM172A	252	270	108	84
FAM173A	90	130	51	36
FAM174A	101	115	59	31
FAM177A1	213	257	99	64
FAM184A	305	291	126	112
FAM184B	69	71	39	31
FAM185A	41	65	24	15
FAM186B	5	5	6	1
FAM189A1	13	13	6	6
FAM189B	337	399	155	73
FAM192A	305	467	193	123
FAM193A	295	358	166	113
FAM193B	154	190	100	62
FAM199X	982	1049	423	309
FAM200A	188	176	125	79
FAM200B	39	43	14	12
FAM204A	344	431	172	92
FAM206A	136	221	87	48
FAM207A	181	278	151	97
FAM20A	4	4	3	0
FAM20B	163	229	89	50
FAM20C	108	108	47	22
FAM210A	270	373	113	111
FAM210B	215	229	106	49
FAM214A	226	207	121	78
FAM214B	3	8	4	0
FAM216A	1259	1184	584	380
FAM217B	54	73	27	31
FAM219A	186	251	97	66
FAM219B	125	166	88	38
FAM221A	226	262	103	61
FAM222A	37	41	9	10
FAM222B	172	208	98	53
FAM227A	10	3	4	0
FAM227B	9	9	7	6
FAM228B	6	11	7	3
FAM229B	96	151	38	40
FAM234A	34	42	18	9
FAM234B	503	591	290	156
FAM241A	216	241	84	60
FAM241B	134	186	93	48
FAM32A	331	469	234	159
FAM3A	143	162	70	39
FAM3C	1	1	0	1
FAM45A	70	58	38	20
FAM49B	1127	1272	519	390
FAM50A	1809	2254	830	553
FAM50B	0	4	3	1
FAM53A	2	5	1	0
FAM53B	95	138	63	43
FAM53C	444	536	282	157
FAM57A	177	278	131	72
FAM71E1	43	50	23	6
FAM72A	2	10	3	2
FAM72B	13	11	7	7
FAM76A	140	171	101	35
FAM76B	112	142	80	41
FAM78A	6	5	2	2
FAM81A	21	17	2	5
FAM83B	243	294	164	96
FAM83D	1413	1760	793	528
FAM83G	237	289	150	84
FAM83H	262	441	198	149
FAM84B	21	18	4	5
FAM89A	171	244	106	69
FAM89B	56	92	30	20
FAM8A1	408	516	275	139
FAM91A1	416	457	139	119
FAM92A	221	250	80	58
FAM95C	0	4	1	3
FAM98A	1235	1582	738	562
FAM98B	1438	1499	804	569
FAM98C	118	197	75	39
FAN1	320	370	225	165
FANCA	1036	1197	582	361
FANCB	309	378	202	145
FANCC	253	280	169	84
FANCD2	1299	1472	688	449
FANCE	290	310	125	71
FANCG	277	387	149	110
FANCI	2376	2690	1407	974
FANCL	906	1050	488	324
FANCM	356	460	237	143
FAR1	1808	2206	1032	706
FAR2	608	656	324	202
FARP1	472	556	183	129
FARP2	681	806	451	292
FARS2	208	194	109	63
FARSA	3719	4873	2126	1286
FARSB	4650	4897	2255	1541
FAS	233	288	126	85
FASN	15972	23528	8701	5132
FASTK	176	318	88	55
FASTKD1	402	379	207	150
FASTKD2	1242	1369	824	549
FASTKD3	395	406	182	102
FASTKD5	1079	1307	677	444
FAT1	2154	2667	1540	793
FAT2	0	2	2	2
FAT3	222	303	166	74
FAT4	399	496	275	165
FAU	4551	6148	3303	1781
FAXC	69	83	42	26
FAXDC2	17	19	11	5
FBF1	43	41	27	10
FBH1	967	1165	514	303
FBL	8629	12719	5187	3222
FBLIM1	123	176	69	36
FBLN1	578	759	260	135
FBLN2	0	0	0	1
FBLN5	160	166	62	30
FBN1	323	537	272	128
FBN2	3545	4956	2556	1305
FBRS	561	736	300	203
FBRSL1	430	595	191	97
FBXL12	137	226	111	68
FBXL13	9	4	7	4
FBXL14	267	361	130	85
FBXL15	137	177	108	39
FBXL17	250	323	134	108
FBXL18	257	338	148	83
FBXL19	156	177	78	40
FBXL2	49	64	29	23
FBXL20	189	196	107	66
FBXL3	432	556	316	226
FBXL4	266	285	157	103
FBXL5	438	438	209	140
FBXL6	81	119	62	28
FBXL8	11	8	11	6
FBXO10	130	161	72	51
FBXO11	905	1019	458	313
FBXO16	99	124	65	35
FBXO17	401	514	261	126
FBXO21	1143	1344	641	379
FBXO22	495	588	268	186
FBXO25	222	269	74	62
FBXO27	44	41	28	16
FBXO28	615	689	339	229
FBXO3	818	871	412	296
FBXO30	540	574	339	214
FBXO31	150	213	73	50
FBXO32	260	269	111	97
FBXO33	318	396	211	139
FBXO34	222	280	121	81
FBXO36	10	11	4	3
FBXO38	742	782	383	240
FBXO4	123	178	78	47
FBXO41	17	22	22	3
FBXO42	412	535	223	113
FBXO44	143	220	66	42
FBXO45	148	156	88	41
FBXO46	124	157	106	45
FBXO48	4	7	5	3
FBXO5	1004	1141	736	441
FBXO7	1542	1671	721	440
FBXO8	137	176	90	62
FBXO9	482	550	179	118
FBXW11	703	846	360	201
FBXW2	180	195	110	47
FBXW4	120	122	55	25
FBXW5	280	408	205	127
FBXW7	117	136	86	47
FBXW8	170	288	142	67
FBXW9	296	376	166	89
FCF1	327	411	212	110
FCGRT	315	352	162	94
FCHO1	19	35	8	11
FCHO2	450	512	244	195
FCHSD1	45	55	35	9
FCHSD2	208	265	112	67
FDFT1	3056	3503	1476	931
FDPS	2427	2818	1423	887
FDX1	501	625	242	147
FDX2	68	107	76	43
FDXACB1	26	44	10	17
FDXR	349	491	206	142
FECH	878	897	456	256
FEM1A	386	460	224	106
FEM1B	944	1045	449	267
FEM1C	506	476	289	180
FEN1	1725	2499	1155	693
FER	277	334	134	109
FER1L5	1	1	1	1
FERMT1	200	267	134	90
FERMT2	1477	1634	700	451
FEZ1	83	91	38	23
FEZ2	473	506	194	131
FGD1	210	255	98	56
FGD4	140	155	59	29
FGD6	112	140	54	18
FGF2	93	94	34	28
FGF9	61	86	24	22
FGFR1	363	424	159	81
FGFR1OP	518	686	283	192
FGFR1OP2	320	384	148	102
FGFR2	202	246	87	33
FGFR3	171	175	75	32
FGFR4	70	80	29	22
FGFRL1	239	279	78	46
FGGY	20	26	9	9
FH	1906	2084	885	559
FHAD1	24	23	16	13
FHDC1	22	22	4	6
FHIT	58	59	27	14
FHL1	2506	3299	1164	735
FHL2	502	603	240	160
FHL3	343	430	190	122
FHOD1	516	638	308	197
FHOD3	121	160	68	48
FIBP	478	571	205	134
FICD	59	65	25	23
FIG4	812	809	337	210
FIGN	95	107	52	32
FIGNL1	638	787	450	276
FILIP1L	23	27	14	12
FIP1L1	636	651	268	205
FIS1	618	794	335	247
FITM2	218	257	106	55
FIZ1	62	91	50	22
FJX1	117	122	42	39
FKBP10	745	929	316	161
FKBP11	315	401	162	101
FKBP14	157	204	114	62
FKBP15	421	523	228	137
FKBP1A	57	129	60	17
FKBP1B	55	64	31	12
FKBP3	3153	3597	1458	1051
FKBP4	6787	8284	3241	1940
FKBP5	968	1164	513	315
FKBP7	107	124	53	41
FKBP8	2171	2822	1033	658
FKBP9	185	182	93	48
FKBPL	122	165	81	54
FKRP	60	131	52	23
FKTN	64	93	48	31
FLAD1	689	756	342	178
FLCN	151	205	86	52
FLII	1762	2289	918	529
FLNA	12504	17792	8081	4955
FLNB	1045	1902	864	539
FLNC	3	4	5	0
FLOT1	923	920	373	249
FLOT2	915	1242	535	324
FLRT3	50	67	35	25
FLT1	609	726	319	180
FLT4	381	502	241	149
FLVCR1	296	368	152	75
FLVCR2	12	17	5	1
FLYWCH1	219	276	88	49
FLYWCH2	92	172	73	58
FMC1	182	213	73	50
FMN2	183	240	83	56
FMNL2	436	504	239	154
FMNL3	136	189	74	36
FMO3	0	0	0	0
FMO4	39	41	38	19
FMO5	14	9	7	3
FMR1	1444	1731	742	561
FN1	2142	2906	1114	573
FN3KRP	339	436	188	139
FNBP1	833	892	423	272
FNBP1L	444	545	215	157
FNBP4	557	698	314	226
FNDC1	22	28	10	5
FNDC3A	1223	1459	728	509
FNDC3B	656	730	367	247
FNDC4	4	3	3	1
FNDC8	0	0	0	0
FNIP1	452	556	264	165
FNIP2	238	276	100	61
FNTA	692	750	283	224
FNTB	25	52	21	22
FOCAD	918	977	421	300
FOPNL	493	523	225	146
FOSL2	55	91	39	31
FOXA1	282	390	180	112
FOXB1	49	81	36	18
FOXC1	1688	2559	942	592
FOXD1	93	130	66	45
FOXD3	87	117	52	25
FOXF2	225	352	121	66
FOXG1	139	220	83	69
FOXI3	60	94	44	25
FOXJ2	103	137	53	21
FOXJ3	880	1006	468	300
FOXK1	543	707	280	215
FOXK2	494	657	220	116
FOXM1	623	739	389	240
FOXN2	219	233	115	73
FOXN3	72	99	44	24
FOXO1	534	662	301	202
FOXO3	171	204	106	71
FOXO4	70	85	49	25
FOXP2	203	169	83	71
FOXP4	362	517	166	115
FOXRED1	516	649	279	172
FOXRED2	982	1166	599	369
FP565260.1	0	0	0	0
FPGS	492	660	310	169
FPGT	200	247	92	81
FRA10AC1	596	691	301	214
FRAS1	618	897	457	208
FRAT2	96	153	61	38
FREM2	863	1089	524	294
FRG1	145	267	106	85
FRK	17	11	2	5
FRMD3	7	8	7	2
FRMD4A	201	202	86	54
FRMD4B	139	152	78	41
FRMD5	88	94	40	26
FRMD6	315	347	141	88
FRMD8	106	161	61	45
FRMPD1	13	16	9	3
FRMPD3	11	12	3	1
FRRS1	195	203	113	37
FRRS1L	1	0	0	1
FRS2	206	249	106	52
FRS3	5	11	2	5
FRY	69	64	26	23
FRYL	561	747	348	244
FSCN1	1308	1497	660	315
FSD1	283	348	144	84
FSD1L	41	38	20	13
FSD2	0	0	0	0
FSIP1	9	22	6	4
FSIP2	3	1	1	0
FSTL1	2215	3144	1168	629
FTH1	156	208	75	33
FTL	385	485	164	112
FTO	779	901	392	239
FTSJ1	399	518	182	125
FTSJ3	2294	3069	1449	970
FUBP1	3693	4948	2282	1586
FUBP3	1777	2398	1043	646
FUCA1	302	392	160	93
FUCA2	1536	1725	795	439
FUK	100	138	68	28
FUNDC1	339	421	178	138
FUNDC2	163	228	92	50
FUOM	45	58	27	13
FURIN	280	323	124	55
FUS	12312	16523	8171	5441
FUT10	78	103	88	42
FUT11	194	267	127	73
FUT4	20	32	22	6
FUT8	157	163	71	37
FUZ	250	313	141	112
FXN	229	323	106	72
FXR1	2073	2246	900	594
FXR2	1066	1438	572	387
FXYD5	2082	2516	981	657
FYCO1	379	424	205	121
FYN	529	650	253	164
FYTTD1	722	791	327	217
FZD1	172	176	98	51
FZD2	212	213	94	48
FZD3	342	443	220	125
FZD4	65	84	32	24
FZD5	215	270	86	50
FZD6	373	458	216	120
FZD7	253	281	155	67
FZD8	438	609	188	88
FZD9	37	61	15	13
FZR1	524	658	240	172
G2E3	547	616	281	180
G3BP1	5456	8324	3927	2586
G3BP2	1553	1977	847	539
G6PC3	1109	1510	668	385
G6PD	1903	2294	1068	636
GAA	329	403	149	79
GAB1	221	287	120	89
GAB2	86	86	40	12
GABARAP	1677	1818	944	529
GABARAPL1	193	250	115	84
GABARAPL2	1170	1365	614	386
GABBR1	46	37	16	6
GABBR2	13	17	5	4
GABPA	295	365	138	95
GABPB1	373	447	198	109
GABPB2	141	152	58	45
GABRB3	214	292	119	79
GAD1	98	99	38	31
GADD45A	239	314	173	141
GADD45B	46	83	52	35
GADD45GIP1	2258	3084	1392	744
GAK	799	979	400	230
GAL	8	3	2	0
GALC	75	121	55	39
GALE	538	657	278	168
GALK1	580	719	298	148
GALK2	307	335	149	103
GALM	348	436	183	139
GALNS	136	165	42	33
GALNT1	453	470	147	124
GALNT10	95	124	46	31
GALNT11	163	177	69	39
GALNT12	56	76	23	15
GALNT13	115	114	37	20
GALNT16	86	88	35	20
GALNT18	135	161	66	31
GALNT2	607	877	354	183
GALNT3	336	299	138	104
GALNT5	28	25	11	7
GALNT6	138	172	60	33
GALNT7	810	984	402	259
GALT	82	98	41	22
GAMT	279	437	140	79
GAN	218	280	131	86
GANAB	7325	9630	3600	2043
GANC	119	118	39	36
GAPDH	16739	20470	8378	4899
GAPDHS	27	17	43	14
GAPVD1	2311	2542	1303	844
GAR1	778	963	531	332
GAREM1	37	45	20	10
GAREM2	82	70	34	25
GARNL3	11	10	9	2
GARS	3264	3589	1502	1094
GART	7023	8299	3586	2337
GAS1	184	261	111	51
GAS2L1	24	23	9	4
GAS2L3	354	362	198	132
GAS6	66	71	32	19
GAS7	18	20	4	2
GAS8	86	116	51	30
GASK1A	18	41	27	17
GATA2	399	472	234	149
GATA4	245	354	132	77
GATA6	644	969	494	301
GATAD1	230	245	114	100
GATAD2A	809	1092	354	237
GATAD2B	1649	1947	899	567
GATB	405	434	214	137
GATD1	500	668	307	147
GBA	416	543	249	128
GBA2	178	262	96	54
GBE1	408	567	233	140
GBF1	2407	3172	1466	914
GBX2	73	112	40	24
GCA	390	469	180	107
GCAT	222	320	127	74
GCC1	297	389	106	57
GCC2	1140	1035	500	339
GCDH	672	867	337	224
GCFC2	661	748	327	224
GCH1	278	353	129	84
GCHFR	177	224	111	56
GCLC	832	1036	532	340
GCLM	911	1147	547	382
GCN1	5714	7482	3361	1989
GCNA	1	4	6	2
GCNT1	57	57	38	22
GCNT7	0	0	1	0
GCSAM	0	0	1	1
GDAP1	407	430	174	121
GDAP2	532	559	200	133
GDE1	266	385	180	117
GDF11	165	187	71	38
GDF7	50	59	16	15
GDI1	2154	2811	1035	642
GDI2	6203	7911	3210	2238
GDPD1	194	218	80	58
GDPD3	6	2	1	4
GDPD5	15	25	12	5
GDPGP1	16	15	12	4
GEMIN2	421	506	232	119
GEMIN4	2340	2827	1420	919
GEMIN5	2825	3172	1376	861
GEMIN6	427	531	239	140
GEMIN7	229	278	132	62
GEMIN8	328	339	140	97
GEN1	234	312	169	96
GET4	720	954	366	250
GFER	173	284	106	67
GFI1	174	206	89	45
GFM1	919	1172	629	455
GFM2	632	708	414	238
GFOD1	44	77	21	11
GFOD2	73	98	34	25
GFPT1	1854	2103	900	609
