	untr_a_hek	untr_b_hek	isrib_a_hek	isrib_b_hek
GPSM1	222	171	206	143
GPSM2	936	917	840	659
GPT	79	64	47	56
GPT2	552	534	516	345
GPX1	1269	1157	1209	813
GPX3	131	98	94	100
GPX4	2293	2173	2138	1455
GPX8	324	294	302	210
GRAMD1A	513	460	475	385
GRAMD1B	73	84	93	73
GRAMD1C	78	86	83	53
GRAMD4	229	235	221	183
GRB10	897	807	728	625
GRB14	219	178	169	145
GRB2	771	750	786	626
GREB1	205	160	146	146
GREB1L	1030	876	875	811
GRHL1	94	80	104	66
GRHPR	1127	998	1067	770
GRIA1	43	72	38	23
GRID1	186	111	138	136
GRID2	21	21	14	14
GRIK1	46	19	31	29
GRIK4	20	15	16	22
GRIN2D	39	32	21	35
GRINA	546	390	484	421
GRIP1	186	160	164	129
GRIP2	31	20	43	17
GRIPAP1	772	724	666	575
GRK2	793	770	782	684
GRK3	601	548	549	446
GRK4	64	70	58	43
GRK5	115	98	113	110
GRK6	1627	1538	1490	1133
GRN	1080	997	916	856
GRPEL1	1168	1127	1229	877
GRPEL2	402	441	361	281
GRSF1	2928	2793	2589	1988
GRTP1	109	97	79	70
GRWD1	1595	1478	1432	1133
GSC	27	31	22	13
GSDMB	36	23	43	24
GSDME	91	57	65	81
GSE1	593	499	383	451
GSK3A	283	254	271	257
GSK3B	857	781	719	726
GSKIP	181	157	182	153
GSN	150	131	138	135
GSPT1	4488	4516	3546	3526
GSR	1493	1448	1389	1062
GSS	994	959	971	716
GSTA4	439	425	377	279
GSTCD	914	760	822	614
GSTK1	550	521	534	379
GSTM2	157	125	141	131
GSTM3	774	756	745	475
GSTM4	22	18	25	10
GSTO1	1399	1358	1164	852
GSTO2	20	10	14	13
GSTP1	5247	4365	4708	3277
GSTZ1	202	193	255	139
GTDC1	130	101	119	111
GTF2A1	481	471	535	389
GTF2A2	372	348	395	222
GTF2B	773	762	789	558
GTF2E1	306	270	213	163
GTF2E2	477	471	498	347
GTF2F1	1420	1340	1582	1117
GTF2F2	706	709	642	498
GTF2H1	1067	942	1030	687
GTF2H2	190	154	135	105
GTF2H2C	145	163	115	89
GTF2H3	892	815	830	644
GTF2H4	318	227	261	257
GTF2H5	360	327	351	222
GTF2I	2502	2535	2083	1848
GTF2IRD1	369	331	337	322
GTF3A	2102	1861	2134	1463
GTF3C1	6788	6168	5987	5411
GTF3C2	1638	1329	1603	1357
GTF3C3	2256	2109	2092	1556
GTF3C4	1974	1683	1558	1529
GTF3C5	1478	1298	1540	1046
GTF3C6	1268	1315	1137	743
GTPBP1	1351	1100	1128	1046
GTPBP10	581	620	548	371
GTPBP2	594	548	517	429
GTPBP3	964	875	839	679
GTPBP4	3770	3753	3795	2562
GTPBP6	745	621	687	498
GTPBP8	557	598	588	367
GTSE1	914	757	840	732
GUCD1	418	364	398	308
GUCY1A1	231	210	240	168
GUCY1A2	43	46	44	34
GUCY1B1	212	193	195	146
GUF1	1185	1151	1093	794
GUK1	1634	1480	1442	1024
GULP1	139	134	171	113
GUSB	769	747	758	614
GVQW2	21	18	14	13
GVQW3	46	37	48	41
GXYLT1	349	341	334	296
GXYLT2	426	371	374	296
GYG1	469	411	480	349
GYG2	165	143	140	123
GYPC	48	45	40	32
GYS1	965	715	750	752
GZF1	413	412	425	300
H1F0	372	317	466	325
H1FX	691	667	684	510
H2AFJ	47	47	41	32
H2AFV	587	484	570	337
H2AFX	1020	781	1014	710
H2AFY	3809	3555	3413	2573
H2AFY2	1184	1133	1072	817
H2AFZ	6920	6599	6678	4402
H3F3A	16	24	22	28
H3F3B	2255	2368	2186	1516
H6PD	175	142	150	122
HAAO	15	14	14	25
HABP4	290	253	216	201
HACD1	135	123	110	71
HACD2	289	257	351	258
HACD3	2591	2172	2683	1888
HACD4	19	20	28	22
HACE1	769	796	668	541
HACL1	1226	1065	1031	766
HADH	984	841	738	635
HADHA	3354	3202	3109	2498
HADHB	1749	1546	1657	1180
HAGH	450	380	398	303
HAGHL	27	25	30	20
HAL	33	26	34	31
HAND1	18	15	18	13
HAP1	35	33	30	30
HAPLN3	87	74	75	56
HARBI1	58	50	64	55
HARS	1989	1918	1814	1330
HARS2	678	601	584	406
HAS3	48	37	31	42
HASPIN	826	641	814	591
HAT1	2661	2604	2543	1841
HAUS1	737	712	749	504
HAUS2	290	309	314	222
HAUS3	1305	1263	1185	950
HAUS4	308	271	245	190
HAUS5	527	461	448	407
HAUS6	1950	1729	1849	1516
HAUS7	909	837	845	603
HAUS8	343	355	330	268
HAX1	1892	1728	1958	1434
HBEGF	16	10	25	20
HBP1	333	276	320	245
HBQ1	40	22	13	16
HBS1L	3759	3528	3660	2506
HCCS	634	580	570	455
HCFC1	4046	2946	2539	3986
HCFC1R1	43	33	55	32
HCFC2	395	354	361	293
HCLS1	62	60	55	34
HCN2	83	48	51	60
HCN3	78	56	80	64
HDAC1	4410	3904	4865	3258
HDAC10	193	158	164	176
HDAC11	68	50	49	41
HDAC2	6329	6025	5324	4349
HDAC3	1414	1277	1586	1098
HDAC4	185	128	148	148
HDAC5	503	473	569	400
HDAC6	758	636	735	560
HDAC7	138	89	120	98
HDAC9	20	31	31	22
HDDC2	1588	1507	1554	1081
HDDC3	278	242	237	130
HDGF	3849	3958	3123	2683
HDGFL2	1989	2024	1788	1417
HDGFL3	796	696	741	516
HDHD2	285	262	260	217
HDHD3	174	112	166	110
HDHD5	1108	1037	1138	856
HDLBP	12436	10785	13141	10119
HDX	281	192	221	185
HEATR1	16435	15272	15351	11876
HEATR3	1902	1693	1708	1259
HEATR5A	1666	1597	1559	1199
HEATR5B	2101	1974	2029	1504
HEATR6	1034	877	919	736
HEBP1	138	126	86	102
HEBP2	1119	1133	985	662
HECA	323	263	290	228
HECTD1	8489	7946	7924	5739
HECTD2	326	276	299	243
HECTD3	367	326	252	334
HECTD4	2771	2333	1886	2349
HECW2	127	134	154	116
HEG1	243	191	208	223
HELB	622	557	498	416
HELLS	6641	6156	5097	4701
HELQ	648	589	574	487
HELZ	2877	2489	2341	2241
HELZ2	166	185	128	135
HEMK1	229	158	222	143
HERC1	3822	3369	3459	2902
HERC2	3510	3034	2730	2680
HERC3	490	415	393	311
HERC4	931	825	756	690
HERC5	917	904	804	581
HERC6	99	105	82	81
HERPUD1	458	389	525	388
HERPUD2	234	179	209	198
HES1	293	252	287	264
HES4	705	722	495	372
HES6	91	76	75	64
HESX1	21	24	17	17
HEXA	944	801	933	704
HEXB	1400	1232	1416	1050
HEXD	224	216	266	181
HEXIM1	329	316	416	403
HEXIM2	52	56	28	38
HEY1	1574	1580	1855	1436
HEY2	57	42	54	32
HFM1	294	258	241	201
HGF	126	145	157	114
HGH1	215	203	208	128
HGS	1025	878	961	816
HGSNAT	331	275	279	255
HHAT	59	42	34	33
HHEX	63	59	38	39
HHIP	63	69	57	46
HHIPL2	19	21	16	19
HHLA3	44	47	34	35
HIBADH	489	516	511	329
HIBCH	699	658	633	461
HIC2	302	249	290	257
HID1	58	43	44	32
HIF1A	2451	2228	2406	1792
HIF1AN	453	427	482	331
HIGD1A	478	411	601	303
HIGD2A	539	408	520	333
HIKESHI	524	441	478	323
HILPDA	66	78	55	59
HINFP	305	291	291	224
HINT1	3496	2918	3515	2153
HINT2	362	316	265	198
HINT3	289	265	208	175
HIP1	502	466	365	384
HIP1R	552	550	468	412
HIPK1	1262	973	1148	1018
HIPK2	471	387	345	376
HIPK3	1448	1298	1375	1014
HIRA	1959	1790	1588	1596
HIRIP3	486	478	600	416
HIST1H1C	31168	28560	32257	22416
HIST1H1D	4584	4307	3787	2794
HIST1H1E	26867	26967	22954	16348
HIST1H2AB	1706	1302	2107	1352
HIST1H2AC	5243	4778	5182	3400
HIST1H2AD	1024	633	1614	877
HIST1H2AE	43	29	54	33
HIST1H2AG	7382	5666	8540	5400
HIST1H2AH	9881	8433	11710	7382
HIST1H2AI	3152	2784	2909	2015
HIST1H2AK	723	573	783	493
HIST1H2AL	680	499	726	418
HIST1H2AM	5254	4509	5369	3326
HIST1H2BC	5668	4354	6808	4012
HIST1H2BD	6796	5050	8061	4862
HIST1H2BF	1576	1327	1694	1234
HIST1H2BG	39	18	36	20
HIST1H2BJ	8965	6558	11673	6980
HIST1H2BK	4859	4127	5866	3595
HIST1H2BL	2112	1690	2604	1672
HIST1H2BN	986	950	953	703
HIST1H2BO	4626	4019	5489	3340
HIST1H3A	2747	2114	3282	2061
HIST1H3B	13340	12233	13153	9200
HIST1H3D	16	27	37	23
HIST1H3E	84	65	90	51
HIST1H3F	366	287	328	211
HIST1H3H	8701	7127	9115	5640
HIST1H3J	1471	1122	1698	1026
HIST1H4A	1190	1141	1022	629
HIST1H4B	10016	9315	8849	5556
HIST1H4C	10570	9903	9245	5837
HIST1H4D	5300	4887	5229	3648
HIST1H4E	5972	6017	5464	3501
HIST1H4H	3284	2687	3855	2138
HIST1H4J	131	113	153	84
HIST2H2AB	1763	1429	1625	1140
HIST2H2AC	4952	3631	6677	3893
HIST2H2BE	4146	3093	5086	2824
HIST2H2BF	3015	2821	2799	1659
HIST2H3D	1362	1102	1577	965
HIST3H2A	1949	1610	1792	1254
HIST3H2BB	2066	1550	3458	2041
HIST4H4	1262	1006	1644	980
HIVEP1	994	979	895	931
HIVEP2	465	407	417	427
HJURP	969	825	931	733
HK1	2004	1899	1896	1488
HK2	896	824	735	735
HKR1	280	228	195	169
HLA-A	764	760	719	495
HLA-B	633	587	561	413
HLA-C	1452	1310	1330	1021
HLA-DPA1	42	27	46	29
HLA-DQB1	68	49	61	35
HLA-E	421	426	391	287
HLA-F	127	106	88	80
HLCS	712	616	637	541
HLTF	3119	2925	2964	2006
HLX	96	79	63	73
HM13	992	795	1122	903
HMBOX1	259	219	201	165
HMBS	458	453	430	386
HMCES	840	785	750	628
HMCN1	171	153	168	132
HMG20A	834	692	778	585
HMG20B	780	741	678	555
HMGA1	530	480	374	374
HMGA2	123	120	98	77
HMGB1	1197	1167	1138	788
HMGB2	5144	5512	4974	3231
HMGB3	1809	1835	1795	1201
HMGCL	216	198	173	125
HMGCR	2409	2118	2448	1881
HMGCS1	1212	1068	1088	925
HMGN1	1820	1789	1527	1122
HMGN2	1176	1228	1006	629
HMGN3	970	1017	706	502
HMGN4	450	527	417	326
HMGN5	323	313	259	255
HMGXB3	2180	2036	1939	1644
HMGXB4	1052	932	938	832
HMMR	1778	1788	1584	1274
HMOX1	267	213	271	197
HMOX2	1044	1008	990	700
HMX1	38	58	22	16
HNRNPA0	858	972	875	593
HNRNPA1	646	700	1060	515
HNRNPA1L2	42	44	46	37
HNRNPA2B1	12321	13231	12690	9451
HNRNPA3	144	180	151	99
HNRNPAB	5327	5638	5076	3766
HNRNPC	7500	7022	8254	5303
HNRNPD	4690	4328	2527	3320
HNRNPDL	6757	6947	6638	4211
HNRNPF	5100	4673	5566	3832
HNRNPH1	14385	14911	14753	10155
HNRNPH2	2507	2763	2573	1630
HNRNPH3	825	869	919	815
HNRNPK	11052	9564	12203	8244
HNRNPL	3115	2905	3398	2373
HNRNPLL	1131	1047	1000	700
HNRNPM	7817	8026	6660	5685
HNRNPR	6973	6778	6629	4554
HNRNPU	27985	28815	25108	19371
HNRNPUL1	3869	3249	3106	3258
HNRNPUL2	43	25	47	44
HOMER1	536	457	489	369
HOMER2	538	553	538	409
HOMER3	42	36	49	33
HOMEZ	394	322	372	279
HOOK1	1278	1130	1123	812
HOOK2	172	153	134	132
HOOK3	848	744	561	622
HOXA1	48	44	41	34
HOXA10	461	375	425	335
HOXA11	181	193	225	153
HOXA13	85	93	92	75
HOXA2	60	63	43	53
HOXA3	90	69	51	66
HOXA4	64	44	45	39
HOXA5	547	462	551	417
HOXA6	275	207	233	246
HOXA7	30	25	20	20
HOXA9	202	182	149	135
HOXB13	111	86	86	71
HOXB2	57	48	45	31
HOXB3	153	118	134	121
HOXB4	67	55	47	56
HOXB5	68	42	55	51
HOXB6	347	299	305	277
HOXB7	87	62	106	68
HOXB8	125	101	107	108
HOXB9	616	545	468	425
HOXC10	119	112	107	114
HOXC11	47	44	37	27
HOXC13	33	26	18	26
HOXC4	129	95	134	98
HOXC6	90	75	67	75
HOXC8	50	53	36	40
HOXC9	231	224	161	124
HOXD10	966	808	832	857
HOXD11	418	345	362	287
HOXD13	430	361	448	311
HOXD3	38	29	29	27
HOXD4	39	34	41	34
HOXD8	62	88	39	42
HOXD9	173	184	171	152
HP1BP3	2601	2398	2157	1939
HPCAL1	88	67	76	74
HPF1	678	685	629	460
HPGD	41	36	31	27
HPRT1	1450	1608	905	1007
HPS1	473	454	426	377
HPS3	968	799	753	614
HPS4	682	618	721	543
HPS5	1016	896	852	708
HPS6	369	336	335	225
HPSE	73	60	44	36
HRAS	460	489	441	315
HRASLS	61	51	42	26
HS1BP3	255	227	210	167
HS2ST1	241	226	176	158
HS3ST3A1	63	83	54	48
HS3ST3B1	44	31	31	20
HS6ST1	41	57	62	38
HS6ST2	797	794	704	596
HS6ST3	40	31	31	33
HSBP1	962	849	1102	621
HSBP1L1	19	16	16	12
HSCB	232	213	255	156
HSD17B1	96	115	86	69
HSD17B10	1871	1788	1723	1297
HSD17B11	487	393	483	293
HSD17B12	1018	894	990	628
HSD17B4	2944	3008	2948	2079
HSD17B6	69	55	55	42
HSD17B7	143	85	119	91
HSD17B8	68	49	63	37
HSD3B7	25	18	25	18
HSDL1	575	538	442	313
HSDL2	964	918	930	695
HSF1	577	419	553	478
HSF2	1320	1187	1220	877
HSF2BP	27	30	27	30
HSF4	71	52	38	53
HSP90AA1	35931	35517	28415	27968
HSP90AB1	24464	23284	25679	18715
HSP90B1	14951	14952	14075	10693
HSPA12A	265	215	208	199
HSPA13	1205	1109	1126	856
HSPA14	1592	1389	1482	1049
HSPA1B	539	463	764	614
HSPA2	15	10	14	15
HSPA4	11154	10579	10647	7462
HSPA4L	2367	2204	2102	1719
HSPA5	5363	5132	4216	4345
HSPA8	31890	28676	37008	25702
HSPA9	10584	9819	10846	7243
HSPB1	93	74	77	41
HSPB11	567	552	503	310
HSPBAP1	267	233	208	187
HSPBP1	407	358	391	342
HSPD1	20669	20950	19538	13599
HSPE1	710	722	756	501
HSPG2	247	163	125	182
