	tmisrib_a_hek	tmisrib_b_hek	untr_a_hek	untr_b_hek
MINPP1	744	1149	526	451
MIOS	1357	1898	974	902
MIPEP	932	1293	569	563
MIPOL1	424	697	375	319
MIS12	504	604	306	261
MIS18A	749	977	553	545
MIS18BP1	1832	2682	1324	1168
MITD1	455	673	304	277
MITF	148	191	88	78
MKI67	11693	19855	11799	9336
MKI67IP	2812	3854	1692	1517
MKKS	741	1100	436	350
MKL1	222	392	239	190
MKL2	313	474	261	220
MKLN1	1548	2400	1248	1134
MKNK1	320	414	204	220
MKNK2	629	916	409	391
MKRN1	1417	1811	909	880
MKRN2	1174	1665	762	693
MKS1	577	846	378	374
MKX	63	79	54	40
MLEC	1233	1841	929	844
MLF1	698	1051	512	464
MLF1IP	2172	3095	1336	1388
MLF2	1155	1746	915	768
MLH3	161	211	126	109
MLLT1	358	537	266	232
MLLT10	768	1185	608	483
MLLT3	1258	1869	825	754
MLLT4	4326	6601	3718	3454
MLLT6	413	553	359	257
MLST8	758	1064	414	378
MLX	519	678	296	258
MLXIP	259	539	373	261
MLXIPL	49	66	39	22
MLYCD	137	246	106	81
MMAA	61	90	38	51
MMAB	758	1064	433	392
MMACHC	261	311	137	132
MMADHC	3697	5124	2159	1984
MMD	78	102	45	53
MME	54	85	45	45
MMGT1	199	273	120	121
MMP15	53	65	38	26
MMP16	123	181	82	85
MMS19	1868	2748	1307	1143
MMS22L	2051	3233	1688	1531
MNAT1	1342	1884	1012	968
MND1	487	612	329	327
MNF1	1044	1415	596	507
MNS1	76	89	65	51
MNT	49	78	56	33
MNX1	62	83	47	52
MOAP1	383	564	322	316
MOB1A	1589	2256	1014	1018
MOB1B	87	179	62	48
MOB2	388	531	235	209
MOCOS	275	389	184	168
MOCS1	371	526	242	210
MOCS2	750	1052	532	476
MOCS3	333	482	232	194
MOGS	1360	1898	917	844
MOK	218	327	145	159
MON1A	463	676	303	299
MON1B	206	313	163	142
MON2	2717	4302	2141	1920
MORC2	649	1066	623	574
MORC3	1451	2163	1006	947
MORC4	3837	6515	4485	4141
MORF4L1	5396	8080	4683	4533
MORF4L2	10030	13761	7031	7310
MORN1	138	285	142	155
MORN2	218	304	109	133
MORN4	46	82	40	22
MOSPD1	276	384	198	155
MOSPD2	298	414	260	225
MOV10	941	1446	856	679
MOXD1	471	705	336	291
MPC1	427	635	252	218
MPC2	787	1151	592	510
MPDU1	698	953	417	307
MPDZ	1314	1778	997	821
MPG	637	827	454	407
MPHOSPH10	1916	2424	1286	1267
MPHOSPH6	693	1028	451	475
MPHOSPH8	1100	1495	866	918
MPHOSPH9	3295	4870	2375	2083
MPI	1779	2603	1221	1088
MPLKIP	353	446	215	187
MPND	157	200	96	94
MPP1	741	992	438	412
MPP2	215	335	175	152
MPP3	187	271	174	153
MPP5	855	1389	694	609
MPP6	1213	1883	1007	908
MPP7	237	318	149	129
MPPE1	181	276	141	135
MPRIP	1994	3119	1658	1516
MPST	627	866	440	410
MPV17	348	449	242	256
MPV17L2	191	270	121	83
MPZL1	819	1194	608	499
MR1	54	98	39	37
MRAS	69	109	45	39
MRC2	121	200	102	86
MRE11A	2465	3533	1819	1711
MREG	194	302	190	139
MRFAP1	1071	1336	801	932
MRFAP1L1	464	618	270	348
MRGBP	327	464	276	279
MRI1	999	1361	618	557
MRM1	67	121	70	68
MROH1	103	160	93	94
MRP63	282	389	177	171
MRPL1	1428	2068	856	847
MRPL10	539	809	243	250
MRPL11	1320	1788	847	915
MRPL13	1785	2619	1179	1026
MRPL14	865	1161	544	486
MRPL15	2104	3136	1320	1270
MRPL16	1413	1969	1009	1005
MRPL17	1123	1614	712	642
MRPL18	1609	2189	1072	1080
MRPL19	2181	3173	1674	1492
MRPL2	786	864	443	389
MRPL20	1697	2281	1094	1071
MRPL21	1602	2107	942	914
MRPL22	918	1326	585	502
MRPL23	1339	1956	944	856
MRPL24	1316	1909	833	867
MRPL27	822	1174	471	411
MRPL28	1463	1959	814	747
MRPL3	5510	8160	3933	3568
MRPL30	1086	1580	626	500
MRPL32	1190	1629	656	647
MRPL33	358	484	233	195
MRPL34	135	195	97	87
MRPL35	773	1171	498	480
MRPL36	269	347	141	124
MRPL37	4880	6780	2740	2548
MRPL38	1020	1335	766	688
MRPL39	1781	2607	1083	967
MRPL4	864	1054	557	461
MRPL40	866	1252	537	433
MRPL41	750	1100	559	517
MRPL42	1409	2021	709	618
MRPL43	342	478	171	173
MRPL44	895	1367	691	631
MRPL45	652	947	490	477
MRPL46	976	1354	580	516
MRPL47	1312	1841	863	843
MRPL48	830	1203	511	512
MRPL49	523	744	307	262
MRPL50	823	1165	530	458
MRPL51	2662	3468	1762	1808
MRPL52	905	1209	574	554
MRPL53	230	303	167	154
MRPL54	747	984	491	526
MRPL55	943	1332	667	559
MRPL9	1451	1963	1141	1121
MRPS10	863	1217	568	507
MRPS11	873	1255	497	403
MRPS12	613	716	295	227
MRPS14	688	987	470	450
MRPS15	2597	3717	1480	1170
MRPS16	1089	1438	737	619
MRPS17	794	1108	457	472
MRPS18A	468	684	288	254
MRPS18B	1274	1715	582	445
MRPS18C	1320	1916	833	775
MRPS2	1191	1594	680	629
MRPS21	1872	2566	1087	1062
MRPS22	2275	3214	1373	1205
MRPS23	1185	1669	755	719
MRPS24	1334	1941	1018	995
MRPS25	1124	1483	592	625
MRPS26	984	1402	785	852
MRPS27	2219	3272	1602	1336
MRPS28	789	1039	564	523
MRPS30	1169	1796	860	747
MRPS31	1303	1968	844	761
MRPS33	630	877	394	383
MRPS34	1751	2342	1034	967
MRPS35	1551	2185	1065	1093
MRPS36	752	1143	375	263
MRPS5	1838	2284	1174	1100
MRPS6	266	369	148	164
MRPS7	1874	2677	1247	1240
MRPS9	1626	2342	1164	1037
MRRF	783	1295	561	504
MRS2	1612	2503	1175	1095
MRTO4	1779	2585	1102	971
MSANTD2	222	334	161	176
MSANTD3-TMEFF1	539	824	400	442
MSANTD4	461	654	366	387
MSH2	6137	8454	4037	3730
MSH3	2114	3123	1623	1374
MSH4	76	125	50	44
MSH6	12557	17540	9011	8441
MSI1	68	110	101	70
MSI2	444	740	353	293
MSL1	365	591	352	370
MSL2	672	1011	523	435
MSL3	563	809	378	400
MSMO1	817	1267	556	566
MSN	1692	2450	1291	1246
MSRA	45	71	32	32
MSRB1	52	63	24	22
MSRB2	122	171	92	99
MSRB3	62	123	70	76
MSS51	65	114	56	41
MST1	51	78	44	26
MST4	1813	2449	958	936
MSTO1	1275	1742	861	688
MSX1	102	152	72	53
MSX2	147	214	74	75
MT1X	80	107	56	35
MT2A	70	67	30	19
MTA1	1530	2280	1294	1255
MTA2	6255	9276	3904	3316
MTA3	641	1014	488	508
MTAP	1196	1813	851	801
MTBP	1034	1519	771	727
MTCH1	1786	2490	1254	1151
MTCH2	3570	4992	2125	1853
MTDH	3380	5179	2532	2382
MTERF	436	645	286	223
MTERFD1	932	1414	579	499
MTERFD3	441	640	298	300
MTF1	222	349	161	137
MTF2	2707	3975	1730	1632
MTFMT	514	750	411	282
MTFR1	646	997	503	544
MTFR1L	536	713	329	305
MTFR2	348	513	268	236
MTG1	818	1205	619	541
MTG2	426	619	297	290
MTHFD1	7733	11544	6156	5579
MTHFD1L	2763	3954	2283	2165
MTHFD2	4406	6319	2773	2649
MTHFD2L	142	207	102	93
MTHFR	197	307	117	142
MTHFS	430	599	329	314
MTHFSD	154	182	111	110
MTIF2	2786	3966	1911	1792
MTIF3	746	1085	527	434
MTM1	345	485	232	284
MTMR1	1679	2500	1238	1206
MTMR10	266	400	209	205
MTMR12	639	966	508	443
MTMR14	965	1313	619	530
MTMR2	1370	1983	1013	925
MTMR3	927	1422	753	623
MTMR4	2173	3215	1620	1398
MTMR6	668	1031	444	419
MTMR7	52	70	41	39
MTMR8	127	211	96	98
MTMR9	361	520	217	198
MTO1	1191	1788	821	793
MTOR	5951	8971	4224	3709
MTPAP	1083	1428	653	591
MTR	6736	9729	5279	4950
MTRF1	219	308	176	141
MTRF1L	834	1179	531	511
MTRR	1020	1394	635	533
MTSS1L	407	563	271	245
MTUS1	549	857	461	446
MTX1	1269	1769	837	772
MTX2	968	1333	595	546
MTX3	390	598	239	231
MUL1	404	612	299	223
MUM1	569	835	493	480
MUM1L1	145	196	97	98
MURC	63	79	62	50
MUS81	358	570	280	235
MUT	979	1331	727	632
MUTYH	251	333	166	158
MVB12A	354	507	270	250
MVB12B	111	185	90	66
MVD	422	541	244	217
MVK	306	475	190	168
MXD1	74	114	51	45
MXD3	83	117	46	51
MXD4	441	551	228	225
MXI1	320	493	215	147
MXRA7	198	297	139	171
MYB	72	88	67	53
MYBBP1A	3632	5986	3390	2914
MYBL1	538	753	417	366
MYBL2	2992	4625	2444	2360
MYC	2001	3090	1185	978
MYCBP	382	483	286	317
MYCBP2	7899	11789	6275	5414
MYEF2	475	579	299	377
MYEOV2	85	117	59	70
MYH10	8412	12441	7100	6954
MYH11	60	110	26	13
MYH14	376	606	376	342
MYH15	84	144	76	71
MYH3	115	215	139	126
MYH9	6907	11163	6338	5820
MYL12A	1498	2127	772	595
MYL12B	1800	2648	905	757
MYL5	82	124	42	33
MYL6	6630	9583	3572	3463
MYL6B	822	1151	465	519
MYLIP	323	500	231	217
MYLK	137	235	109	96
MYNN	867	1222	612	571
MYO10	723	1119	648	567
MYO18A	374	624	351	345
MYO19	1407	2200	988	877
MYO1B	2053	3010	1297	1196
MYO1C	885	1432	782	677
MYO1D	806	1227	669	572
MYO1E	716	1016	418	413
MYO3A	416	545	339	262
MYO5A	1067	1581	816	764
MYO5B	286	423	199	161
MYO5C	759	1126	602	561
MYO6	1032	1673	1057	981
MYO9A	3276	4805	2426	2191
MYO9B	815	1433	808	711
MYOM2	90	175	89	72
MYSM1	1715	2712	1668	1602
MZF1	157	242	140	101
MZT1	401	483	243	254
MZT2A	1122	1472	826	862
MZT2B	1592	2074	1121	1167
N4BP1	881	1193	582	561
N4BP2	1414	1947	1057	986
N4BP2L2	774	1165	636	539
N6AMT1	156	227	87	84
N6AMT2	221	315	151	112
NAA10	2768	3615	1822	1793
NAA15	6466	8955	5075	4660
NAA16	884	1350	825	793
NAA20	855	1301	649	704
NAA25	3230	4764	2460	2339
NAA30	295	420	225	220
NAA35	1628	2379	1199	1144
NAA38	857	1123	605	591
NAA40	269	414	295	295
NAA50	1982	2524	1219	1150
NAA60	100	135	70	42
NAAA	241	335	171	154
NAALAD2	74	82	59	59
NAB1	439	716	359	318
NAB2	80	123	72	81
NABP1	177	215	93	116
NABP2	503	711	294	259
NACA	18227	24561	10151	8994
NACA2	816	1236	382	324
NACC1	633	1001	661	517
NACC2	157	231	138	95
NADK	790	1059	620	566
NADKD1	802	1148	599	590
NADSYN1	687	940	429	369
NAE1	4842	6710	3134	2992
NAF1	381	657	459	426
NAGA	464	636	274	236
NAGK	257	330	152	144
NAGLU	443	604	290	249
NAGPA	221	348	175	165
NAIF1	73	95	55	67
NAIP	786	1310	854	663
NAMPT	2095	3003	1398	1145
NANP	273	390	200	192
NANS	1861	2686	1258	1240
NAP1L1	12080	16280	9367	9981
NAP1L2	147	200	95	110
NAP1L3	576	834	435	385
NAP1L4	3420	4621	2426	2343
NAPA	616	993	505	472
NAPB	112	172	93	74
NAPEPLD	122	196	135	109
NAPG	438	624	313	311
NAPRT1	159	212	125	98
NARF	916	1269	611	591
NARFL	387	528	252	231
NARG2	1833	2688	1385	1197
NARR	156	213	87	84
NARS	4398	5779	2729	2662
NARS2	1163	1786	765	746
NASP	8301	10304	5879	5760
NAT1	140	215	85	68
NAT10	3090	4528	2211	2048
NAT14	98	137	77	57
NAT8L	49	69	40	47
NAT9	259	327	179	140
NAV1	94	223	181	112
NAV2	59	123	92	54
NBAS	3171	4384	2102	1930
NBEA	2118	3338	1902	1816
NBEAL1	982	1520	809	677
NBEAL2	986	1805	1122	833
NBL1	77	135	60	50
NBN	3600	5178	2319	2162
NBPF1	4112	6096	3464	2938
NBPF14	3338	4899	2787	2440
NBPF15	1837	2725	1671	1546
NBPF16	1797	2662	1612	1497
NBPF24	5874	8936	5041	4446
NBPF3	668	959	471	470
NBPF7	114	129	121	115
NBR1	1857	2569	1220	1139
NCAM1	256	375	196	190
NCAPD2	5897	8983	4630	4269
NCAPD3	5700	8335	4017	3465
NCAPG	6414	8768	4149	3967
NCAPG2	3587	5346	3081	2716
NCAPH	2449	3462	1692	1533
NCAPH2	1986	2858	1303	1158
NCBP1	3274	4921	2210	2102
NCBP2	516	660	283	273
NCDN	597	998	528	466
NCEH1	119	187	73	65
NCK1	596	800	442	427
NCK2	264	370	198	181
NCKAP1	6543	9654	4831	4538
NCKAP5L	422	677	308	263
NCKIPSD	952	1426	674	555
NCL	31549	34580	22971	25444
NCLN	1312	1880	897	839
NCOA1	890	1369	661	507
NCOA2	1759	2787	1323	1129
NCOA3	1003	1530	730	584
NCOA4	4478	6197	2773	2391
NCOA5	926	1345	697	661
NCOA6	678	1209	793	648
NCOA7	431	612	364	286
NCOR1	4472	6746	3525	3103
NCOR2	350	895	666	500
NCR3LG1	509	787	402	330
NCS1	307	455	241	221
NCSTN	1070	1613	902	713
NDC1	3069	4441	1787	1471
NDC80	1558	2269	1173	1080
NDE1	452	692	384	329
NDEL1	596	856	406	390
NDFIP1	686	1192	606	556
NDFIP2	699	993	460	417
NDNF	67	93	43	31
NDNL2	363	564	228	215
NDOR1	259	385	185	183
NDRG1	490	672	290	290
NDRG2	112	188	90	76
NDRG3	623	937	381	310
NDRG4	62	77	40	33
NDST1	562	1048	613	489
NDST2	415	626	326	274
NDUFA1	2877	4023	2076	2140
NDUFA10	2066	2909	1406	1324
NDUFA11	1461	2026	736	645
NDUFA12	1263	1899	938	874
NDUFA2	486	691	267	210
NDUFA3	537	742	350	268
NDUFA4	1907	2675	1182	1065
NDUFA5	711	963	449	408
NDUFA6	748	1097	538	518
NDUFA7	445	683	325	311
NDUFA8	1021	1249	596	616
NDUFA9	2884	4213	1775	1721
NDUFAB1	1684	2338	979	812
NDUFAF1	404	576	294	274
NDUFAF2	898	1285	494	415
NDUFAF3	1106	1550	772	672
NDUFAF4	1165	1645	693	675
NDUFAF5	468	634	337	298
NDUFAF6	390	588	291	235
NDUFAF7	503	717	376	392
NDUFB1	939	1415	762	659
NDUFB10	3246	4838	1830	1668
NDUFB11	1250	1648	812	825
NDUFB2	1112	1567	751	688
NDUFB3	1193	1687	811	789
NDUFB4	1593	2206	773	579
NDUFB5	640	952	499	513
NDUFB6	1520	2213	1130	1067
NDUFB7	977	1366	627	624
NDUFB8	2390	3222	1397	1304
NDUFB9	2447	3529	1899	1939
NDUFC1	516	784	303	222
NDUFC2-KCTD14	646	975	403	352
NDUFS1	4504	6553	3154	2805
NDUFS2	3178	4179	2358	2183
NDUFS3	2028	2935	1339	1273
NDUFS4	820	1218	519	499
NDUFS5	3150	4663	2161	2317
NDUFS6	876	1055	543	617
NDUFS7	838	1193	456	427
NDUFS8	1515	2149	850	780
NDUFV1	4114	5641	2711	2564
NDUFV2	1618	2371	967	834
NDUFV3	1339	2015	928	825
NEB	92	125	58	59
NEBL	180	184	86	91
NECAB3	174	225	120	96
NECAP1	489	680	299	301
NECAP2	539	714	323	291
NEDD1	1203	1657	769	707
NEDD4	328	516	230	197
NEDD4L	250	351	199	154
NEDD8-MDP1	771	1109	574	498
NEFL	450	588	330	343
NEFM	559	779	554	540
NEIL1	89	122	71	66
NEIL2	105	166	75	69
NEIL3	1023	1418	735	688
NEK1	1396	1960	1112	1009
NEK10	129	185	118	92
NEK11	87	154	74	87
NEK2	1652	2309	1097	1104
NEK3	480	725	312	298
NEK4	2667	3930	1846	1703
NEK6	349	529	260	225
NEK7	591	920	372	332
NEK8	60	80	52	44
NEK9	2096	2877	1574	1361
NELFA	484	733	355	357
NELFB	1378	1836	894	860
NELFCD	2134	2844	1272	1302
NELFE	1617	2202	1058	953
NELL2	715	1062	523	496
NEMF	2064	2881	1652	1565
NENF	919	1322	627	576
NEO1	1083	1693	926	774
NES	68	95	57	42
NET1	2293	3006	1280	1303
NETO2	1743	2537	1182	1042
NEU1	614	839	321	318
NEU3	407	623	298	242
NEURL4	1099	1800	1029	916
NEXN	79	102	45	59
NF1	3573	5998	3358	2799
NF2	1876	2982	1710	1572
NFAT5	1139	1947	1029	882
NFATC1	55	91	58	43
NFATC2IP	428	730	389	321
NFATC3	1476	2289	1084	870
NFATC4	61	103	49	33
NFE2L1	1300	1961	925	897
NFE2L2	879	1322	724	617
NFE2L3	250	396	187	157
NFIA	406	550	322	326
NFIB	139	236	143	113
NFIC	30	82	61	50
NFIL3	248	357	160	139
NFIX	47	137	95	73
NFKB1	1037	1582	806	789
NFKB2	107	198	110	100
NFKBIA	425	610	219	217
NFKBIB	274	372	238	191
NFKBIE	76	120	52	56
NFKBIL1	235	292	149	135
NFKBIZ	141	199	54	62
NFRKB	2019	3011	1507	1245
NFS1	644	919	434	369
NFU1	912	1298	529	532
NFX1	1754	2657	1467	1255
NFXL1	1051	1446	876	836
NFYA	348	536	300	237
NFYB	504	709	307	298
NFYC	636	988	439	387
NGDN	1852	2656	1177	1218
NGEF	57	125	58	51
NGFRAP1	3472	4885	2799	2868
NGLY1	1695	2408	1154	1058
NGRN	1923	2726	1199	1198
NHEJ1	336	483	228	179
NHLRC2	1226	1792	988	821
NHLRC3	252	375	185	186
NHP2	3256	4427	1952	1949
NHP2L1	1246	1755	744	598
NHSL1	217	418	231	201
NICN1	58	78	35	26
NID1	1048	2005	1157	951
NID2	256	400	202	188
NIF3L1	1019	1516	643	569
NIN	3939	5726	3249	3116
NINL	409	578	361	353
NIP7	1024	1425	729	645
NIPA1	58	95	39	33
NIPA2	1140	1640	690	616
NIPAL1	57	97	62	51
NIPAL2	55	88	32	30
NIPAL3	391	508	266	227
NIPBL	3745	5945	3510	3100
NIPSNAP1	1036	1568	618	561
NIPSNAP3B	83	114	55	36
NISCH	1852	2698	1474	1296
NIT1	406	567	243	223
NIT2	1117	1545	589	559
NKAP	1323	1782	890	842
NKD2	78	127	76	63
NKIRAS1	141	224	127	139
NKIRAS2	291	452	229	228
NKRF	2298	3646	1785	1647
NKTR	4876	6879	3592	3106
NKX2-5	222	326	126	111
NKX6-1	40	61	37	43
NLE1	917	1327	571	454
NLGN1	256	388	163	144
NLGN2	78	193	123	86
NLK	237	347	148	101
NLN	1935	2735	1323	1252
NLRP14	63	79	43	46
NLRX1	421	581	312	258
NMB	70	96	36	30
NMD3	2101	2917	1491	1462
NME1-NME2	11310	15915	6590	6114
NME3	335	462	219	192
NME4	788	1107	642	542
NME6	216	348	168	128
NME7	538	779	359	352
NMNAT1	187	272	110	139
NMRAL1	350	508	258	219
NMRK1	93	117	56	43
NMT1	2388	3230	1381	1285
NMT2	697	1055	478	484
NMU	160	271	106	90
NNT	2617	3748	1846	1583
NOA1	1201	1769	791	762
NOB1	1081	1624	833	776
NOC2L	5685	7581	3350	3431
NOC3L	3510	5123	2371	2219
NOC4L	603	819	408	335
NOD1	120	201	70	80
NOL10	2932	4574	2206	2113
NOL11	6427	9325	3973	3562
NOL12	919	1264	566	636
NOL6	1527	2165	999	822
NOL7	3005	4153	1993	2113
NOL8	2787	3962	2330	2164
NOL9	1981	2940	1352	1132
NOLC1	5808	7912	4035	3856
NOM1	941	1248	713	727
NOMO1	10232	15279	7333	6430
NOMO2	10456	15704	7536	6695
NOMO3	10312	15442	7417	6522
NONO	15307	21365	10601	10192
NOP10	464	605	220	183
NOP14	5229	7565	3787	3841
NOP16	1489	1991	1019	1056
NOP2	3404	5020	2376	2284
NOP56	12030	17801	8550	8094
NOP58	7434	9400	5123	5025
NOP9	736	1192	628	577
NOS1AP	36	65	56	34
NOS2	48	64	37	25
NOSIP	1380	2022	840	733
NOTCH1	251	514	324	231
NOTCH2	5062	8681	4871	4202
NOTCH2NL	554	925	553	465
NOTCH3	160	304	231	151
NOVA1	46	96	60	58
NPAS1	70	101	68	58
NPAS2	27	73	41	29
NPAT	2222	3218	1494	1213
NPC1	761	1207	611	520
NPC2	419	643	255	240
NPDC1	162	242	151	133
NPEPL1	82	130	63	61
NPEPPS	3428	5391	3497	3046
NPHP1	268	378	191	162
NPHP3	903	1367	721	682
NPHP4	349	482	337	252
NPIP	2946	4216	2294	1813
NPIPL1	403	935	606	472
NPIPL2	135	250	180	130
NPIPL3	1195	2147	1666	1358
NPL	88	146	71	84
NPLOC4	2230	3356	1508	1350
NPM1	91842	129547	61697	62402
NPM3	1349	1765	865	895
NPNT	86	130	75	58
NPRL2	650	986	422	357
NPRL3	104	217	167	110
NPTN	918	1314	613	541
NPTX1	172	278	163	156
NPTX2	151	210	89	69
NQO1	144	271	105	97
NQO2	347	495	270	235
NR1D2	1415	2233	1113	986
NR1H2	288	322	149	135
NR1H3	154	216	86	85
NR2C1	852	1393	718	633
NR2C2	450	751	449	349
NR2C2AP	138	190	73	81
NR2F1	228	380	169	154
NR2F2	233	397	261	210
NR2F6	282	400	246	215
NR3C1	873	1309	668	586
NR3C2	431	589	284	270
NR6A1	266	454	239	186
NRARP	43	58	35	38
NRAS	1116	1589	725	572
NRBF2	390	540	243	215
NRBP1	1663	2238	997	866
NRBP2	30	66	28	25
NRCAM	234	387	189	167
NRD1	4466	6986	3734	3390
NRDE2	1480	2100	1094	1020
NRF1	632	958	443	388
NRIP1	1280	1842	771	693
NRIP3	124	209	104	76
NRN1	193	258	107	99
NRP1	713	1020	471	477
NRP2	134	205	117	84
NRSN2	54	103	58	55
NRXN3	104	197	107	97
NSA2	3120	4134	1895	1798
NSD1	8807	13868	7965	7490
NSDHL	1116	1628	634	550
NSF	2959	4293	2242	2093
NSFL1C	945	1243	652	602
NSL1	1289	1784	807	752
NSMAF	1021	1519	690	591
NSMCE1	746	1058	522	516
NSMCE2	542	702	300	316
NSMCE4A	1659	2421	1036	1026
NSMF	777	1136	606	479
NSRP1	293	283	199	216
NSUN2	3656	5514	2828	2849
NSUN3	497	714	358	322
NSUN4	353	524	231	210
NSUN5	886	1262	598	633
NSUN6	576	863	461	433
NT5C	387	515	219	194
NT5C1B-RDH14	401	532	209	224
NT5C2	704	1014	445	392
NT5C3A	738	1060	412	386
NT5C3B	2398	3392	1334	1129
NT5DC1	1382	2063	894	778
NT5DC2	2667	3731	1798	1586
NT5DC3	360	621	329	327
NTAN1	322	528	217	169
NTHL1	891	1260	672	690
NTMT1	855	1098	461	485
NTN1	115	142	75	80
NTPCR	1019	1397	701	621
NUAK1	223	308	149	123
NUB1	1597	2150	921	851
NUBP1	516	708	311	308
NUBP2	666	922	470	517
NUBPL	298	400	254	226
NUCB1	781	1257	601	569
NUCB2	1220	1662	778	816
NUCKS1	14866	19276	9713	9945
NUDC	2701	3259	1763	1959
NUDCD1	1481	2122	1012	962
NUDCD2	513	690	313	346
NUDCD3	730	1084	456	435
NUDT1	404	533	236	247
NUDT10	318	405	237	235
NUDT11	381	541	301	277
NUDT12	742	1068	522	501
NUDT13	41	67	41	36
NUDT14	135	171	72	73
NUDT15	385	505	304	293
NUDT16	110	142	101	77
NUDT16L1	180	268	140	136
NUDT17	57	79	41	31
NUDT19	292	510	276	285
NUDT2	319	454	173	172
NUDT21	1935	2591	1144	1035
NUDT22	138	177	96	99
NUDT4	282	473	236	251
NUDT5	1853	2742	1371	1209
NUDT6	97	141	63	46
NUDT7	67	96	36	40
NUDT8	101	151	82	80
NUDT9	316	405	243	259
NUF2	1610	2328	1008	977
NUFIP1	685	1133	584	547
NUFIP2	2424	3670	1812	1657
NUMA1	3629	5558	3034	2682
NUMB	469	685	311	255
NUMBL	120	189	119	117
NUP107	5691	7809	3924	3693
NUP133	10799	15719	7730	6967
NUP153	8950	13500	6370	5023
NUP155	8897	13556	6302	5360
NUP160	5533	8555	4727	4091
NUP188	6092	9474	4868	4333
NUP205	14608	21260	9855	8590
NUP210	3209	5739	2988	2437
NUP214	1484	2736	1656	1257
NUP35	956	1306	609	450
NUP37	1632	2226	926	876
NUP43	2091	3094	1436	1209
NUP50	2005	2888	1528	1504
NUP54	2611	3821	1569	1418
NUP62	1000	1497	677	540
NUP62CL	240	370	144	111
NUP85	1979	2798	1274	1140
NUP88	3564	5124	2209	1936
NUP93	4571	6558	3000	2840
NUP98	7064	10264	4546	3888
NUPL1	1811	2683	1176	947
NUPL2	1684	2365	1026	839
NUS1	710	1069	618	583
NUSAP1	3174	4495	1872	1635
NUTF2	1085	1514	489	311
NUTM2A	119	176	92	96
NVL	3885	5581	2750	2436
NXF1	1049	1670	717	734
NXN	356	513	215	212
NXPE3	685	948	509	427
NXT1	339	457	193	181
NXT2	203	265	130	102
NYNRIN	81	124	77	76
OAF	172	244	128	110
OARD1	115	125	84	56
OAT	5709	8082	3267	2924
OAZ1	11126	15563	6251	5596
OAZ2	203	334	215	201
OBFC1	252	376	169	151
OBSCN	268	459	330	265
OBSL1	1121	1677	868	875
OCA2	52	62	43	51
OCIAD1	1161	1624	674	628
OCLN	516	670	344	312
OCRL	1689	2578	1320	1171
ODC1	11480	16826	7668	7209
ODF2	2016	2851	1434	1329
ODF2L	765	1177	607	639
OFD1	1485	2029	957	911
OGDH	1313	1947	1026	890
OGDHL	506	723	358	369
OGFOD1	1882	2739	1474	1416
OGFOD2	114	154	56	52
OGFOD3	185	287	160	136
OGFR	765	1058	533	556
OGFRL1	634	836	375	393
OGG1	214	316	130	97
OGT	5797	8879	4510	3962
OIP5	419	576	252	222
OLA1	4719	6680	3157	3241
OMA1	1319	1986	831	748
ONECUT2	48	72	40	39
OPA1	3815	5349	2664	2501
OPHN1	241	363	208	174
OPN3	77	96	71	53
OPTN	187	277	149	129
ORAI1	73	108	58	27
ORAI2	65	84	64	38
ORAOV1	78	94	66	46
ORC1	2131	3123	1347	1186
ORC2	1571	2322	1041	1020
ORC3	1788	2475	1130	973
ORC4	1581	2179	902	864
ORC5	1255	1789	906	775
ORC6	1192	1597	758	771
ORMDL1	572	844	280	263
ORMDL2	314	483	213	180
ORMDL3	121	203	83	80
OS9	2492	3400	1558	1543
OSBP	1165	1729	1051	990
OSBP2	110	182	105	74
OSBPL10	129	199	82	65
OSBPL11	1129	1702	927	763
OSBPL1A	534	817	435	406
OSBPL2	538	742	346	334
OSBPL3	725	1108	529	486
OSBPL5	134	197	90	70
OSBPL6	703	1033	553	425
OSBPL8	2390	3442	1626	1563
OSBPL9	2812	4053	1712	1583
OSCP1	123	181	80	70
OSER1	627	867	349	272
OSGEP	1136	1540	776	716
OSGEPL1	321	481	227	181
OSGIN2	525	730	332	312
OSR2	48	101	34	23
OST4	290	407	213	185
OSTC	742	967	508	511
OSTF1	370	583	242	157
OSTM1	392	527	264	245
OTUB1	1183	1681	645	529
OTUB2	62	100	49	39
OTUD1	66	91	45	48
OTUD3	307	477	299	267
OTUD4	1693	2521	1446	1357
OTUD5	814	1201	609	554
OTUD6B	829	1089	566	582
OTUD7A	51	73	53	33
OTUD7B	742	1012	608	568
OVCA2	623	779	312	266
OVGP1	93	209	92	101
OVOS2	115	167	86	79
OXA1L	1708	2566	1235	982
OXCT1	1122	1575	769	672
OXLD1	211	270	136	128
OXNAD1	686	1004	499	461
OXR1	876	1372	672	563
OXSM	510	805	359	334
OXSR1	1120	1625	768	785
P2RX4	151	233	102	88
P2RY1	215	310	140	100
P4HA1	951	1498	722	670
P4HA2	308	402	206	156
P4HB	5887	8450	3855	3518
PA2G4	10569	15520	7723	7382
PAAF1	265	397	183	165
PABPC1	10275	19680	11467	9779
PABPC1L	162	249	131	124
PABPC3	961	1715	1200	975
PABPC4	3487	5988	3330	2895
PABPC4L	383	540	352	353
PACRGL	226	310	110	77
PACS1	178	366	226	228
PACS2	551	837	417	359
PACSIN2	936	1267	673	724
PACSIN3	338	413	217	236
PAF1	1952	2580	1156	1112
