	tm_a_hek	tm_b_hek	untr_a_hek	untr_b_hek
CSE1L	9623	12079	11959	10725
CSGALNACT2	114	142	152	167
CSK	475	632	787	713
CSNK1A1	1815	2324	2246	2032
CSNK1D	261	357	488	424
CSNK1E	2124	2513	2540	2315
CSNK1G1	130	179	266	213
CSNK1G2	508	669	602	509
CSNK1G3	307	459	540	511
CSNK2A1	1682	2242	2198	1852
CSNK2A2	459	680	1084	938
CSNK2A3	567	756	716	609
CSNK2B	887	1172	1080	1025
CSPG4	22	37	41	50
CSPG5	250	275	325	274
CSPP1	618	835	1032	926
CSRNP1	42	49	38	40
CSRNP2	137	165	211	170
CSRNP3	30	30	37	45
CSRP2	539	686	704	719
CSRP2BP	481	649	634	669
CST3	204	260	307	306
CSTB	190	255	232	215
CSTF1	551	651	717	574
CSTF2	1086	1253	1290	1195
CSTF2T	663	778	793	751
CSTF3	760	890	1026	920
CTAGE5	346	465	562	544
CTBP1	923	1184	1157	1084
CTBP2	412	525	630	536
CTBS	58	89	92	108
CTC1	104	153	184	157
CTCF	1302	1666	1656	1563
CTDNEP1	164	201	343	250
CTDP1	216	263	347	324
CTDSP1	133	150	194	142
CTDSP2	71	109	121	103
CTDSPL	121	131	182	168
CTDSPL2	570	712	779	707
CTH	133	171	189	170
CTIF	101	101	108	123
CTNNA1	2243	2750	3117	2917
CTNNAL1	1848	2366	2423	2195
CTNNB1	9593	11549	11726	10446
CTNNBIP1	36	55	37	38
CTNNBL1	627	723	813	713
CTNND1	1216	1519	1984	1874
CTNS	93	142	126	84
CTPS1	2159	2788	3227	2974
CTPS2	486	605	664	637
CTR9	1665	2236	2271	2087
CTSA	458	634	512	483
CTSB	237	271	258	264
CTSC	415	517	549	494
CTSD	689	937	969	849
CTSF	110	142	123	138
CTSH	234	280	289	305
CTSL1	658	769	742	722
CTSL2	208	277	267	278
CTSZ	56	79	86	75
CTTN	1306	1764	1888	2020
CTTNBP2	87	121	161	156
CTTNBP2NL	170	211	277	258
CTU1	24	27	45	45
CTU2	322	389	390	335
CUBN	25	33	38	37
CUEDC1	72	81	106	101
CUEDC2	393	429	468	490
CUL1	1915	2536	2615	2565
CUL2	671	823	970	886
CUL3	1632	2108	2570	2299
CUL4A	561	684	772	712
CUL4B	2125	2805	3111	2884
CUL5	1152	1508	1784	1707
CUL7	353	434	537	457
CUL9	188	226	352	295
CUTA	500	669	783	728
CUTC	354	412	447	424
CUX1	376	490	753	643
CWC15	1005	1269	1303	1329
CWC22	961	1201	1215	1122
CWC25	134	181	216	211
CWC27	547	715	746	724
CWF19L1	871	1026	1110	1048
CWF19L2	824	1109	1317	1202
CXADR	329	371	437	332
CXCR4	30	36	23	24
CXXC1	522	705	731	658
CXXC5	27	34	27	26
CXorf23	72	139	169	143
CXorf38	155	229	267	232
CXorf40A	216	265	272	237
CXorf40B	309	416	437	408
CXorf56	477	603	655	692
CXorf57	2171	2637	3116	2710
CYB561	25	23	26	32
CYB561A3	88	123	103	100
CYB561D2	97	103	123	85
CYB5A	287	352	437	398
CYB5B	468	568	509	430
CYB5D1	118	142	141	155
CYB5D2	73	98	118	102
CYB5R1	356	393	376	372
CYB5R3	168	243	366	290
CYB5R4	432	499	598	542
CYB5RL	82	62	119	134
CYBA	338	432	474	425
CYBRD1	22	39	37	33
CYC1	1801	2161	2283	1931
CYCS	2032	2769	2750	2708
CYFIP1	1436	1759	1798	1508
CYFIP2	834	1035	1184	970
CYHR1	107	150	162	155
CYLD	574	677	782	698
CYP20A1	302	351	412	338
CYP26A1	42	48	48	43
CYP27B1	31	60	67	50
CYP2J2	41	44	52	57
CYP2R1	113	116	140	130
CYP2U1	72	80	75	69
CYP39A1	55	93	84	65
CYP4V2	75	106	128	126
CYP51A1	1744	2156	2473	2346
CYR61	41	42	37	39
CYSTM1	84	101	106	66
CYTH1	131	217	256	252
CYTH2	245	340	285	323
CYTH3	89	141	145	133
D2HGDH	115	150	195	196
DAAM1	186	242	368	361
DAAM2	78	101	140	137
DAB2	29	36	51	31
DAB2IP	112	155	227	187
DACH1	130	159	253	204
DACT1	48	55	62	62
DAD1	702	828	700	609
DAG1	615	944	949	733
DAGLA	41	52	66	62
DAGLB	157	184	201	160
DAK	202	234	262	215
DALRD3	161	182	217	196
DAP	31	50	28	29
DAP3	1437	1724	1696	1624
DAPK1	418	514	556	496
DAPK3	421	503	442	422
DARS	2160	2710	2673	2553
DARS2	1028	1237	1247	1020
DAXX	953	1099	1164	1107
DAZAP1	1527	1946	1883	1717
DAZAP2	324	450	302	257
DBF4	1410	1811	1713	1495
DBF4B	117	165	269	217
DBI	527	684	469	382
DBN1	872	1111	1106	1041
DBNDD1	28	26	26	35
DBNDD2	105	145	171	139
DBNL	572	803	837	847
DBP	25	28	36	41
DBR1	453	580	644	592
DBT	261	335	477	387
DCAF10	227	267	345	298
DCAF11	461	554	542	578
DCAF12	535	721	849	698
DCAF13	1621	2086	2203	2202
DCAF15	217	287	252	236
DCAF16	332	350	458	407
DCAF17	163	219	248	202
DCAF4	237	294	296	266
DCAF5	383	492	549	472
DCAF6	990	1246	1312	1209
DCAF7	455	558	693	628
DCAF8	881	1140	1321	1184
DCAKD	184	231	218	208
DCBLD1	139	207	207	211
DCBLD2	658	888	850	751
DCHS1	28	56	71	50
DCK	207	248	245	229
DCLK2	60	76	119	89
DCLRE1A	707	814	773	677
DCLRE1B	192	263	296	279
DCLRE1C	163	225	263	236
DCP1A	438	568	604	522
DCP1B	151	150	179	167
DCP2	918	1249	1301	1236
DCPS	284	358	364	324
DCTD	176	265	290	276
DCTN1	2469	3197	3808	3529
DCTN2	994	1199	1384	1275
DCTN3	329	455	336	377
DCTN4	694	897	934	916
DCTN5	293	418	449	407
DCTN6	211	254	232	242
DCTPP1	515	713	600	480
DCUN1D1	203	291	343	329
DCUN1D2	82	84	139	156
DCUN1D3	56	75	72	67
DCUN1D4	325	399	482	444
DCUN1D5	911	1041	1185	1173
DCXR	603	670	856	743
DDA1	114	157	104	131
DDAH1	101	159	188	176
DDAH2	62	56	64	56
DDB1	8050	9817	9228	8317
DDB2	135	168	181	143
DDHD1	418	531	649	603
DDHD2	664	821	881	842
DDI2	344	436	646	571
DDIT3	37	53	53	50
DDIT4	96	123	159	137
DDOST	2799	3268	2971	2806
DDR1	82	110	104	67
DDR2	258	318	363	322
DDRGK1	695	928	945	1134
DDT	644	820	974	916
DDTL	391	472	600	591
DDX1	3868	4505	5183	5097
DDX10	1495	1858	1971	2032
DDX11	1283	1823	2155	2033
DDX17	6331	8212	9770	9584
DDX18	3034	3518	3950	3875
DDX19B	931	1154	1107	1019
DDX20	1382	1807	1677	1559
DDX21	8048	9708	9811	9500
DDX23	2085	2627	2587	2600
DDX24	2849	3385	3999	3708
DDX26B	233	291	298	290
DDX27	1378	1876	2012	2030
DDX28	292	343	386	301
DDX31	469	615	622	565
DDX39A	1556	2025	2030	1852
DDX39B	4584	5631	6189	5477
DDX3X	6297	8684	8277	7999
DDX3Y	85	165	237	197
DDX41	754	915	896	875
DDX42	1842	2355	2672	2458
DDX46	2647	3357	3728	3795
DDX47	1397	1612	1760	1689
DDX49	915	1189	1176	1110
DDX5	10030	13626	14827	14776
DDX50	1307	1601	1744	1702
DDX51	246	342	379	370
DDX52	820	1045	1228	1104
DDX54	1517	1879	1789	1931
DDX55	727	854	1124	1028
DDX56	1656	2020	1946	1668
DDX58	71	73	119	104
DDX59	339	404	427	353
DDX6	1833	2254	2775	2343
DDX60	42	53	79	61
DEAF1	852	1082	1067	1048
DECR1	255	330	339	338
DECR2	60	51	49	42
DEDD	189	253	290	197
DEDD2	54	61	80	70
DEF8	319	424	449	421
DEGS1	1651	2036	1862	1634
DEK	3755	4575	5081	5133
DENND1A	183	232	329	292
DENND1B	226	287	336	293
DENND2C	222	319	359	304
DENND3	66	108	133	112
DENND4A	834	1070	1272	1105
DENND4B	309	405	545	397
DENND4C	1212	1545	1668	1492
DENND5A	1608	1871	2071	1890
DENND5B	380	464	521	471
DENND6A	779	917	1055	1005
DENR	1086	1341	1289	1259
DEPDC1	2233	2675	2859	2689
DEPDC1B	624	759	768	796
DEPDC5	264	340	436	384
DEPDC7	217	256	318	268
DEPTOR	40	34	55	46
DERA	295	354	367	354
DERL1	236	312	267	217
DERL2	204	261	260	180
DERL3	24	26	23	23
DESI1	230	318	294	286
DESI2	413	531	575	583
DET1	110	172	148	122
DFFA	1150	1360	1449	1312
DFFB	127	148	172	141
DFNA5	31	23	45	26
DFNB31	45	78	107	71
DGAT1	113	129	128	85
DGCR14	422	545	597	629
DGCR2	486	644	631	520
DGCR6	322	337	401	385
DGCR6L	573	636	717	708
DGCR8	811	1071	1277	1287
DGKA	39	37	56	51
DGKD	425	491	630	554
DGKE	197	250	344	309
DGKH	317	459	701	547
DGKQ	122	162	215	166
DGKZ	575	742	871	801
DGUOK	369	376	391	342
DHCR24	1198	1539	1598	1402
DHCR7	683	910	767	617
DHDDS	178	222	212	215
DHFR	1335	1626	1839	1844
DHFRL1	40	47	63	48
DHODH	114	155	183	175
DHPS	342	410	420	383
DHRS1	46	71	67	51
DHRS11	50	77	93	81
DHRS13	45	53	57	55
DHRS3	138	183	205	170
DHRS4	212	296	335	320
DHRS7	489	627	656	572
DHRS7B	319	407	435	368
DHRSX	128	186	198	196
DHTKD1	742	1015	1128	943
DHX15	4906	6039	5960	5675
DHX16	1175	1521	1467	1351
DHX29	1592	1986	2073	1980
DHX30	3702	4829	5092	4386
DHX32	467	594	661	609
DHX33	497	600	961	762
DHX34	477	644	653	633
DHX35	311	377	450	387
DHX36	1336	1776	2457	2252
DHX37	1041	1319	1409	1326
DHX38	1413	1765	1928	1796
DHX40	1688	1964	2222	2010
DHX57	1184	1511	1759	1623
DHX8	1678	2066	2385	2204
DHX9	14610	17939	17928	16312
DIABLO	450	573	548	520
DIAPH1	861	1217	2155	1960
DIAPH2	723	926	1134	1057
DIAPH3	951	1193	1465	1499
DICER1	2944	3595	4353	4068
DIDO1	1377	1867	2295	2034
DIEXF	869	1070	1027	1009
DIMT1	559	609	619	493
DIP2A	391	458	688	573
DIP2B	1122	1391	1600	1416
DIP2C	162	231	299	236
DIRAS1	30	32	34	37
DIRC2	154	194	195	196
DIS3	2655	3299	3447	3369
DIS3L	1051	1239	1472	1283
DIS3L2	281	380	480	431
DISC1	76	101	104	100
DISP1	118	153	143	110
DIXDC1	105	131	139	156
DKC1	2808	3592	3737	3692
DKFZp434J194	74	68	111	97
DKFZp434K1323	94	124	138	136
DKFZp547E087	627	808	1213	1180
DLAT	1421	1890	1866	1687
DLC1	213	238	307	216
DLD	1792	2308	2304	2231
DLG1	707	921	1038	888
DLG3	192	253	292	234
DLG4	22	28	35	32
DLG5	508	729	959	849
DLGAP4	44	59	95	63
DLGAP5	2397	2853	2842	2528
DLL1	29	35	50	48
DLST	700	771	942	875
DLX1	66	77	90	85
DLX2	76	111	164	104
DMAP1	272	375	405	414
DMC1	112	142	161	150
DMD	73	104	98	70
DMKN	241	353	307	251
DMPK	87	130	237	195
DMTF1	1008	1325	1288	1131
DMWD	233	280	465	343
DMXL1	1500	1941	2312	1911
DMXL2	1121	1605	1714	1529
DNA2	1001	1222	1482	1359
DNAAF2	367	452	523	464
DNAAF3	37	54	46	35
DNAH1	162	215	357	287
DNAH11	174	262	277	274
DNAH14	1394	1799	2221	2052
DNAH6	128	142	218	203
DNAH7	44	51	84	71
DNAJA1	4337	5522	5309	5251
DNAJA2	1467	1844	1968	1978
DNAJA3	921	1161	1310	1186
DNAJB1	539	732	725	656
DNAJB11	588	794	824	746
DNAJB12	277	409	362	332
DNAJB14	241	352	340	364
DNAJB2	32	41	27	33
DNAJB4	106	167	178	145
DNAJB5	37	35	47	40
DNAJB6	811	1107	938	968
DNAJB9	63	105	92	69
DNAJC1	405	496	538	498
DNAJC10	2149	2642	2949	2801
DNAJC11	941	1189	1499	1510
DNAJC12	141	173	169	153
DNAJC13	1845	2543	2896	2756
DNAJC14	1471	1766	1853	1821
DNAJC16	213	239	301	240
DNAJC17	145	169	214	215
DNAJC18	143	162	219	166
DNAJC19	304	394	403	350
DNAJC2	1346	1745	1747	1766
DNAJC21	672	861	910	852
DNAJC24	103	115	123	108
DNAJC25	116	186	158	171
DNAJC27	29	35	53	42
DNAJC28	29	38	42	42
DNAJC3	510	662	785	783
DNAJC30	31	39	39	34
DNAJC4	35	36	23	15
DNAJC5	192	222	274	254
DNAJC6	238	274	319	232
DNAJC7	1911	2487	2686	2565
DNAJC8	2147	2664	2764	2918
DNAJC9	845	1071	1088	1095
DNAL1	95	100	163	153
DNAL4	32	47	51	54
DNASE1L1	139	172	181	169
DNASE2	197	276	208	195
DNHD1	99	154	248	186
DNLZ	45	57	60	69
DNM1	108	119	206	161
DNM1L	1749	2238	2212	2012
DNM2	1305	1757	1897	1626
DNM3	98	124	162	128
DNMBP	153	214	326	276
DNMT1	3250	4533	5493	4887
DNMT3A	146	190	230	208
DNMT3B	315	413	413	357
DNPEP	330	393	401	335
DNPH1	301	354	488	416
DNTTIP1	294	423	472	470
DNTTIP2	2877	3339	3651	3398
DOC2A	23	20	36	28
DOCK1	1325	1686	2155	1909
DOCK11	709	920	972	926
DOCK3	303	402	619	508
DOCK4	439	604	696	596
DOCK5	320	438	565	497
DOCK6	83	102	193	149
DOCK7	2311	3015	3404	3049
DOCK8	38	44	54	65
DOCK9	413	566	621	554
DOHH	77	83	97	98
DOK1	47	51	73	60
DOK3	22	28	43	32
DOK4	23	30	25	19
DOLK	215	226	237	173
DOLPP1	150	205	161	136
DOM3Z	174	247	265	249
DONSON	778	991	1013	950
DOPEY1	1284	1731	1882	1684
DOPEY2	205	278	394	343
DOT1L	293	376	659	554
DPAGT1	154	198	170	172
DPCD	296	297	432	457
DPF1	53	87	97	83
DPF2	344	400	498	488
DPF3	22	25	31	35
DPH1	371	481	451	388
DPH2	545	725	716	633
DPH3	55	95	77	60
DPH5	505	653	678	641
DPH6	82	118	135	105
DPM1	505	664	686	653
DPM2	88	105	80	73
DPM3	85	101	110	108
DPP3	431	576	645	581
DPP7	37	64	42	41
DPP8	536	759	895	775
DPP9	398	527	566	520
DPY19L1	644	857	927	819
DPY19L2	34	30	42	32
DPY19L3	353	471	490	496
DPY19L4	324	426	539	453
DPY30	227	350	308	269
DPYSL2	224	341	449	342
DPYSL3	14	40	20	30
DPYSL4	121	131	177	159
DPYSL5	335	385	564	502
DQ576756	56	73	138	124
DQ786325	238	242	286	253
DR1	585	787	780	746
DRAM2	251	301	247	189
DRAP1	354	474	499	557
DRG1	1854	2236	2205	2118
DRG2	786	1009	1011	949
DROSHA	1205	1513	2448	2025
DSC2	192	288	321	270
DSC3	310	412	488	439
DSCC1	525	639	744	759
DSCR3	196	282	221	211
DSE	480	616	574	475
DSG2	930	1212	1655	1361
DSN1	561	692	765	755
DSP	3668	4943	6439	5661
DST	3817	5110	6085	5767
DSTN	645	787	837	775
DSTYK	350	413	580	536
DTD1	393	463	585	605
DTD2	158	186	205	185
DTL	1646	2090	2214	1795
DTNA	110	132	167	132
DTNB	169	232	254	227
DTNBP1	148	177	282	263
DTWD1	141	204	187	156
DTWD2	111	124	141	109
DTX2	32	47	80	62
DTX3	47	65	48	41
DTX3L	61	77	116	87
DTYMK	594	774	881	879
DUS1L	1518	1821	2167	1972
DUS2L	257	273	331	342
DUS3L	684	822	870	839
DUS4L	120	148	146	128
DUSP1	81	103	107	67
DUSP11	351	454	424	435
DUSP12	329	438	449	469
DUSP14	96	141	132	108
DUSP16	234	259	359	309
DUSP19	32	50	33	49
DUSP2	27	36	39	33
DUSP22	58	96	92	98
DUSP3	144	201	218	180
DUSP7	56	66	116	100
DUSP9	115	148	153	135
DUT	473	751	775	830
DVL1	733	860	834	750
DVL2	538	725	706	596
DVL3	241	299	350	312
DYM	446	531	512	399
DYNC1H1	13045	17327	22315	20306
DYNC1I2	1255	1497	1670	1525
DYNC1LI1	1738	2134	2312	2267
DYNC1LI2	724	916	1145	1075
DYNC2H1	6428	8431	9746	9302
DYNC2LI1	370	426	466	416
DYNLL1	734	833	805	790
DYNLL2	103	128	129	114
DYNLRB1	160	220	149	104
DYNLT1	425	573	511	482
DYNLT3	104	141	155	146
DYRK1A	805	983	995	874
DYRK1B	61	107	82	70
DYRK2	436	668	659	665
DYRK3	276	362	409	329
DYRK4	183	236	181	185
DYX1C1	55	56	73	54
DZANK1	30	41	49	53
DZIP1	1340	1734	2057	1829
DZIP1L	119	157	227	223
DZIP3	1288	1710	1615	1555
E2F1	513	584	628	572
E2F2	131	136	175	178
E2F3	335	475	473	405
E2F4	590	828	868	679
E2F5	254	313	361	324
E2F6	214	271	299	269
E2F7	399	448	584	530
E2F8	284	393	465	386
E4F1	557	671	731	616
EAF1	219	261	280	220
EAF2	43	48	74	59
EAPP	476	533	561	479
EARS2	447	544	622	579
EBAG9	117	180	154	143
EBF3	117	137	169	155
EBLN2	71	104	131	121
EBNA1BP2	1745	2044	2189	2282
EBP	705	789	745	693
EBPL	198	240	281	246
ECD	570	728	866	767
ECE1	170	265	325	230
ECE2	43	63	66	64
ECEL1	26	41	46	41
ECHDC1	859	1079	1111	1047
ECHS1	1373	1748	2055	1941
ECI1	415	529	608	487
ECI2	1569	1899	2058	1974
ECSIT	356	423	415	385
ECT2	2015	2646	2742	2452
EDA	20	28	46	30
EDC3	385	605	725	628
EDC4	1384	1649	1779	1369
EDEM1	395	517	634	643
EDEM2	261	327	305	249
EDEM3	830	1025	1177	1108
EDF1	915	1234	1147	973
EEA1	666	974	1243	1041
EED	536	742	815	759
EEF1A1	199612	241581	251035	240019
EEF1A2	161	232	201	173
EEF1B2	7435	9170	8666	7069
EEF1D	3378	4161	4154	3919
EEF1E1	935	1271	1257	1112
EEF1G	29093	37199	37211	35029
EEF2	32754	41470	36863	32405
EEF2K	216	252	324	311
EEFSEC	146	144	231	165
EEPD1	67	99	115	116
EFCAB11	72	100	81	98
EFCAB14	222	302	393	353
EFCAB2	42	52	75	52
EFCAB4B	103	120	160	140
EFCAB6	36	67	72	53
EFCAB7	256	369	363	320
EFHC1	247	321	314	328
EFHD2	100	135	170	165
EFNA5	30	37	80	66
EFNB1	81	121	132	92
EFNB2	95	142	112	93
EFR3A	530	714	760	747
EFR3B	58	68	100	83
EFTUD1	1003	1241	1378	1205
EFTUD2	3908	4632	5343	5003
EGFL7	49	62	84	68
EGFR	51	78	110	106
EGLN1	430	515	676	620
EGLN2	261	372	380	352
EGLN3	24	22	24	27
EHBP1	656	813	1164	1077
EHBP1L1	20	23	45	35
EHD1	145	211	238	214
EHD3	84	127	124	116
EHD4	339	443	357	393
EHHADH	96	155	150	142
EHMT1	806	1061	1198	1076
EHMT2	758	991	1162	990
EI24	1395	1743	1793	1641
EID1	562	765	833	858
EID2	79	96	122	130
EID3	20	45	79	76
EIF1	458	596	1006	856
EIF1AD	109	140	222	218
EIF1AX	1625	2150	1996	2073
EIF1B	202	259	359	319
EIF2A	1931	2304	2340	2034
EIF2AK1	1192	1651	1923	1691
EIF2AK2	583	792	984	880
EIF2AK3	292	391	416	346
EIF2AK4	1124	1449	1636	1444
EIF2B1	855	1038	1088	966
EIF2B2	533	639	686	622
EIF2B3	991	1209	1268	1270
EIF2B4	446	573	599	624
EIF2B5	727	897	803	785
EIF2D	1029	1204	1198	1144
EIF2S1	1149	1443	1516	1445
EIF2S2	3482	4223	4608	4457
EIF2S3	4844	6320	6229	5712
EIF3A	9059	11542	12583	12488
EIF3B	5743	7407	7731	7571
EIF3C	12638	19287	20005	19439
EIF3D	5718	6794	6946	6439
EIF3E	8193	10294	9289	8348
EIF3F	2070	2662	2717	2528
EIF3G	1898	2352	2088	1947
EIF3H	1707	2354	2178	2012
EIF3I	5963	7027	6119	5492
EIF3J	516	709	729	722
EIF3K	2147	2647	2777	2729
EIF3L	5848	7335	6344	5243
EIF3M	4679	5795	6462	6299
EIF4A2	1749	2229	2125	2081
EIF4A3	2033	2759	2587	2421
EIF4B	9577	11967	12275	12121
EIF4E	1257	1676	1777	1700
EIF4E2	667	820	729	687
EIF4E3	63	72	106	84
EIF4EBP1	325	434	505	535
EIF4EBP2	76	149	114	99
EIF4ENIF1	395	519	625	626
EIF4G1	8643	12495	15038	13458
EIF4G2	11596	14296	17823	15495
EIF4G3	2264	2937	3709	3280
EIF4H	2362	2961	2682	2306
EIF5	3834	4692	5100	4806
EIF5A	3998	5190	5465	5201
EIF5A2	56	73	111	105
EIF5AL1	1227	1632	1675	1517
EIF5B	1668	2496	3224	3293
EIF6	628	735	732	634
ELAC1	50	74	76	70
ELAC2	1804	2340	2274	2069
ELAVL1	739	1026	1126	1005
ELAVL2	91	146	117	98
ELF1	208	247	324	255
ELF2	592	751	863	717
ELF4	114	110	226	198
ELK1	276	339	397	309
ELK3	46	47	39	42
ELL	107	131	141	118
ELL2	228	299	267	220
ELL3	32	42	31	27
ELMO2	269	326	380	314
ELMO3	32	27	39	27
ELMOD1	38	36	52	41
ELMOD2	342	419	438	422
ELMOD3	107	108	117	81
ELMSAN1	155	158	311	259
ELOF1	157	267	250	254
ELOVL1	239	300	232	194
ELOVL2	104	135	111	97
ELOVL4	237	324	265	278
ELOVL5	650	732	693	510
ELOVL6	95	112	137	102
ELOVL7	67	87	92	99
ELP2	1175	1404	1582	1413
ELP3	431	594	547	517
ELP4	390	445	470	341
ELP5	418	567	518	502
ELP6	570	650	631	635
EMB	436	594	559	510
EMC1	952	1306	1584	1418
EMC10	472	583	634	587
EMC2	384	504	522	546
EMC3	755	897	732	585
EMC4	355	384	421	348
EMC6	86	108	66	53
EMC7	185	265	264	247
EMC8	261	334	338	282
EMC9	136	145	139	166
EMD	605	780	739	655
EME1	344	380	452	407
EME2	52	68	98	91
EMG1	499	564	619	557
EMILIN2	323	415	605	486
EMILIN3	140	155	176	149
EML1	343	412	433	462
EML2	110	120	135	126
EML3	127	135	155	145
EML4	1438	1832	1830	1721
EML5	605	757	938	926
EML6	130	147	217	177
EMP2	89	114	111	53
EMP3	55	67	55	37
EN2	63	91	109	81
ENAH	2031	2590	2298	2061
ENC1	59	78	89	67
ENDOD1	99	129	114	103
ENDOG	120	182	210	181
ENDOV	43	55	62	56
ENGASE	166	253	236	249
ENKD1	71	85	101	80
ENO1	32615	38514	36019	32713
ENO2	97	129	166	139
ENOPH1	465	594	730	750
ENOSF1	239	261	311	299
ENOX1	144	166	174	174
ENOX2	310	417	475	387
ENPEP	34	31	44	46
ENPP1	456	517	564	529
ENPP4	169	219	202	183
ENSA	1243	1518	1641	1650
ENTHD2	87	127	125	111
ENTPD4	331	401	431	441
ENTPD5	117	128	181	132
ENTPD6	312	379	369	373
ENTPD7	486	578	659	600
ENY2	650	843	916	946
EOGT	171	196	246	171
EP300	970	1349	2556	1959
EP400	455	669	1569	1149
EPAS1	28	37	68	46
EPB41	1729	2289	2670	2429
EPB41L1	112	141	206	178
EPB41L2	1202	1670	2040	1850
EPB41L3	555	761	808	706
EPB41L4A	25	45	62	58
EPB41L4B	57	99	92	98
EPB41L5	340	461	511	436
EPC1	293	402	418	374
EPC2	733	920	869	833
EPDR1	19	33	37	30
EPG5	448	631	798	733
EPHA2	97	109	136	107
EPHA3	258	299	320	292
EPHA4	379	417	491	397
EPHA5	30	40	38	36
EPHA6	251	370	437	436
EPHA7	626	882	977	904
EPHA8	42	49	48	45
EPHB1	32	31	55	27
EPHB2	133	166	165	149
EPHB4	710	861	939	848
EPHX1	156	209	297	264
EPHX2	52	74	96	79
EPHX4	36	46	49	44
EPM2A	26	28	36	30
EPN1	253	330	510	499
EPN2	247	288	300	252
EPPK1	147	188	311	295
EPRS	10246	12784	13430	12659
EPS15	941	1179	1424	1218
EPS15L1	251	334	376	376
EPS8	311	320	337	295
EPT1	446	592	565	435
ERAL1	399	526	494	461
ERAP1	62	97	83	83
ERBB2	349	417	475	429
ERBB2IP	1597	2036	2175	1902
ERBB4	56	80	100	97
ERC1	538	683	1131	1089
ERC2	177	267	307	259
ERCC1	316	351	403	371
ERCC2	350	481	500	416
ERCC3	1127	1315	1511	1329
ERCC4	400	466	532	552
ERCC6	522	629	715	723
ERCC6L	1040	1353	1359	1258
ERCC6L2	657	855	947	834
ERCC8	291	365	381	401
ERF	118	136	140	107
ERGIC1	388	508	328	275
ERGIC2	615	785	759	772
ERGIC3	1794	2288	2069	1875
ERH	1487	1948	1553	1563
ERI1	215	246	366	324
ERI2	416	514	546	446
ERI3	601	709	767	666
ERICH1	148	185	210	193
ERLEC1	467	573	575	529
ERLIN1	249	339	412	381
ERLIN2	366	495	492	433
ERMAP	27	27	37	31
ERMP1	171	241	250	208
ERN1	56	77	90	86
ERO1L	819	1009	1304	1221
ERO1LB	146	181	210	219
ERP29	946	1092	1015	937
ERP44	607	706	774	692
ERRFI1	177	209	169	153
ERV3-1	32	63	75	71
ESCO1	587	710	796	714
ESCO2	394	482	473	408
ESD	1565	1913	2066	1916
ESF1	1094	1384	1428	1515
ESPL1	1062	1378	1961	1581
ESPNL	34	51	64	53
ESRP2	138	156	198	159
ESRRA	206	210	217	211
ESYT1	1524	2106	2160	1898
ESYT2	803	1014	1074	918
ETAA1	523	645	649	634
ETF1	2812	3538	3675	3592
ETFA	2447	2976	3018	2910
ETFB	603	776	883	888
ETFDH	580	731	805	748
ETHE1	68	81	60	56
ETNK1	616	803	966	801
ETNK2	111	142	141	147
ETS2	201	234	340	254
ETV3	185	236	239	208
ETV3L	18	25	45	40
EVC	166	235	430	355
EVI5	636	821	991	880
EVI5L	93	104	133	121
EVL	190	253	334	295
EWSR1	4721	6419	6069	5937
EXD2	287	363	430	402
EXO1	2310	2946	3243	2978
EXO5	55	63	60	56
EXOC1	713	911	925	850
EXOC2	1072	1453	1433	1271
EXOC3	456	590	655	620
EXOC4	1008	1241	1433	1288
EXOC5	967	1291	1411	1441
EXOC6	750	924	1043	953
EXOC6B	491	667	853	698
EXOC7	854	1087	1051	915
EXOC8	928	1125	1463	1308
EXOG	178	224	368	347
EXOSC1	244	302	271	255
EXOSC10	2215	2865	2916	2649
EXOSC2	933	1208	1368	1325
EXOSC3	591	756	952	836
EXOSC4	320	427	507	422
EXOSC5	328	392	423	431
EXOSC6	59	77	130	163
EXOSC7	729	894	1074	1046
EXOSC8	709	947	1097	1052
EXOSC9	1332	1486	1660	1611
EXPH5	317	396	556	424
EXT1	610	752	750	634
EXT2	1149	1425	1410	1341
EXTL2	170	220	257	188
EXTL3	261	334	401	348
EYA1	109	150	142	147
EYA2	42	51	52	32
EYA3	487	658	749	543
EYA4	319	449	374	356
EZH1	189	301	321	292
EZH2	1071	1354	1403	1318
EZR	1466	1840	1816	1784
F11R	130	166	147	169
F2R	87	111	111	115
F2RL1	111	152	148	116
F8	67	83	101	89
FABP5	409	616	592	674
FADD	133	158	194	170
FADS1	366	483	439	330
FADS2	280	369	316	249
FADS3	50	67	61	54
FAF1	1345	1678	1837	1645
FAF2	760	982	846	806
FAH	335	362	411	337
FAHD1	148	155	218	187
FAHD2A	369	476	474	401
FAHD2B	314	365	352	316
FAIM	520	682	801	764
FAM101B	87	120	90	99
FAM102A	35	27	53	44
FAM102B	186	243	270	257
FAM103A1	350	380	460	404
FAM104A	69	86	94	78
FAM104B	51	50	46	53
FAM105A	102	125	146	130
FAM105B	194	259	293	280
FAM107B	93	71	96	102
FAM110B	23	12	40	31
FAM114A1	46	55	54	69
FAM114A2	322	400	395	381
FAM115A	641	861	961	842
FAM117A	55	72	117	71
FAM117B	155	185	236	222
FAM118A	128	162	197	180
FAM118B	324	394	395	365
FAM120A	1838	2197	2625	2377
FAM120AOS	65	75	86	57
FAM120B	601	790	985	833
FAM120C	117	134	177	143
FAM122A	105	174	137	118
FAM122B	124	168	284	211
FAM126A	544	645	611	584
