	ribo_tmisrib_a	ribo_tmisrib_b	ribo_untr_a	ribo_untr_b
CYP27B1	7	3	6	6
CYP2J2	55	47	72	88
CYP2R1	21	41	34	45
CYP2U1	67	77	81	121
CYP39A1	23	30	24	29
CYP4V2	26	24	30	32
CYP51A1	1249	1518	1710	2225
CYR61	244	348	315	398
CYSTM1	290	322	397	498
CYTH1	78	107	117	124
CYTH2	92	92	126	220
CYTH3	58	47	75	86
D2HGDH	124	128	144	273
DAAM1	125	140	168	207
DAAM2	93	86	138	168
DAB2	114	150	184	248
DAB2IP	92	87	129	200
DACH1	163	156	205	355
DACT1	33	44	65	94
DAD1	622	749	953	1347
DAG1	581	635	646	997
DAGLA	45	35	22	60
DAGLB	132	152	194	267
DAK	132	122	134	225
DALRD3	78	84	125	163
DAP	81	79	107	189
DAP3	1024	1128	1377	1910
DAPK1	179	167	240	317
DAPK3	274	288	431	612
DARS	1349	1616	1960	2287
DARS2	1243	1504	1816	2323
DAXX	242	315	422	581
DAZAP1	1149	1270	1567	2309
DAZAP2	640	786	883	1285
DBF4	165	225	231	298
DBF4B	58	58	87	129
DBI	477	519	771	954
DBN1	887	916	1222	1740
DBNDD1	21	31	56	52
DBNDD2	209	299	302	497
DBNL	625	645	863	1410
DBP	12	19	30	35
DBR1	291	345	425	551
DBT	245	255	395	528
DCAF10	149	154	207	330
DCAF11	93	91	121	180
DCAF12	196	229	327	428
DCAF13	996	1183	1491	2068
DCAF15	321	309	415	621
DCAF16	167	228	278	337
DCAF17	89	101	103	158
DCAF4	88	102	124	160
DCAF5	182	181	224	351
DCAF6	373	398	537	660
DCAF7	834	945	1176	1851
DCAF8	346	435	604	796
DCAKD	263	277	371	481
DCBLD1	100	103	120	168
DCBLD2	145	206	187	299
DCHS1	17	8	19	19
DCK	283	362	418	551
DCLK2	56	47	62	69
DCLRE1A	147	192	248	286
DCLRE1B	105	126	177	241
DCLRE1C	49	72	87	109
DCP1A	216	229	300	428
DCP1B	118	157	188	263
DCP2	288	323	438	634
DCPS	123	133	189	275
DCTD	220	268	343	421
DCTN1	1267	1335	1732	2465
DCTN2	1465	1509	1815	2606
DCTN3	492	615	835	1051
DCTN4	841	1002	1206	1750
DCTN5	268	281	374	498
DCTN6	378	452	618	750
DCTPP1	487	574	815	1129
DCUN1D1	246	316	342	432
DCUN1D2	22	31	23	54
DCUN1D3	14	11	17	27
DCUN1D4	156	155	223	334
DCUN1D5	633	638	831	937
DCXR	535	611	798	1249
DDA1	176	194	264	435
DDAH1	505	557	795	967
DDAH2	42	46	47	71
DDB1	4430	5007	5873	8467
DDB2	210	192	160	277
DDHD1	157	149	206	235
DDHD2	202	268	308	383
DDI2	272	314	460	623
DDIT3	20	13	18	31
DDIT4	121	161	219	356
DDOST	2943	2762	3261	4369
DDR1	133	113	150	220
DDR2	289	270	361	432
DDRGK1	529	503	619	947
DDT	798	869	1076	1572
DDTL	637	678	900	1226
DDX1	2323	2539	3124	4269
DDX10	537	581	652	937
DDX11	609	593	688	990
DDX17	3359	3738	4724	7104
DDX18	1389	1563	1749	2485
DDX19B	445	505	520	779
DDX20	636	926	972	1466
DDX21	4507	5293	6109	8073
DDX23	793	878	1219	1712
DDX24	2453	2768	3391	5189
DDX26B	62	73	82	94
DDX27	962	1004	1286	1928
DDX28	255	256	321	492
DDX31	295	327	412	608
DDX39A	1330	1558	1933	2853
DDX39B	4130	4203	5002	7781
DDX3X	3912	4536	4801	6991
DDX3Y	174	213	164	335
DDX41	283	254	356	565
DDX42	1032	1189	1513	2005
DDX46	2325	2562	3108	4052
DDX47	930	1014	1274	1741
DDX49	480	517	568	913
DDX5	6264	7310	7844	11791
DDX50	728	801	1038	1290
DDX51	197	218	267	430
DDX52	691	788	989	1217
DDX54	781	926	1241	1855
DDX55	282	281	347	489
DDX56	1749	1923	2320	3499
DDX58	36	44	45	57
DDX59	150	178	190	251
DDX6	1373	1664	1754	2524
DDX60	51	45	78	85
DEAF1	64	67	115	144
DECR1	53	58	88	88
DECR2	48	23	60	63
DEDD	103	113	145	213
DEDD2	65	63	125	173
DEF8	166	182	246	384
DEGS1	1441	1737	1840	2970
DEK	2446	3030	3636	4400
DENND1A	81	109	161	216
DENND1B	40	46	39	72
DENND2C	66	70	87	110
DENND3	70	67	94	98
DENND4A	298	336	402	535
DENND4B	141	88	121	197
DENND4C	332	403	431	601
DENND5A	109	105	114	161
DENND5B	259	288	344	500
DENND6A	169	224	258	363
DENR	792	985	1203	1748
DEPDC1	649	810	918	1139
DEPDC1B	229	277	354	447
DEPDC5	62	78	82	90
DEPDC7	127	152	200	239
DEPTOR	19	22	24	26
DERA	291	288	408	484
DERL1	364	342	413	642
DERL2	277	265	289	466
DERL3	71	75	100	124
DESI1	227	222	302	406
DESI2	190	191	261	331
DET1	24	36	41	63
DFFA	529	629	854	1052
DFFB	110	117	143	227
DFNA5	57	66	56	76
DFNB31	27	31	40	48
DGAT1	77	100	104	169
DGCR14	216	206	284	438
DGCR2	196	212	246	413
DGCR6	80	87	119	169
DGCR6L	107	126	161	226
DGCR8	155	159	179	294
DGKA	39	36	54	46
DGKD	132	115	172	210
DGKE	189	195	195	323
DGKH	202	237	256	374
DGKQ	20	12	22	35
DGKZ	152	115	196	265
DGUOK	289	336	345	507
DHCR24	1587	1691	2086	3711
DHCR7	601	669	836	1310
DHDDS	144	181	196	290
DHFR	1626	1824	2389	3093
DHFRL1	175	141	192	269
DHODH	93	59	118	141
DHPS	448	453	591	812
DHRS1	79	68	111	141
DHRS11	62	78	64	86
DHRS13	52	54	76	121
DHRS3	111	126	131	205
DHRS4	143	149	195	339
DHRS7	307	322	402	595
DHRS7B	150	149	188	286
DHRSX	140	202	160	270
DHTKD1	395	465	548	719
DHX15	2863	3173	3473	5505
DHX16	750	808	1082	1584
DHX29	473	566	649	891
DHX30	1091	1221	1503	2411
DHX32	292	281	337	487
DHX33	529	612	760	963
DHX34	161	193	229	377
DHX35	119	131	184	193
DHX36	919	1142	1280	1773
DHX37	487	466	610	1037
DHX38	421	455	624	910
DHX40	953	1063	1228	1691
DHX57	484	541	651	878
DHX8	893	1034	1209	1685
DHX9	5938	6876	7436	11119
DIABLO	459	491	654	908
DIAPH1	793	797	842	1329
DIAPH2	156	170	220	287
DIAPH3	361	425	474	674
DICER1	629	711	825	1096
DIDO1	516	515	695	979
DIEXF	220	291	323	446
DIMT1	265	328	382	487
DIP2A	166	191	212	306
DIP2B	588	628	768	1149
DIP2C	197	192	225	328
DIRAS1	88	71	86	117
DIRC2	134	147	174	239
DIS3	917	1094	1319	1707
DIS3L	239	314	336	506
DIS3L2	120	116	169	205
DISC1	28	15	22	29
DISP1	36	45	38	57
DIXDC1	47	53	85	96
DKC1	1290	1360	1587	2337
DKFZp434J194	0	0	1	0
DKFZp434K1323	116	176	171	302
DKFZp547E087	60	40	56	56
DLAT	946	989	1125	1680
DLC1	180	246	278	381
DLD	3337	3538	4364	5937
DLG1	296	353	382	504
DLG3	160	201	237	255
DLG4	5	5	12	4
DLG5	253	244	298	461
DLGAP4	67	91	145	151
DLGAP5	1101	1320	1611	2031
DLL1	36	38	44	66
DLST	1022	1154	1412	1855
DLX1	46	46	66	92
DLX2	375	440	521	892
DMAP1	335	354	441	717
DMC1	3	7	18	14
DMD	128	147	178	208
DMKN	331	347	542	616
DMPK	18	12	16	8
DMTF1	120	142	157	178
DMWD	118	116	152	276
DMXL1	696	879	938	1203
DMXL2	487	494	548	718
DNA2	558	626	749	941
DNAAF2	121	165	266	332
DNAAF3	17	16	22	29
DNAH1	37	13	17	6
DNAH11	57	28	56	41
DNAH14	264	331	386	529
DNAH6	13	26	27	22
DNAH7	14	15	20	16
DNAJA1	2083	2471	3042	4783
DNAJA2	945	1191	1362	2012
DNAJA3	566	584	784	1098
DNAJB1	500	469	831	1309
DNAJB11	612	664	737	980
DNAJB12	345	379	500	639
DNAJB14	109	136	185	210
DNAJB2	64	94	128	183
DNAJB4	37	60	79	96
DNAJB5	22	27	35	54
DNAJB6	664	686	878	1400
DNAJB9	56	93	91	131
DNAJC1	406	426	440	620
DNAJC10	354	398	440	563
DNAJC11	561	634	725	1216
DNAJC12	155	167	261	311
DNAJC13	434	483	610	799
DNAJC14	937	967	1255	1636
DNAJC16	170	173	238	330
DNAJC17	64	69	81	130
DNAJC18	214	258	290	368
DNAJC19	133	166	190	218
DNAJC2	552	624	786	1042
DNAJC21	378	398	478	679
DNAJC24	32	37	65	65
DNAJC25	31	26	30	45
DNAJC27	1	11	8	8
DNAJC28	12	23	31	39
DNAJC3	306	301	357	481
DNAJC30	51	65	72	129
DNAJC4	17	23	31	36
DNAJC5	274	340	460	607
DNAJC6	287	364	434	534
DNAJC7	1219	1350	1723	2343
DNAJC8	1118	1281	1609	2142
DNAJC9	516	494	632	933
DNAL1	48	65	62	115
DNAL4	26	30	46	52
DNASE1L1	31	42	41	77
DNASE2	316	342	376	519
DNHD1	14	6	3	2
DNLZ	48	39	52	93
DNM1	189	196	235	309
DNM1L	1172	1463	1642	2205
DNM2	1262	1383	1681	2564
DNM3	39	28	46	53
DNMBP	180	190	212	309
DNMT1	2562	2826	3538	5465
DNMT3A	114	105	141	255
DNMT3B	117	142	161	264
DNPEP	311	312	421	608
DNPH1	461	442	601	774
DNTTIP1	545	569	744	1115
DNTTIP2	523	713	838	924
DOC2A	12	12	31	33
DOCK1	339	320	447	614
DOCK11	373	413	491	561
DOCK3	68	54	68	98
DOCK4	446	442	547	726
DOCK5	185	191	249	299
DOCK6	99	76	132	148
DOCK7	836	954	1158	1458
DOCK8	60	75	79	105
DOCK9	149	149	196	238
DOHH	96	106	146	222
DOK1	8	7	17	30
DOK3	1	3	4	3
DOK4	24	18	31	47
DOLK	211	225	256	440
DOLPP1	203	212	244	445
DOM3Z	177	188	268	352
DONSON	494	594	775	985
DOPEY1	372	395	474	638
DOPEY2	267	263	288	438
DOT1L	168	165	242	358
DPAGT1	262	287	359	542
DPCD	296	328	400	567
DPF1	115	142	151	235
DPF2	413	442	555	874
DPF3	9	14	10	19
DPH1	375	411	542	790
DPH2	142	145	184	321
DPH3	98	100	118	187
DPH5	306	345	471	624
DPH6	123	104	163	203
DPM1	893	988	1195	1654
DPM2	70	107	117	195
DPM3	232	210	304	415
DPP3	445	460	526	921
DPP7	2	6	10	8
DPP8	263	301	348	454
DPP9	330	366	525	736
DPY19L1	455	489	523	668
DPY19L2	59	55	67	94
DPY19L3	433	473	530	795
DPY19L4	125	134	154	206
DPY30	194	243	256	386
DPYSL2	908	946	1174	1717
DPYSL3	557	692	910	1295
DPYSL4	96	92	102	230
DPYSL5	406	420	547	757
DQ576756	0	0	0	1
DQ786325	53	70	94	165
DR1	317	347	496	626
DRAM2	169	138	203	222
DRAP1	182	193	246	392
DRG1	1354	1457	1639	2449
DRG2	333	351	515	704
DROSHA	624	716	966	1263
DSC2	382	388	411	522
DSC3	517	582	480	836
DSCC1	315	367	410	565
DSCR3	183	173	252	297
DSE	120	121	182	231
DSG2	1169	1269	1358	1771
DSN1	229	236	328	395
DSP	2399	2808	3316	4448
DST	685	606	577	878
DSTN	1368	1655	1966	2440
DSTYK	78	99	126	182
DTD1	321	327	413	674
DTD2	54	67	90	99
DTL	670	778	976	1393
DTNA	144	135	211	245
DTNB	117	114	147	237
DTNBP1	326	381	451	691
DTWD1	79	112	174	168
DTWD2	86	94	144	181
DTX2	36	65	83	93
DTX3	72	62	91	120
DTX3L	100	134	186	237
DTYMK	434	432	551	956
DUS1L	223	187	292	450
DUS2L	173	162	226	333
DUS3L	228	254	314	554
DUS4L	62	76	100	108
DUSP1	274	331	310	411
DUSP11	195	236	321	432
DUSP12	153	164	162	250
DUSP14	139	158	225	327
DUSP16	69	98	133	178
DUSP19	39	40	52	77
DUSP2	0	0	0	0
DUSP22	34	51	63	61
DUSP3	242	263	314	499
DUSP7	77	81	142	175
DUSP9	61	59	56	110
DUT	974	1029	1417	1745
DVL1	100	95	150	197
DVL2	431	444	663	938
DVL3	281	263	394	595
DYM	508	537	696	812
DYNC1H1	4073	4090	4658	6340
DYNC1I2	1023	1108	1340	1836
DYNC1LI1	702	837	1071	1283
DYNC1LI2	501	515	659	851
DYNC2H1	1279	1480	1613	2010
DYNC2LI1	160	215	254	319
DYNLL1	886	1009	1334	2083
DYNLL2	249	299	353	396
DYNLRB1	372	507	635	854
DYNLT1	515	628	831	1035
DYNLT3	79	92	131	172
DYRK1A	284	279	384	501
DYRK1B	167	152	242	355
DYRK2	110	134	172	275
DYRK3	106	114	175	214
DYRK4	116	120	187	234
DYX1C1	57	40	79	91
DZANK1	28	36	34	46
DZIP1	91	77	120	114
DZIP1L	21	24	24	40
DZIP3	333	341	429	517
E2F1	87	81	127	128
E2F2	177	185	311	387
E2F3	241	337	390	526
E2F4	166	196	292	394
E2F5	156	149	191	257
E2F6	151	198	213	228
E2F7	291	304	375	582
E2F8	90	108	154	187
E4F1	140	149	221	322
EAF1	240	282	371	477
EAF2	28	35	53	48
EAPP	212	262	276	400
EARS2	304	310	424	573
EBAG9	54	70	92	120
EBF3	213	203	229	322
EBLN2	0	0	0	0
EBNA1BP2	1109	1178	1590	2530
EBP	754	674	926	1487
EBPL	538	591	726	1045
ECD	890	1149	1341	1872
ECE1	543	544	576	863
ECE2	35	41	43	81
ECEL1	30	27	29	56
ECHDC1	691	850	948	1279
ECHS1	1562	1446	1885	2668
ECI1	364	360	477	676
ECI2	766	809	1142	1457
ECSIT	175	175	257	417
ECT2	1054	1171	1403	1734
EDA	20	20	21	47
EDC3	479	593	702	991
EDC4	925	1040	1227	2074
EDEM1	50	54	94	98
EDEM2	63	42	58	87
EDEM3	194	195	197	300
EDF1	861	836	1163	1990
EEA1	736	824	951	1256
EED	262	267	381	541
EEF1A1	60753	62243	62034	107446
EEF1A2	1084	1126	1487	1779
EEF1B2	3806	3989	4307	6813
EEF1D	1142	1281	1366	2376
EEF1E1	1117	1418	1567	2212
EEF1G	7540	7904	9317	14779
EEF2	18232	20281	22578	37728
EEF2K	86	122	145	205
EEFSEC	168	194	244	382
EEPD1	27	30	65	80
EFCAB11	41	50	81	88
EFCAB14	133	132	172	193
EFCAB2	10	11	14	25
EFCAB4B	36	42	46	56
EFCAB6	8	7	7	15
EFCAB7	131	156	184	229
EFHC1	96	97	106	185
EFHD2	151	147	237	371
EFNA5	217	277	278	422
EFNB1	125	161	152	274
EFNB2	305	324	376	531
EFR3A	101	110	139	168
EFR3B	124	108	156	210
EFTUD1	236	272	331	441
EFTUD2	2859	2753	3344	5496
EGFL7	141	187	204	322
EGFR	135	149	172	209
EGLN1	241	228	339	466
EGLN2	94	101	142	233
EGLN3	71	77	89	132
EHBP1	194	199	255	273
EHBP1L1	18	22	44	50
EHD1	156	148	213	281
EHD3	39	33	51	87
EHD4	229	242	356	489
EHHADH	126	153	182	218
EHMT1	428	408	503	775
EHMT2	490	519	645	1045
EI24	211	226	248	355
EID1	869	809	1196	1801
EID2	357	384	601	795
EID3	0	2	1	2
EIF1	1193	1426	1550	2316
EIF1AD	93	86	148	160
EIF1AX	2095	1939	2311	3079
EIF1B	204	234	298	437
EIF2A	634	835	935	1185
EIF2AK1	645	722	967	1182
EIF2AK2	677	816	999	1218
EIF2AK3	47	42	79	86
EIF2AK4	388	423	494	649
EIF2B1	749	720	883	1320
EIF2B2	330	376	476	652
EIF2B3	738	758	938	1280
EIF2B4	305	366	411	619
EIF2B5	391	402	441	718
EIF2D	223	231	289	394
EIF2S1	1404	1542	1895	2654
EIF2S2	2161	2360	2845	3479
EIF2S3	5814	6678	8227	10274
EIF3A	4543	5084	5626	9105
EIF3B	3151	3469	4433	6276
EIF3C	14485	15701	19821	26935
EIF3D	3800	4264	5250	7157
EIF3E	3701	4555	5164	6812
EIF3F	1154	1247	1403	2208
EIF3G	1709	2189	2800	3998
EIF3H	1337	1656	1938	2788
EIF3I	4234	4625	6011	7957
EIF3J	610	700	875	1308
EIF3K	3996	4370	5809	7540
EIF3L	2139	2647	3016	4622
EIF3M	2741	3089	3482	4822
EIF4A2	809	896	1274	1747
EIF4A3	1410	1585	1890	2746
EIF4B	2689	2892	3097	4691
EIF4E	735	847	1037	1511
EIF4E2	390	444	514	787
EIF4E3	43	50	54	78
EIF4EBP1	329	350	468	665
EIF4EBP2	124	125	153	262
EIF4ENIF1	259	266	343	507
EIF4G1	6437	7160	8759	12745
EIF4G2	1586	1884	2092	2674
EIF4G3	1662	1826	2083	3041
EIF4H	1532	1699	2284	3023
EIF5	1159	1281	1558	1867
EIF5A	12169	13150	17503	25362
EIF5A2	70	80	67	97
EIF5AL1	5957	6644	8296	11269
EIF5B	1598	1883	2123	2964
EIF6	576	657	914	1388
ELAC1	39	56	39	79
ELAC2	699	727	1055	1390
ELAVL1	1410	1565	2195	3078
ELAVL2	116	136	157	211
ELF1	370	407	471	605
ELF2	252	327	323	460
ELF4	203	201	273	325
ELK1	75	91	106	192
ELK3	40	34	75	68
ELL	91	108	165	241
ELL2	121	155	211	235
ELL3	103	108	175	168
ELMO2	249	237	289	452
ELMO3	0	2	3	1
ELMOD1	11	16	11	12
ELMOD2	255	302	366	514
ELMOD3	6	8	7	16
ELMSAN1	101	109	160	214
ELOF1	235	224	254	491
ELOVL1	388	427	562	867
ELOVL2	127	127	160	257
ELOVL4	422	455	502	713
ELOVL5	997	1139	1365	2057
ELOVL6	210	203	253	436
ELOVL7	108	114	132	194
ELP2	634	757	937	1262
ELP3	601	726	820	1150
ELP4	166	207	269	307
ELP5	329	373	502	694
ELP6	183	213	261	423
EMB	241	279	308	364
EMC1	1340	1420	1448	2201
EMC10	319	361	381	773
EMC2	330	378	471	519
EMC3	643	697	780	1062
EMC4	508	509	640	972
EMC6	83	99	115	227
EMC7	430	469	513	753
EMC8	209	254	321	469
EMC9	56	56	69	97
EMD	556	659	856	1299
EME1	114	137	145	224
EME2	10	10	13	17
EMG1	394	438	546	879
EMILIN2	126	140	106	107
EMILIN3	199	210	223	329
EML1	345	335	380	517
EML2	83	126	138	202
EML3	69	60	89	104
EML4	657	745	824	1223
EML5	76	70	76	109
EML6	21	11	11	11
EMP2	76	103	113	170
EMP3	112	105	164	211
EN2	59	81	109	169
ENAH	934	1041	1345	1738
ENC1	210	225	248	388
ENDOD1	92	100	120	179
ENDOG	227	237	297	511
ENDOV	28	21	33	52
ENGASE	64	55	67	115
ENKD1	23	31	36	56
ENO1	28914	30883	38739	57987
ENO2	1148	1086	1308	1798
ENOPH1	308	332	424	641
ENOSF1	128	118	174	223
ENOX1	38	42	49	58
ENOX2	69	74	97	108
ENPEP	196	250	236	276
ENPP1	259	275	294	396
ENPP4	208	267	320	379
ENSA	698	883	1095	1667
ENTHD2	63	48	75	107
ENTPD4	90	89	82	155
ENTPD5	15	17	22	22
ENTPD6	140	133	152	261
ENTPD7	147	132	206	252
ENY2	394	470	532	867
EOGT	84	81	97	125
EP300	1047	1203	1341	1905
EP400	839	821	847	1344
EPAS1	44	37	77	84
EPB41	781	876	1131	1466
EPB41L1	55	63	73	107
EPB41L2	1071	1250	1618	2141
EPB41L3	692	843	913	1395
EPB41L4A	17	32	38	40
EPB41L4B	40	52	66	70
EPB41L5	224	289	328	415
EPC1	133	138	125	182
EPC2	102	162	160	195
EPDR1	146	144	187	273
EPG5	202	223	274	367
EPHA2	399	379	520	739
EPHA3	115	137	156	199
EPHA4	262	272	301	475
EPHA5	109	101	107	180
EPHA6	105	92	89	135
EPHA7	813	893	937	1464
EPHA8	21	15	28	38
EPHB1	25	18	27	46
EPHB2	142	151	184	242
EPHB4	233	250	234	415
EPHX1	305	306	428	566
EPHX2	111	120	134	173
EPHX4	58	68	76	105
EPM2A	16	26	26	35
EPN1	285	336	499	731
EPN2	95	85	121	194
EPPK1	609	681	736	1106
EPRS	2818	3057	3551	4546
EPS15	521	569	664	902
EPS15L1	507	571	692	986
EPS8	358	460	572	776
EPT1	433	445	547	841
ERAL1	497	503	634	1037
ERAP1	163	139	169	203
ERBB2	133	112	175	168
ERBB2IP	461	577	683	850
ERBB4	203	189	238	246
ERC1	407	427	556	718
ERC2	10	22	17	25
ERCC1	221	165	214	397
ERCC2	337	351	486	639
ERCC3	441	473	607	838
ERCC4	178	203	271	388
ERCC6	180	218	293	424
ERCC6L	286	366	391	580
ERCC6L2	63	64	80	98
ERCC8	41	63	80	81
ERF	97	128	214	341
ERGIC1	256	278	358	525
ERGIC2	280	344	393	482
ERGIC3	943	968	1180	1710
ERH	1507	1777	1953	2637
ERI1	237	230	344	385
ERI2	109	150	165	174
ERI3	675	782	976	1313
ERICH1	107	129	210	228
ERLEC1	195	193	258	298
ERLIN1	193	200	269	353
ERLIN2	481	578	614	841
ERMAP	5	11	16	15
ERMP1	342	339	474	593
ERN1	36	38	33	58
ERO1L	555	578	731	826
ERO1LB	106	98	106	156
ERP29	623	642	845	1298
ERP44	648	763	895	1290
ERRFI1	158	139	171	238
ERV3-1	2	3	1	8
ESCO1	51	55	88	111
ESCO2	444	591	747	1011
ESD	1702	1957	2482	3356
ESF1	367	456	561	766
ESPL1	956	1011	1106	1773
ESPNL	0	2	0	0
ESRP2	222	199	264	346
ESRRA	96	95	115	172
ESYT1	1239	1185	1620	2218
ESYT2	477	471	540	808
ETAA1	66	101	120	125
ETF1	2084	2352	2990	3774
ETFA	1782	1779	2426	3025
ETFB	503	452	682	930
ETFDH	239	263	268	438
ETHE1	79	74	103	133
ETNK1	452	515	651	1060
ETNK2	24	30	50	62
ETS2	235	297	307	470
ETV3	198	185	258	410
ETV3L	17	24	25	45
EVC	27	27	35	47
EVI5	166	213	236	332
EVI5L	58	60	81	105
EVL	62	62	72	128
EWSR1	3275	4198	4628	6669
EXD2	161	181	175	248
EXO1	381	409	543	625
EXO5	84	93	80	127
EXOC1	340	339	449	570
EXOC2	660	753	833	1114
EXOC3	283	327	429	592
EXOC4	770	794	979	1271
EXOC5	366	399	562	650
EXOC6	540	659	808	956
EXOC6B	262	298	359	439
EXOC7	464	576	708	1053
EXOC8	381	367	468	711
EXOG	81	92	118	186
EXOSC1	319	360	445	707
EXOSC10	1288	1518	1758	2692
EXOSC2	743	744	877	1312
EXOSC3	311	398	511	754
EXOSC4	251	273	396	660
EXOSC5	448	436	555	887
EXOSC6	191	191	265	435
EXOSC7	259	257	354	510
EXOSC8	838	957	1162	1479
EXOSC9	492	554	665	1008
EXPH5	100	93	124	159
EXT1	128	165	153	223
EXT2	518	582	631	848
EXTL2	120	158	182	179
EXTL3	169	188	190	271
EYA1	30	44	42	50
EYA2	100	130	132	204
EYA3	249	317	396	538
EYA4	192	242	299	448
EZH1	80	83	106	99
EZH2	533	614	705	1099
EZR	1753	1857	2161	3529
F11R	271	265	268	425
F2R	191	218	248	319
F2RL1	163	158	247	342
F8	25	30	37	41
FABP5	676	761	1007	1485
FADD	144	144	239	344
FADS1	152	185	231	301
FADS2	790	872	1025	1422
FADS3	50	57	74	103
FAF1	766	853	983	1280
FAF2	609	718	823	1191
FAH	165	153	220	311
FAHD1	155	197	235	340
FAHD2A	176	224	317	377
FAHD2B	155	216	299	343
FAIM	290	340	399	664
FAM101B	55	76	129	175
FAM102A	6	12	11	16
FAM102B	107	88	133	148
FAM103A1	138	219	263	337
FAM104A	59	79	118	219
FAM104B	33	67	67	97
FAM105A	309	329	365	497
FAM105B	156	150	278	302
FAM107B	116	156	195	208
FAM110B	13	13	39	42
FAM114A1	36	39	49	68
FAM114A2	203	219	278	397
FAM115A	754	874	961	1529
FAM117A	69	73	100	148
FAM117B	178	215	248	318
FAM118A	98	110	114	170
FAM118B	78	106	155	211
FAM120A	664	736	874	1407
FAM120AOS	16	30	35	34
FAM120B	478	605	648	895
FAM120C	133	144	175	287
FAM122A	55	56	93	126
FAM122B	127	137	183	232
FAM126A	194	202	267	339
FAM126B	63	84	86	136
FAM127A	405	409	625	915
FAM127B	257	326	372	593
FAM127C	204	261	286	517
FAM129A	132	153	201	230
FAM129B	344	404	548	759
FAM133B	154	212	247	383
FAM134A	90	98	140	242
FAM134B	80	88	103	126
FAM134C	193	183	253	353
FAM135A	137	175	228	250
FAM136A	419	424	586	872
FAM13A	106	132	164	215
FAM13B	47	56	49	65
FAM13C	26	18	28	58
FAM149A	10	14	18	29
FAM149B1	34	37	58	68
FAM151B	10	22	17	34
FAM155B	9	6	21	22
FAM156A	60	72	84	104
FAM160A1	33	44	44	64
FAM160A2	69	85	79	136
FAM160B1	212	251	220	340
FAM160B2	99	103	135	191
FAM161A	84	96	129	166
FAM161B	22	42	42	56
FAM162A	396	440	552	742
FAM168A	153	176	225	301
FAM168B	336	331	485	602
FAM169A	167	229	240	410
FAM171A1	162	200	215	308
FAM171A2	60	65	92	152
FAM171B	62	72	85	81
FAM172A	125	109	140	192
FAM173A	46	40	56	97
FAM173B	108	137	127	206
FAM174A	40	42	55	72
FAM175A	56	65	90	114
FAM175B	195	281	341	412
FAM177A1	100	145	152	240
FAM178A	224	277	411	515
FAM179B	63	78	98	125
FAM184A	167	172	186	210
FAM185A	63	74	89	156
FAM188A	453	504	719	913
FAM188B	60	50	66	111
FAM189B	144	132	189	286
FAM192A	244	306	385	529
FAM193A	131	170	227	317
FAM193B	57	77	94	124
FAM195A	50	67	105	158
FAM195B	54	58	79	175
FAM198A	18	13	11	28
FAM199X	433	482	637	793
FAM200A	67	86	111	135
FAM200B	17	25	36	35
FAM203A	188	181	267	543
FAM204A	185	216	252	387
FAM206A	65	90	105	179
FAM207A	252	253	395	539
FAM208A	399	450	578	709
FAM208B	1122	1270	1412	1914
FAM20B	94	91	103	183
FAM20C	58	38	61	79
FAM210A	121	138	170	261
FAM210B	170	152	213	253
FAM213A	164	149	192	253
FAM214A	108	130	146	150
FAM216A	464	589	830	949
FAM217B	28	38	37	56
FAM219A	97	102	112	185
FAM219B	45	42	62	99
FAM21A	888	976	1184	1886
FAM21B	771	868	1058	1616
FAM21C	849	965	1174	1818
FAM220A	19	25	42	48
FAM221A	87	81	142	196
FAM222A	12	13	19	31
FAM222B	61	82	102	151
FAM227A	4	1	3	1
FAM229B	33	41	43	88
FAM32A	146	165	215	346
FAM35A	211	249	287	354
FAM3A	60	67	93	126
FAM3C	622	631	676	1028
FAM46A	86	82	96	179
FAM46C	116	125	154	238
FAM49B	588	629	707	961
FAM50A	876	888	1206	1682
FAM50B	0	1	0	0
FAM53B	60	44	76	110
FAM53C	212	224	309	471
FAM57A	110	112	109	206
FAM58A	111	107	197	231
FAM5C	0	0	0	0
FAM60A	686	865	1005	1518
FAM63A	89	89	126	158
FAM63B	52	73	101	130
FAM64A	208	290	350	683
FAM65A	254	255	350	430
FAM69A	134	111	161	192
FAM69B	141	140	157	291
FAM72A	165	184	249	327
FAM72B	151	174	231	300
FAM72D	176	186	265	329
FAM73A	300	308	405	468
FAM73B	58	62	68	109
FAM76A	69	97	104	151
FAM76B	54	68	64	103
FAM81A	4	4	8	18
FAM83B	94	153	150	220
FAM83D	710	796	903	1347
FAM83G	85	94	138	203
FAM83H	148	159	163	283
FAM84B	3	5	13	13
FAM86A	71	57	101	150
FAM86B1	37	36	45	56
FAM86B2	39	36	45	51
FAM89A	83	97	108	172
FAM89B	28	41	39	71
FAM8A1	255	264	345	475
FAM91A1	406	445	548	697
FAM92A1	280	281	365	464
FAM96A	76	92	122	121
FAM98A	424	501	683	1066
FAM98B	666	788	985	1214
FAM98C	62	70	70	146
FAN1	145	166	180	281
FANCA	509	511	636	909
FANCB	130	177	180	276
FANCC	122	150	163	213
FANCD2	835	855	1030	1357
FANCE	130	123	183	241
FANCG	164	164	182	292
FANCI	1151	1317	1555	2074
FANCL	438	472	585	766
FANCM	161	156	232	369
FAR1	905	1097	1219	1748
FAR2	241	314	395	509
FARP1	246	245	321	423
FARP2	309	337	419	584
FARS2	99	126	142	151
