	ribo_tm_a	ribo_tm_b	ribo_untr_a	ribo_untr_b
NADK	107	80	248	328
NADKD1	146	116	318	427
NADSYN1	81	66	169	250
NAE1	943	664	2198	2551
NAF1	260	198	471	660
NAGA	118	65	199	291
NAGK	146	107	231	409
NAGLU	85	48	176	239
NAGPA	44	21	54	86
NAIF1	36	22	60	84
NAIP	11	2	9	8
NAMPT	798	632	1638	1980
NANP	60	31	103	101
NANS	460	313	726	1023
NAP1L1	2257	1539	5747	9474
NAP1L2	35	28	48	69
NAP1L3	46	15	80	81
NAP1L4	727	555	1680	2381
NAPA	333	265	746	940
NAPB	30	13	45	69
NAPEPLD	21	16	55	72
NAPG	189	137	418	509
NAPRT1	43	36	96	112
NARF	93	60	157	242
NARFL	107	85	182	271
NARG2	231	162	445	499
NARR	90	80	163	237
NARS	1117	839	2016	3008
NARS2	142	87	214	315
NASP	2659	1926	3946	6113
NAT1	52	29	49	75
NAT10	619	463	1015	1558
NAT14	15	19	49	60
NAT8L	80	66	197	273
NAT9	112	67	166	278
NAV1	84	63	145	232
NAV2	48	37	88	102
NBAS	327	203	474	747
NBEA	190	152	364	453
NBEAL1	112	98	239	293
NBEAL2	75	35	146	182
NBL1	103	78	154	278
NBN	262	198	547	660
NBPF1	172	95	198	257
NBPF14	92	56	133	141
NBPF15	51	29	100	83
NBPF16	52	30	96	83
NBPF24	195	95	276	265
NBPF3	42	33	66	98
NBPF7	13	6	12	17
NBR1	485	372	782	1022
NCAM1	174	112	329	552
NCAPD2	2413	1729	3656	5401
NCAPD3	1110	759	1797	2369
NCAPG	1294	957	2175	2892
NCAPG2	842	655	1745	2187
NCAPH	625	454	1099	1453
NCAPH2	330	274	548	904
NCBP1	816	610	1522	2140
NCBP2	270	178	460	644
NCDN	402	289	669	1066
NCEH1	49	21	72	120
NCK1	96	86	196	252
NCK2	36	28	97	137
NCKAP1	810	646	2238	2775
NCKAP5L	137	99	298	471
NCKIPSD	91	70	193	283
NCL	11340	8324	18871	28198
NCLN	328	195	687	1076
NCOA1	114	73	246	326
NCOA2	178	150	324	360
NCOA3	141	119	419	501
NCOA4	1199	886	1879	2916
NCOA5	307	245	416	868
NCOA6	149	97	276	357
NCOA7	146	103	273	340
NCOR1	285	201	698	864
NCOR2	264	175	611	799
NCR3LG1	167	107	251	369
NCS1	75	62	156	260
NCSTN	504	335	941	1259
NDC1	575	399	1137	1527
NDC80	442	361	743	970
NDE1	84	50	164	238
NDEL1	53	45	132	155
NDFIP1	571	374	1022	1476
NDFIP2	340	211	528	793
NDNF	55	36	144	178
NDNL2	130	113	246	398
NDOR1	114	89	157	290
NDRG1	715	470	1475	1696
NDRG2	93	65	168	238
NDRG3	219	148	541	683
NDRG4	30	15	67	82
NDST1	117	60	128	195
NDST2	27	21	66	84
NDUFA1	753	545	1011	1499
NDUFA10	841	589	1657	2408
NDUFA11	759	609	1567	2384
NDUFA12	528	419	1027	1405
NDUFA2	416	310	852	1175
NDUFA3	185	121	371	565
NDUFA4	816	586	1340	1884
NDUFA5	419	331	731	907
NDUFA6	423	311	789	1053
NDUFA7	390	240	765	1028
NDUFA8	459	340	925	1269
NDUFA9	1355	882	2313	3147
NDUFAB1	718	567	1654	2153
NDUFAF1	192	151	336	464
NDUFAF2	124	139	350	407
NDUFAF3	357	234	783	1134
NDUFAF4	432	300	712	1067
NDUFAF5	65	43	161	189
NDUFAF6	50	28	125	117
NDUFAF7	115	69	208	301
NDUFB1	842	576	1182	1776
NDUFB10	479	409	1253	1633
NDUFB11	778	529	1549	2249
NDUFB2	623	413	1071	1547
NDUFB3	280	203	537	772
NDUFB4	559	386	1127	1498
NDUFB5	390	257	599	840
NDUFB6	348	272	580	873
NDUFB7	414	309	767	1526
NDUFB8	1281	943	2446	3660
NDUFB9	749	485	1152	2059
NDUFC1	118	102	281	368
NDUFC2-KCTD14	319	297	580	906
NDUFS1	1892	1372	3241	4317
NDUFS2	1132	817	2105	2985
NDUFS3	582	402	1106	1636
NDUFS4	185	157	466	539
NDUFS5	1168	866	2030	3469
NDUFS6	457	308	803	1611
NDUFS7	387	285	760	1185
NDUFS8	644	493	1326	1704
NDUFV1	753	589	1377	2025
NDUFV2	831	630	1943	2326
NDUFV3	336	323	663	921
NEB	3	1	9	1
NEBL	32	23	70	81
NECAB3	44	25	75	123
NECAP1	223	188	403	522
NECAP2	157	121	289	466
NEDD1	304	259	663	827
NEDD4	126	90	219	255
NEDD4L	181	126	313	445
NEDD8-MDP1	209	115	245	447
NEFL	332	199	796	1157
NEFM	64	52	187	172
NEIL1	7	7	26	32
NEIL2	32	20	52	82
NEIL3	178	162	393	533
NEK1	108	82	237	291
NEK10	10	10	19	40
NEK11	12	8	23	44
NEK2	239	208	495	640
NEK3	106	90	219	272
NEK4	106	86	264	333
NEK6	156	90	301	393
NEK7	120	74	202	312
NEK8	8	11	16	23
NEK9	375	266	503	760
NELFA	167	109	268	432
NELFB	265	168	577	801
NELFCD	575	391	1178	1674
NELFE	571	439	1131	1489
NELL2	162	87	312	490
NEMF	345	252	589	765
NENF	117	85	266	394
NEO1	409	246	776	1119
NES	11	1	4	22
NET1	455	287	834	1102
NETO2	87	48	226	253
NEU1	222	118	313	560
NEU3	76	58	167	219
NEURL4	170	120	314	498
NEXN	52	30	85	99
NF1	583	383	1046	1190
NF2	163	94	297	375
NFAT5	337	225	558	644
NFATC1	70	39	166	193
NFATC2IP	161	82	252	394
NFATC3	131	111	284	390
NFATC4	36	19	57	88
NFE2L1	507	336	1004	1435
NFE2L2	363	265	654	902
NFE2L3	122	70	231	302
NFIA	168	137	285	443
NFIB	196	135	299	391
NFIC	182	104	246	350
NFIL3	44	27	74	92
NFIX	87	57	170	263
NFKB1	126	81	257	399
NFKB2	79	71	192	255
NFKBIA	124	90	195	305
NFKBIB	198	99	278	465
NFKBIE	27	28	83	105
NFKBIL1	74	60	126	178
NFKBIZ	15	10	10	26
NFRKB	310	204	508	675
NFS1	176	105	329	431
NFU1	224	175	523	668
NFX1	242	200	446	627
NFXL1	313	226	512	719
NFYA	176	119	271	404
NFYB	150	117	295	367
NFYC	429	277	794	1126
NGDN	268	235	488	682
NGEF	32	31	104	150
NGFRAP1	543	356	739	1555
NGLY1	172	131	336	459
NGRN	148	108	134	214
NHEJ1	111	80	226	285
NHLRC2	491	374	785	1061
NHLRC3	78	49	128	188
NHP2	839	561	1535	2182
NHP2L1	787	578	1691	2243
NHSL1	226	150	329	453
NICN1	8	9	24	43
NID1	427	252	876	1270
NID2	161	85	292	414
NIF3L1	217	163	376	507
NIN	134	113	303	471
NINL	30	12	42	67
NIP7	257	146	325	539
NIPA1	55	57	100	146
NIPA2	125	99	311	384
NIPAL1	52	35	60	103
NIPAL2	10	3	11	23
NIPAL3	104	68	149	205
NIPBL	691	513	959	1382
NIPSNAP1	288	207	770	945
NIPSNAP3B	35	18	71	89
NISCH	294	174	513	668
NIT1	186	134	334	403
NIT2	172	119	323	517
NKAP	277	249	709	822
NKD2	35	22	41	78
NKIRAS1	75	77	176	218
NKIRAS2	121	103	234	347
NKRF	539	410	1016	1366
NKTR	162	133	288	407
NKX2-5	94	57	149	229
NKX6-1	35	21	54	82
NLE1	243	152	470	685
NLGN1	22	10	44	43
NLGN2	22	18	34	68
NLK	11	10	43	61
NLN	281	207	564	710
NLRP14	1	2	2	1
NLRX1	54	30	92	116
NMB	16	11	26	45
NMD3	402	293	751	1041
NME1-NME2	4634	3527	10748	15292
NME3	201	119	281	474
NME4	245	201	553	815
NME6	78	42	119	150
NME7	160	113	271	401
NMNAT1	41	24	56	114
NMRAL1	0	0	2	1
NMRK1	17	7	29	24
NMT1	731	478	1229	1833
NMT2	113	103	290	312
NMU	118	77	309	333
NNT	305	192	388	537
NOA1	135	83	331	418
NOB1	296	222	658	909
NOC2L	1980	1371	3354	5116
NOC3L	616	495	1134	1504
NOC4L	388	263	651	1056
NOD1	9	0	15	11
NOL10	311	224	704	924
NOL11	1560	1200	2786	3652
NOL12	198	143	274	445
NOL6	408	286	650	975
NOL7	755	565	1401	1981
NOL8	234	186	385	569
NOL9	785	507	1274	1840
NOLC1	2499	2000	4654	6308
NOM1	221	153	363	510
NOMO1	2048	1255	4528	6274
NOMO2	2042	1253	4507	6275
NOMO3	2016	1259	4538	6278
NONO	4768	3535	9583	15014
NOP10	291	200	520	727
NOP14	663	466	1196	1873
NOP16	290	206	540	736
NOP2	1050	775	1636	2549
NOP56	1326	942	1874	2928
NOP58	1102	878	1675	2400
NOP9	152	97	193	393
NOS1AP	33	38	81	151
NOS2	35	19	56	71
NOSIP	376	239	698	1088
NOTCH1	140	74	241	473
NOTCH2	948	514	1316	2076
NOTCH2NL	85	48	128	203
NOTCH3	106	51	318	350
NOVA1	24	17	45	63
NPAS1	29	19	78	86
NPAS2	12	13	25	33
NPAT	243	188	438	540
NPC1	311	162	590	790
NPC2	204	124	491	605
NPDC1	93	51	170	313
NPEPL1	2	2	1	3
NPEPPS	1576	1125	2888	4157
NPHP1	39	26	66	92
NPHP3	143	96	177	267
NPHP4	65	51	111	190
NPIP	42	13	38	16
NPIPL1	26	18	15	29
NPIPL2	5	4	3	7
NPIPL3	47	27	56	57
NPL	14	4	18	19
NPLOC4	411	372	842	1248
NPM1	9370	7295	20215	32432
NPM3	209	121	361	584
NPNT	40	22	100	154
NPRL2	111	93	182	266
NPRL3	199	187	530	727
NPTN	309	177	595	877
NPTX1	101	75	240	362
NPTX2	46	35	97	128
NQO1	54	32	84	90
NQO2	99	80	262	334
NR1D2	218	167	517	641
NR1H2	66	33	88	122
NR1H3	22	13	31	49
NR2C1	251	179	494	685
NR2C2	86	68	207	271
NR2C2AP	33	41	81	137
NR2F1	99	77	175	268
NR2F2	226	177	334	508
NR2F6	157	101	316	464
NR3C1	349	252	558	784
NR3C2	110	71	183	222
NR6A1	7	3	20	29
NRARP	23	30	84	102
NRAS	297	243	575	706
NRBF2	124	95	186	263
NRBP1	366	245	764	950
NRBP2	8	7	14	30
NRCAM	149	89	324	448
NRD1	1164	809	2478	3349
NRDE2	315	225	369	594
NRF1	126	92	278	392
NRIP1	116	87	211	319
NRIP3	24	15	54	76
NRN1	78	67	114	180
NRP1	274	161	400	728
NRP2	49	35	136	188
NRSN2	147	115	273	361
NRXN3	18	12	48	53
NSA2	488	412	1245	1696
NSD1	571	414	1091	1553
NSDHL	366	258	593	908
NSF	760	575	1338	1951
NSFL1C	454	316	765	1229
NSL1	169	137	375	423
NSMAF	45	43	86	134
NSMCE1	134	88	320	378
NSMCE2	85	76	176	244
NSMCE4A	293	277	614	840
NSMF	33	30	65	94
NSRP1	218	173	336	483
NSUN2	1310	883	2222	3064
NSUN3	116	67	202	239
NSUN4	122	62	175	280
NSUN5	219	182	461	672
NSUN6	95	64	179	234
NT5C	90	62	171	253
NT5C1B-RDH14	79	45	108	130
NT5C2	283	229	481	684
NT5C3A	168	113	349	376
NT5C3B	138	112	238	376
NT5DC1	345	276	842	1037
NT5DC2	192	153	595	943
NT5DC3	119	84	197	272
NTAN1	26	17	62	75
NTHL1	168	106	295	455
NTMT1	317	194	650	949
NTN1	110	57	229	388
NTPCR	245	151	418	648
NUAK1	47	34	66	111
NUB1	668	522	1425	1813
NUBP1	110	74	193	255
NUBP2	146	112	282	504
NUBPL	108	73	186	261
NUCB1	316	225	719	1041
NUCB2	234	166	579	681
NUCKS1	1528	1169	2649	4137
NUDC	1966	1429	3599	5529
NUDCD1	274	239	601	757
NUDCD2	222	161	369	509
NUDCD3	286	168	445	726
NUDT1	137	103	238	401
NUDT10	37	35	76	133
NUDT11	43	38	84	146
NUDT12	202	144	410	622
NUDT13	9	8	13	16
NUDT14	26	25	57	112
NUDT15	163	115	303	453
NUDT16	57	27	95	123
NUDT16L1	111	84	195	306
NUDT17	10	12	24	25
NUDT19	1006	738	1699	2572
NUDT2	61	32	96	112
NUDT21	580	434	1265	1752
NUDT22	20	21	57	78
NUDT4	286	218	557	740
NUDT5	562	406	1234	1882
NUDT6	30	12	49	59
NUDT7	23	13	59	55
NUDT8	26	11	39	66
NUDT9	127	74	235	301
NUF2	440	351	846	1201
NUFIP1	225	164	370	551
NUFIP2	468	377	747	1171
NUMA1	1063	711	1780	2664
NUMB	187	105	252	416
NUMBL	85	52	195	265
NUP107	1571	1194	2767	3750
NUP133	1314	1026	2381	3476
NUP153	1702	1212	2646	3492
NUP155	2720	1920	5325	6458
NUP160	1078	744	1728	2484
NUP188	2044	1391	3433	4706
NUP205	2304	1723	4235	5768
NUP210	975	563	2088	2977
NUP214	991	701	1617	2586
NUP35	250	177	405	551
NUP37	467	325	1039	1534
NUP43	718	524	1515	1987
NUP50	329	288	736	969
NUP54	397	276	728	985
NUP62	462	356	799	1154
NUP62CL	80	52	178	176
NUP85	602	413	1083	1479
NUP88	844	598	1515	1912
NUP93	768	540	1374	1963
NUP98	1061	830	2025	2909
NUPL1	605	417	1332	1654
NUPL2	345	241	496	828
NUS1	201	140	424	548
NUSAP1	971	733	2030	2420
NUTF2	826	609	1716	1863
NUTM2A	1	2	2	0
NVL	318	215	551	774
NXF1	409	305	624	968
NXN	257	190	544	785
NXPE3	65	60	94	139
NXT1	67	42	110	182
NXT2	29	32	46	74
NYNRIN	98	83	217	247
OAF	37	19	57	124
OARD1	45	40	117	129
OAT	2391	1806	4638	6554
OAZ1	1552	1239	1404	2372
OAZ2	178	99	209	316
OBFC1	41	31	79	106
OBSCN	20	6	12	13
OBSL1	519	337	829	1464
OCA2	26	20	43	60
OCIAD1	675	522	1465	1701
OCLN	360	259	715	1088
OCRL	435	332	871	1192
ODC1	733	538	2027	3191
ODF2	199	167	367	532
ODF2L	82	81	204	231
OFD1	153	116	223	304
OGDH	532	380	902	1301
OGDHL	36	16	54	80
OGFOD1	565	392	784	1190
OGFOD2	46	25	91	117
OGFOD3	32	14	58	96
OGFR	278	198	451	696
OGFRL1	66	30	156	179
OGG1	70	56	113	128
OGT	908	666	1592	2250
OIP5	155	126	290	404
OLA1	917	728	2199	3412
OMA1	124	80	159	265
ONECUT2	7	4	22	33
OPA1	666	505	1283	1524
OPHN1	23	27	44	62
OPN3	27	11	35	44
OPTN	150	115	388	461
ORAI1	71	40	139	225
ORAI2	21	11	56	76
ORAOV1	49	22	56	99
ORC1	383	239	564	771
ORC2	322	267	751	856
ORC3	486	342	979	1259
ORC4	400	314	667	883
ORC5	482	352	960	1289
ORC6	375	267	696	858
ORMDL1	98	83	248	299
ORMDL2	175	113	272	442
ORMDL3	65	62	133	207
OS9	684	397	1152	1853
OSBP	439	307	793	1096
OSBP2	30	24	75	104
OSBPL10	62	44	90	157
OSBPL11	129	106	284	357
OSBPL1A	106	65	269	300
OSBPL2	202	145	391	554
OSBPL3	120	85	258	338
OSBPL5	33	17	55	64
OSBPL6	83	70	206	270
OSBPL8	448	314	947	1083
OSBPL9	556	433	1042	1328
OSCP1	33	24	46	92
OSER1	241	176	366	444
OSGEP	141	79	212	282
OSGEPL1	80	71	153	163
OSGIN2	112	75	188	233
OSR2	26	13	36	61
OST4	184	143	222	234
OSTC	219	135	338	528
OSTF1	86	57	224	257
OSTM1	179	101	311	403
OTUB1	633	462	1170	1601
OTUB2	21	11	61	66
OTUD1	43	33	106	145
OTUD3	47	34	112	172
OTUD4	115	100	295	421
OTUD5	332	274	731	994
OTUD6B	153	109	234	351
OTUD7A	13	7	13	40
OTUD7B	126	102	194	374
OVCA2	143	115	260	410
OVGP1	0	2	2	2
OVOS2	7	3	9	11
OXA1L	395	298	710	1084
OXCT1	565	393	1070	1573
OXLD1	17	16	48	47
OXNAD1	58	52	148	154
OXR1	184	151	435	463
OXSM	84	56	148	169
OXSR1	174	135	354	450
P2RX4	39	28	69	82
P2RY1	34	21	32	62
P4HA1	187	136	395	597
P4HA2	164	93	335	461
P4HB	909	538	2320	3252
PA2G4	3224	2386	6210	9354
PAAF1	94	41	187	213
PABPC1	1347	982	4706	7296
PABPC1L	8	8	17	19
PABPC3	354	262	1166	1785
PABPC4	1172	810	2464	3588
PABPC4L	38	32	71	86
PACRGL	59	40	89	119
PACS1	103	77	263	350
PACS2	37	15	85	100
PACSIN2	356	261	733	1053
PACSIN3	99	53	218	273
PAF1	1163	804	2048	3287
PAFAH1B1	685	518	1376	1827
PAFAH1B2	404	276	757	1051
PAFAH1B3	204	127	397	553
PAFAH2	36	25	56	106
PAG1	31	17	78	87
PAGR1	176	110	300	494
PAICS	2943	2360	5898	8018
PAIP1	530	441	1047	1448
PAIP2	551	396	1120	1303
PAIP2B	30	29	54	73
PAK1	180	143	359	483
PAK1IP1	298	250	676	945
PAK2	433	311	918	1298
PAK4	393	276	670	1189
PALB2	81	58	168	184
PALD1	104	55	216	283
PALLD	309	220	609	645
PALM	29	18	75	99
PALM2-AKAP2	111	88	218	383
PAM	350	184	698	875
PAN2	167	116	241	324
PAN3	135	86	220	305
PANK1	46	38	86	172
PANK2	193	129	308	520
PANK3	178	127	391	574
PANK4	261	195	457	644
PANX1	65	52	118	149
PAPD4	160	141	343	382
PAPD5	135	110	213	346
PAPD7	44	31	129	200
PAPOLA	621	513	1889	2377
PAPOLG	132	101	206	344
PAPSS1	415	312	765	1059
PAPSS2	183	152	437	595
PAQR3	62	48	143	209
PAQR4	40	28	76	92
PAQR5	7	4	37	43
PAQR8	19	17	62	67
PARD3	348	275	801	1006
PARD3B	42	28	73	111
PARD6B	124	74	193	265
PARG	359	244	580	821
PARK7	2146	1614	4223	5978
PARL	208	128	374	535
PARN	297	209	649	815
PARP1	5471	3827	9549	13298
PARP11	31	37	77	96
PARP16	29	22	80	102
PARP2	207	152	402	537
PARP3	8	5	5	11
PARP4	749	550	1247	1913
PARP6	9	5	23	26
PARP8	119	75	206	271
PARP9	106	99	212	246
PARPBP	295	249	619	843
PARS2	57	43	122	155
PARVA	156	96	252	483
PARVB	51	29	103	152
PASK	171	135	371	557
PATL1	153	116	375	494
PATZ1	146	105	197	328
PAWR	335	263	790	988
PAX3	122	77	188	256
PAX6	81	40	135	157
PAXBP1	193	138	397	543
PAXIP1	204	150	401	528
PBDC1	184	135	261	452
PBK	921	696	1749	2310
PBLD	13	6	27	32
PBRM1	497	363	974	1341
PBX1	222	177	373	494
PBX2	201	140	412	517
PBX3	29	38	97	147
PBXIP1	107	61	125	263
PC	88	57	135	225
PCBD1	158	153	434	586
PCBD2	29	20	39	36
PCBP1	1721	1378	3540	5130
PCBP2	2831	2025	8093	11447
PCBP4	24	16	48	62
PCCA	51	33	96	154
PCCB	909	562	1498	2263
PCDH10	18	13	30	43
PCDH17	4	3	3	1
PCDH18	23	9	37	37
PCDH20	51	29	74	84
PCDH7	394	273	610	1043
PCDH9	74	40	97	155
PCED1A	34	20	50	78
PCF11	301	213	348	581
PCGF1	61	51	108	137
PCGF2	40	26	89	185
PCGF3	48	27	81	142
PCGF5	82	48	213	251
PCGF6	258	222	633	674
PCID2	193	131	447	555
PCIF1	94	58	181	198
PCK2	108	79	263	354
PCLO	80	54	143	145
PCM1	898	635	1892	2462
PCMT1	1124	717	1847	2522
PCMTD1	30	20	54	54
PCMTD2	111	79	229	257
PCNA	3917	2709	5793	8386
PCNP	315	226	711	947
PCNT	734	496	995	1621
PCNX	232	147	415	459
PCNXL2	21	11	25	22
PCNXL3	102	72	172	263
PCNXL4	75	56	69	116
PCOLCE2	118	56	213	274
PCSK1N	54	30	93	179
PCSK5	80	42	142	231
PCSK6	118	76	219	338
PCSK7	54	44	53	122
PCTP	68	50	157	199
PCYOX1	305	184	627	808
PCYOX1L	71	46	155	218
PCYT1A	128	113	246	406
PCYT2	63	53	138	189
PDAP1	606	408	1132	1781
PDCD10	208	166	375	553
PDCD11	866	601	1246	2221
PDCD2	371	265	704	1156
PDCD2L	452	298	760	1089
PDCD4	1069	756	1978	2899
PDCD5	1709	1460	3801	5121
PDCD6	383	305	764	1146
PDCD6IP	1240	970	2366	2872
PDCD7	96	62	132	206
PDCL	137	102	241	361
PDCL3	246	164	452	692
PDDC1	154	86	261	411
PDE10A	58	35	135	171
PDE12	484	326	724	1072
PDE3B	102	70	143	225
PDE4A	21	8	28	40
PDE4D	44	40	82	117
PDE4DIP	262	197	600	760
PDE5A	53	45	123	133
PDE6D	67	72	184	236
PDE7A	53	34	85	113
PDE8A	28	28	76	89
PDE9A	58	49	156	213
PDF	77	47	111	221
PDGFC	56	39	80	126
PDGFRL	42	22	73	108
PDHA1	1449	1005	2509	4009
PDHB	728	538	1369	1786
PDHX	240	174	521	688
PDIA3	2303	1463	5148	6937
PDIA4	1239	756	2562	3736
PDIA5	54	35	101	143
PDIA6	1301	778	2559	3999
PDIK1L	70	51	134	150
PDK1	184	139	354	396
PDK2	198	114	396	468
PDK3	265	231	598	797
PDLIM1	378	307	1066	1291
PDLIM2	39	23	69	90
PDLIM3	61	40	122	168
PDLIM5	493	374	853	1355
PDLIM7	166	115	269	385
PDP1	70	42	137	119
PDP2	124	93	219	339
PDPK1	208	193	403	564
PDPN	223	149	364	522
PDPR	89	59	101	177
PDRG1	150	123	222	409
PDS5A	787	615	1884	2320
PDS5B	663	474	940	1327
PDSS1	165	113	314	408
PDSS2	82	74	160	185
PDXDC1	476	343	960	1337
PDXK	255	173	388	730
PDZD11	271	188	514	681
PDZD4	5	5	17	39
PDZD8	106	77	300	396
PDZRN3	40	19	75	75
PEA15	209	151	342	520
PEAK1	59	41	100	165
PEBP1	1951	1370	3794	5422
PECR	84	45	181	251
PEF1	521	362	837	1300
PELI1	53	42	100	132
PELI2	44	33	112	120
PELI3	17	11	53	67
PELO	219	141	392	547
PELP1	1192	892	1911	3101
PEMT	120	76	197	261
PEPD	900	558	1598	2633
PER1	61	33	85	120
PER2	36	21	62	90
PER3	11	12	16	34
PERP	507	330	877	1571
PES1	861	692	1604	2497
PET100	285	198	396	616
PET112	148	102	258	293
PET117	25	18	40	62
PEX1	206	162	394	548
PEX10	83	52	204	306
PEX11A	36	25	50	83
PEX11B	88	75	182	251
PEX12	26	24	45	83
PEX13	72	57	114	200
PEX14	119	87	243	378
PEX16	46	24	80	114
PEX2	50	50	78	90
PEX26	54	40	122	162
PEX3	272	253	520	698
PEX5	199	140	439	627
PEX6	138	70	173	308
PEX7	73	55	170	210
PFAS	759	477	1346	2334
PFDN1	385	310	807	955
PFDN2	416	307	851	1243
PFDN4	312	195	680	875
PFDN5	959	698	2238	2790
PFDN6	413	313	749	937
PFKFB2	18	17	36	60
PFKFB3	132	127	312	425
PFKFB4	13	8	25	36
PFKM	715	482	1397	1904
PFKP	1870	1352	3950	5629
PFN1	3547	2632	6958	10421
PFN2	334	216	613	905
PGAM1	4897	3406	10294	13326
PGAM4	2125	1494	5130	6772
PGAM5	435	366	1162	1530
PGAP1	129	93	296	349
PGAP2	41	38	58	108
PGBD1	73	60	126	182
PGBD2	11	7	11	19
PGBD4	13	7	24	29
PGBD5	22	16	56	87
PGD	2015	1418	3365	5547
PGGT1B	256	168	455	572
PGK1	4163	2975	7697	10966
PGLS	164	124	409	733
PGM1	341	265	735	1068
PGM2	510	365	942	1354
PGM2L1	106	92	210	271
PGM3	794	536	1345	1878
PGP	176	113	382	558
PGRMC1	686	456	1417	2089
PGRMC2	200	106	344	480
PGS1	95	61	198	243
PHACTR2	83	58	181	233
PHACTR4	164	121	308	413
PHAX	476	297	823	1080
PHB	2057	1461	3555	4930
PHB2	2014	1388	4319	5851
PHC1	75	62	203	208
PHC2	137	120	267	378
PHC3	133	79	181	218
PHF1	17	9	36	61
PHF10	341	244	696	856
PHF12	87	55	188	284
PHF13	136	100	262	359
PHF14	298	232	463	743
PHF15	54	17	76	98
PHF16	211	141	442	568
PHF17	151	71	248	312
PHF19	82	62	191	292
PHF2	153	103	200	351
PHF20	152	82	201	242
PHF20L1	89	73	186	273
PHF21A	53	47	112	155
PHF23	232	154	325	536
PHF3	626	482	1286	1476
PHF5A	251	166	384	669
PHF6	539	465	1086	1503
PHF7	0	1	2	3
PHF8	440	277	712	1211
PHGDH	1730	1177	3365	4843
PHIP	1172	884	1795	2708
PHKA1	280	188	653	890
PHKA2	170	126	354	466
PHKB	100	80	258	323
PHKG2	94	56	165	213
PHLDB1	72	41	171	236
PHLDB2	56	38	93	111
PHLDB3	40	36	100	125
PHLPP1	191	141	286	465
PHLPP2	78	54	166	206
PHOSPHO2	12	3	30	19
PHPT1	395	266	666	1074
PHRF1	323	226	485	795
PHTF1	41	29	81	122
PHTF2	121	72	230	354
PHYH	109	80	242	317
PHYHD1	9	1	22	20
PI4K2A	212	159	409	572
PI4K2B	99	78	185	272
PI4KA	722	466	1350	1860
PI4KB	319	236	590	837
PIAS1	316	209	465	593
PIAS2	118	90	229	280
PIAS3	125	70	200	293
PIAS4	112	88	200	351
PIBF1	168	131	357	416
PICALM	590	408	1011	1370
PICK1	133	84	239	401
PIDD	24	16	33	63
PIEZO1	241	73	407	574
PIF1	28	16	50	88
PIGA	93	73	148	159
PIGB	41	27	74	98
PIGC	52	37	118	185
PIGF	53	42	132	151
PIGG	243	151	434	654
PIGH	92	47	186	220
PIGK	360	227	716	877
PIGL	41	21	66	75
PIGM	203	143	326	502
PIGN	80	36	146	186
PIGO	155	109	280	445
PIGP	162	109	272	359
PIGQ	121	60	236	360
PIGS	215	125	401	595
PIGT	308	164	640	820
PIGU	115	75	217	370
PIGV	16	12	27	41
PIGW	118	86	191	280
PIGX	59	50	149	198
PIGY	19	16	53	55
PIH1D1	222	126	374	468
PIH1D2	16	12	18	38
PIK3AP1	23	23	58	76
PIK3C2A	315	251	866	1027
PIK3C2B	23	11	47	74
PIK3C3	300	244	577	737
PIK3CA	69	52	150	217
PIK3CB	79	43	180	202
PIK3CD	16	11	45	47
PIK3R1	86	63	153	225
PIK3R2	90	67	198	246
PIK3R3	142	110	189	324
PIK3R4	512	395	788	1252
PIKFYVE	258	175	519	651
PILRA	0	0	1	2
PILRB	2	0	0	3
PIM1	79	65	163	228
PIM2	109	66	173	241
PIM3	277	188	552	846
PIN1	445	353	872	1249
PIN4	1245	987	1598	2726
PINK1	428	275	921	1303
PIP4K2A	133	99	304	387
PIP4K2B	83	57	167	258
PIP4K2C	172	131	309	510
PIP5K1A	688	509	1267	1625
PIP5K1B	8	5	19	17
PIP5K1C	65	35	104	190
PIR	93	57	148	213
PISD	129	77	158	303
PITHD1	354	229	560	795
PITPNA	163	120	298	414
PITPNB	448	401	832	1061
PITPNC1	16	14	37	75
PITPNM1	22	11	37	70
PITPNM2	9	7	13	19
PITRM1	853	608	1548	2146
PITX1	88	57	203	322
PITX2	68	49	112	160
PJA1	234	180	433	629
PJA2	738	513	1360	1801
PKD1	219	64	269	189
PKD2	38	21	56	116
PKDCC	8	3	13	18
PKIA	8	7	19	16
PKIG	7	8	31	42
PKM	11549	7765	17706	29427
PKMYT1	205	156	441	659
PKN1	303	224	878	1297
PKN2	667	507	1347	1695
PKN3	160	104	276	358
PKNOX1	125	109	282	297
PKNOX2	22	7	22	28
PKP2	301	251	645	911
PKP4	94	73	210	294
PLA2G12A	71	36	183	198
PLA2G15	48	28	80	128
PLA2G16	70	43	182	183
PLA2G4A	30	19	75	81
PLA2G6	18	8	29	41
PLAA	476	372	891	1144
PLAC1	61	47	158	147
PLAG1	13	14	30	64
PLAGL1	2	2	3	7
PLAGL2	77	48	129	191
PLAT	141	74	272	351
PLAUR	31	33	75	100
PLBD2	240	128	403	589
PLCB1	51	33	112	131
PLCB3	86	58	189	254
PLCB4	58	34	121	151
PLCD1	11	12	8	17
PLCD3	46	27	77	135
PLCE1	47	37	98	130
PLCG1	553	374	1092	1401
PLCG2	55	43	91	135
PLCH1	70	51	141	139
PLCL1	9	6	29	27
PLCL2	100	73	211	270
PLCXD1	162	100	298	440
PLCXD2	3	4	8	14
PLD1	74	65	141	218
PLD2	41	25	78	119
