	ribo_untr_a	ribo_untr_b	ribo_isrib_a	ribo_isrib_b
AHNAK	829	904	412	555
AHNAK2	69	107	43	78
AHSA1	2562	3164	1133	1541
AIF1L	628	699	263	402
AIFM1	2231	2606	1031	1346
AIFM2	545	699	259	308
AIG1	590	746	286	391
AIMP1	1055	1301	536	598
AIMP2	1571	2052	773	1068
AIP	888	1151	411	619
AJUBA	60	96	28	27
AK1	475	700	244	350
AK2	1027	1144	404	591
AK3	453	432	182	235
AK6	496	560	251	339
AK9	74	84	51	40
AKAP1	556	768	290	382
AKAP10	266	262	102	132
AKAP11	1432	1811	833	910
AKAP12	2308	2397	996	1268
AKAP13	696	868	397	431
AKAP17A	246	374	135	156
AKAP5	58	67	28	40
AKAP6	24	38	15	20
AKAP7	102	106	49	60
AKAP8	611	798	310	454
AKAP8L	939	1270	464	547
AKAP9	1296	1402	622	732
AKIP1	234	252	97	139
AKIRIN1	942	1154	476	651
AKIRIN2	816	1020	403	488
AKNA	52	44	26	21
AKR1A1	740	1199	367	548
AKR1B1	2342	2729	1022	1420
AKR7A2	849	1191	386	607
AKT1	598	784	258	424
AKT1S1	281	389	155	249
AKT2	1107	1447	541	793
AKT3	226	237	135	126
AKTIP	65	72	35	44
AL022312.1	191	213	77	99
AL031777.3	3344	3686	1549	2119
AL034430.1	75	64	33	33
AL034430.2	260	323	111	184
AL049650.1	1156	1267	500	696
AL109811.3	0	0	0	0
AL109827.1	170	213	77	104
AL121753.1	253	255	113	192
AL121768.1	130	124	51	64
AL135905.2	576	794	315	484
AL139011.2	76	91	35	37
AL162171.1	43	56	13	24
ALAD	126	153	62	72
ALAS1	773	886	294	421
ALCAM	724	818	339	451
ALDH16A1	340	539	169	262
ALDH18A1	1893	2613	1034	1419
ALDH1A2	1839	2269	982	1233
ALDH1B1	926	1103	407	559
ALDH1L2	366	340	133	141
ALDH2	914	994	359	533
ALDH3A2	1124	1318	472	679
ALDH4A1	320	409	157	220
ALDH5A1	686	874	339	464
ALDH6A1	561	633	221	337
ALDH7A1	1194	1430	538	721
ALDH9A1	2450	2906	1123	1611
ALDOA	1993	2354	873	1260
ALDOC	50	65	19	16
ALG1	259	368	129	192
ALG10	217	264	121	131
ALG10B	111	166	73	101
ALG11	446	477	204	288
ALG12	250	372	141	194
ALG13	976	1040	452	568
ALG14	149	162	66	94
ALG1L	14	19	9	8
ALG2	281	363	130	200
ALG3	801	1008	352	506
ALG5	756	945	423	538
ALG6	623	736	292	347
ALG8	1409	1693	675	872
ALKBH1	296	313	152	171
ALKBH2	251	267	96	131
ALKBH3	248	229	109	127
ALKBH4	207	365	116	160
ALKBH5	510	735	265	346
ALKBH6	491	567	254	336
ALKBH7	247	323	101	182
ALKBH8	159	174	76	102
ALMS1	862	849	422	481
ALOX12	6	10	2	5
ALPK1	70	72	30	41
ALS2	369	401	188	231
ALX1	216	220	108	139
ALX3	2	0	0	0
ALX4	66	80	34	47
ALYREF	4824	5736	2339	3030
AMACR	195	219	95	116
AMBRA1	544	706	279	379
AMD1	600	703	287	403
AMDHD2	123	143	62	65
AMER1	90	151	44	52
AMFR	1029	1165	446	599
AMH	39	58	16	24
AMIGO1	27	26	8	11
AMIGO3	2	1	1	0
AMMECR1	204	320	126	151
AMMECR1L	152	193	81	105
AMN1	145	96	52	70
AMOT	177	166	84	91
AMOTL1	888	1164	463	599
AMOTL2	217	372	162	203
AMPD2	561	676	243	325
AMPH	131	162	74	86
AMZ2	477	503	222	294
ANAPC1	343	344	145	166
ANAPC10	126	89	50	61
ANAPC11	728	927	292	395
ANAPC13	239	307	103	180
ANAPC15	146	192	62	70
ANAPC16	461	637	260	332
ANAPC2	530	842	273	365
ANAPC4	746	779	328	381
ANAPC5	3128	3133	1327	1674
ANAPC7	2398	3208	1332	1670
ANGEL1	283	372	140	183
ANGEL2	365	431	194	213
ANGPT2	3	1	2	1
ANK1	84	139	52	62
ANK2	563	572	270	305
ANK3	383	395	180	234
ANKAR	6	0	0	1
ANKEF1	128	117	62	72
ANKFY1	1482	1719	722	837
ANKH	202	226	94	119
ANKHD1	52	66	31	44
ANKIB1	243	243	139	140
ANKLE2	1317	1497	534	708
ANKMY1	22	22	6	12
ANKMY2	438	391	203	268
ANKRA2	88	82	32	44
ANKRD10	197	208	70	102
ANKRD11	582	718	295	372
ANKRD12	184	199	78	112
ANKRD13A	500	546	195	334
ANKRD13B	236	285	109	143
ANKRD13C	288	338	109	176
ANKRD13D	52	58	18	29
ANKRD16	86	118	35	60
ANKRD17	2876	3286	1488	1759
ANKRD18A	35	47	14	15
ANKRD18B	23	28	17	13
ANKRD23	2	7	1	2
ANKRD26	608	647	284	330
ANKRD27	638	716	255	334
ANKRD28	938	1011	448	604
ANKRD31	23	19	9	19
ANKRD36	16	9	3	6
ANKRD36B	16	14	3	6
ANKRD36C	13	16	9	3
ANKRD39	147	205	81	100
ANKRD40	340	429	191	232
ANKRD42	90	103	42	46
ANKRD44	88	95	48	47
ANKRD46	373	492	164	235
ANKRD49	50	78	33	37
ANKRD50	426	485	183	233
ANKRD52	1530	1903	726	996
ANKRD54	260	357	103	184
ANKRD6	88	71	36	48
ANKRD61	1	0	1	0
ANKS1A	553	722	318	404
ANKS3	95	150	46	61
ANKS6	166	212	66	104
ANKZF1	322	401	151	228
ANLN	2527	2958	1306	1785
ANO10	321	363	148	206
ANO4	24	24	8	17
ANO5	429	464	234	211
ANO6	661	720	308	388
ANO8	79	90	37	41
ANP32A	1561	2029	742	994
ANP32B	1471	1985	735	1011
ANP32E	2445	3062	1308	1498
ANTXR1	349	470	173	256
ANTXR2	200	235	91	109
ANXA1	923	1194	468	631
ANXA11	2073	2271	901	1227
ANXA2	1256	1462	625	766
ANXA4	310	397	161	203
ANXA5	3550	4208	1737	2208
ANXA6	2901	3115	1277	1739
ANXA7	2712	3009	1335	1599
AOC2	3	4	2	0
AP002495.2	25	31	13	17
AP002748.4	10	15	7	9
AP002956.1	152	219	72	104
AP1AR	158	149	70	89
AP1B1	3665	4322	1681	2269
AP1G1	1756	2056	891	1065
AP1G2	201	185	86	108
AP1M1	1692	2111	772	1082
AP1S1	987	1171	428	589
AP1S2	230	233	89	125
AP1S3	205	232	89	138
AP2A1	980	1264	489	639
AP2A2	1256	1445	541	759
AP2B1	2497	2850	1229	1643
AP2M1	3307	3830	1545	2009
AP2S1	1810	2208	804	1036
AP3B1	1746	1999	865	1052
AP3B2	32	46	21	24
AP3D1	2649	3363	1284	1770
AP3M1	1981	2190	948	1273
AP3M2	382	451	192	215
AP3S1	646	663	306	340
AP3S2	103	94	52	49
AP4B1	369	435	163	221
AP4E1	317	392	162	191
AP4M1	148	229	96	114
AP4S1	37	44	25	28
AP5B1	213	286	104	169
AP5M1	271	281	124	164
AP5S1	168	237	96	143
AP5Z1	119	202	72	117
APAF1	808	860	314	433
APBA2	254	351	130	155
APBA3	89	116	37	57
APBB1	621	725	293	401
APBB2	205	223	72	133
APBB3	52	62	15	25
APC	844	972	450	586
APC2	11	12	5	7
APEH	1346	1478	563	719
APEX1	2389	3355	1223	1693
APEX2	355	465	153	241
APH1A	820	1012	403	508
API5	1288	1479	614	829
APIP	287	303	118	143
APLF	21	23	13	15
APLP1	488	616	253	327
APLP2	6129	7017	2703	3694
APMAP	703	1095	379	505
APOBEC3C	475	548	189	289
APOC1	114	126	56	70
APOL2	424	564	204	254
APOM	25	30	20	25
APOO	394	458	200	264
APOOL	332	323	156	206
APOPT1	60	84	24	31
APP	7510	9004	3208	4735
APPBP2	931	1081	404	529
APPL1	1332	1396	629	798
APPL2	458	523	220	273
APRT	2425	3076	1072	1573
APTX	461	575	259	266
AQR	1506	1716	749	935
ARAF	455	568	193	314
ARAP1	513	564	211	302
ARAP2	158	186	80	103
ARCN1	3719	4183	1782	2250
AREL1	188	212	90	122
ARF1	5200	6491	2409	3392
ARF3	228	344	103	179
ARF4	1141	1435	611	727
ARF5	2442	2638	1114	1478
ARF6	643	878	306	458
ARFGAP1	667	971	367	453
ARFGAP2	625	886	303	484
ARFGAP3	776	895	326	447
ARFGEF1	834	845	360	446
ARFGEF2	799	947	354	461
ARFGEF3	556	625	268	328
ARFIP1	614	591	257	320
ARFIP2	649	770	293	443
ARFRP1	238	302	106	130
ARG2	730	721	295	376
ARGLU1	568	674	247	364
ARHGAP1	528	669	266	355
ARHGAP10	285	332	134	195
ARHGAP11A	890	915	416	487
ARHGAP12	424	404	194	234
ARHGAP17	1023	1413	562	741
ARHGAP18	235	237	91	114
ARHGAP20	91	113	33	56
ARHGAP21	266	232	114	157
ARHGAP22	110	147	41	78
ARHGAP24	32	39	15	16
ARHGAP26	209	218	94	115
ARHGAP27	79	117	42	69
ARHGAP28	121	152	58	63
ARHGAP29	332	314	117	144
ARHGAP31	67	65	30	52
ARHGAP32	162	156	79	98
ARHGAP35	614	653	276	375
ARHGAP39	173	203	77	86
ARHGAP42	77	76	43	47
ARHGAP44	92	80	45	50
ARHGAP45	41	45	17	27
ARHGAP5	527	567	287	281
ARHGDIA	3188	3781	1492	1888
ARHGDIG	51	65	24	46
ARHGEF1	660	813	316	443
ARHGEF10	251	326	152	137
ARHGEF10L	55	82	30	47
ARHGEF11	324	373	142	206
ARHGEF12	831	911	396	522
ARHGEF16	118	162	74	84
ARHGEF17	152	148	51	61
ARHGEF2	963	1204	462	535
ARHGEF25	33	61	22	25
ARHGEF26	369	478	177	272
ARHGEF28	137	124	64	97
ARHGEF3	210	224	92	120
ARHGEF39	261	364	121	196
ARHGEF4	66	52	40	53
ARHGEF40	146	175	61	93
ARHGEF6	259	247	105	103
ARHGEF7	575	704	307	407
ARHGEF9	31	22	14	17
ARID1A	1816	2526	938	1296
ARID1B	699	789	346	425
ARID2	1251	1487	608	821
ARID3A	150	194	82	89
ARID3B	103	120	41	61
ARID4A	229	261	106	132
ARID4B	796	938	377	470
ARID5A	87	105	29	73
ARID5B	645	794	308	378
ARIH1	914	1190	479	600
ARIH2	642	644	306	372
ARL1	1278	1336	595	738
ARL10	37	50	16	21
ARL13B	268	282	133	132
ARL14EP	336	376	174	220
ARL15	220	181	92	102
ARL16	255	360	117	204
ARL2	391	419	148	207
ARL2BP	508	564	242	322
ARL3	930	1043	434	542
ARL4A	32	28	24	24
ARL4C	110	155	63	81
ARL4D	102	110	36	47
ARL5A	23	38	13	16
ARL5B	571	691	325	368
ARL6	159	210	77	94
ARL6IP1	381	543	200	301
ARL6IP4	1027	1443	505	764
ARL6IP5	845	787	323	431
ARL6IP6	283	298	124	136
ARL8A	374	452	201	265
ARL8B	488	654	268	308
ARMC1	568	617	279	352
ARMC10	79	102	43	52
ARMC2	60	66	22	36
ARMC4	243	239	111	152
ARMC5	160	254	84	170
ARMC6	971	1243	506	739
ARMC7	181	252	104	130
ARMC8	419	458	207	259
ARMC9	480	592	228	257
ARMCX3	313	397	140	190
ARMCX4	21	40	15	33
ARMCX5	212	196	77	129
ARMCX6	17	44	17	14
ARMH3	730	762	322	467
ARMH4	146	151	51	72
ARMT1	1770	1879	826	1038
ARNT	576	705	288	350
ARNT2	82	117	35	71
ARNTL	65	70	32	31
ARNTL2	97	104	40	46
ARPC1A	173	209	97	153
ARPC1B	104	126	42	56
ARPC2	4340	4981	1985	2680
ARPC3	2359	2644	1195	1533
ARPC4-TTLL3	110	135	59	75
ARPC5	766	1016	390	479
ARPC5L	536	676	253	359
ARPP19	642	717	313	370
ARRB1	143	139	61	72
ARRB2	828	988	356	552
ARRDC1	380	452	198	226
ARRDC2	84	80	35	49
ARRDC3	78	88	42	77
ARRDC4	308	330	137	166
ARSA	169	197	71	116
ARSB	125	168	58	94
ARSG	43	39	16	23
ARSK	223	236	86	112
ARV1	624	737	338	385
ARVCF	78	106	49	52
AS3MT	234	240	103	107
ASAH1	945	1046	422	609
ASAP1	526	593	278	327
ASAP2	310	402	159	195
ASAP3	144	157	66	77
ASB1	151	210	68	79
ASB13	141	182	74	90
ASB14	0	0	0	0
ASB16	23	19	6	8
ASB6	896	1112	404	537
ASB7	93	127	27	59
ASB8	425	490	196	233
ASCC1	874	1033	432	532
ASCC2	1031	1313	496	668
ASCC3	2425	2806	1219	1537
ASDURF	98	69	30	51
ASF1A	802	1003	441	542
ASF1B	1066	1417	467	719
ASH1L	1064	1242	561	687
ASH2L	890	1018	474	572
ASIC1	176	179	83	105
ASL	104	123	54	75
ASMTL	247	241	89	126
ASNA1	1305	1539	601	836
ASNS	2669	2488	1057	1306
ASNSD1	374	410	203	198
ASPH	1026	1139	501	602
ASPHD2	52	59	19	27
ASPM	2587	2694	1315	1572
ASPN	1	0	0	0
ASPSCR1	235	349	127	160
ASRGL1	360	482	158	218
ASS1	467	482	192	279
ASTE1	204	264	112	152
ASTN2	22	22	4	13
ASXL1	672	891	360	446
ASXL2	324	374	156	207
ASXL3	79	64	37	51
ATAD1	1029	1267	520	701
ATAD2	2850	2956	1392	1532
ATAD2B	279	317	143	167
ATAD3A	795	1071	423	629
ATAD3B	526	707	241	347
ATAD5	721	701	343	392
ATAT1	210	254	82	132
ATE1	522	598	255	342
ATF1	422	578	239	304
ATF2	296	321	112	134
ATF3	146	174	65	90
ATF4	314	318	106	115
ATF5	24	33	11	11
ATF6	1370	1499	646	850
ATF6B	966	1228	389	660
ATF7IP	2451	2879	1341	1521
ATF7IP2	24	26	7	12
ATG10	42	49	19	19
ATG101	306	374	140	207
ATG12	182	242	123	129
ATG13	402	460	179	252
ATG14	84	99	46	56
ATG16L1	474	587	237	289
ATG16L2	21	17	7	14
ATG2A	380	533	188	295
ATG2B	1147	1216	536	620
ATG3	695	750	338	443
ATG4A	188	201	88	80
ATG4B	1017	1310	500	707
ATG4C	373	358	151	191
ATG4D	207	264	89	116
ATG5	548	537	273	318
ATG7	597	642	264	326
ATG9A	1076	1156	505	673
ATIC	6833	7893	3266	4179
ATL1	160	180	97	92
ATL2	1058	1283	573	670
ATL3	113	131	62	53
ATM	1030	1005	445	593
ATMIN	81	87	44	39
ATN1	831	1041	378	546
ATOX1	887	984	462	555
ATP10D	80	87	36	50
ATP11A	268	322	107	179
ATP11B	587	640	279	328
ATP11C	1161	1278	567	701
ATP13A1	806	1352	484	708
ATP13A2	613	683	281	351
ATP13A3	1205	1411	599	738
ATP1A1	13356	17136	6760	8653
ATP1B1	912	965	450	577
ATP1B3	1846	2164	868	1112
ATP23	169	155	82	92
ATP2A1	27	30	6	10
ATP2A2	7611	9718	3795	5136
ATP2B1	1801	2311	912	1186
ATP2B4	156	198	62	82
ATP2C1	1081	1363	539	625
ATP5F1A	9425	12045	4886	6330
ATP5F1B	24635	29643	11275	14682
ATP5F1C	5808	6445	2873	3483
ATP5F1D	916	1338	517	703
ATP5F1E	2080	2352	895	1320
ATP5IF1	2168	2758	1037	1395
ATP5MC1	1364	1665	673	860
ATP5MC2	3756	5072	1842	2455
ATP5MC3	5259	5890	2413	2892
ATP5MD	1602	1851	835	1132
ATP5ME	2032	2267	862	1089
ATP5MF	2375	2497	1128	1674
ATP5MG	382	518	197	322
ATP5MPL	2500	3174	1219	1712
ATP5PB	2983	3320	1437	1804
ATP5PD	1131	1568	561	813
ATP5PF	2378	2743	1169	1433
ATP5PO	1805	2078	849	1086
ATP6AP1	2907	3452	1235	1734
ATP6AP2	2303	2452	1019	1269
ATP6V0A1	1062	1342	548	693
ATP6V0A2	812	935	388	513
ATP6V0B	1953	2757	992	1318
ATP6V0C	1346	1820	672	862
ATP6V0D1	1459	1865	672	983
ATP6V0E1	372	527	190	303
ATP6V0E2	480	629	220	315
ATP6V1A	2486	3254	1358	1663
ATP6V1B1	59	55	31	37
ATP6V1B2	1592	1897	746	967
ATP6V1C1	901	1007	443	564
ATP6V1D	1019	1169	451	590
ATP6V1E1	1495	1723	767	961
ATP6V1F	1555	1737	701	956
ATP6V1G1	1379	1541	628	832
ATP6V1H	1255	1405	607	776
ATP7A	482	491	238	269
ATP7B	433	637	214	330
ATP8A1	254	250	101	136
ATP8B1	25	33	6	17
ATP8B2	153	163	71	79
ATP9A	473	525	228	286
ATP9B	219	226	85	106
ATPAF1	1621	1862	748	947
ATPAF2	127	175	67	97
ATPSCKMT	216	270	121	162
ATR	1120	1229	517	594
ATRAID	538	693	268	393
ATRIP	275	345	132	186
ATRN	747	895	341	447
ATRNL1	106	119	72	61
ATRX	1174	1425	679	772
ATXN1	97	112	47	77
ATXN10	3720	4501	1948	2438
ATXN1L	69	100	42	36
ATXN2	2233	2572	1084	1341
ATXN2L	2193	2915	1156	1577
ATXN3	488	500	229	287
ATXN7	10	3	2	1
ATXN7L1	90	103	47	55
ATXN7L2	68	111	40	54
ATXN7L3	104	106	41	67
ATXN7L3B	489	691	232	328
AUH	186	218	100	108
AUNIP	472	489	175	215
AUP1	669	777	324	421
AURKA	1683	1980	843	1027
AURKAIP1	2558	3534	1157	1661
AURKB	1495	1943	756	998
AUTS2	361	418	163	228
AVEN	134	160	66	92
AVIL	2	1	4	1
AVL9	294	360	150	187
AVPI1	152	155	65	102
AXIN1	302	440	165	219
AXIN2	105	146	41	65
AZI2	131	126	61	82
AZIN1	757	816	301	436
AZIN2	13	16	9	10
B2M	4640	5276	2011	2614
B3GALNT2	180	202	89	89
B3GALT1	8	9	1	7
B3GALT2	1	1	0	0
B3GALT6	266	375	138	183
B3GAT2	66	74	21	43
B3GAT3	182	268	88	137
B3GLCT	294	263	120	152
B3GNT10	93	110	47	44
B3GNT2	124	130	50	64
B3GNT5	159	144	87	95
B4GALNT1	20	27	5	13
B4GALNT3	216	265	97	103
B4GALNT4	33	49	14	21
B4GALT1	335	418	180	185
B4GALT2	110	127	46	62
B4GALT3	175	202	83	107
B4GALT4	170	167	69	114
B4GALT5	464	599	247	314
B4GALT6	70	103	22	44
B4GALT7	123	159	50	89
B4GAT1	1019	1461	484	739
B9D1	271	315	116	171
BABAM1	708	891	334	426
BABAM2	438	502	212	264
BACE1	112	152	55	67
BACE2	318	352	150	193
BACH1	488	549	233	300
BACH2	106	122	58	73
BAD	275	394	129	191
BAG1	213	304	105	145
BAG2	945	1404	523	656
BAG3	1146	1532	584	794
BAG4	470	519	194	245
BAG5	698	810	327	432
BAG6	5720	7857	3004	4009
BAHCC1	192	212	96	137
BAHD1	679	924	327	470
BAIAP2	226	311	106	148
BAIAP2L1	837	917	412	526
BAIAP3	11	18	3	21
BAK1	133	161	57	71
BAMBI	321	362	178	255
BANF1	630	893	237	359
BANP	176	242	81	118
BAP1	381	476	182	254
BARD1	665	775	302	417
BAX	729	988	371	487
BAZ1A	2246	2455	1036	1335
BAZ1B	2694	3400	1420	1717
BAZ2A	1889	2149	857	1167
BAZ2B	241	242	111	137
BBIP1	126	160	66	101
BBOF1	6	13	7	5
BBS10	536	543	238	303
BBS12	67	88	38	33
BBS2	589	719	267	312
BBS4	341	379	156	193
BBS7	766	862	361	437
BBS9	121	115	51	50
BBX	903	1066	468	577
BCAP29	615	790	310	380
BCAP31	4124	5107	1856	2619
BCAR1	387	554	184	285
BCAR3	68	82	32	52
BCAS2	1228	1484	610	809
BCAS3	562	638	272	353
BCAS4	181	202	88	99
BCAT1	1798	1844	763	936
BCAT2	757	960	349	545
BCCIP	2891	3473	1431	1694
BCDIN3D	180	213	75	78
BCHE	240	225	103	122
