	untr_a_hek	untr_b_hek	tmisrib_a_hek	tmisrib_b_hek
AC129492.1	318	218	290	512
AC138811.2	525	364	739	1134
AC139768.1	45	36	37	59
AC245033.1	573	409	817	1132
ACAA1	542	481	736	998
ACAA2	551	536	706	1086
ACACA	4340	3888	5073	7724
ACACB	484	414	507	838
ACAD10	339	299	443	651
ACAD11	1534	1313	1874	2801
ACAD8	424	415	559	811
ACAD9	1103	982	1521	2188
ACADL	81	73	98	131
ACADM	1953	1987	3027	4034
ACADS	163	145	262	343
ACADSB	400	375	562	853
ACADVL	1201	1037	1716	2534
ACAP2	870	784	1178	1721
ACAP3	420	368	572	733
ACAT1	2467	2294	3419	4885
ACAT2	2710	2475	4134	5567
ACBD3	1477	1466	2230	2916
ACBD4	44	42	44	68
ACBD5	344	322	474	646
ACBD6	1127	1037	1758	2454
ACBD7	30	34	36	55
ACCS	65	62	70	120
ACD	231	221	386	514
ACER2	30	19	38	54
ACER3	144	127	233	352
ACHE	18	22	25	38
ACIN1	4604	4365	6091	8543
ACLY	9051	7964	13588	19392
ACMSD	25	15	24	42
ACO1	1151	1093	1729	2399
ACO2	1661	1442	2303	3437
ACOT1	26	18	40	48
ACOT11	25	18	35	36
ACOT13	384	350	593	785
ACOT2	140	128	214	279
ACOT7	546	536	639	987
ACOT8	237	182	317	483
ACOT9	570	510	847	1150
ACOX1	978	956	1433	2088
ACOX3	280	254	306	516
ACP1	1107	976	1575	2102
ACP2	250	236	340	574
ACP4	27	25	64	75
ACP6	462	386	606	841
ACRV1	38	34	42	74
ACSBG2	12	15	21	31
ACSF2	149	123	215	334
ACSF3	460	416	619	894
ACSL1	484	470	779	1054
ACSL3	2675	2485	3927	5579
ACSL4	1284	1233	1854	2524
ACSM3	172	151	238	358
ACSS1	234	232	310	487
ACSS2	285	244	441	523
ACSS3	59	62	69	124
ACTA2	73	63	82	130
ACTB	16756	15312	25169	37092
ACTG1	18478	16213	34203	46601
ACTL6A	1072	1032	1837	2661
ACTN1	1414	1199	1747	2748
ACTN2	194	180	193	312
ACTN4	2388	2095	3090	4854
ACTR10	806	792	1356	1949
ACTR1A	1736	1539	2616	3791
ACTR1B	522	459	787	1098
ACTR2	2393	2286	2989	4117
ACTR3	2590	2446	4003	5643
ACTR3B	247	178	220	405
ACTR3C	20	21	16	36
ACTR5	413	354	559	839
ACTR6	1029	1079	1637	2173
ACTR8	1741	1611	2415	3470
ACTRT3	57	76	78	115
ACVR1	127	75	137	207
ACVR1B	322	329	382	553
ACVR1C	33	36	46	60
ACVR2A	304	285	477	641
ACVR2B	496	437	560	862
ACYP1	147	156	201	314
ACYP2	37	37	67	73
AD000864.1	56	50	59	78
ADA	196	179	256	383
ADAL	184	168	256	391
ADAM10	930	873	1250	1795
ADAM11	131	121	206	288
ADAM15	1004	828	1504	2169
ADAM17	881	850	1184	1659
ADAM19	51	69	78	113
ADAM22	406	346	533	847
ADAM23	292	283	371	567
ADAM32	21	33	34	54
ADAM8	37	30	43	47
ADAM9	1994	1943	2929	3978
ADAMTS1	833	746	1260	1708
ADAMTS10	11	12	17	32
ADAMTS13	161	111	136	230
ADAMTS15	47	22	32	73
ADAMTS17	256	242	243	460
ADAMTS19	210	196	219	325
ADAMTS2	47	27	53	111
ADAMTS20	305	252	345	537
ADAMTS3	257	272	404	605
ADAMTS6	66	67	78	135
ADAMTS7	50	43	48	99
ADAMTS9	297	279	320	532
ADAMTSL3	42	38	48	63
ADAMTSL4	40	40	51	95
ADAP1	57	60	124	163
ADAP2	83	77	118	156
ADAR	5931	5169	8150	12097
ADARB1	354	284	460	714
ADAT1	537	445	588	962
ADAT2	357	357	340	539
ADAT3	58	59	68	109
ADCK1	184	185	267	350
ADCK2	593	555	842	1182
ADCK5	66	62	107	128
ADCY1	392	341	488	729
ADCY3	1229	1057	1578	2468
ADCY6	381	322	412	659
ADCY7	103	83	122	210
ADCY9	614	560	594	1023
ADCYAP1R1	25	25	33	51
ADD1	1370	1395	1884	2811
ADD2	463	441	562	865
ADD3	1347	1188	2237	3230
ADGRA2	92	65	114	181
ADGRA3	1070	940	1410	2180
ADGRB2	279	237	348	462
ADGRB3	363	327	433	631
ADGRE5	93	57	83	123
ADGRG2	54	37	66	78
ADGRG6	105	107	130	206
ADGRL1	816	624	790	1445
ADGRL2	2653	2299	3983	5892
ADGRL3	515	435	753	1063
ADGRV1	3356	3098	4186	6249
ADH5	1526	1461	2593	3478
ADI1	1170	1163	1556	2301
ADIPOR1	1486	1341	2350	3408
ADIPOR2	643	627	1124	1482
ADK	862	838	1200	1696
ADM	38	42	91	104
ADNP	3280	2782	3062	5540
ADNP2	1432	1246	1815	2597
ADO	161	182	256	381
ADORA2A	39	25	56	67
ADORA2B	157	127	216	334
ADPGK	944	798	1325	2087
ADPRHL1	55	45	57	96
ADPRHL2	524	496	806	1153
ADPRM	102	88	174	252
ADRA2C	44	54	111	140
ADRM1	1490	1396	2330	3316
ADSL	4094	3778	6667	9732
ADSS	2663	2760	3590	4815
ADSSL1	13	10	18	28
AEBP2	525	423	548	809
AEN	655	598	1138	1430
AES	221	190	396	549
AFAP1	257	280	275	483
AFAP1L1	100	87	167	236
AFDN	4857	4431	5739	8629
AFF1	536	436	559	914
AFF3	141	113	160	303
AFF4	2154	1773	2653	4212
AFG1L	183	184	261	388
AFG3L2	2551	2390	3483	5111
AFMID	252	233	289	386
AFTPH	783	653	1094	1583
AGA	252	239	391	659
AGAP1	565	567	700	1095
AGAP2	84	86	131	175
AGAP3	1016	801	1306	1828
AGAP5	35	24	22	50
AGAP6	121	84	155	263
AGAP9	152	140	140	246
AGBL3	72	77	76	138
AGBL5	1387	1099	2048	3058
AGER	66	60	52	102
AGFG1	1237	973	1896	2720
AGFG2	102	75	123	198
AGGF1	219	218	352	443
AGK	1127	967	1505	2411
AGL	2885	2468	3699	5676
AGMAT	59	47	72	98
AGO1	1139	982	1322	2082
AGO2	1076	857	1174	1932
AGO3	808	730	1039	1481
AGO4	306	272	380	557
AGPAT1	271	248	323	607
AGPAT2	138	126	275	371
AGPAT3	502	432	643	923
AGPAT4	331	317	434	657
AGPAT5	525	574	777	1082
AGPS	2017	2150	3047	4162
AGRN	702	571	595	1034
AGTPBP1	2802	2691	4104	5916
AGTRAP	169	133	335	471
AHCTF1	1769	1629	2461	3563
AHCY	3579	3096	6570	8752
AHCYL1	1341	1192	1812	2615
AHCYL2	291	286	277	511
AHDC1	107	55	51	128
AHI1	1214	1107	1556	2307
AHNAK	1958	2058	1996	3164
AHNAK2	282	223	343	503
AHR	28	13	45	98
AHSA1	3620	3401	5386	7680
AIF1L	151	131	168	248
AIFM1	2364	2271	3510	4829
AIFM2	81	88	92	128
AIG1	510	418	637	946
AIMP1	1217	1202	1763	2504
AIMP2	1482	1373	2299	3140
AIP	594	562	991	1272
AJUBA	134	131	126	199
AK1	367	356	480	661
AK2	1873	1965	2793	4051
AK3	254	239	348	533
AK4	73	87	77	98
AK5	21	22	25	27
AK6	745	705	1172	1603
AK7	38	37	45	70
AK8	26	28	28	67
AK9	89	95	93	174
AKAP1	2226	2028	3010	4283
AKAP10	953	796	1201	1833
AKAP11	3358	3155	3648	5859
AKAP12	3951	3786	5123	7112
AKAP13	2881	2493	3272	5187
AKAP17A	470	456	600	830
AKAP5	133	119	188	239
AKAP6	167	134	145	271
AKAP7	159	180	182	306
AKAP8	938	907	1326	1749
AKAP8L	1262	1178	1905	2759
AKAP9	5034	4878	7234	8178
AKIP1	242	163	325	474
AKIRIN1	400	348	593	858
AKIRIN2	191	167	211	393
AKNA	46	43	40	95
AKR1A1	777	648	1123	1520
AKR1B1	1398	1274	2271	3075
AKR7A2	579	535	1020	1489
AKR7A3	36	21	19	45
AKT1	1288	1151	1937	2718
AKT1S1	145	134	203	304
AKT2	954	842	1490	2061
AKT3	1144	1013	1451	2160
AKTIP	136	146	220	295
AL022238.4	17	24	23	26
AL022312.1	178	161	210	315
AL031777.3	1166	666	3724	5289
AL034430.1	136	135	218	291
AL034430.2	213	196	305	419
AL049650.1	103	102	207	279
AL109811.3	67	60	120	220
AL109827.1	134	123	179	247
AL121753.1	141	139	183	295
AL121768.1	1135	1111	1340	1889
AL135905.2	30	38	75	92
AL136295.1	27	32	28	50
AL139011.2	78	65	96	166
AL139260.3	37	19	38	54
AL139300.1	25	19	47	65
AL157935.2	33	35	28	52
AL162171.1	199	173	198	350
AL162231.1	24	23	36	47
ALAD	161	130	182	238
ALAS1	1120	1061	1669	2375
ALCAM	1183	1035	1769	2491
ALDH16A1	633	577	777	1128
ALDH18A1	4726	4233	6828	9375
ALDH1A2	1087	1031	1667	2378
ALDH1A3	30	37	59	58
ALDH1B1	1148	1080	1508	2116
ALDH1L2	680	640	677	1069
ALDH2	229	228	432	529
ALDH3A1	22	14	39	58
ALDH3A2	1934	1706	2592	3784
ALDH4A1	150	119	261	316
ALDH5A1	399	469	523	886
ALDH6A1	450	392	615	905
ALDH7A1	971	848	1124	1599
ALDH8A1	31	27	32	49
ALDH9A1	1863	1710	2882	3891
ALDOA	804	711	1574	2153
ALDOC	51	40	87	136
ALG1	412	314	626	855
ALG10	205	163	368	426
ALG10B	99	73	207	260
ALG11	443	431	637	920
ALG12	394	303	484	719
ALG13	1970	1746	2032	3476
ALG14	284	284	407	566
ALG1L	46	38	58	93
ALG2	382	370	647	911
ALG3	272	229	415	561
ALG5	737	695	1175	1753
ALG6	1251	1223	2016	2989
ALG8	1481	1272	2415	3534
ALG9	20	13	39	56
ALKAL1	23	14	34	59
ALKBH1	295	214	480	699
ALKBH2	436	439	705	902
ALKBH3	464	390	642	1036
ALKBH4	214	219	253	384
ALKBH5	2628	2428	4158	5906
ALKBH6	117	107	172	258
ALKBH7	167	145	228	330
ALKBH8	809	735	978	1462
ALMS1	5481	4522	6828	10606
ALOX12	85	48	91	111
ALPK1	173	133	208	321
ALPL	21	19	41	56
ALS2	1120	934	1453	2109
ALX1	158	136	225	334
ALX3	77	66	77	115
ALX4	58	58	55	79
ALYREF	3010	3006	4124	6054
AMACR	165	152	244	352
AMBRA1	1041	898	1391	2168
AMD1	3164	2935	4656	6425
AMDHD2	115	104	190	262
AMER1	513	446	581	839
AMFR	1492	1277	2128	2981
AMH	163	156	128	258
AMIGO1	57	44	70	108
AMIGO3	133	108	192	278
AMMECR1	315	276	490	618
AMMECR1L	243	215	317	486
AMN1	98	85	142	259
AMOT	6630	5312	8395	13708
AMOTL1	856	828	1185	1724
AMOTL2	124	108	236	294
AMPD2	741	655	983	1442
AMPH	104	100	152	255
AMZ2	1085	943	1774	2558
ANAPC1	1817	1623	2855	4130
ANAPC10	143	130	243	411
ANAPC11	496	493	696	928
ANAPC13	291	289	363	494
ANAPC15	287	287	523	658
ANAPC16	448	420	674	924
ANAPC2	596	555	802	1062
ANAPC4	1075	994	1567	2292
ANAPC5	5319	4740	8225	12183
ANAPC7	2163	1865	3095	4516
ANGEL1	715	579	825	1338
ANGEL2	985	924	1524	2290
ANGPT2	51	49	36	76
ANGPTL1	37	16	32	53
ANGPTL3	75	62	59	110
ANGPTL4	29	21	25	40
ANGPTL7	61	38	39	66
ANK1	257	223	298	510
ANK2	837	749	1157	1681
ANK3	748	705	928	1465
ANKAR	233	244	254	471
ANKEF1	270	241	329	473
ANKFY1	1656	1415	1711	2822
ANKH	284	227	400	577
ANKHD1	122	131	148	231
ANKIB1	990	932	1389	2047
ANKLE1	39	19	25	47
ANKLE2	2479	2270	3211	4664
ANKMY1	207	167	262	402
ANKMY2	333	350	498	755
ANKRA2	124	116	199	309
ANKRD10	703	664	1017	1513
ANKRD11	2813	2422	2342	4127
ANKRD12	759	771	1021	1248
ANKRD13A	707	671	1076	1636
ANKRD13B	155	127	150	245
ANKRD13C	1390	1267	2015	2861
ANKRD13D	217	184	262	339
ANKRD16	114	113	191	292
ANKRD17	6703	5807	7834	12255
ANKRD18A	638	555	411	848
ANKRD18B	832	778	563	1164
ANKRD20A4	18	17	15	27
ANKRD23	70	62	59	97
ANKRD24	24	21	13	28
ANKRD26	1572	1420	1921	2593
ANKRD27	977	977	1404	1967
ANKRD28	1665	1435	2193	3074
ANKRD31	66	58	77	120
ANKRD34B	20	18	26	40
ANKRD36	1649	1587	1635	2580
ANKRD36B	512	535	612	896
ANKRD36C	1373	1312	1525	2360
ANKRD37	30	16	33	49
ANKRD39	108	109	149	192
ANKRD40	812	741	1171	1619
ANKRD42	89	83	135	221
ANKRD44	131	120	183	287
ANKRD46	339	293	536	743
ANKRD49	233	221	359	571
ANKRD50	1230	1094	1465	2276
ANKRD52	1868	1476	1318	2654
ANKRD54	208	180	300	392
ANKRD6	216	172	252	392
ANKRD61	167	133	108	214
ANKRD7	31	32	30	60
ANKRD9	45	49	46	85
ANKS1A	618	483	709	1114
ANKS1B	44	34	49	91
ANKS3	278	271	364	508
ANKS6	635	564	753	1076
ANKZF1	534	451	650	919
ANLN	3865	3425	6355	8588
ANO10	724	649	912	1381
ANO4	36	35	49	65
ANO5	599	559	807	1220
ANO6	709	642	1082	1624
ANO8	122	111	153	238
ANP32A	2481	2518	3885	4478
ANP32B	1659	1675	1182	2070
ANP32E	1672	1958	2455	2550
ANTXR1	436	365	442	783
ANTXR2	103	106	127	165
ANXA1	65	70	121	156
ANXA11	844	739	1277	1739
ANXA2	553	544	913	1359
ANXA3	19	17	30	40
ANXA4	171	147	233	336
ANXA5	3112	2983	4886	6869
ANXA6	2071	1802	3154	4637
ANXA7	1779	1463	2868	3963
ANXA9	26	29	29	46
AOC2	120	90	139	244
AP002495.2	54	62	75	111
AP002748.4	58	48	101	109
AP002956.1	175	142	251	335
AP002990.1	19	19	33	26
AP1AR	584	603	896	1214
AP1B1	2344	2072	3182	4913
AP1G1	2292	1990	2576	4100
AP1G2	606	533	849	1220
AP1M1	770	588	1166	1768
AP1S1	364	357	483	623
AP1S2	182	181	245	369
AP1S3	105	95	156	243
AP2A1	1135	888	1271	2019
AP2A2	1060	865	1295	2036
AP2B1	2172	1854	2244	3599
AP2M1	3327	3182	5573	7653
AP2S1	1192	1149	1916	2765
AP3B1	2170	2154	2924	4242
AP3B2	55	53	65	82
AP3D1	2698	2362	3125	5080
AP3M1	974	873	1472	2150
AP3M2	595	546	772	1177
AP3S1	617	586	1006	1290
AP3S2	94	72	77	152
AP4B1	649	609	854	1242
AP4E1	691	620	901	1290
AP4M1	133	124	219	296
AP4S1	59	70	94	156
AP5B1	353	314	401	566
AP5M1	713	638	1182	1645
AP5S1	145	97	189	253
AP5Z1	311	255	395	626
APAF1	839	821	1103	1557
APBA2	503	434	700	980
APBA3	162	154	204	341
APBB1	842	740	1211	1664
APBB2	188	169	221	386
APBB3	118	103	186	259
APC	3064	2576	3965	5934
APC2	88	76	89	155
APCDD1	23	15	18	39
APEH	2133	1891	3242	4592
APEX1	2005	2060	2743	3858
APEX2	571	502	834	1231
APH1A	1105	889	2031	2795
APH1B	31	28	61	75
API5	2658	2651	3938	5259
APIP	564	557	776	1120
APLF	92	84	142	193
APLP1	68	60	62	110
APLP2	5747	5530	8157	11366
APMAP	1141	992	1783	2421
APOBEC3C	45	37	109	110
APOC1	73	84	155	202
APOL2	203	168	258	368
APOLD1	18	30	27	45
APOM	29	30	39	69
APOO	272	198	378	520
APOOL	295	272	331	563
APOPT1	80	64	152	209
APP	4637	4827	5658	8127
APPBP2	963	856	1387	1908
APPL1	2012	1709	3040	4158
APPL2	550	487	737	1017
APRT	2419	2070	3910	5460
APTX	776	783	1125	1506
AQP11	42	38	54	86
AQR	2110	1871	3396	5072
ARAF	598	521	866	1271
ARAP1	844	743	860	1339
ARAP2	419	417	538	803
ARAP3	47	41	35	66
ARCN1	3159	3021	4135	6167
AREL1	722	647	1143	1661
ARF1	2885	2627	5208	7414
ARF3	145	133	155	224
ARF4	1121	976	1751	2586
ARF5	916	877	1364	1961
ARF6	423	379	711	893
ARFGAP1	829	700	1091	1588
ARFGAP2	1025	969	1381	2069
ARFGAP3	468	422	719	1049
ARFGEF1	1974	1749	2534	3960
ARFGEF2	2474	1995	3242	4750
ARFGEF3	460	400	496	886
ARFIP1	480	440	783	1039
ARFIP2	1139	1048	1835	2590
ARFRP1	214	213	283	376
ARG1	36	31	38	63
ARG2	461	407	779	1139
ARGLU1	829	946	1355	1621
ARHGAP1	279	212	236	433
ARHGAP10	578	534	765	1218
ARHGAP11A	2070	1874	2568	3621
ARHGAP12	594	504	825	1223
ARHGAP17	802	602	582	1097
ARHGAP18	311	291	382	592
ARHGAP19-SLIT1	26	31	26	39
ARHGAP20	77	72	99	144
ARHGAP21	1504	1269	2172	3127
ARHGAP22	244	221	289	427
ARHGAP24	56	59	70	113
ARHGAP26	243	205	243	379
ARHGAP27	47	55	71	119
ARHGAP28	64	50	99	123
ARHGAP29	494	394	672	1031
ARHGAP30	17	18	26	35
ARHGAP31	128	110	132	251
ARHGAP32	500	389	600	927
ARHGAP33	59	55	48	101
ARHGAP35	2174	1868	2369	3905
ARHGAP39	198	165	200	396
ARHGAP4	20	17	31	48
ARHGAP42	167	118	216	327
ARHGAP44	171	155	209	324
ARHGAP45	73	50	110	140
ARHGAP5	4094	3653	5631	8418
ARHGDIA	1160	1083	977	1895
ARHGDIG	86	92	110	142
ARHGEF1	447	383	595	933
ARHGEF10	539	483	613	896
ARHGEF10L	91	63	112	196
ARHGEF11	1155	966	1335	2196
ARHGEF12	4432	3725	5907	8761
ARHGEF16	61	41	102	162
ARHGEF17	117	104	103	201
ARHGEF18	16	18	27	41
ARHGEF19	22	29	24	57
ARHGEF2	500	471	564	814
ARHGEF25	338	311	426	721
ARHGEF26	732	659	762	1219
ARHGEF28	60	41	89	152
ARHGEF3	206	153	237	411
ARHGEF39	254	218	308	459
ARHGEF4	303	249	418	615
ARHGEF40	132	137	164	256
ARHGEF6	207	200	350	457
ARHGEF7	587	549	666	1035
ARHGEF9	311	252	419	572
ARID1A	1418	1096	1069	2025
ARID1B	1589	1367	1677	2814
ARID2	1828	1581	2366	3692
ARID3A	93	80	86	153
ARID3B	136	97	157	231
ARID4A	577	551	628	894
ARID4B	2616	2439	3416	4647
ARID5A	72	85	110	164
ARID5B	348	258	386	607
ARIH1	1554	1478	1898	2718
ARIH2	2425	2218	3586	5073
ARIH2OS	29	33	74	101
ARL1	643	593	1115	1493
ARL10	172	180	114	224
ARL13B	541	492	745	1021
ARL14EP	458	407	599	836
ARL15	187	157	226	361
ARL16	287	240	489	616
ARL2	163	146	315	432
ARL2BP	531	455	845	1170
ARL3	225	199	410	498
ARL4A	109	80	146	176
ARL4C	85	83	113	191
ARL4D	67	50	78	113
ARL5A	548	484	723	1034
ARL5B	405	361	573	815
ARL6	234	236	332	538
ARL6IP1	432	379	710	1013
ARL6IP4	1813	1765	2366	3320
ARL6IP5	954	924	1402	1870
ARL6IP6	355	251	472	699
ARL8A	199	207	258	415
ARL8B	558	469	719	1111
ARMC1	609	615	1041	1368
ARMC10	311	260	369	567
ARMC2	64	57	89	149
ARMC4	236	223	254	395
ARMC5	219	244	348	489
ARMC6	1199	986	1745	2665
ARMC7	46	35	54	87
ARMC8	981	954	1518	2206
ARMC9	542	506	673	986
ARMCX2	37	24	54	95
ARMCX3	370	381	509	708
ARMCX4	138	99	71	158
ARMCX5	645	570	1016	1379
ARMCX6	61	75	72	98
ARMH3	563	507	652	999
ARMH4	132	92	145	254
ARMT1	1310	1149	1910	2587
ARNT	712	665	945	1512
ARNT2	347	286	345	571
ARNTL	116	108	204	248
ARNTL2	847	721	1165	1678
ARPC1A	188	164	379	555
ARPC1B	62	56	107	139
ARPC2	2151	1846	3454	4910
ARPC3	1354	1320	2059	2800
ARPC4-TTLL3	79	73	116	140
ARPC5	706	780	1106	1495
ARPC5L	233	254	382	483
ARPP19	532	496	695	1001
ARRB1	137	116	173	264
ARRB2	430	368	678	857
ARRDC1	275	213	485	618
ARRDC2	43	35	47	81
ARRDC3	145	126	225	324
ARRDC4	215	214	263	366
ARSA	101	82	119	218
ARSB	242	217	350	495
ARSG	91	51	87	147
ARSK	205	166	260	391
ART5	36	36	55	79
ARV1	688	612	1026	1366
ARVCF	186	155	230	322
AS3MT	259	272	422	603
ASAH1	455	466	719	977
ASAP1	752	633	672	1232
ASAP2	392	333	421	691
ASAP3	205	185	235	345
ASB1	192	222	278	370
ASB13	237	201	294	428
ASB14	81	70	82	124
ASB16	36	30	56	104
ASB6	509	426	718	1018
ASB7	267	250	412	581
ASB8	290	274	330	490
ASCC1	494	442	644	917
ASCC2	1010	909	1357	2103
ASCC3	5958	5395	8472	12330
ASDURF	240	221	291	437
ASF1A	639	618	1096	1493
ASF1B	650	537	1091	1465
ASH1L	5130	4547	5300	8696
ASH2L	527	501	720	924
ASIC1	155	135	130	258
ASIC3	22	30	42	59
ASL	181	132	280	406
ASMTL	256	240	320	466
ASNA1	870	786	1494	2088
ASNS	2747	2556	4371	6141
ASNSD1	2237	2137	3407	4979
ASPH	1790	1647	2338	3356
ASPHD2	72	51	91	132
ASPM	13234	12162	19331	26690
ASPN	115	83	96	152
ASPRV1	21	24	31	45
ASPSCR1	397	353	574	788
ASRGL1	373	346	505	680
ASS1	397	358	597	858
ASTE1	396	293	512	839
ASTN2	54	57	62	107
ASXL1	2627	2220	2830	4557
ASXL2	1093	924	987	1829
ASXL3	85	83	98	157
ATAD1	973	898	1334	1782
ATAD2	3570	3488	5173	7188
ATAD2B	1290	1088	1638	2466
ATAD3A	882	792	1315	1701
ATAD3B	885	885	1318	1842
ATAD5	2481	2358	2715	4164
ATAT1	96	86	104	184
ATE1	848	762	968	1536
ATF1	379	380	703	961
ATF2	816	766	1291	1721
ATF3	55	62	126	186
ATF4	7363	7197	12074	16531
ATF5	48	37	57	115
ATF6	1247	1144	2078	2975
ATF6B	425	345	599	920
ATF7IP	1358	1270	1440	2260
ATF7IP2	121	104	158	261
ATG10	79	59	96	176
ATG101	303	337	429	626
ATG12	132	103	229	289
ATG13	587	498	847	1222
ATG14	305	325	427	687
ATG16L1	945	819	1134	1827
ATG16L2	117	93	145	226
ATG2A	759	699	798	1355
ATG2B	1924	1685	2446	3761
ATG3	1432	1367	2419	3341
ATG4A	356	295	563	822
ATG4B	717	648	1056	1561
ATG4C	761	780	1268	1774
ATG4D	358	306	519	760
ATG5	659	593	918	1375
ATG7	1001	924	1404	1938
ATG9A	570	458	812	1235
ATIC	2187	2045	1860	3560
ATL1	102	94	150	197
ATL2	1828	1816	2449	3575
ATL3	545	452	692	1006
ATM	4687	4275	5823	8759
ATMIN	1114	955	1695	2450
ATN1	406	315	204	603
ATOX1	158	162	320	459
ATP10D	254	247	422	605
ATP11A	490	449	405	735
ATP11B	1114	1078	1639	2456
ATP11C	2264	2062	3257	4808
ATP13A1	1044	893	1172	1979
ATP13A2	855	741	1035	1666
ATP13A3	2598	2432	3685	5488
ATP1A1	11332	10489	14286	21822
ATP1B1	360	354	489	690
ATP1B3	1402	1298	2166	3099
ATP23	106	92	172	247
ATP2A1	92	59	92	138
ATP2A2	5663	5181	4940	9199
ATP2A3	18	33	20	25
ATP2B1	2538	2455	3526	5051
ATP2B4	1023	924	985	1742
ATP2C1	1942	1898	2465	3636
ATP5F1A	11573	10642	18236	26036
ATP5F1B	16143	14250	26889	37578
ATP5F1C	3057	2790	5306	7501
ATP5F1D	237	191	286	437
ATP5F1E	884	702	1609	2337
ATP5IF1	1583	1595	2216	2960
ATP5MC1	995	780	1557	2289
ATP5MC2	1452	1130	2515	3380
ATP5MC3	3762	3310	6389	8648
ATP5MD	568	629	1131	1670
ATP5ME	1878	2052	2655	3836
ATP5MF	840	624	1730	2439
ATP5MF-PTCD1	24	20	39	35
ATP5MG	790	771	1339	1809
ATP5MPL	770	771	1184	1654
ATP5PB	3597	3212	5925	8453
