	untr_a_hek	untr_b_hek	isrib_a_hek	isrib_b_hek
ACBD3	1476	1467	1510	985
ACBD5	344	322	303	229
ACBD6	1127	1037	1077	822
ACCS	65	62	56	39
ACD	231	221	288	223
ACER3	144	126	153	104
ACIN1	4604	4364	4501	3741
ACLY	9048	7963	9099	7787
ACO1	1151	1093	1074	796
ACO2	1661	1443	1644	1373
ACOT13	383	350	323	210
ACOT2	140	128	119	60
ACOT7	546	536	477	395
ACOT8	237	182	220	176
ACOT9	570	510	496	401
ACOX1	978	956	908	733
ACOX3	280	254	228	234
ACP1	1107	976	959	612
ACP2	254	239	284	217
ACP4	27	25	49	46
ACP6	461	386	389	329
ACSF2	149	123	130	110
ACSF3	461	415	447	404
ACSL1	484	470	466	398
ACSL3	2676	2485	2404	1752
ACSL4	1285	1234	1131	887
ACSM3	172	151	118	99
ACSS1	234	231	203	198
ACSS2	285	244	273	233
ACSS3	59	62	45	45
ACTA2	73	63	75	59
ACTB	16750	15306	17460	15090
ACTG1	18478	16213	23162	17022
ACTL6A	1072	1032	1170	766
ACTN1	1412	1199	1260	1280
ACTN2	194	180	131	141
ACTN4	2389	2093	2156	2151
ACTR10	806	792	831	580
ACTR1A	1736	1539	1702	1259
ACTR1B	522	459	467	364
ACTR2	2387	2284	2049	1774
ACTR3	2590	2447	2603	1739
ACTR3B	247	176	160	158
ACTR5	413	354	316	278
ACTR6	1029	1079	950	676
ACTR8	1741	1611	1663	1217
ACTRT3	57	76	53	44
ACVR1	127	75	85	103
ACVR1B	322	329	322	242
ACVR1C	33	36	33	33
ACVR2A	304	285	296	212
ACVR2B	496	437	426	382
ACYP1	147	156	150	92
ACYP2	37	36	45	36
ADA	197	179	173	106
ADAL	184	168	199	157
ADAM10	930	873	831	716
ADAM11	131	121	133	117
ADAM15	1003	828	1036	748
ADAM17	881	850	764	601
ADAM19	51	69	59	43
ADAM22	406	346	389	308
ADAM23	292	283	270	238
ADAM9	1994	1943	1881	1347
ADAMTS1	833	746	776	610
ADAMTS13	161	112	107	128
ADAMTS17	256	241	191	219
ADAMTS19	210	196	174	173
ADAMTS2	47	27	25	34
ADAMTS20	305	252	257	193
ADAMTS3	257	272	263	200
ADAMTS6	66	67	67	57
ADAMTS9	298	279	235	232
ADAMTSL4	40	40	48	62
ADAP1	57	60	77	61
ADAP2	83	77	63	49
ADAR	5930	5169	5333	4494
ADARB1	354	284	318	320
ADAT1	537	445	397	412
ADAT2	357	357	262	223
ADAT3	58	59	45	31
ADCK1	185	185	167	157
ADCK2	593	555	534	425
ADCK5	66	62	66	45
ADCY1	392	341	346	292
ADCY3	1229	1058	1197	1034
ADCY6	381	322	328	270
ADCY7	103	83	95	82
ADCY9	614	560	453	444
ADCYAP1R1	25	25	34	27
ADD1	1370	1395	1316	1162
ADD2	463	441	396	423
ADD3	1347	1188	1403	993
ADGRA2	92	65	74	63
ADGRA3	1070	941	953	761
ADGRB2	279	237	241	220
ADGRB3	363	327	326	265
ADGRE5	93	57	51	48
ADGRG6	105	107	95	80
ADGRL1	816	624	604	724
ADGRL2	2653	2300	2672	1966
ADGRL3	515	435	481	359
ADGRV1	3356	3097	3108	2534
ADH5	1525	1461	1591	1068
ADI1	1169	1163	1006	783
ADIPOR1	1484	1341	1522	1110
ADIPOR2	643	627	740	572
ADK	862	838	799	604
ADM	38	42	57	40
ADNP	3281	2782	2305	2669
ADNP2	1432	1246	1286	1027
ADO	161	182	151	110
ADORA2A	39	25	39	31
ADORA2B	157	127	171	110
ADPGK	944	797	906	672
ADPRHL1	55	45	37	30
ADPRHL2	524	496	487	371
ADPRM	102	88	107	79
ADRA2C	44	54	67	30
ADRM1	1490	1397	1465	1173
ADSL	4094	3775	4108	2917
ADSS	2662	2759	2402	1735
AEBP2	525	422	366	370
AEN	655	598	737	478
AFAP1	257	280	213	208
AFAP1L1	100	87	102	82
AFDN	4857	4429	4020	3435
AFF1	536	436	384	488
AFF3	140	112	121	141
AFF4	2153	1772	1873	1784
AFG1L	183	185	178	133
AFG3L2	2549	2389	2208	1770
AFMID	252	233	187	166
AFTPH	783	654	718	552
AGA	252	239	229	148
AGAP1	565	567	517	519
AGAP2	84	86	91	69
AGAP3	1017	800	877	768
AGAP6	120	83	126	128
AGAP9	152	140	124	121
AGBL3	72	77	60	54
AGBL5	1387	1099	1330	988
AGER	66	60	39	38
AGFG1	1237	973	1254	907
AGFG2	102	75	93	67
AGGF1	219	218	240	144
AGK	1128	966	988	758
AGL	2884	2467	2549	2064
AGMAT	59	47	42	36
AGO1	1139	983	929	896
AGO2	1077	857	941	889
AGO3	808	731	748	664
AGO4	306	273	273	223
AGPAT1	271	248	256	291
AGPAT2	138	126	149	132
AGPAT3	502	432	385	426
AGPAT4	331	317	284	231
AGPAT5	525	574	462	374
AGPS	2017	2150	1983	1469
AGRN	702	571	494	540
AGTPBP1	2802	2692	2548	1944
AGTRAP	169	133	162	129
AHCTF1	1768	1630	1606	1407
AHCY	3579	3096	4179	2820
AHCYL1	1343	1194	1289	1117
AHCYL2	290	286	236	199
AHDC1	107	55	44	84
AHI1	1214	1107	1141	940
AHNAK	1951	2049	1504	1426
AHNAK2	281	222	264	225
AHSA1	3620	3401	3456	2433
AIF1L	151	131	101	92
AIFM1	2363	2270	2365	1868
AIFM2	81	88	71	52
AIG1	512	418	412	303
AIMP1	1223	1208	1174	892
AIMP2	1483	1373	1432	967
AIP	594	562	628	396
AJUBA	134	131	92	86
AK1	367	356	314	272
AK2	1904	1992	1792	1373
AK3	253	239	237	176
AK6	745	703	662	465
AK9	89	95	81	60
AKAP1	2226	2028	2092	1745
AKAP10	952	796	850	673
AKAP11	3358	3155	2727	2459
AKAP12	3951	3785	3443	2766
AKAP13	2881	2493	2372	2199
AKAP17A	470	456	441	352
AKAP5	133	119	121	80
AKAP6	167	134	126	138
AKAP7	159	180	125	119
AKAP8	937	906	876	720
AKAP8L	1263	1178	1250	1054
AKAP9	5033	4878	4973	3861
AKIP1	242	163	178	128
AKIRIN1	401	348	378	230
AKIRIN2	191	167	171	180
AKNA	46	43	42	42
AKR1A1	777	648	660	550
AKR1B1	1398	1274	1401	1117
AKR7A2	578	535	594	439
AKT1	1289	1150	1295	939
AKT1S1	145	134	144	124
AKT2	954	842	948	815
AKT3	1168	1034	940	771
AKTIP	136	146	130	92
AL022312.1	178	161	137	111
AL031777.3	1166	666	1925	1026
AL034430.1	136	135	144	98
AL034430.2	213	196	206	120
AL049650.1	81	87	98	25
AL109811.3	67	60	81	72
AL109827.1	134	123	138	95
AL121753.1	140	139	124	114
AL135905.2	33	44	49	30
AL713999.1	225	127	383	185
ALAD	161	130	115	107
ALAS1	1120	1060	1190	873
ALCAM	1183	1035	1190	744
ALDH16A1	633	577	504	426
ALDH18A1	4727	4233	4305	3129
ALDH1A2	1088	1031	973	700
ALDH1B1	1148	1080	1040	761
ALDH1L2	680	640	526	497
ALDH2	229	228	265	170
ALDH3A2	1942	1711	1652	1259
ALDH4A1	150	119	159	139
ALDH5A1	399	469	390	288
ALDH6A1	450	392	390	315
ALDH7A1	971	847	775	700
ALDH9A1	1863	1710	1878	1229
ALDOA	803	712	1037	556
ALDOC	51	40	50	49
ALG1	410	313	391	276
ALG10	205	162	268	165
ALG10B	98	73	115	85
ALG11	443	431	422	319
ALG12	394	303	336	262
ALG13	1986	1763	1515	1525
ALG14	284	284	252	168
ALG1L	46	38	51	37
ALG2	382	370	393	316
ALG3	272	229	266	230
ALG5	737	695	705	480
ALG6	1251	1223	1304	907
ALG8	1480	1272	1614	1079
ALKBH1	295	214	284	212
ALKBH2	436	439	444	328
ALKBH3	462	388	415	324
ALKBH4	214	219	195	129
ALKBH5	2628	2428	2670	2184
ALKBH6	117	107	123	95
ALKBH7	167	145	124	97
ALKBH8	809	735	751	533
ALMS1	5479	4521	4813	4059
ALOX12	84	48	69	68
ALPK1	173	133	150	124
ALS2	1120	934	1023	839
ALX1	158	136	114	99
ALX3	77	66	47	61
ALX4	58	58	46	33
ALYREF	3017	3009	2613	1877
AMACR	165	152	186	124
AMBRA1	1041	898	999	889
AMD1	4081	3826	3659	2750
AMDHD2	114	104	115	103
AMER1	513	446	464	384
AMFR	1492	1277	1393	1017
AMH	163	156	106	133
AMIGO1	57	44	58	39
AMIGO3	133	108	161	126
AMMECR1	315	276	339	223
AMMECR1L	243	215	248	215
AMN1	98	85	91	55
AMOT	6630	5312	6147	5726
AMOTL1	856	828	870	713
AMOTL2	124	108	141	118
AMPD2	734	650	746	546
AMPH	104	100	108	81
AMZ2	1085	942	1053	744
ANAPC1	1816	1620	1824	1379
ANAPC10	143	130	152	103
ANAPC11	496	493	401	270
ANAPC13	291	288	235	161
ANAPC15	287	287	305	219
ANAPC16	448	420	420	310
ANAPC2	596	555	565	498
ANAPC4	1075	994	977	706
ANAPC5	5319	4739	5095	3706
ANAPC7	2163	1865	2049	1547
ANGEL1	715	579	582	495
ANGEL2	985	924	959	711
ANGPT2	51	49	43	59
ANK1	257	223	217	212
ANK2	837	750	771	640
ANK3	748	705	620	570
ANKAR	233	244	235	220
ANKEF1	270	241	229	154
ANKFY1	1656	1415	1307	1224
ANKH	284	227	252	230
ANKHD1	122	131	95	98
ANKIB1	991	932	953	822
ANKLE2	2479	2269	2148	1809
ANKMY1	207	167	188	203
ANKMY2	333	350	330	230
ANKRA2	124	116	125	83
ANKRD10	702	664	720	507
ANKRD11	2812	2421	1992	2258
ANKRD12	758	771	722	659
ANKRD13A	707	671	737	542
ANKRD13B	155	127	117	112
ANKRD13C	1390	1267	1298	1001
ANKRD13D	217	184	208	126
ANKRD16	114	113	119	120
ANKRD17	6704	5807	5811	5286
ANKRD18A	638	555	346	470
ANKRD18B	831	777	507	632
ANKRD23	70	62	40	39
ANKRD26	1574	1421	1305	1083
ANKRD27	977	977	905	796
ANKRD28	1665	1435	1325	1105
ANKRD31	66	58	57	46
ANKRD36	1640	1578	1269	1042
ANKRD36B	514	535	405	341
ANKRD36C	1367	1306	1058	914
ANKRD39	108	108	75	77
ANKRD40	812	741	796	602
ANKRD42	89	83	101	84
ANKRD44	130	120	134	103
ANKRD46	339	292	356	202
ANKRD49	233	221	230	172
ANKRD50	1230	1094	1037	927
ANKRD52	1869	1476	1061	1389
ANKRD54	208	180	200	140
ANKRD6	216	172	166	140
ANKRD61	167	133	94	93
ANKS1A	618	483	501	430
ANKS3	278	271	225	208
ANKS6	635	564	487	401
ANKZF1	534	451	455	362
ANLN	3864	3424	4018	3188
ANO10	722	649	596	531
ANO4	36	35	27	26
ANO5	599	558	533	420
ANO6	709	642	746	504
ANO8	121	110	108	88
ANP32A	2470	2512	2668	1714
ANP32B	1655	1673	972	1191
ANP32E	1670	1959	1735	1001
ANTKMT	261	229	190	124
ANTXR1	436	365	290	362
ANTXR2	103	106	98	63
ANXA1	65	70	76	55
ANXA11	844	739	893	725
ANXA2	553	544	556	359
ANXA4	171	147	179	107
ANXA5	3111	2983	2993	2178
ANXA6	2071	1801	2031	1388
ANXA7	1780	1463	1677	1199
AOC2	120	90	90	108
AOPEP	468	376	340	319
AP002495.1	54	62	55	58
AP002748.5	58	48	43	40
AP1AR	583	602	589	386
AP1B1	2344	2072	2296	1892
AP1G1	2292	1990	1837	1604
AP1G2	606	533	575	510
AP1M1	770	587	803	651
AP1S1	364	357	290	221
AP1S2	184	182	149	119
AP1S3	105	95	94	74
AP2A1	1135	888	923	916
AP2A2	1060	865	896	824
AP2B1	2172	1852	1560	1728
AP2M1	3327	3181	3503	2555
AP2S1	1192	1149	1219	717
AP3B1	2170	2152	1987	1562
AP3B2	57	56	46	46
AP3D1	2698	2362	2468	2326
AP3M1	974	872	919	745
AP3M2	595	545	508	397
AP3S1	617	585	549	416
AP3S2	94	72	69	58
AP4B1	649	609	534	451
AP4E1	691	620	572	507
AP4M1	132	124	100	102
AP4S1	61	72	56	71
AP5B1	353	314	307	259
AP5M1	713	638	714	556
AP5S1	145	97	96	93
AP5Z1	311	255	290	243
APAF1	839	821	708	609
APBA2	502	434	438	392
APBA3	162	154	159	126
APBB1	842	740	743	625
APBB2	188	169	168	156
APBB3	118	103	118	97
APC	3064	2576	2749	2297
APC2	88	76	68	55
APEH	2133	1889	2035	1464
APEX1	2005	2058	2163	1629
APEX2	571	502	533	443
APH1A	1106	889	1263	824
API5	2661	2649	2520	1886
APIP	564	556	539	336
APLF	92	84	91	63
APLP1	68	60	52	52
APLP2	5746	5529	5753	4290
APMAP	1141	992	1037	774
APOBEC3C	45	37	47	59
APOC1	72	80	84	65
APOL2	203	168	161	116
APOM	29	30	31	29
APOO	272	198	261	175
APOOL	296	272	245	228
APP	4637	4827	4043	3535
APPBP2	963	855	873	628
APPL1	2012	1705	1990	1426
APPL2	549	487	450	402
APRT	2420	2070	2310	1683
APTX	781	785	694	496
AQR	2109	1871	2107	1558
ARAF	598	521	618	522
ARAP1	844	743	641	667
ARAP2	419	417	372	242
ARCN1	3158	3021	2869	2255
AREL1	722	647	823	624
ARF1	2885	2627	3700	2636
ARF3	140	130	113	90
ARF4	1121	976	1056	820
ARF5	916	877	854	584
ARF6	423	379	469	309
ARFGAP1	829	700	728	550
ARFGAP2	1024	969	926	754
ARFGAP3	468	422	455	366
ARFGEF1	1973	1749	1798	1478
ARFGEF2	2472	1987	2069	1762
ARFGEF3	460	400	385	410
ARFIP1	480	440	485	325
ARFIP2	1139	1049	1108	841
ARFRP1	214	213	175	121
ARG2	462	407	476	331
ARGLU1	829	946	864	575
ARHGAP1	279	212	188	212
ARHGAP10	578	532	491	404
ARHGAP11A	2069	1874	1834	1545
ARHGAP12	594	503	548	391
ARHGAP17	802	602	489	619
ARHGAP18	311	291	242	203
ARHGAP20	77	72	62	61
ARHGAP21	1503	1268	1364	1139
ARHGAP22	244	221	204	160
ARHGAP24	56	59	53	46
ARHGAP26	247	208	181	179
ARHGAP27	47	55	45	36
ARHGAP28	64	50	64	42
ARHGAP29	494	394	451	394
ARHGAP31	128	110	109	115
ARHGAP32	500	389	387	442
ARHGAP35	2174	1868	1760	1674
ARHGAP39	198	165	164	146
ARHGAP42	165	118	137	100
ARHGAP44	171	155	157	132
ARHGAP45	73	50	61	52
ARHGAP5	4091	3654	3589	2875
ARHGDIA	1160	1083	738	980
ARHGDIG	86	92	70	50
ARHGEF1	447	384	432	335
ARHGEF10	539	483	446	389
ARHGEF10L	91	63	84	63
ARHGEF11	1155	966	997	1007
ARHGEF12	4432	3726	4008	3150
ARHGEF16	61	41	73	59
ARHGEF17	117	104	79	94
ARHGEF2	500	471	417	382
ARHGEF25	239	201	181	142
ARHGEF26	733	659	612	574
ARHGEF28	60	41	58	46
ARHGEF3	206	153	189	145
ARHGEF39	254	218	208	165
ARHGEF4	303	249	263	284
ARHGEF40	132	137	120	88
ARHGEF6	207	200	222	205
ARHGEF7	587	549	489	426
ARHGEF9	311	252	294	219
ARID1A	1418	1096	804	1352
ARID1B	1589	1367	1307	1424
ARID2	1828	1583	1690	1403
ARID3A	95	80	91	57
ARID3B	134	97	114	137
ARID4A	577	551	545	445
ARID4B	2614	2438	2468	1963
ARID5A	72	85	73	82
ARID5B	348	258	316	250
ARIH1	1554	1479	1322	1128
ARIH2	2438	2227	2376	1747
ARL1	643	593	648	456
ARL10	172	180	80	107
ARL13B	541	492	527	368
ARL14EP	458	407	372	318
ARL15	187	157	179	111
ARL16	287	240	258	192
ARL2	163	146	189	128
ARL2BP	532	457	523	422
ARL3	225	199	238	171
ARL4A	109	80	70	57
ARL4C	85	83	79	66
ARL4D	67	50	46	37
ARL5A	549	486	482	307
ARL5B	406	361	382	248
ARL6	234	236	223	163
ARL6IP1	432	382	425	277
ARL6IP4	1814	1763	1544	1131
ARL6IP5	954	924	784	617
ARL6IP6	355	251	300	227
ARL8A	199	207	215	142
ARL8B	558	469	475	352
ARMC1	609	615	598	468
ARMC10	311	261	246	191
ARMC2	64	57	73	47
ARMC4	239	221	191	153
ARMC5	219	244	211	183
ARMC6	1199	986	1113	909
ARMC7	46	35	51	35
ARMC8	981	954	985	722
ARMC9	542	506	417	409
ARMCX3	370	381	342	231
ARMCX4	138	99	75	93
ARMCX5	645	570	589	408
ARMCX6	61	75	61	46
ARMH3	563	507	496	426
ARMH4	132	92	112	97
ARMT1	1310	1149	1121	758
ARNT	712	665	708	601
ARNT2	347	286	255	245
ARNTL	116	108	127	72
ARNTL2	847	721	744	623
ARPC1A	188	164	231	166
ARPC1B	62	56	51	47
ARPC2	2151	1846	2230	1654
ARPC3	1354	1320	1266	764
ARPC4-TTLL3	79	73	78	61
ARPC5	706	780	682	469
ARPC5L	233	254	225	153
ARPP19	532	497	464	367
ARRB1	137	116	122	96
ARRB2	430	368	463	401
ARRDC1	275	213	318	257
ARRDC2	43	35	49	29
ARRDC3	145	126	108	78
ARRDC4	215	214	166	113
ARSA	101	82	94	85
ARSB	242	217	218	191
ARSG	91	51	71	66
ARSK	205	166	182	130
ARV1	686	612	659	449
ARVCF	186	155	162	114
AS3MT	259	272	264	181
ASAH1	453	464	398	280
ASAP1	752	633	507	651
ASAP2	392	333	293	296
ASAP3	205	185	161	129
ASB1	192	222	186	152
ASB13	237	201	205	124
ASB14	81	70	42	60
ASB16	36	30	33	41
ASB3	893	796	783	537
ASB6	509	426	517	385
ASB7	267	250	254	190
ASB8	290	274	228	196
ASCC1	494	441	427	348
ASCC2	1010	908	971	873
ASCC3	5959	5396	5520	4112
ASDURF	240	221	170	139
ASF1A	639	618	645	418
ASF1B	650	537	689	484
ASH1L	5129	4547	3845	3990
ASH2L	527	501	441	411
ASIC1	155	135	98	118
ASL	181	132	134	129
ASMTL	256	239	212	212
ASNS	2747	2555	2662	2146
ASNSD1	2237	2137	2138	1520
ASPH	1791	1647	1559	1166
ASPHD2	72	51	49	54
ASPM	13233	12162	13041	9447
ASPN	115	83	63	117
ASPSCR1	400	353	379	299
ASRGL1	373	346	315	252
ASS1	395	358	385	274
ASTE1	396	292	345	272
ASTN2	54	57	55	51
ASXL1	2625	2220	2103	2106
ASXL2	1093	924	807	934
ASXL3	85	83	57	71
ATAD1	972	898	827	685
ATAD2	3572	3490	3343	2556
ATAD2B	1290	1088	1182	822
ATAD3A	879	785	805	557
ATAD3B	885	884	843	686
ATAD5	2481	2358	1970	1888
ATAT1	96	86	79	84
ATE1	848	763	715	591
ATF1	379	380	445	324
ATF2	816	766	857	618
ATF3	55	62	67	52
ATF4	7364	7194	7713	5371
ATF5	49	37	51	53
ATF6	1247	1144	1324	966
ATF6B	425	345	458	348
ATF7IP	1358	1270	1076	1133
ATF7IP2	121	104	85	80
ATG10	79	59	66	49
ATG101	303	337	294	189
ATG12	132	103	140	99
ATG13	587	498	586	479
ATG14	305	325	315	261
ATG16L1	945	819	779	644
ATG16L2	117	93	97	84
ATG2A	759	699	612	640
ATG2B	1924	1683	1709	1409
ATG3	1431	1367	1532	978
ATG4A	356	295	338	252
ATG4B	706	639	704	551
ATG4C	761	780	815	567
ATG4D	358	306	358	267
ATG5	661	593	585	431
ATG7	1001	924	884	756
ATG9A	570	458	552	463
ATIC	2188	2045	1387	2053
ATL1	102	94	99	64
ATL2	1828	1816	1563	1289
ATL3	545	452	485	352
ATM	4686	4274	4070	3350
ATMIN	1114	954	1087	760
ATN1	406	315	220	357
ATOX1	159	162	203	105
ATP10D	254	247	275	208
ATP11A	490	449	309	405
ATP11B	1113	1078	1133	811
ATP11C	2264	2062	2013	1604
ATP13A1	1045	893	847	926
ATP13A2	855	741	745	711
ATP13A3	2598	2431	2490	1955
ATP1A1	11333	10488	10750	9673
ATP1B1	360	354	265	262
ATP1B3	1402	1297	1366	1038
ATP23	106	92	105	84
ATP2A1	92	59	58	65
ATP2A2	5659	5174	3608	4766
ATP2B1	2538	2456	2354	1712
ATP2B4	1023	924	746	830
ATP2C1	1941	1898	1655	1393
ATP5F1A	11573	10642	11431	7370
ATP5F1B	16140	14248	16410	10844
ATP5F1C	3056	2787	3049	1955
ATP5F1D	237	191	208	139
ATP5F1E	882	700	1002	479
ATP5IF1	1582	1595	1386	952
ATP5MC1	996	779	1070	677
ATP5MC2	1452	1130	1617	953
ATP5MC3	3772	3319	3901	2462
ATP5MD	569	630	665	372
ATP5ME	1878	2053	1690	1103
ATP5MF	833	623	1102	580
ATP5MG	791	771	784	522
ATP5MPL	770	772	699	356
ATP5PB	3575	3181	3479	2225
ATP5PD	1830	1811	1746	1150
ATP5PF	903	690	1065	686
ATP5PO	1889	1681	2114	1362
ATP6AP1	1134	1030	1263	981
ATP6AP2	971	783	1024	730
ATP6V0A1	1455	1245	1053	1141
ATP6V0A2	1140	1014	1072	860
ATP6V0B	1101	795	1307	838
ATP6V0C	163	137	125	130
ATP6V0D1	974	866	1004	769
ATP6V0E1	324	267	282	169
ATP6V0E2	295	281	284	185
ATP6V1A	3467	3198	3512	2507
ATP6V1B1	30	31	34	33
ATP6V1B2	1018	946	941	714
ATP6V1C1	1195	1075	1016	807
ATP6V1D	848	838	716	536
ATP6V1E1	1032	923	1018	719
ATP6V1F	676	609	738	487
ATP6V1G1	974	951	887	655
ATP6V1H	1096	1046	976	709
ATP7A	563	537	482	370
ATP7B	766	679	723	644
ATP8A1	568	523	519	367
ATP8B1	162	115	80	138
ATP8B2	2169	1812	2044	1663
ATP9A	618	547	584	552
ATP9B	426	393	325	295
ATPAF1	1162	1162	936	724
ATPAF2	429	334	423	306
ATPSCKMT	260	215	215	172
ATR	3686	3326	3487	2539
ATRAID	759	677	795	520
ATRIP	830	703	826	638
ATRN	1174	1006	878	777
ATRNL1	446	443	361	255
ATRX	5095	4884	4523	3720
ATXN1	176	137	169	152
ATXN10	3020	2591	2223	2252
ATXN1L	323	313	380	331
ATXN2	961	783	689	847
ATXN2L	1495	1084	802	1362
ATXN3	293	274	266	204
ATXN7	41	43	44	37
ATXN7L1	160	111	137	126
ATXN7L2	192	157	190	185
ATXN7L3	492	432	419	357
ATXN7L3B	332	269	311	209
AUH	273	268	254	161
AUNIP	576	445	639	463
AUP1	1709	1456	1877	1295
AURKA	1387	1217	1409	995
AURKAIP1	1234	1270	1105	773
AURKB	1463	1430	1508	1206
AUTS2	404	339	284	386
AVEN	290	285	271	212
AVIL	97	68	59	85
AVL9	823	734	710	602
AVPI1	34	30	32	29
AXIN1	779	789	707	536
AXIN2	146	139	95	97
AZI2	987	901	983	710
AZIN1	2502	2269	2318	1817
AZIN2	67	69	54	63
B2M	1209	1170	1068	732
B3GALNT2	1203	1143	1076	884
B3GALT1	40	27	42	26
B3GALT2	121	128	84	94
B3GALT6	105	97	81	57
B3GAT2	82	86	78	65
B3GAT3	305	296	287	206
B3GLCT	416	335	379	282
B3GNT10	194	177	140	113
B3GNT2	230	203	288	171
B3GNT5	114	119	118	100
B4GALNT1	57	52	61	43
B4GALNT3	422	307	373	319
B4GALNT4	208	195	148	128
B4GALT1	157	135	103	107
B4GALT2	519	438	523	368
B4GALT3	661	596	719	550
B4GALT4	265	259	206	170
B4GALT5	461	396	361	306
B4GALT6	118	97	103	101
B4GALT7	215	180	230	175
B4GAT1	661	607	587	420
B9D1	444	368	399	323
BABAM1	990	842	1026	721
BABAM2	688	630	680	451
BACE1	257	201	238	216
BACE2	215	226	212	128
BACH1	1487	1341	1393	1100
BACH2	79	52	57	43
BAD	256	219	243	147
BAG1	868	934	722	568
BAG2	450	468	342	273
BAG3	266	222	247	210
BAG4	479	410	502	341
BAG5	907	923	764	582
BAG6	2894	2309	2128	2558
BAHCC1	494	345	233	358
BAHD1	255	221	178	177
BAIAP2	239	191	230	227
BAIAP2L1	553	501	468	422
BAIAP3	57	56	67	51
BAK1	121	112	126	109
BAMBI	146	119	216	156
BANF1	248	293	261	190
BANP	255	254	250	198
BAP1	2384	2211	2312	1799
BARD1	1197	1078	1168	896
BAX	527	570	573	478
BAZ1A	5214	4887	4804	3707
BAZ1B	6220	5857	5238	4371
BAZ2A	1963	1481	1092	1670
BAZ2B	916	799	797	651
BBIP1	130	134	142	107
BBOF1	78	53	65	49
BBS10	381	302	384	255
BBS12	157	117	126	86
BBS2	838	801	737	581
BBS4	493	402	514	379
BBS7	1001	916	1028	665
BBS9	420	409	356	298
BBX	2190	1948	2016	1714
BCAP29	718	694	689	506
BCAP31	2719	2655	2565	1878
BCAR1	436	326	393	360
BCAR3	104	86	88	75
BCAS2	1324	1356	1254	847
BCAS3	806	660	750	630
BCAS4	51	45	59	31
BCAT1	904	859	884	561
BCAT2	580	517	564	383
BCCIP	2378	2556	2246	1541
BCDIN3D	128	113	144	101
BCHE	78	89	82	55
