	untr_a_hek	untr_b_hek	tmisrib_a_hek	tmisrib_b_hek
ACSL3	2676	2485	3926	5579
ACSL4	1285	1234	1854	2525
ACSM3	172	151	238	358
ACSS1	234	231	310	487
ACSS2	285	244	441	523
ACSS3	59	62	69	124
ACTA2	73	63	82	130
ACTB	16750	15306	25166	37078
ACTG1	18478	16213	34199	46597
ACTL6A	1072	1032	1837	2661
ACTN1	1412	1199	1746	2748
ACTN2	194	180	193	312
ACTN4	2389	2093	3091	4852
ACTR10	806	792	1355	1949
ACTR1A	1736	1539	2616	3791
ACTR1B	522	459	787	1098
ACTR2	2387	2284	2984	4107
ACTR3	2590	2447	4003	5643
ACTR3B	247	176	220	404
ACTR5	413	354	559	839
ACTR6	1029	1079	1637	2173
ACTR8	1741	1611	2415	3470
ACTRT3	57	76	78	115
ACVR1	127	75	137	207
ACVR1B	322	329	382	553
ACVR1C	33	36	46	60
ACVR2A	304	285	477	641
ACVR2B	496	437	561	862
ACYP1	147	156	201	314
ACYP2	37	36	67	73
ADA	197	179	257	384
ADAL	184	168	256	391
ADAM10	930	873	1250	1795
ADAM11	131	121	206	288
ADAM15	1003	828	1502	2165
ADAM17	881	850	1184	1659
ADAM19	51	69	78	113
ADAM22	406	346	533	847
ADAM23	292	283	371	567
ADAM9	1994	1943	2929	3977
ADAMTS1	833	746	1259	1706
ADAMTS13	161	112	136	230
ADAMTS17	256	241	242	460
ADAMTS19	210	196	219	325
ADAMTS2	47	27	53	111
ADAMTS20	305	252	345	537
ADAMTS3	257	272	404	604
ADAMTS6	66	67	78	135
ADAMTS9	298	279	320	532
ADAMTSL4	40	40	51	95
ADAP1	57	60	124	163
ADAP2	83	77	118	156
ADAR	5930	5169	8150	12097
ADARB1	354	284	459	716
ADAT1	537	445	588	962
ADAT2	357	357	340	539
ADAT3	58	59	68	108
ADCK1	185	185	268	351
ADCK2	593	555	842	1182
ADCK5	66	62	107	128
ADCY1	392	341	488	729
ADCY3	1229	1058	1579	2468
ADCY6	381	322	412	659
ADCY7	103	83	122	210
ADCY9	614	560	594	1023
ADCYAP1R1	25	25	33	51
ADD1	1370	1395	1884	2811
ADD2	463	441	564	865
ADD3	1347	1188	2237	3230
ADGRA2	92	65	114	182
ADGRA3	1070	941	1410	2180
ADGRB2	279	237	348	462
ADGRB3	363	327	433	630
ADGRE5	93	57	83	123
ADGRG6	105	107	130	206
ADGRL1	816	624	790	1445
ADGRL2	2653	2300	3983	5893
ADGRL3	515	435	753	1063
ADGRV1	3356	3097	4186	6250
ADH5	1525	1461	2593	3475
ADI1	1169	1163	1555	2301
ADIPOR1	1484	1341	2350	3409
ADIPOR2	643	627	1124	1482
ADK	862	838	1199	1692
ADM	38	42	91	104
ADNP	3281	2782	3060	5540
ADNP2	1432	1246	1815	2598
ADO	161	182	256	381
ADORA2A	39	25	56	67
ADORA2B	157	127	216	334
ADPGK	944	797	1325	2087
ADPRHL1	55	45	57	96
ADPRHL2	524	496	806	1153
ADPRM	102	88	174	252
ADRA2C	44	54	111	140
ADRM1	1490	1397	2330	3315
ADSL	4094	3775	6667	9732
ADSS	2662	2759	3588	4814
AEBP2	525	422	547	809
AEN	655	598	1138	1430
AFAP1	257	280	275	482
AFAP1L1	100	87	167	235
AFDN	4857	4429	5738	8629
AFF1	536	436	559	914
AFF3	140	112	158	300
AFF4	2153	1772	2652	4208
AFG1L	183	185	261	388
AFG3L2	2549	2389	3481	5109
AFMID	252	233	289	387
AFTPH	783	654	1094	1584
AGA	252	239	391	659
AGAP1	565	567	700	1095
AGAP2	84	86	131	175
AGAP3	1017	800	1307	1831
AGAP6	120	83	155	263
AGAP9	152	140	140	244
AGBL3	72	77	76	138
AGBL5	1387	1099	2048	3057
AGER	66	60	52	102
AGFG1	1237	973	1895	2720
AGFG2	102	75	123	198
AGGF1	219	218	352	443
AGK	1128	966	1505	2409
AGL	2884	2467	3700	5676
AGMAT	59	47	72	98
AGO1	1139	983	1322	2083
AGO2	1077	857	1174	1931
AGO3	808	731	1040	1480
AGO4	306	273	380	557
AGPAT1	271	248	323	607
AGPAT2	138	126	275	371
AGPAT3	502	432	643	923
AGPAT4	331	317	434	656
AGPAT5	525	574	777	1082
AGPS	2017	2150	3046	4162
AGRN	702	571	595	1034
AGTPBP1	2802	2692	4104	5915
AGTRAP	169	133	336	471
AHCTF1	1768	1630	2461	3559
AHCY	3579	3096	6572	8753
AHCYL1	1343	1194	1812	2617
AHCYL2	290	286	277	511
AHDC1	107	55	51	128
AHI1	1214	1107	1556	2307
AHNAK	1951	2049	1989	3148
AHNAK2	281	222	341	501
AHSA1	3620	3401	5386	7680
AIF1L	151	131	168	248
AIFM1	2363	2270	3510	4829
AIFM2	81	88	92	128
AIG1	512	418	637	947
AIMP1	1223	1208	1765	2511
AIMP2	1483	1373	2299	3139
AIP	594	562	991	1272
AJUBA	134	131	126	199
AK1	367	356	480	661
AK2	1904	1992	2822	4124
AK3	253	239	348	533
AK6	745	703	1173	1602
AK9	89	95	93	172
AKAP1	2226	2028	3010	4285
AKAP10	952	796	1200	1831
AKAP11	3358	3155	3648	5859
AKAP12	3951	3785	5123	7111
AKAP13	2881	2493	3272	5187
AKAP17A	470	456	600	830
AKAP5	133	119	188	239
AKAP6	167	134	145	271
AKAP7	159	180	182	306
AKAP8	937	906	1326	1748
AKAP8L	1263	1178	1905	2759
AKAP9	5033	4878	7235	8178
AKIP1	242	163	325	474
AKIRIN1	401	348	594	861
AKIRIN2	191	167	212	392
AKNA	46	43	40	95
AKR1A1	777	648	1123	1519
AKR1B1	1398	1274	2271	3076
AKR7A2	578	535	1016	1487
AKT1	1289	1150	1939	2726
AKT1S1	145	134	203	303
AKT2	954	842	1493	2067
AKT3	1168	1034	1475	2193
AKTIP	136	146	220	297
AL022312.1	178	161	210	315
AL031777.3	1166	666	3723	5289
AL034430.1	136	135	218	291
AL034430.2	213	196	305	419
AL049650.1	81	87	137	174
AL109811.3	67	60	120	220
AL109827.1	134	123	179	247
AL121753.1	140	139	183	296
AL135905.2	33	44	83	106
AL713999.1	225	127	582	845
ALAD	161	130	182	238
ALAS1	1120	1060	1669	2375
ALCAM	1183	1035	1768	2491
ALDH16A1	633	577	776	1128
ALDH18A1	4727	4233	6825	9373
ALDH1A2	1088	1031	1667	2378
ALDH1B1	1148	1080	1508	2116
ALDH1L2	680	640	677	1069
ALDH2	229	228	432	529
ALDH3A2	1942	1711	2598	3798
ALDH4A1	150	119	261	316
ALDH5A1	399	469	524	886
ALDH6A1	450	392	615	905
ALDH7A1	971	847	1125	1599
ALDH9A1	1863	1710	2881	3891
ALDOA	803	712	1574	2153
ALDOC	51	40	87	136
ALG1	410	313	623	852
ALG10	205	162	368	424
ALG10B	98	73	207	260
ALG11	443	431	637	921
ALG12	394	303	484	719
ALG13	1986	1763	2039	3498
ALG14	284	284	406	566
ALG1L	46	38	58	91
ALG2	382	370	647	911
ALG3	272	229	415	561
ALG5	737	695	1175	1752
ALG6	1251	1223	2016	2989
ALG8	1480	1272	2416	3532
ALKBH1	295	214	480	699
ALKBH2	436	439	705	902
ALKBH3	462	388	640	1033
ALKBH4	214	219	253	384
ALKBH5	2628	2428	4158	5906
ALKBH6	117	107	172	258
ALKBH7	167	145	228	330
ALKBH8	809	735	978	1462
ALMS1	5479	4521	6825	10606
ALOX12	84	48	90	111
ALPK1	173	133	208	321
ALS2	1120	934	1453	2109
ALX1	158	136	225	334
ALX3	77	66	77	115
ALX4	58	58	55	79
ALYREF	3017	3009	4126	6056
AMACR	165	152	244	352
AMBRA1	1041	898	1389	2168
AMD1	4081	3826	5908	8056
AMDHD2	114	104	190	262
AMER1	513	446	581	838
AMFR	1492	1277	2128	2981
AMH	163	156	128	258
AMIGO1	57	44	70	108
AMIGO3	133	108	192	278
AMMECR1	315	276	490	618
AMMECR1L	243	215	316	486
AMN1	98	85	141	260
AMOT	6630	5312	8394	13707
AMOTL1	856	828	1185	1724
AMOTL2	124	108	236	294
AMPD2	734	650	978	1436
AMPH	104	100	152	255
AMZ2	1085	942	1774	2557
ANAPC1	1816	1620	2848	4125
ANAPC10	143	130	243	411
ANAPC11	496	493	696	928
ANAPC13	291	288	363	494
ANAPC15	287	287	523	658
ANAPC16	448	420	674	924
ANAPC2	596	555	802	1062
ANAPC4	1075	994	1567	2292
ANAPC5	5319	4739	8224	12182
ANAPC7	2163	1865	3095	4518
ANGEL1	715	579	825	1339
ANGEL2	985	924	1524	2290
ANGPT2	51	49	36	75
ANK1	257	223	298	510
ANK2	837	750	1159	1687
ANK3	748	705	928	1464
ANKAR	233	244	254	472
ANKEF1	270	241	329	473
ANKFY1	1656	1415	1711	2822
ANKH	284	227	400	577
ANKHD1	122	131	148	231
ANKIB1	991	932	1387	2046
ANKLE2	2479	2269	3211	4663
ANKMY1	207	167	262	402
ANKMY2	333	350	498	755
ANKRA2	124	116	199	309
ANKRD10	702	664	1016	1513
ANKRD11	2812	2421	2341	4128
ANKRD12	758	771	1020	1247
ANKRD13A	707	671	1076	1636
ANKRD13B	155	127	150	245
ANKRD13C	1390	1267	2015	2861
ANKRD13D	217	184	262	339
ANKRD16	114	113	191	292
ANKRD17	6704	5807	7832	12254
ANKRD18A	638	555	411	847
ANKRD18B	831	777	561	1163
ANKRD23	70	62	59	97
ANKRD26	1574	1421	1925	2597
ANKRD27	977	977	1404	1967
ANKRD28	1665	1435	2192	3074
ANKRD31	66	58	77	120
ANKRD36	1640	1578	1627	2566
ANKRD36B	514	535	606	898
ANKRD36C	1367	1306	1507	2345
ANKRD39	108	108	149	192
ANKRD40	812	741	1171	1619
ANKRD42	89	83	135	221
ANKRD44	130	120	183	287
ANKRD46	339	292	536	743
ANKRD49	233	221	358	571
ANKRD50	1230	1094	1465	2276
ANKRD52	1869	1476	1318	2655
ANKRD54	208	180	300	392
ANKRD6	216	172	252	391
ANKRD61	167	133	108	214
ANKS1A	618	483	709	1114
ANKS3	278	271	364	509
ANKS6	635	564	753	1076
ANKZF1	534	451	650	919
ANLN	3864	3424	6354	8586
ANO10	722	649	912	1378
ANO4	36	35	49	65
ANO5	599	558	807	1220
ANO6	709	642	1082	1624
ANO8	121	110	153	238
ANP32A	2470	2512	3878	4472
ANP32B	1655	1673	1181	2067
ANP32E	1670	1959	2454	2548
ANTKMT	261	229	353	517
ANTXR1	436	365	442	782
ANTXR2	103	106	127	165
ANXA1	65	70	121	156
ANXA11	844	739	1275	1737
ANXA2	553	544	912	1359
ANXA4	171	147	233	336
ANXA5	3111	2983	4886	6868
ANXA6	2071	1801	3153	4637
ANXA7	1780	1463	2868	3963
AOC2	120	90	139	244
AOPEP	468	376	506	752
AP002495.1	54	62	76	111
AP002748.5	58	48	101	109
AP1AR	583	602	896	1214
AP1B1	2344	2072	3182	4912
AP1G1	2292	1990	2576	4100
AP1G2	606	533	849	1220
AP1M1	770	587	1166	1767
AP1S1	364	357	483	622
AP1S2	184	182	246	371
AP1S3	105	95	155	243
AP2A1	1135	888	1271	2019
AP2A2	1060	865	1295	2036
AP2B1	2172	1852	2245	3601
AP2M1	3327	3181	5573	7653
AP2S1	1192	1149	1916	2765
AP3B1	2170	2152	2924	4239
AP3B2	57	56	71	86
AP3D1	2698	2362	3124	5080
AP3M1	974	872	1472	2149
AP3M2	595	545	772	1177
AP3S1	617	585	1005	1289
AP3S2	94	72	77	151
AP4B1	649	609	854	1243
AP4E1	691	620	901	1290
AP4M1	132	124	218	296
AP4S1	61	72	91	154
AP5B1	353	314	401	566
AP5M1	713	638	1182	1646
AP5S1	145	97	189	253
AP5Z1	311	255	395	626
APAF1	839	821	1103	1557
APBA2	502	434	700	980
APBA3	162	154	204	341
APBB1	842	740	1211	1664
APBB2	188	169	221	386
APBB3	118	103	186	259
APC	3064	2576	3965	5931
APC2	88	76	89	155
APEH	2133	1889	3242	4592
APEX1	2005	2058	2743	3858
APEX2	571	502	834	1231
APH1A	1106	889	2031	2795
API5	2661	2649	3937	5259
APIP	564	556	776	1120
APLF	92	84	142	193
APLP1	68	60	62	110
APLP2	5746	5529	8153	11365
APMAP	1141	992	1783	2421
APOBEC3C	45	37	109	110
APOC1	72	80	155	197
APOL2	203	168	258	368
APOM	29	30	39	69
APOO	272	198	378	520
APOOL	296	272	332	562
APP	4637	4827	5658	8127
APPBP2	963	855	1387	1908
APPL1	2012	1705	3040	4155
APPL2	549	487	737	1017
APRT	2420	2070	3909	5460
APTX	781	785	1130	1511
AQR	2109	1871	3396	5073
ARAF	598	521	866	1271
ARAP1	844	743	860	1339
ARAP2	419	417	538	806
ARCN1	3158	3021	4132	6164
AREL1	722	647	1143	1661
ARF1	2885	2627	5207	7413
ARF3	140	130	149	213
ARF4	1121	976	1751	2587
ARF5	916	877	1364	1961
ARF6	423	379	711	893
ARFGAP1	829	700	1091	1587
ARFGAP2	1024	969	1381	2069
ARFGAP3	468	422	719	1049
ARFGEF1	1973	1749	2534	3960
ARFGEF2	2472	1987	3238	4745
ARFGEF3	460	400	496	886
ARFIP1	480	440	783	1039
ARFIP2	1139	1049	1835	2590
ARFRP1	214	213	283	375
ARG2	462	407	779	1138
ARGLU1	829	946	1355	1621
ARHGAP1	279	212	236	433
ARHGAP10	578	532	765	1218
ARHGAP11A	2069	1874	2564	3619
ARHGAP12	594	503	825	1224
ARHGAP17	802	602	582	1097
ARHGAP18	311	291	382	592
ARHGAP20	77	72	100	144
ARHGAP21	1503	1268	2172	3127
ARHGAP22	244	221	289	427
ARHGAP24	56	59	70	113
ARHGAP26	247	208	243	381
ARHGAP27	47	55	71	119
ARHGAP28	64	50	99	123
ARHGAP29	494	394	672	1031
ARHGAP31	128	110	132	251
ARHGAP32	500	389	600	927
ARHGAP35	2174	1868	2369	3905
ARHGAP39	198	165	200	396
ARHGAP42	165	118	213	323
ARHGAP44	171	155	209	324
ARHGAP45	73	50	110	140
ARHGAP5	4091	3654	5627	8414
ARHGDIA	1160	1083	977	1894
ARHGDIG	86	92	110	142
ARHGEF1	447	384	595	934
ARHGEF10	539	483	613	895
ARHGEF10L	91	63	112	196
ARHGEF11	1155	966	1335	2197
ARHGEF12	4432	3726	5908	8760
ARHGEF16	61	41	102	162
ARHGEF17	117	104	103	200
ARHGEF2	500	471	564	814
ARHGEF25	239	201	246	448
ARHGEF26	733	659	762	1219
ARHGEF28	60	41	89	152
ARHGEF3	206	153	237	412
ARHGEF39	254	218	308	459
ARHGEF4	303	249	418	615
ARHGEF40	132	137	164	256
ARHGEF6	207	200	350	457
ARHGEF7	587	549	666	1035
ARHGEF9	311	252	419	572
ARID1A	1418	1096	1069	2025
ARID1B	1589	1367	1678	2813
ARID2	1828	1583	2367	3691
ARID3A	95	80	87	153
ARID3B	134	97	156	230
ARID4A	577	551	628	894
ARID4B	2614	2438	3414	4646
ARID5A	72	85	110	164
ARID5B	348	258	386	607
ARIH1	1554	1479	1899	2718
ARIH2	2438	2227	3622	5094
ARL1	643	593	1115	1493
ARL10	172	180	115	224
ARL13B	541	492	744	1020
ARL14EP	458	407	599	835
ARL15	187	157	226	361
ARL16	287	240	489	617
ARL2	163	146	315	432
ARL2BP	532	457	847	1172
ARL3	225	199	410	498
ARL4A	109	80	146	176
ARL4C	85	83	113	191
ARL4D	67	50	78	113
ARL5A	549	486	727	1036
ARL5B	406	361	574	817
ARL6	234	236	332	538
ARL6IP1	432	382	709	1013
ARL6IP4	1814	1763	2363	3318
ARL6IP5	954	924	1402	1870
ARL6IP6	355	251	472	700
ARL8A	199	207	258	415
ARL8B	558	469	719	1108
ARMC1	609	615	1041	1367
ARMC10	311	261	368	567
ARMC2	64	57	89	149
ARMC4	239	221	249	394
ARMC5	219	244	347	489
ARMC6	1199	986	1745	2665
ARMC7	46	35	55	87
ARMC8	981	954	1518	2206
ARMC9	542	506	673	986
ARMCX3	370	381	509	708
ARMCX4	138	99	71	158
ARMCX5	645	570	1016	1379
ARMCX6	61	75	72	98
ARMH3	563	507	652	999
ARMH4	132	92	145	252
ARMT1	1310	1149	1910	2587
ARNT	712	665	945	1511
ARNT2	347	286	345	571
ARNTL	116	108	204	248
ARNTL2	847	721	1165	1677
ARPC1A	188	164	379	555
ARPC1B	62	56	107	139
ARPC2	2151	1846	3455	4910
ARPC3	1354	1320	2061	2804
ARPC4-TTLL3	79	73	116	139
ARPC5	706	780	1106	1495
ARPC5L	233	254	382	483
ARPP19	532	497	695	1001
ARRB1	137	116	173	264
ARRB2	430	368	678	856
ARRDC1	275	213	485	618
ARRDC2	43	35	47	81
ARRDC3	145	126	225	324
ARRDC4	215	214	263	366
ARSA	101	82	119	218
ARSB	242	217	350	495
ARSG	91	51	87	147
ARSK	205	166	260	391
ARV1	686	612	1025	1366
ARVCF	186	155	230	322
AS3MT	259	272	422	604
ASAH1	453	464	718	976
ASAP1	752	633	672	1233
ASAP2	392	333	421	691
ASAP3	205	185	235	345
ASB1	192	222	278	371
ASB13	237	201	294	428
ASB14	81	70	83	124
ASB16	36	30	56	104
ASB3	893	796	1204	1709
ASB6	509	426	718	1018
ASB7	267	250	412	581
ASB8	290	274	330	490
ASCC1	494	441	650	922
ASCC2	1010	908	1357	2103
ASCC3	5959	5396	8472	12329
ASDURF	240	221	291	437
ASF1A	639	618	1096	1493
ASF1B	650	537	1091	1465
ASH1L	5129	4547	5299	8695
ASH2L	527	501	720	924
ASIC1	155	135	131	258
ASL	181	132	280	406
ASMTL	256	239	319	467
ASNS	2747	2555	4367	6138
ASNSD1	2237	2137	3407	4978
ASPH	1791	1647	2336	3356
ASPHD2	72	51	91	132
ASPM	13233	12162	19331	26689
ASPN	115	83	96	152
ASPSCR1	400	353	576	789
ASRGL1	373	346	505	680
ASS1	395	358	597	858
ASTE1	396	292	512	838
ASTN2	54	57	62	107
ASXL1	2625	2220	2824	4553
ASXL2	1093	924	987	1830
ASXL3	85	83	98	157
ATAD1	972	898	1334	1780
ATAD2	3572	3490	5176	7192
ATAD2B	1290	1088	1638	2467
ATAD3A	879	785	1311	1697
ATAD3B	885	884	1318	1839
ATAD5	2481	2358	2715	4164
ATAT1	96	86	104	184
ATE1	848	763	969	1536
ATF1	379	380	702	962
ATF2	816	766	1291	1720
ATF3	55	62	126	186
ATF4	7364	7194	12071	16524
ATF5	49	37	57	115
ATF6	1247	1144	2079	2974
ATF6B	425	345	599	920
ATF7IP	1358	1270	1442	2260
ATF7IP2	121	104	158	260
ATG10	79	59	96	177
ATG101	303	337	429	626
ATG12	132	103	229	289
ATG13	587	498	847	1221
ATG14	305	325	427	687
ATG16L1	945	819	1134	1827
ATG16L2	117	93	145	226
ATG2A	759	699	798	1355
ATG2B	1924	1683	2444	3761
ATG3	1431	1367	2419	3339
ATG4A	356	295	563	822
ATG4B	706	639	1035	1529
ATG4C	761	780	1268	1774
ATG4D	358	306	519	758
ATG5	661	593	918	1376
ATG7	1001	924	1404	1937
ATG9A	570	458	812	1235
ATIC	2188	2045	1861	3561
ATL1	102	94	150	198
ATL2	1828	1816	2448	3574
ATL3	545	452	692	1004
ATM	4686	4274	5823	8758
ATMIN	1114	954	1695	2451
ATN1	406	315	204	606
ATOX1	159	162	320	460
ATP10D	254	247	422	604
ATP11A	490	449	404	734
ATP11B	1113	1078	1639	2456
ATP11C	2264	2062	3257	4807
ATP13A1	1045	893	1171	1978
ATP13A2	855	741	1035	1666
ATP13A3	2598	2431	3684	5487
ATP1A1	11333	10488	14285	21816
ATP1B1	360	354	489	690
ATP1B3	1402	1297	2166	3097
ATP23	106	92	172	247
ATP2A1	92	59	92	138
ATP2A2	5659	5174	4936	9190
ATP2B1	2538	2456	3525	5052
ATP2B4	1023	924	986	1742
ATP2C1	1941	1898	2465	3637
ATP5F1A	11573	10642	18236	26035
ATP5F1B	16140	14248	26886	37575
ATP5F1C	3056	2787	5304	7499
ATP5F1D	237	191	286	437
ATP5F1E	882	700	1602	2327
ATP5IF1	1582	1595	2216	2959
ATP5MC1	996	779	1556	2290
ATP5MC2	1452	1130	2516	3380
ATP5MC3	3772	3319	6401	8659
ATP5MD	569	630	1132	1670
ATP5ME	1878	2053	2655	3836
ATP5MF	833	623	1715	2427
ATP5MG	791	771	1339	1809
ATP5MPL	770	772	1186	1654
ATP5PB	3575	3181	5907	8423
ATP5PD	1830	1811	2733	4024
ATP5PF	903	690	1671	2469
ATP5PO	1889	1681	3761	5045
ATP6AP1	1134	1030	1961	2590
ATP6AP2	971	783	1757	2528
ATP6V0A1	1455	1245	1414	2418
ATP6V0A2	1140	1014	1650	2468
ATP6V0B	1101	795	2028	2880
ATP6V0C	163	137	203	311
ATP6V0D1	974	866	1592	2310
ATP6V0E1	324	267	467	672
ATP6V0E2	295	281	410	562
ATP6V1A	3467	3198	5354	7718
ATP6V1B1	30	31	61	99
ATP6V1B2	1018	946	1439	2105
ATP6V1C1	1195	1075	1615	2439
ATP6V1D	848	838	1199	1751
ATP6V1E1	1032	923	1648	2284
ATP6V1F	676	609	1081	1520
ATP6V1G1	974	951	1391	1995
ATP6V1H	1096	1046	1514	2191
ATP7A	563	537	681	1043
ATP7B	766	679	954	1528
ATP8A1	568	523	758	1198
ATP8B1	162	115	102	185
ATP8B2	2169	1812	3078	4429
ATP9A	618	547	770	1253
ATP9B	426	393	510	773
ATPAF1	1162	1162	1535	2206
ATPAF2	429	334	630	880
ATPSCKMT	260	215	319	431
ATR	3686	3326	5548	7643
ATRAID	759	677	1361	1943
ATRIP	830	703	1177	1890
ATRN	1174	1006	1312	2048
ATRNL1	446	443	553	845
ATRX	5095	4884	5991	7960
ATXN1	176	137	218	348
ATXN10	3020	2591	3332	5551
ATXN1L	323	313	472	794
ATXN2	961	783	846	1599
ATXN2L	1495	1084	952	2162
ATXN3	293	274	455	592
ATXN7	41	43	63	94
ATXN7L1	160	111	197	298
ATXN7L2	192	157	299	422
ATXN7L3	492	432	656	932
ATXN7L3B	332	269	429	613
AUH	273	268	327	489
AUNIP	576	445	965	1479
AUP1	1709	1456	2965	4142
AURKA	1387	1217	2282	3232
AURKAIP1	1234	1270	1739	2438
AURKB	1463	1430	2296	3301
AUTS2	404	339	316	662
AVEN	290	285	355	552
AVIL	97	68	113	169
AVL9	823	734	1147	1634
AVPI1	34	30	62	110
AXIN1	779	789	1029	1381
AXIN2	146	139	125	227
AZI2	987	901	1479	2134
AZIN1	2502	2269	3608	5246
AZIN2	67	69	90	120
B2M	1209	1170	1922	2695
B3GALNT2	1203	1143	1609	2379
B3GALT1	40	27	70	125
B3GALT2	121	128	122	218
B3GALT6	105	97	133	200
B3GAT2	82	86	113	151
B3GAT3	305	296	438	607
B3GLCT	416	335	596	909
B3GNT10	194	177	248	379
B3GNT2	230	203	396	621
B3GNT5	114	119	176	218
B4GALNT1	57	52	78	128
B4GALNT3	422	307	626	861
B4GALNT4	208	195	250	369
B4GALT1	157	135	147	211
B4GALT2	519	438	937	1183
B4GALT3	661	596	1065	1490
B4GALT4	265	259	382	563
B4GALT5	461	396	560	708
B4GALT6	118	97	151	197
B4GALT7	215	180	376	581
B4GAT1	661	607	940	1378
B9D1	444	368	619	916
BABAM1	990	842	1586	2230
BABAM2	688	630	989	1496
BACE1	257	201	311	492
BACE2	215	226	317	457
BACH1	1487	1341	2090	2982
BACH2	79	52	65	121
BAD	256	219	413	608
BAG1	868	934	1113	1578
BAG2	450	468	554	801
BAG3	266	222	310	518
BAG4	479	410	833	1166
BAG5	907	923	1191	1676
BAG6	2894	2309	2836	5388
BAHCC1	494	345	254	614
BAHD1	255	221	262	388
BAIAP2	239	191	323	501
BAIAP2L1	553	501	764	1116
BAIAP3	57	56	92	150
BAK1	121	112	211	286
BAMBI	146	119	301	471
BANF1	248	293	388	414
BANP	255	254	356	559
BAP1	2384	2211	3382	4776
BARD1	1197	1078	1746	2564
BAX	527	570	908	1214
