	ribo_untr_a	ribo_untr_b	ribo_tmisrib_a	ribo_tmisrib_b
CREB3L2	647	818	484	501
CREB3L4	61	91	60	67
CREB5	150	142	98	94
CREBBP	1154	1369	969	978
CREBL2	54	70	73	55
CREBRF	62	68	58	69
CREBZF	170	232	131	130
CREG1	1044	1277	1022	1000
CRELD1	93	110	88	73
CRELD2	244	403	271	285
CREM	426	499	308	389
CRIM1	373	380	343	363
CRIPT	314	387	249	272
CRISPLD1	313	345	306	319
CRK	553	752	459	454
CRKL	789	1075	583	649
CRLF3	402	409	279	317
CRNKL1	1123	1278	954	917
CROCC	121	207	130	137
CROT	279	317	239	242
CRPPA	23	43	22	24
CRTAP	1113	1445	1166	1063
CRTC1	162	211	143	129
CRTC2	432	547	327	381
CRTC3	163	196	151	152
CRY1	389	435	337	325
CRY2	49	81	57	53
CRYBG3	508	603	475	447
CRYL1	138	163	147	128
CRYZ	802	830	611	571
CRYZL1	444	481	374	399
CS	3040	3581	2357	2550
CSAD	23	23	21	27
CSDE1	8394	9588	7335	7455
CSE1L	17120	20311	14790	15612
CSGALNACT2	136	137	127	101
CSK	1079	1390	809	872
CSKMT	1	3	1	1
CSNK1A1	2575	3184	2260	2438
CSNK1D	843	1048	727	718
CSNK1E	18	28	22	20
CSNK1G1	157	218	152	148
CSNK1G2	176	201	141	115
CSNK1G3	564	597	484	457
CSNK2A1	444	613	378	397
CSNK2A2	1197	1441	1063	1089
CSNK2B	933	1400	759	785
CSPG5	117	165	108	129
CSPP1	256	332	222	192
CSRNP1	58	71	59	52
CSRNP2	163	213	120	124
CSRNP3	47	50	36	29
CSRP2	761	1139	693	642
CST3	1206	1644	985	934
CSTB	1434	1930	958	1034
CSTF1	1355	1635	979	1117
CSTF2	1070	1400	822	869
CSTF2T	1325	1825	977	1175
CSTF3	1363	1599	949	1055
CTBP1	690	834	554	534
CTBP2	517	570	414	376
CTBS	223	217	175	183
CTC1	104	126	95	88
CTCF	1046	1266	870	886
CTDNEP1	187	235	158	154
CTDP1	341	488	265	295
CTDSP1	188	309	167	179
CTDSP2	283	321	232	194
CTDSPL	55	66	42	33
CTDSPL2	634	609	517	576
CTH	306	299	223	237
CTIF	110	128	107	80
CTNNA1	6276	7536	5096	5203
CTNNAL1	1571	1508	1218	1201
CTNNB1	8617	11011	7417	7535
CTNNBIP1	76	102	84	60
CTNNBL1	1183	1497	897	996
CTNND1	1481	1749	1219	1303
CTNS	168	231	138	138
CTPS1	3051	3818	2539	2778
CTPS2	537	571	417	440
CTR9	2240	2654	1801	1901
CTSA	967	1116	793	744
CTSB	1200	1298	1042	1040
CTSC	1344	1844	1381	1338
CTSF	0	1	0	1
CTSH	78	73	59	52
CTSL	814	1125	829	800
CTSV	481	668	464	480
CTSZ	1311	1692	1184	1298
CTTN	2495	2971	1954	2023
CTTNBP2	179	225	160	158
CTTNBP2NL	317	404	242	221
CTU2	203	283	176	156
CUBN	3	7	3	11
CUEDC1	86	124	99	81
CUEDC2	959	1290	797	800
CUL1	1981	2374	1598	1606
CUL2	2879	3096	2230	2412
CUL3	2925	3340	2560	2601
CUL4A	1057	1253	848	866
CUL4B	2550	2622	2003	2217
CUL5	875	871	678	728
CUL7	617	819	613	598
CUL9	201	209	205	172
CUTA	1417	1919	1275	1213
CUTC	452	503	388	312
CUX1	691	873	665	591
CWC15	844	923	705	723
CWC22	707	847	542	551
CWC25	127	179	102	84
CWC27	605	690	491	483
CWF19L1	1267	1421	979	1050
CWF19L2	326	410	309	269
CXADR	311	417	337	315
CXCR4	107	135	69	115
CXXC1	465	740	408	488
CXXC5	55	81	53	48
CXorf38	173	173	136	145
CXorf40A	20	10	7	15
CXorf40B	41	33	32	39
CXorf56	318	534	307	291
CYB561	64	87	61	39
CYB561A3	84	136	95	88
CYB561D2	173	221	140	168
CYB5A	387	462	284	309
CYB5B	1243	1427	931	932
CYB5D1	98	150	86	99
CYB5D2	132	191	125	131
CYB5R1	270	345	241	219
CYB5R3	2611	3139	2136	1965
CYB5R4	502	501	427	403
CYB5RL	24	33	17	7
CYBA	1451	2073	1145	1130
CYBC1	120	180	142	110
CYBRD1	80	95	67	70
CYC1	2371	2882	1957	1939
CYCS	1078	1144	609	794
CYFIP1	2407	2991	2018	1971
CYFIP2	2091	2600	2173	1985
CYHR1	219	218	166	163
CYLD	273	300	204	244
CYP20A1	248	334	229	240
CYP26A1	72	55	55	43
CYP27B1	17	9	15	6
CYP2J2	108	119	90	84
CYP2R1	56	64	49	54
CYP2U1	130	154	121	116
CYP39A1	38	38	35	47
CYP4V2	37	33	30	41
CYP51A1	825	877	684	670
CYREN	237	306	206	179
CYSTM1	572	635	437	436
CYTH1	187	214	164	179
CYTH2	193	264	159	141
CYTH3	122	125	91	90
CZIB	386	490	347	372
D2HGDH	231	374	236	215
DAAM1	263	270	214	204
DAAM2	204	214	162	151
DAB2	294	324	201	241
DAB2IP	194	267	183	166
DACH1	296	449	270	268
DACH2	12	12	9	14
DACT1	93	120	66	67
DAD1	1695	1961	1266	1285
DAG1	998	1340	1027	1025
DAGLA	52	95	72	74
DAGLB	313	366	239	218
DALRD3	202	219	160	134
DAP	216	325	197	160
DAP3	1854	2107	1504	1527
DAPK1	368	419	313	272
DAPK3	600	794	485	457
DARS	3234	3193	2390	2645
DARS2	2747	3010	2124	2356
DAXX	628	736	421	482
DAZAP1	2524	3219	2071	2134
DAZAP2	1411	1671	1093	1216
DBF4	167	173	148	153
DBF4B	150	168	104	106
DBI	1149	1182	831	900
DBN1	1856	2355	1646	1556
DBNDD1	89	92	51	58
DBNDD2	535	730	466	505
DBNL	1447	1951	1191	1136
DBP	52	56	20	29
DBR1	656	749	504	572
DBT	618	652	443	415
DCAF1	1190	1529	954	1021
DCAF10	310	425	247	250
DCAF11	148	203	145	155
DCAF12	505	569	375	363
DCAF13	1777	2142	1339	1444
DCAF15	649	835	552	493
DCAF16	443	457	321	354
DCAF17	187	233	159	192
DCAF4	235	246	183	189
DCAF5	356	479	312	284
DCAF6	604	719	523	491
DCAF7	1848	2375	1474	1509
DCAF8	842	974	551	601
DCAKD	621	677	490	510
DCBLD1	209	249	180	185
DCBLD2	283	369	232	285
DCDC1	10	3	8	8
DCDC2B	1	1	0	3
DCHS1	26	24	29	14
DCK	635	747	507	555
DCLK1	293	343	264	245
DCLK2	89	99	84	75
DCLRE1A	410	430	266	311
DCLRE1B	264	307	189	196
DCLRE1C	132	147	80	104
DCP1A	482	560	400	377
DCP1B	289	345	218	239
DCP2	917	1212	674	719
DCPS	279	353	221	229
DCTD	534	606	403	413
DCTN1	2288	2839	1993	1897
DCTN2	2886	3291	2469	2456
DCTN3	1262	1422	866	968
DCTN4	1837	2264	1480	1586
DCTN5	591	701	460	455
DCTN6	851	881	596	673
DCTPP1	1401	1670	1054	1039
DCUN1D1	409	415	351	363
DCUN1D2	35	81	49	58
DCUN1D3	25	41	24	25
DCUN1D4	353	448	289	254
DCUN1D5	1249	1220	1038	962
DCXR	1151	1629	933	963
DDA1	464	578	337	356
DDAH1	1153	1271	850	897
DDAH2	73	99	93	63
DDB1	8692	10918	7317	7698
DDB2	245	373	359	333
DDHD1	321	357	266	283
DDHD2	491	505	399	431
DDI2	671	833	516	527
DDIAS	250	255	188	178
DDIT3	29	47	32	29
DDIT4	347	508	236	272
DDOST	5075	5714	4883	4552
DDR1	269	325	261	236
DDR2	525	536	505	453
DDRGK1	929	1314	899	815
DDTL	16	15	15	16
DDX1	4776	5662	4029	3972
DDX10	771	883	681	669
DDX11	227	304	243	195
DDX17	7511	9384	5873	6022
DDX18	1588	2044	1401	1503
DDX19A	117	136	91	86
DDX19B	25	31	14	25
DDX20	1567	1981	1198	1484
DDX21	9061	10444	7776	8249
DDX23	1484	1857	1223	1193
DDX24	5175	6785	4357	4458
DDX27	1870	2368	1534	1507
DDX28	493	631	447	433
DDX31	702	846	556	569
DDX39A	2868	3714	2410	2446
DDX39B	7707	10189	7190	6778
DDX3X	6670	8136	6050	6459
DDX41	567	775	493	451
DDX42	2242	2635	1831	1839
DDX46	4691	5277	3897	4061
DDX47	1927	2217	1592	1585
DDX49	910	1220	836	808
DDX5	12248	15644	10867	11961
DDX50	1105	1118	830	822
DDX51	380	533	317	349
DDX52	1493	1598	1193	1273
DDX54	1883	2516	1467	1508
DDX55	504	615	469	456
DDX56	3480	4464	2907	2967
DDX58	77	81	60	67
DDX59	301	344	267	297
DDX6	1919	2484	1781	1849
DDX60	109	103	100	77
DEAF1	194	220	128	130
DECR1	139	131	104	99
DECR2	78	77	66	37
DEDD	244	271	197	187
DEDD2	175	232	120	139
DEF8	318	447	258	272
DEGS1	2907	3820	2669	2779
DEK	5634	6048	4434	4941
DELE1	471	551	394	394
DENND10	78	64	44	50
DENND11	280	370	250	231
DENND1A	239	296	183	183
DENND1B	65	100	78	79
DENND2C	147	143	112	127
DENND3	161	150	140	129
DENND4A	629	695	505	525
DENND4B	213	272	221	151
DENND4C	734	806	581	645
DENND5A	175	208	187	166
DENND5B	572	656	446	478
DENND6A	383	456	346	354
DENR	1129	1252	918	1020
DEPDC1	672	714	590	632
DEPDC1B	547	557	418	440
DEPDC4	81	62	50	70
DEPDC5	77	72	54	61
DEPDC7	316	309	231	248
DEPTOR	43	30	33	37
DERA	675	657	502	484
DERL1	618	813	594	544
DERL2	442	590	447	383
DERL3	174	197	144	136
DERPC	511	640	342	370
DESI1	497	576	456	382
DESI2	311	360	273	245
DFFA	1341	1417	970	1021
DFFB	221	296	184	191
DGAT1	176	223	131	164
DGCR2	372	564	347	352
DGCR6	15	18	16	2
DGCR6L	110	147	75	83
DGCR8	258	390	272	286
DGKA	78	64	70	61
DGKD	275	285	257	201
DGKE	300	411	316	316
DGKH	380	507	364	372
DGKQ	33	48	37	27
DGKZ	61	87	73	72
DGLUCY	174	213	157	148
DGUOK	614	750	529	553
DHCR24	3197	4874	2720	2609
DHCR7	1390	1871	1142	1126
DHDDS	367	389	299	292
DHFR	8	8	7	4
DHFR2	24	29	23	18
DHODH	166	190	175	119
DHPS	650	790	555	501
DHRS1	159	188	135	119
DHRS11	108	130	118	134
DHRS12	23	22	18	27
DHRS13	120	172	86	87
DHRS3	238	295	224	222
DHRS4	81	134	80	70
DHRS7	621	782	551	533
DHRS7B	288	378	256	252
DHRSX	134	194	139	159
DHTKD1	884	1011	728	767
DHX15	5286	7141	4917	4971
DHX16	1632	2069	1310	1241
DHX29	964	1094	793	852
DHX30	2407	3305	2057	2009
DHX32	511	641	513	464
DHX33	1117	1283	931	935
DHX34	354	482	289	278
DHX35	248	251	201	220
DHX36	2005	2380	1643	1769
DHX37	972	1388	857	809
DHX38	942	1219	760	770
DHX40	1148	1365	979	992
DHX57	993	1161	846	863
DHX8	1830	2207	1578	1607
DHX9	8607	11338	7662	8120
DIABLO	34	40	38	28
DIAPH1	1313	1730	1381	1273
DIAPH2	321	372	286	263
DIAPH3	757	909	657	695
DICER1	1291	1409	1113	1089
DIDO1	1135	1334	975	880
DIMT1	566	587	434	498
DIP2A	345	401	296	302
DIP2B	1144	1391	991	931
DIP2C	318	398	339	304
DIPK1A	241	263	222	182
DIPK1B	255	420	268	246
DIPK2A	267	343	200	222
DIRAS1	139	158	132	124
DIS3	2046	2240	1640	1804
DIS3L	523	680	400	465
DIS3L2	247	267	200	172
DISC1	34	45	46	18
DISP1	71	81	58	70
DIXDC1	162	188	133	141
DKC1	2449	3258	2304	2256
DLAT	1736	2224	1534	1550
DLC1	435	517	333	384
DLD	6605	7765	5645	5576
DLG1	595	640	502	551
DLG3	470	433	379	403
DLG4	15	7	13	15
DLG5	470	642	442	399
DLGAP4	230	233	134	158
DLGAP5	2449	2613	1893	2131
DLK2	28	71	31	35
DLL1	68	97	61	65
DLST	1500	1682	1173	1235
DLX1	109	127	71	74
DLX2	845	1238	693	767
DMAC1	450	532	353	327
DMAC2	433	644	382	371
DMAC2L	290	349	257	284
DMAP1	662	950	587	608
DMC1	26	18	10	12
DMD	293	319	241	267
DMKN	1619	1663	1060	1178
DMPK	26	17	33	19
DMTF1	231	250	205	243
DMWD	166	221	173	147
DMXL1	1478	1553	1168	1324
DMXL2	853	961	825	808
DNA2	1157	1227	991	997
DNAAF2	437	463	260	283
DNAAF4	148	144	102	86
DNAAF5	1946	2716	1637	1589
DNAH1	30	12	71	25
DNAH10	2	4	8	4
DNAH11	82	54	99	45
DNAH14	750	809	548	612
DNAH17	11	6	7	14
DNAH6	46	29	22	42
DNAH7	31	28	24	23
DNAJA1	3448	4768	2819	2930
DNAJA2	2206	2774	1761	1997
DNAJA3	1210	1481	994	980
DNAJB1	955	1298	649	599
DNAJB11	744	938	734	711
DNAJB12	692	802	587	609
DNAJB14	162	218	139	131
DNAJB2	196	250	120	155
DNAJB4	127	126	76	100
DNAJB5	58	70	37	44
DNAJB6	307	449	267	242
DNAJB7	10	9	2	4
DNAJB9	155	193	123	168
DNAJC1	650	757	654	621
DNAJC10	683	727	628	622
DNAJC11	1203	1687	1057	1080
DNAJC12	420	443	272	315
DNAJC13	904	984	738	724
DNAJC14	198	286	178	200
DNAJC16	334	412	274	274
DNAJC17	99	142	76	94
DNAJC18	453	494	370	391
DNAJC19	89	69	60	67
DNAJC2	1206	1304	917	991
DNAJC21	805	946	669	688
DNAJC24	110	102	64	67
DNAJC25	35	42	43	28
DNAJC27	9	8	3	16
DNAJC28	62	54	27	38
DNAJC3	536	606	483	468
DNAJC30	123	184	85	109
DNAJC4	47	53	36	29
DNAJC5	572	677	472	464
DNAJC6	721	738	541	585
DNAJC7	2522	2930	1975	2024
DNAJC8	930	998	716	789
DNAJC9	389	482	336	319
DNAL1	100	157	101	115
DNAL4	66	80	47	56
DNASE1	7	2	2	1
DNASE1L1	58	83	51	67
DNASE2	596	713	559	590
DND1	1	0	2	8
DNHD1	18	14	34	22
DNLZ	93	156	86	81
DNM1	343	398	286	306
DNM1L	2429	2847	2030	2203
DNM2	2652	3469	2177	2321
DNM3	60	54	63	60
DNMBP	342	412	302	304
DNMT1	5437	7287	4603	4689
DNMT3A	232	321	204	175
DNMT3B	265	343	225	259
DNPEP	642	827	550	527
DNPH1	972	1129	804	727
DNTTIP1	1175	1451	915	935
DNTTIP2	1384	1348	1040	1336
DOCK1	689	801	606	541
DOCK11	607	562	518	480
DOCK3	105	127	146	98
DOCK4	859	930	748	708
DOCK5	386	402	317	295
DOCK6	201	192	175	136
DOCK7	1773	1883	1437	1457
DOCK8	117	147	102	114
DOCK9	289	302	238	232
DOHH	221	294	162	171
DOK1	24	32	21	13
DOK3	4	3	3	3
DOK4	51	54	42	43
DOLK	381	573	383	366
DOLPP1	421	594	348	361
DONSON	803	930	660	652
DOP1A	716	850	687	635
DOP1B	435	568	449	412
DOT1L	388	496	324	297
DPAGT1	549	714	467	445
DPCD	611	766	521	535
DPF1	234	286	204	216
DPF2	750	1077	638	622
DPH1	818	1065	646	690
DPH2	299	426	255	257
DPH3	207	254	190	173
DPH5	726	847	559	559
DPH6	249	253	197	167
DPH7	399	506	319	276
DPM1	1829	2128	1557	1591
DPM2	212	263	148	153
DPM3	485	600	387	430
DPP3	767	1099	707	732
DPP7	19	17	7	11
DPP8	538	593	431	476
DPP9	823	944	584	614
DPY19L1	508	549	463	486
DPY19L3	790	933	720	693
DPY19L4	197	226	194	185
DPY30	310	348	252	240
DPYSL2	1827	2284	1522	1511
DPYSL4	162	297	185	160
DPYSL5	895	1013	715	659
DR1	932	992	662	702
DRAM2	347	298	269	244
DRAP1	411	503	357	343
DRC3	18	14	15	3
DRG1	1713	2070	1335	1406
DRG2	815	959	625	622
DROSHA	1472	1609	1111	1110
DSC2	613	672	615	592
DSC3	742	1055	818	877
DSCC1	650	765	565	611
DSE	196	202	134	145
DSG2	2145	2289	2031	1960
DSN1	522	524	390	392
DSP	5084	6066	4261	4518
DST	1002	1329	1325	1101
DSTN	1824	2081	1385	1570
DSTYK	195	270	149	175
DTD1	58	63	49	28
DTD2	73	72	56	63
DTL	1615	1873	1172	1262
DTNA	314	341	264	233
DTNB	232	323	189	171
DTNBP1	730	908	615	631
DTWD1	142	131	89	110
DTWD2	225	225	164	141
DTX3	144	153	126	102
DTX3L	299	313	183	223
DTYMK	924	1366	837	792
DUS1L	478	615	408	345
DUS2	353	448	301	273
DUS3L	479	665	417	434
DUS4L	143	152	116	113
DUSP1	503	562	495	534
DUSP11	500	583	333	378
DUSP12	280	351	279	284
DUSP14	360	445	271	280
DUSP16	181	234	137	165
DUSP19	88	96	62	71
DUSP2	1	0	1	4
DUSP22	107	96	68	77
DUSP3	569	720	465	469
DUSP7	208	243	147	145
DUSP9	83	147	110	92
DUT	2247	2559	1684	1806
DVL1	327	349	248	220
DVL2	996	1235	736	754
DVL3	620	804	540	477
DXO	425	486	318	301
DYM	1039	1072	851	853
DYNC1H1	7001	8247	6977	6592
DYNC1I2	536	670	432	498
DYNC1LI1	1445	1585	1121	1219
DYNC1LI2	1033	1144	872	853
DYNC2H1	2399	2671	2254	2334
DYNC2LI1	431	448	327	345
DYNLL1	1383	1764	875	1063
DYNLL2	639	628	504	500
DYNLRB1	1041	1282	693	830
DYNLT1	1178	1306	851	926
DYNLT3	191	193	147	111
DYRK1A	600	667	499	495
DYRK1B	348	463	283	263
DYRK2	273	357	219	218
DYRK3	251	279	169	198
DYRK4	289	313	201	196
DZANK1	56	65	47	55
DZIP1	211	163	173	159
DZIP1L	39	50	49	32
DZIP3	662	678	568	527
E2F1	197	178	153	137
E2F2	484	513	327	307
E2F3	516	629	397	458
E2F4	447	518	327	340
E2F5	280	348	251	234
E2F6	93	95	78	82
E2F7	597	780	526	483
E2F8	245	234	159	180
E4F1	341	436	285	271
EAF1	579	684	433	449
EAF2	80	71	46	68
EAPP	495	582	470	453
EARS2	661	810	537	513
EBAG9	150	169	106	123
EBF3	376	467	344	353
EBLN2	0	0	0	0
EBNA1BP2	2733	3653	2185	2171
EBP	566	797	481	443
EBPL	601	710	473	495
ECD	2024	2393	1501	1766
ECE1	931	1190	952	910
ECEL1	45	74	49	54
ECH1	1737	1746	1231	1199
ECHDC1	1467	1678	1172	1317
ECHDC2	1	0	0	3
ECHS1	3063	3732	2637	2385
ECI1	746	912	652	655
ECI2	1857	1946	1353	1300
ECM2	0	1	0	0
ECPAS	2498	2820	2135	2125
ECSIT	391	527	312	280
ECT2	2131	2217	1789	1810
EDA2R	68	115	86	87
EDARADD	47	77	34	60
EDC3	1074	1263	871	891
EDC4	1880	2807	1633	1733
EDEM1	142	144	108	109
EDEM2	97	125	112	73
EDEM3	335	396	336	337
EDF1	1822	2848	1584	1401
EDRF1	1151	1438	808	863
EEA1	1446	1697	1277	1329
EED	541	742	398	433
EEF1A1	1452	3272	1377	2208
EEF1A2	2280	2551	1908	1890
EEF1AKMT1	205	216	189	149
EEF1AKMT2	74	80	56	54
EEF1AKMT4	44	52	38	36
EEF1AKNMT	853	1118	731	766
EEF1B2	403	602	411	383
EEF1D	960	1599	956	973
EEF1E1	647	590	507	529
EEF1G	2041	2481	1783	1684
EEF2	35482	51003	33098	33774
EEF2K	221	271	174	184
EEF2KMT	52	91	42	44
EEFSEC	384	530	300	344
EEPD1	92	101	54	59
EFCAB10	19	30	22	17
EFCAB11	139	143	77	97
EFCAB13	4	6	3	4
EFCAB14	275	260	226	228
EFCAB2	24	47	21	28
EFCAB6	29	25	21	13
EFCAB7	308	307	228	250
EFHC1	201	229	176	156
EFHD2	406	545	289	294
EFL1	350	446	284	291
EFNA4	20	27	17	6
EFNA5	418	555	385	441
EFNB1	224	378	253	250
EFNB2	606	700	512	532
EFR3A	213	214	172	160
EFR3B	244	273	215	197
EFTUD2	5204	7188	4784	4498
EGFL7	314	426	261	315
EGFL8	9	13	16	7
EGFR	260	265	246	250
EGLN1	291	405	288	319
EGLN2	220	288	166	168
EGLN3	155	183	142	140
EHBP1	388	371	335	344
EHD1	373	391	277	274
EHD3	80	99	65	55
EHD4	524	657	395	391
EHHADH	300	281	229	245
EHMT1	821	1039	720	690
EHMT2	1000	1348	812	837
EI24	494	579	425	389
EID1	2023	2687	1654	1514
EID2	972	1134	660	720
EID3	1	5	1	3
EIF1	1430	1687	1171	1270
EIF1AD	219	210	150	132
EIF1AX	329	387	293	308
EIF1B	490	604	370	408
EIF2A	1415	1566	1142	1304
EIF2AK1	1313	1325	999	1008
EIF2AK2	1502	1640	1158	1309
EIF2AK3	115	125	84	77
EIF2AK4	791	844	692	693
EIF2B1	1553	1900	1347	1287
EIF2B2	751	877	592	593
EIF2B3	1508	1662	1246	1177
EIF2B4	660	839	528	568
EIF2B5	659	978	702	630
EIF2D	480	519	374	397
EIF2S1	3011	3597	2507	2516
EIF2S2	609	675	531	560
EIF2S3	5031	5078	3738	4135
EIF3A	8202	11109	7548	7839
EIF3B	6797	8221	5516	5591
EIF3C	13	41	6	11
EIF3D	7931	9324	6542	6835
EIF3E	5121	5746	4015	4506
EIF3F	752	932	701	708
EIF3G	4065	5196	3089	3344
EIF3H	3180	3871	2619	2896
EIF3I	8669	9502	6760	6755
EIF3J	959	1258	699	838
EIF3K	7716	8527	5856	6072
EIF3L	3137	4226	2736	2935
EIF3M	5333	6396	4709	4899
EIF4A1	6305	8068	5733	5371
EIF4A2	1232	1442	916	886
EIF4A3	2954	3622	2351	2532
EIF4B	452	690	431	457
EIF4E	108	171	113	88
EIF4E2	697	1088	648	672
EIF4E3	78	78	57	51
EIF4EBP1	862	998	640	665
EIF4EBP2	237	354	207	204
EIF4ENIF1	512	646	456	421
EIF4G1	13168	16625	11420	11514
EIF4G2	5423	6061	4507	4904
EIF4G3	3811	4614	3315	3305
EIF4H	772	964	595	613
EIF5	2176	2292	1796	1866
EIF5A	5710	7855	4353	4577
EIF5A2	101	113	105	102
EIF5B	3269	3987	2796	3025
EIF6	1572	2150	1197	1314
EIPR1	274	314	262	259
ELAC1	48	80	65	83
ELAC2	1649	1987	1320	1232
ELAVL1	3607	4172	2549	2600
ELAVL2	282	328	206	255
ELF1	700	807	617	645
ELF2	338	421	307	328
ELF4	403	445	313	335
ELK1	171	214	124	133
ELK3	121	86	60	52
ELK4	104	112	77	79
ELL	243	325	174	181
ELL2	171	166	124	119
ELL3	292	248	213	190
ELMO2	411	538	424	326
ELMO3	6	2	2	3
ELMOD1	19	20	15	29
ELMOD2	577	708	462	492
ELMOD3	18	25	15	14
ELMSAN1	267	321	206	206
ELOA	1515	1762	1176	1177
ELOB	2578	3060	1988	2165
ELOC	648	1001	609	626
ELOF1	624	1004	533	540
ELOVL1	886	1139	695	699
ELOVL2	273	342	227	215
ELOVL4	839	964	708	742
ELOVL5	2295	2806	1845	2050
ELOVL6	389	548	329	327
ELOVL7	234	249	178	175
ELP1	2072	2393	1733	1876
ELP2	1434	1660	1137	1190
ELP3	1195	1453	993	1080
ELP4	404	424	291	337
ELP5	811	984	621	622
ELP6	447	572	359	376
EMB	227	230	202	234
EMC1	2261	2819	2215	2125
EMC10	634	1107	612	621
EMC2	774	717	629	625
EMC3	1180	1385	1056	1135
EMC4	1008	1300	914	807
EMC6	254	339	193	188
EMC7	779	984	788	725
EMC8	482	687	412	421
EMC9	111	127	92	87
EMD	1340	1713	1014	1066
EME1	254	318	212	225
EME2	26	30	23	18
EMG1	891	1192	692	697
EMILIN2	165	144	221	237
EMILIN3	349	437	362	376
EML1	622	680	572	546
EML2	257	280	182	194
EML3	147	150	123	111
EML4	1335	1630	1139	1234
EML5	130	126	123	116
EML6	22	15	34	17
EMP2	195	226	122	159
EMP3	300	313	241	217
EMSY	271	307	203	232
EN2	177	219	113	134
ENAH	1917	2151	1525	1444
ENC1	406	538	358	377
ENDOD1	184	227	153	158
ENDOG	479	691	415	390
ENDOV	57	65	54	39
ENGASE	98	157	114	87
ENKD1	62	74	36	51
ENO1	46917	59361	38176	38536
ENO2	737	948	697	658
ENOPH1	602	813	479	492
ENOSF1	247	300	213	202
ENOX1	69	74	60	64
ENOX2	152	159	121	117
ENPEP	365	353	321	355
ENPP1	450	530	475	461
ENPP4	482	507	414	409
ENSA	427	689	448	458
ENTPD4	126	193	153	143
ENTPD5	31	30	28	33
ENTPD6	325	420	282	290
ENTPD7	286	313	245	205
ENTR1	264	341	251	236
ENY2	749	1017	683	693
EOGT	173	199	164	154
EP300	2132	2526	1862	1905
EP400	1237	1535	1273	1158
EPAS1	108	103	68	51
EPB41	1736	1970	1406	1416
EPB41L1	131	147	120	115
EPB41L2	2482	2831	1922	2091
EPB41L3	1577	2070	1350	1499
EPB41L4A	57	50	37	62
EPB41L4B	110	110	87	86
EPB41L5	505	518	377	450
EPC1	207	252	251	226
EPC2	247	261	188	264
EPG5	433	475	358	331
EPHA2	769	973	713	645
EPHA3	244	279	228	232
EPHA4	439	620	427	452
EPHA5	174	245	199	167
EPHA6	146	184	172	159
EPHA7	1442	1992	1490	1483
EPHA8	60	58	44	41
EPHB1	51	56	46	38
EPHB2	254	301	235	220
EPHB4	383	561	400	400
EPHX1	663	769	548	483
EPHX2	191	226	195	186
EPHX4	158	185	119	137
EPM2A	45	57	37	40
EPN1	837	1032	566	627
EPN2	178	232	148	154
EPOR	60	68	60	74
EPPK1	657	850	657	633
EPRS	5489	5957	4775	4910
EPS15	1049	1188	921	887
EPS15L1	1025	1243	847	891
EPS8	895	1017	649	734
ERAL1	1081	1363	883	815
ERAP1	264	293	283	234
ERBB2	244	242	234	203
ERBB4	336	327	328	307
ERBIN	1045	1161	861	905
ERC1	809	922	718	662
ERC2	30	37	29	25
ERCC1	421	631	411	354
ERCC2	745	818	607	554
ERCC3	896	1060	759	769
ERCC4	419	500	325	326
ERCC6	507	627	378	421
ERCC6L	607	762	533	581
ERCC6L2	229	230	214	177
ERCC8	128	113	75	94
ERF	331	417	199	234
ERFE	120	177	87	114
ERG28	306	444	263	258
ERGIC1	556	700	481	486
ERGIC2	611	596	500	545
ERGIC3	1870	2441	1741	1635
ERH	2561	2789	2113	2418
ERI1	535	505	413	391
ERI2	269	250	180	244
ERI3	1454	1638	1159	1218
ERICH1	315	324	207	216
ERICH5	101	153	111	100
ERLEC1	391	399	375	332
ERLIN1	387	427	301	295
ERLIN2	954	1177	841	925
ERMAP	25	22	14	22
ERMARD	234	222	183	158
ERMP1	717	760	610	541
ERN1	54	92	54	62
ERO1A	1100	1061	955	896
ERO1B	166	212	172	153
ERP29	974	1306	777	805
ERP44	1321	1632	1082	1202
ERRFI1	275	330	238	241
ERV3-1	2	8	5	4
ERVFRD-1	0	0	0	0
ERVK3-1	297	457	218	251
ESCO1	147	142	90	98
ESCO2	1161	1337	804	940
ESD	3797	4293	2941	3116
ESF1	796	905	581	614
ESPL1	1779	2379	1739	1688
ESPNL	0	0	0	3
ESRP2	404	457	376	335
ESRRA	108	171	93	101
ESRRG	1	1	1	0
ESS2	429	597	395	339
ESYT1	2364	2860	2040	1921
ESYT2	875	1098	857	823
ETAA1	155	150	108	134
ETF1	2715	2846	2154	2227
ETFA	3714	3957	2977	2836
ETFB	1167	1355	967	857
ETFDH	411	575	405	439
ETFRF1	175	154	103	144
ETHE1	154	164	119	134
ETNK1	1004	1366	721	817
ETNK2	62	80	40	48
ETS2	464	581	387	448
ETV3	348	493	317	277
ETV6	81	111	61	49
EVC	57	72	56	53
EVI5	395	450	326	362
EVI5L	131	147	116	117
EVL	130	168	114	114
EWSR1	3822	5187	3213	3772
EXD2	258	336	281	267
EXO1	801	849	651	684
EXO5	136	180	141	151
EXOC1	719	727	592	555
EXOC2	1263	1442	1113	1122
EXOC3	654	766	520	534
EXOC4	1502	1615	1256	1221
EXOC5	423	461	315	326
EXOC6	1240	1253	999	1039
EXOC6B	535	601	468	457
EXOC7	1128	1437	876	1005
EXOC8	722	955	626	605
EXOG	165	252	128	158
EXOSC1	731	1000	606	629
