	ribo_untr_a	ribo_untr_b	ribo_tmisrib_a	ribo_tmisrib_b	untr_a_hek	untr_b_hek	tmisrib_a_hek	tmisrib_b_hek
ADGRL3	79	98	64	86	515	435	753	1063
ADGRV1	547	609	499	624	3356	3097	4186	6250
ADH5	712	1008	411	634	1525	1461	2593	3475
ADI1	695	1016	316	552	1169	1163	1555	2301
ADIPOR1	448	558	210	385	1484	1341	2350	3409
ADIPOR2	760	976	365	632	643	627	1124	1482
ADK	1294	1349	523	1001	862	838	1199	1692
ADM	89	152	52	96	38	42	91	104
ADNP	2255	2584	1070	2012	3281	2782	3060	5540
ADNP2	675	763	312	607	1432	1246	1815	2598
ADO	229	324	102	151	161	182	256	381
ADORA2A	19	7	8	8	39	25	56	67
ADORA2B	101	91	54	68	157	127	216	334
ADPGK	527	676	259	441	944	797	1325	2087
ADPRHL1	32	32	19	29	55	45	57	96
ADPRHL2	525	672	272	464	524	496	806	1153
ADPRM	51	62	17	50	102	88	174	252
ADRA2C	9	9	9	17	44	54	111	140
ADRM1	2825	4403	1316	2338	1490	1397	2330	3315
ADSL	2920	3194	1366	2284	4094	3775	6667	9732
ADSS	1122	1515	570	1028	2662	2759	3588	4814
AEBP2	619	800	275	514	525	422	547	809
AEN	650	1047	346	698	655	598	1138	1430
AFAP1	141	186	87	133	257	280	275	482
AFAP1L1	115	106	52	75	100	87	167	235
AFDN	1800	2194	961	1584	4857	4429	5738	8629
AFF1	627	694	296	529	536	436	559	914
AFF3	204	236	121	202	140	112	158	300
AFF4	2216	2312	955	1901	2153	1772	2652	4208
AFG1L	166	204	76	107	183	185	261	388
AFG3L2	1193	1422	601	1004	2549	2389	3481	5109
AFMID	207	298	98	228	252	233	289	387
AFTPH	321	405	147	246	783	654	1094	1584
AGA	297	342	119	260	252	239	391	659
AGAP1	183	266	115	202	565	567	700	1095
AGAP2	55	59	18	40	84	86	131	175
AGAP3	548	737	224	424	1017	800	1307	1831
AGAP6	1	3	1	3	120	83	155	263
AGAP9	2	3	6	0	152	140	140	244
AGBL3	20	20	7	7	72	77	76	138
AGBL5	271	322	125	235	1387	1099	2048	3057
AGER	5	3	0	2	66	60	52	102
AGFG1	1639	1839	711	1263	1237	973	1895	2720
AGFG2	121	174	54	94	102	75	123	198
AGGF1	202	154	93	182	219	218	352	443
AGK	802	1132	418	757	1128	966	1505	2409
AGL	1826	1892	819	1480	2884	2467	3700	5676
AGMAT	2	3	0	1	59	47	72	98
AGO1	593	738	267	479	1139	983	1322	2083
AGO2	734	884	359	631	1077	857	1174	1931
AGO3	298	299	126	235	808	731	1040	1480
AGO4	116	114	60	109	306	273	380	557
AGPAT1	584	718	269	440	271	248	323	607
AGPAT2	495	626	231	418	138	126	275	371
AGPAT3	424	539	200	313	502	432	643	923
AGPAT4	199	234	107	156	331	317	434	656
AGPAT5	438	508	180	326	525	574	777	1082
AGPS	1990	2308	924	1694	2017	2150	3046	4162
AGRN	1045	1667	679	1036	702	571	595	1034
AGTPBP1	892	1019	418	743	2802	2692	4104	5915
AGTRAP	390	583	175	305	169	133	336	471
AHCTF1	252	333	129	234	1768	1630	2461	3559
AHCY	3027	4262	1565	2705	3579	3096	6572	8753
AHCYL1	1695	1833	763	1305	1343	1194	1812	2617
AHCYL2	305	385	155	261	290	286	277	511
AHDC1	178	241	74	122	107	55	51	128
AHI1	324	331	153	268	1214	1107	1556	2307
AHNAK	826	903	465	791	1951	2049	1989	3148
AHNAK2	63	106	43	60	281	222	341	501
AHSA1	2567	3171	1221	2017	3620	3401	5386	7680
AIF1L	629	700	303	502	151	131	168	248
AIFM1	2236	2603	1040	1840	2363	2270	3510	4829
AIFM2	544	700	221	431	81	88	92	128
AIG1	591	746	241	520	512	418	637	947
AIMP1	1055	1303	492	889	1223	1208	1765	2511
AIMP2	1575	2057	733	1312	1483	1373	2299	3139
AIP	887	1150	427	750	594	562	991	1272
AJUBA	60	96	30	52	134	131	126	199
AK1	475	703	210	365	367	356	480	661
AK2	1023	1142	445	740	1904	1992	2822	4124
AK3	456	430	187	327	253	239	348	533
AK6	495	561	223	438	745	703	1173	1602
AK9	74	84	42	52	89	95	93	172
AKAP1	557	765	308	521	2226	2028	3010	4285
AKAP10	267	263	110	196	952	796	1200	1831
AKAP11	1429	1809	691	1449	3358	3155	3648	5859
AKAP12	2308	2402	1055	1640	3951	3785	5123	7111
AKAP13	697	869	383	659	2881	2493	3272	5187
AKAP17A	246	374	132	222	470	456	600	830
AKAP5	58	67	16	43	133	119	188	239
AKAP6	24	39	18	36	167	134	145	271
AKAP7	103	106	61	67	159	180	182	306
AKAP8	611	799	301	583	937	906	1326	1748
AKAP8L	941	1274	378	793	1263	1178	1905	2759
AKAP9	1300	1407	595	1183	5033	4878	7235	8178
AKIP1	234	251	81	178	242	163	325	474
AKIRIN1	948	1159	408	800	401	348	594	861
AKIRIN2	826	1027	369	728	191	167	212	392
AKNA	52	44	15	31	46	43	40	95
AKR1A1	741	1201	421	701	777	648	1123	1519
AKR1B1	2336	2729	1076	1939	1398	1274	2271	3076
AKR7A2	848	1188	379	697	578	535	1016	1487
AKT1	599	785	309	510	1289	1150	1939	2726
AKT1S1	281	390	120	200	145	134	203	303
AKT2	1105	1448	561	951	954	842	1493	2067
AKT3	226	238	108	169	1168	1034	1475	2193
AKTIP	66	74	27	49	136	146	220	297
AL022312.1	192	214	71	137	178	161	210	315
AL031777.3	3344	3694	1148	2821	1166	666	3723	5289
AL034430.1	75	64	20	39	136	135	218	291
AL034430.2	260	323	104	237	213	196	305	419
AL049650.1	1155	1271	471	1051	81	87	137	174
AL109811.3	0	0	0	0	67	60	120	220
AL109827.1	170	212	88	157	134	123	179	247
AL121753.1	235	233	76	165	140	139	183	296
AL135905.2	594	814	265	526	33	44	83	106
AL713999.1	149	189	103	157	225	127	582	845
ALAD	126	154	71	102	161	130	182	238
ALAS1	774	884	280	529	1120	1060	1669	2375
ALCAM	726	815	406	763	1183	1035	1768	2491
ALDH16A1	341	539	172	305	633	577	776	1128
ALDH18A1	1893	2614	1115	2035	4727	4233	6825	9373
ALDH1A2	1841	2270	946	1621	1088	1031	1667	2378
ALDH1B1	929	1104	429	721	1148	1080	1508	2116
ALDH1L2	367	341	177	282	680	640	677	1069
ALDH2	916	995	378	715	229	228	432	529
ALDH3A2	1129	1323	550	917	1942	1711	2598	3798
ALDH4A1	322	410	146	245	150	119	261	316
ALDH5A1	688	876	322	612	399	469	524	886
ALDH6A1	561	632	244	498	450	392	615	905
ALDH7A1	1188	1426	598	1073	971	847	1125	1599
ALDH9A1	2449	2909	1143	1989	1863	1710	2881	3891
ALDOA	1995	2356	624	1603	803	712	1574	2153
ALDOC	52	65	17	40	51	40	87	136
ALG1	259	368	151	282	410	313	623	852
ALG10	216	264	122	198	205	162	368	424
ALG10B	111	165	72	122	98	73	207	260
ALG11	446	478	215	411	443	431	637	921
ALG12	250	373	151	258	394	303	484	719
ALG13	976	1039	450	885	1986	1763	2039	3498
ALG14	149	163	74	120	284	284	406	566
ALG1L	14	19	6	14	46	38	58	91
ALG2	281	363	133	223	382	370	647	911
ALG3	801	1008	343	584	272	229	415	561
ALG5	755	947	447	825	737	695	1175	1752
ALG6	624	736	297	582	1251	1223	2016	2989
ALG8	1410	1692	686	1209	1480	1272	2416	3532
ALKBH1	295	314	115	214	295	214	480	699
ALKBH2	252	267	99	175	436	439	705	902
ALKBH3	248	228	109	177	462	388	640	1033
ALKBH4	207	367	101	205	214	219	253	384
ALKBH5	510	735	236	393	2628	2428	4158	5906
ALKBH6	491	570	194	409	117	107	172	258
ALKBH7	247	322	121	172	167	145	228	330
ALKBH8	160	175	74	143	809	735	978	1462
ALMS1	862	848	443	786	5479	4521	6825	10606
ALOX12	6	10	2	2	84	48	90	111
ALPK1	71	72	46	67	173	133	208	321
ALS2	369	403	163	291	1120	934	1453	2109
ALX1	216	221	87	186	158	136	225	334
ALX3	2	0	1	0	77	66	77	115
ALX4	67	80	31	42	58	58	55	79
ALYREF	4877	5812	1974	3743	3017	3009	4126	6056
AMACR	195	220	80	166	165	152	244	352
AMBRA1	544	704	278	493	1041	898	1389	2168
AMD1	604	710	314	537	4081	3826	5908	8056
AMDHD2	123	143	31	89	114	104	190	262
AMER1	90	152	42	81	513	446	581	838
AMFR	1029	1166	522	870	1492	1277	2128	2981
AMH	39	58	28	42	163	156	128	258
AMIGO1	27	26	17	18	57	44	70	108
AMIGO3	2	1	4	2	133	108	192	278
AMMECR1	204	322	90	163	315	276	490	618
AMMECR1L	152	193	75	104	243	215	316	486
AMN1	145	96	45	93	98	85	141	260
AMOT	177	166	62	116	6630	5312	8394	13707
AMOTL1	888	1165	396	677	856	828	1185	1724
AMOTL2	216	373	108	244	124	108	236	294
AMPD2	560	679	247	413	734	650	978	1436
AMPH	132	162	53	100	104	100	152	255
AMZ2	476	503	189	381	1085	942	1774	2557
ANAPC1	342	343	143	308	1816	1620	2848	4125
ANAPC10	126	92	47	71	143	130	243	411
ANAPC11	731	926	303	589	496	493	696	928
ANAPC13	239	309	148	244	291	288	363	494
ANAPC15	148	192	66	116	287	287	523	658
ANAPC16	461	638	220	455	448	420	674	924
ANAPC2	530	844	261	497	596	555	802	1062
ANAPC4	748	779	337	625	1075	994	1567	2292
ANAPC5	3125	3132	1445	2380	5319	4739	8224	12182
ANAPC7	2397	3210	1176	2223	2163	1865	3095	4518
ANGEL1	283	372	153	273	715	579	825	1339
ANGEL2	368	431	158	331	985	924	1524	2290
ANGPT2	3	1	0	3	51	49	36	75
ANK1	84	141	51	94	257	223	298	510
ANK2	565	574	304	504	837	750	1159	1687
ANK3	384	395	205	383	748	705	928	1464
ANKAR	6	0	0	2	233	244	254	472
ANKEF1	128	117	71	72	270	241	329	473
ANKFY1	1482	1718	735	1225	1656	1415	1711	2822
ANKH	201	225	96	187	284	227	400	577
ANKHD1	52	66	39	67	122	131	148	231
ANKIB1	237	233	117	194	991	932	1387	2046
ANKLE2	1319	1494	530	993	2479	2269	3211	4663
ANKMY1	22	22	9	31	207	167	262	402
ANKMY2	441	391	205	373	333	350	498	755
ANKRA2	88	82	50	68	124	116	199	309
ANKRD10	197	208	65	128	702	664	1016	1513
ANKRD11	580	718	320	489	2812	2421	2341	4128
ANKRD12	185	200	92	188	758	771	1020	1247
ANKRD13A	500	546	227	441	707	671	1076	1636
ANKRD13B	236	284	101	176	155	127	150	245
ANKRD13C	288	340	109	218	1390	1267	2015	2861
ANKRD13D	52	58	23	29	217	184	262	339
ANKRD16	86	119	35	94	114	113	191	292
ANKRD17	2880	3288	1322	2706	6704	5807	7832	12254
ANKRD18A	35	47	29	32	638	555	411	847
ANKRD18B	23	28	9	21	831	777	561	1163
ANKRD23	3	7	2	9	70	62	59	97
ANKRD26	609	648	284	515	1574	1421	1925	2597
ANKRD27	640	716	258	381	977	977	1404	1967
ANKRD28	940	1015	456	803	1665	1435	2192	3074
ANKRD31	23	19	7	12	66	58	77	120
ANKRD36	17	9	10	16	1640	1578	1627	2566
ANKRD36B	16	14	3	5	514	535	606	898
ANKRD36C	13	16	16	9	1367	1306	1507	2345
ANKRD39	147	205	75	128	108	108	149	192
ANKRD40	339	429	176	276	812	741	1171	1619
ANKRD42	90	104	34	91	89	83	135	221
ANKRD44	88	95	42	65	130	120	183	287
ANKRD46	374	494	153	297	339	292	536	743
ANKRD49	50	78	23	50	233	221	358	571
ANKRD50	426	486	183	364	1230	1094	1465	2276
ANKRD52	1533	1908	719	1242	1869	1476	1318	2655
ANKRD54	260	359	122	200	208	180	300	392
ANKRD6	88	71	53	55	216	172	252	391
ANKRD61	1	0	0	0	167	133	108	214
ANKS1A	557	726	288	476	618	483	709	1114
ANKS3	94	150	43	87	278	271	364	509
ANKS6	166	212	106	153	635	564	753	1076
ANKZF1	324	402	145	247	534	451	650	919
ANLN	2529	2962	1159	2297	3864	3424	6354	8586
ANO10	321	364	152	257	722	649	912	1378
ANO4	24	24	5	18	36	35	49	65
ANO5	429	464	206	348	599	558	807	1220
ANO6	662	722	296	569	709	642	1082	1624
ANO8	79	91	35	77	121	110	153	238
ANP32A	1560	2025	663	1267	2470	2512	3878	4472
ANP32B	1469	1974	681	1258	1655	1673	1181	2067
ANP32E	2442	3062	1135	2131	1670	1959	2454	2548
ANTKMT	90	131	61	73	261	229	353	517
ANTXR1	350	471	173	329	436	365	442	782
ANTXR2	200	234	82	153	103	106	127	165
ANXA1	926	1196	414	750	65	70	121	156
ANXA11	2075	2276	897	1573	844	739	1275	1737
ANXA2	1252	1463	546	1006	553	544	912	1359
ANXA4	310	396	144	238	171	147	233	336
ANXA5	3555	4220	1803	2888	3111	2983	4886	6868
ANXA6	2903	3117	1284	2399	2071	1801	3153	4637
ANXA7	2716	3017	1216	2191	1780	1463	2868	3963
AOC2	3	4	2	6	120	90	139	244
AOPEP	79	109	23	45	468	376	506	752
AP002495.1	25	32	5	25	54	62	76	111
AP002748.5	10	15	5	14	58	48	101	109
AP1AR	158	149	61	117	583	602	896	1214
AP1B1	3664	4326	1738	3025	2344	2072	3182	4912
AP1G1	1750	2053	831	1532	2292	1990	2576	4100
AP1G2	201	185	92	159	606	533	849	1220
AP1M1	1699	2117	865	1371	770	587	1166	1767
AP1S1	987	1172	475	782	364	357	483	622
AP1S2	229	233	78	150	184	182	246	371
AP1S3	206	234	105	143	105	95	155	243
AP2A1	980	1264	505	815	1135	888	1271	2019
AP2A2	1255	1448	532	1006	1060	865	1295	2036
AP2B1	2495	2846	1288	2244	2172	1852	2245	3601
AP2M1	3310	3834	1504	2580	3327	3181	5573	7653
AP2S1	1810	2209	819	1308	1192	1149	1916	2765
AP3B1	1748	2001	829	1568	2170	2152	2924	4239
AP3B2	34	47	15	25	57	56	71	86
AP3D1	2649	3369	1271	2190	2698	2362	3124	5080
AP3M1	1981	2195	845	1675	974	872	1472	2149
AP3M2	382	450	182	337	595	545	772	1177
AP3S1	647	662	283	539	617	585	1005	1289
AP3S2	103	94	33	72	94	72	77	151
AP4B1	369	435	145	245	649	609	854	1243
AP4E1	320	392	162	304	691	620	901	1290
AP4M1	148	229	81	142	132	124	218	296
AP4S1	37	44	11	23	61	72	91	154
AP5B1	213	286	111	210	353	314	401	566
AP5M1	271	281	103	210	713	638	1182	1646
AP5S1	168	236	99	143	145	97	189	253
AP5Z1	119	202	66	117	311	255	395	626
APAF1	810	861	380	655	839	821	1103	1557
APBA2	254	350	118	214	502	434	700	980
APBA3	89	116	35	79	162	154	204	341
APBB1	620	725	265	500	842	740	1211	1664
APBB2	205	223	96	167	188	169	221	386
APBB3	52	62	22	34	118	103	186	259
APC	844	971	403	797	3064	2576	3965	5931
APC2	31	39	5	12	88	76	89	155
APEH	1347	1480	573	961	2133	1889	3242	4592
APEX1	2388	3358	1140	2037	2005	2058	2743	3858
APEX2	355	465	163	290	571	502	834	1231
APH1A	819	1013	488	672	1106	889	2031	2795
API5	1287	1478	597	1129	2661	2649	3937	5259
APIP	287	301	120	255	564	556	776	1120
APLF	21	22	10	21	92	84	142	193
APLP1	489	615	294	472	68	60	62	110
APLP2	6131	7015	3062	5039	5746	5529	8153	11365
APMAP	702	1096	472	773	1141	992	1783	2421
APOBEC3C	478	552	199	415	45	37	109	110
APOC1	114	126	52	102	72	80	155	197
APOL2	425	563	178	315	203	168	258	368
APOM	25	30	5	23	29	30	39	69
APOO	393	462	193	334	272	198	378	520
APOOL	332	321	121	266	296	272	332	562
APP	7518	9018	3937	6602	4637	4827	5658	8127
APPBP2	932	1084	403	703	963	855	1387	1908
APPL1	1337	1400	599	1137	2012	1705	3040	4155
APPL2	459	524	220	410	549	487	737	1017
APRT	2423	3078	1118	1917	2420	2070	3909	5460
APTX	463	570	223	394	781	785	1130	1511
AQR	1506	1719	695	1288	2109	1871	3396	5073
ARAF	455	567	210	354	598	521	866	1271
ARAP1	513	562	274	388	844	743	860	1339
ARAP2	158	185	63	115	419	417	538	806
ARCN1	3721	4188	1708	3076	3158	3021	4132	6164
AREL1	187	213	84	169	722	647	1143	1661
ARF1	5198	6499	2227	4287	2885	2627	5207	7413
ARF3	223	339	107	181	140	130	149	213
ARF4	1139	1431	523	1029	1121	976	1751	2587
ARF5	2442	2643	996	1854	916	877	1364	1961
ARF6	643	877	292	515	423	379	711	893
ARFGAP1	670	973	322	567	829	700	1091	1587
ARFGAP2	625	888	351	548	1024	969	1381	2069
ARFGAP3	776	897	316	654	468	422	719	1049
ARFGEF1	836	845	330	696	1973	1749	2534	3960
ARFGEF2	799	951	434	730	2472	1987	3238	4745
ARFGEF3	557	628	295	494	460	400	496	886
ARFIP1	614	595	265	437	480	440	783	1039
ARFIP2	649	771	321	533	1139	1049	1835	2590
ARFRP1	239	302	112	169	214	213	283	375
ARG2	732	721	266	517	462	407	779	1138
ARGLU1	570	673	261	455	829	946	1355	1621
ARHGAP1	527	669	244	430	279	212	236	433
ARHGAP10	285	333	162	224	578	532	765	1218
ARHGAP11A	889	918	392	779	2069	1874	2564	3619
ARHGAP12	424	404	181	327	594	503	825	1224
ARHGAP17	1024	1415	458	800	802	602	582	1097
ARHGAP18	235	238	107	183	311	291	382	592
ARHGAP20	91	114	27	74	77	72	100	144
ARHGAP21	265	232	133	198	1503	1268	2172	3127
ARHGAP22	111	147	44	96	244	221	289	427
ARHGAP24	33	40	21	31	56	59	70	113
ARHGAP26	209	219	85	160	247	208	243	381
ARHGAP27	79	118	36	91	47	55	71	119
ARHGAP28	121	152	70	97	64	50	99	123
ARHGAP29	333	316	100	220	494	394	672	1031
ARHGAP31	67	65	39	72	128	110	132	251
ARHGAP32	163	158	103	155	500	389	600	927
ARHGAP35	614	652	261	516	2174	1868	2369	3905
